,date,value,name_B08J357J1R
80,2020-12-07,1177.0,Body Fat Monitors
81,2020-12-08,1184.0,Body Fat Monitors
82,2020-12-09,1090.0,Body Fat Monitors
83,2020-12-10,1054.0,Body Fat Monitors
84,2020-12-11,1060.0,Body Fat Monitors
85,2020-12-12,1003.0,Body Fat Monitors
86,2020-12-13,1098.0,Body Fat Monitors
87,2020-12-14,1089.0,Body Fat Monitors
88,2020-12-15,1052.0,Body Fat Monitors
89,2020-12-16,974.0,Body Fat Monitors
90,2020-12-17,959.0,Body Fat Monitors
91,2020-12-18,992.0,Body Fat Monitors
92,2020-12-19,1126.0,Body Fat Monitors
93,2020-12-20,1030.0,Body Fat Monitors
94,2020-12-21,985.0,Body Fat Monitors
95,2020-12-22,1010.0,Body Fat Monitors
96,2020-12-23,979.0,Body Fat Monitors
97,2020-12-24,931.0,Body Fat Monitors
98,2020-12-25,897.0,Body Fat Monitors
99,2020-12-26,900.0,Body Fat Monitors
100,2020-12-27,881.0,Body Fat Monitors
101,2020-12-28,899.0,Body Fat Monitors
102,2020-12-29,796.0,Body Fat Monitors
103,2020-12-30,901.0,Body Fat Monitors
104,2020-12-31,882.0,Body Fat Monitors
105,2021-01-01,827.0,Body Fat Monitors
106,2021-01-02,888.0,Body Fat Monitors
107,2021-01-03,1076.0,Body Fat Monitors
108,2021-01-04,1030.0,Body Fat Monitors
109,2021-01-05,1002.0,Body Fat Monitors
110,2021-01-06,973.0,Body Fat Monitors
111,2021-01-07,1009.0,Body Fat Monitors
112,2021-01-08,1109.0,Body Fat Monitors
113,2021-01-09,1041.0,Body Fat Monitors
114,2021-01-10,1041.0,Body Fat Monitors
115,2021-01-11,1041.0,Body Fat Monitors
116,2021-01-12,921.0,Body Fat Monitors
117,2021-01-13,1020.0,Body Fat Monitors
118,2021-01-14,1020.0,Body Fat Monitors
119,2021-01-15,1020.0,Body Fat Monitors
120,2021-01-16,932.0,Body Fat Monitors
121,2021-01-17,932.0,Body Fat Monitors
122,2021-01-18,819.0,Body Fat Monitors
123,2021-01-19,819.0,Body Fat Monitors
124,2021-01-20,868.0,Body Fat Monitors
125,2021-01-21,868.0,Body Fat Monitors
126,2021-01-22,868.0,Body Fat Monitors
127,2021-01-23,928.0,Body Fat Monitors
128,2021-01-24,928.0,Body Fat Monitors
129,2021-01-25,928.0,Body Fat Monitors
130,2021-01-26,846.0,Body Fat Monitors
131,2021-01-27,817.0,Body Fat Monitors
132,2021-01-28,805.0,Body Fat Monitors
133,2021-01-29,805.0,Body Fat Monitors
134,2021-01-30,980.0,Body Fat Monitors
135,2021-01-31,895.0,Body Fat Monitors
136,2021-02-01,895.0,Body Fat Monitors
137,2021-02-02,917.0,Body Fat Monitors
138,2021-02-03,917.0,Body Fat Monitors
139,2021-02-04,917.0,Body Fat Monitors
140,2021-02-05,881.0,Body Fat Monitors
141,2021-02-06,949.0,Body Fat Monitors
142,2021-02-07,949.0,Body Fat Monitors
143,2021-02-08,913.0,Body Fat Monitors
144,2021-02-09,913.0,Body Fat Monitors
145,2021-02-10,932.0,Body Fat Monitors
146,2021-02-11,932.0,Body Fat Monitors
147,2021-02-12,932.0,Body Fat Monitors
148,2021-02-13,1008.0,Body Fat Monitors
149,2021-02-14,1008.0,Body Fat Monitors
150,2021-02-15,905.0,Body Fat Monitors
151,2021-02-16,905.0,Body Fat Monitors
152,2021-02-17,905.0,Body Fat Monitors
153,2021-02-18,970.0,Body Fat Monitors
154,2021-02-19,970.0,Body Fat Monitors
155,2021-02-20,993.0,Body Fat Monitors
156,2021-02-21,993.0,Body Fat Monitors
157,2021-02-22,974.0,Body Fat Monitors
158,2021-02-23,974.0,Body Fat Monitors
159,2021-02-24,974.0,Body Fat Monitors
160,2021-02-25,904.0,Body Fat Monitors
161,2021-02-26,904.0,Body Fat Monitors
162,2021-02-27,930.0,Body Fat Monitors
163,2021-02-28,930.0,Body Fat Monitors
164,2021-03-01,930.0,Body Fat Monitors
165,2021-03-02,925.0,Body Fat Monitors
166,2021-03-03,925.0,Body Fat Monitors
167,2021-03-04,925.0,Body Fat Monitors
168,2021-03-05,861.0,Body Fat Monitors
169,2021-03-06,861.0,Body Fat Monitors
170,2021-03-07,769.0,Body Fat Monitors
171,2021-03-08,769.0,Body Fat Monitors
172,2021-03-09,769.0,Body Fat Monitors
173,2021-03-10,812.0,Body Fat Monitors
174,2021-03-11,812.0,Body Fat Monitors
175,2021-03-12,804.0,Body Fat Monitors
176,2021-03-13,804.0,Body Fat Monitors
177,2021-03-14,804.0,Body Fat Monitors
178,2021-03-15,746.0,Body Fat Monitors
179,2021-03-16,764.0,Body Fat Monitors
180,2021-03-17,698.0,Body Fat Monitors
181,2021-03-18,698.0,Body Fat Monitors
182,2021-03-19,698.0,Body Fat Monitors
183,2021-03-20,751.0,Body Fat Monitors
184,2021-03-21,751.0,Body Fat Monitors
185,2021-03-22,653.0,Body Fat Monitors
186,2021-03-23,653.0,Body Fat Monitors
187,2021-03-24,653.0,Body Fat Monitors
188,2021-03-25,642.0,Body Fat Monitors
189,2021-03-26,642.0,Body Fat Monitors
190,2021-03-27,642.0,Body Fat Monitors
191,2021-03-28,632.0,Body Fat Monitors
192,2021-03-29,625.0,Body Fat Monitors
193,2021-03-30,625.0,Body Fat Monitors
194,2021-03-31,609.0,Body Fat Monitors
195,2021-04-01,609.0,Body Fat Monitors
196,2021-04-02,609.0,Body Fat Monitors
197,2021-04-03,624.0,Body Fat Monitors
198,2021-04-04,624.0,Body Fat Monitors
199,2021-04-05,576.0,Body Fat Monitors
200,2021-04-06,576.0,Body Fat Monitors
201,2021-04-07,576.0,Body Fat Monitors
202,2021-04-08,572.0,Body Fat Monitors
203,2021-04-09,572.0,Body Fat Monitors
204,2021-04-10,659.0,Body Fat Monitors
205,2021-04-11,595.0,Body Fat Monitors
206,2021-04-12,588.0,Body Fat Monitors
207,2021-04-13,588.0,Body Fat Monitors
208,2021-04-14,601.0,Body Fat Monitors
209,2021-04-15,615.0,Body Fat Monitors
210,2021-04-16,615.0,Body Fat Monitors
211,2021-04-17,588.0,Body Fat Monitors
212,2021-04-18,587.0,Body Fat Monitors
213,2021-04-19,598.0,Body Fat Monitors
214,2021-04-20,631.0,Body Fat Monitors
215,2021-04-21,654.0,Body Fat Monitors
216,2021-04-22,654.0,Body Fat Monitors
217,2021-04-23,710.0,Body Fat Monitors
218,2021-04-24,782.0,Body Fat Monitors
219,2021-04-25,782.0,Body Fat Monitors
220,2021-04-26,766.0,Body Fat Monitors
221,2021-04-27,766.0,Body Fat Monitors
222,2021-04-28,716.0,Body Fat Monitors
223,2021-04-29,716.0,Body Fat Monitors
224,2021-04-30,716.0,Body Fat Monitors
225,2021-05-01,746.0,Body Fat Monitors
226,2021-05-02,700.0,Body Fat Monitors
227,2021-05-03,700.0,Body Fat Monitors
228,2021-05-04,753.0,Body Fat Monitors
229,2021-05-05,776.0,Body Fat Monitors
230,2021-05-06,776.0,Body Fat Monitors
231,2021-05-07,817.0,Body Fat Monitors
232,2021-05-08,817.0,Body Fat Monitors
233,2021-05-09,717.0,Body Fat Monitors
234,2021-05-10,717.0,Body Fat Monitors
235,2021-05-11,687.0,Body Fat Monitors
236,2021-05-12,687.0,Body Fat Monitors
237,2021-05-13,736.0,Body Fat Monitors
238,2021-05-14,704.0,Body Fat Monitors
239,2021-05-15,704.0,Body Fat Monitors
240,2021-05-16,732.0,Body Fat Monitors
241,2021-05-17,732.0,Body Fat Monitors
242,2021-05-18,703.0,Body Fat Monitors
243,2021-05-19,703.0,Body Fat Monitors
244,2021-05-20,640.0,Body Fat Monitors
245,2021-05-21,709.0,Body Fat Monitors
246,2021-05-22,709.0,Body Fat Monitors
247,2021-05-23,657.0,Body Fat Monitors
248,2021-05-24,657.0,Body Fat Monitors
249,2021-05-25,636.0,Body Fat Monitors
250,2021-05-26,636.0,Body Fat Monitors
251,2021-05-27,644.0,Body Fat Monitors
252,2021-05-28,696.0,Body Fat Monitors
253,2021-05-29,696.0,Body Fat Monitors
254,2021-05-30,613.0,Body Fat Monitors
255,2021-05-31,613.0,Body Fat Monitors
256,2021-06-01,613.0,Body Fat Monitors
257,2021-06-02,568.0,Body Fat Monitors
258,2021-06-03,568.0,Body Fat Monitors
259,2021-06-04,611.0,Body Fat Monitors
260,2021-06-05,653.0,Body Fat Monitors
261,2021-06-06,590.0,Body Fat Monitors
262,2021-06-07,648.0,Body Fat Monitors
263,2021-06-08,648.0,Body Fat Monitors
264,2021-06-09,618.0,Body Fat Monitors
265,2021-06-10,613.0,Body Fat Monitors
266,2021-06-11,600.0,Body Fat Monitors
267,2021-06-12,629.0,Body Fat Monitors
268,2021-06-13,570.0,Body Fat Monitors
269,2021-06-14,570.0,Body Fat Monitors
270,2021-06-15,570.0,Body Fat Monitors
271,2021-06-16,595.0,Body Fat Monitors
272,2021-06-17,610.0,Body Fat Monitors
273,2021-06-18,610.0,Body Fat Monitors
274,2021-06-19,647.0,Body Fat Monitors
275,2021-06-20,647.0,Body Fat Monitors
276,2021-06-21,577.0,Body Fat Monitors
277,2021-06-22,996.0,Body Fat Monitors
278,2021-06-23,996.0,Body Fat Monitors
279,2021-06-24,996.0,Body Fat Monitors
280,2021-06-25,758.0,Body Fat Monitors
281,2021-06-26,758.0,Body Fat Monitors
282,2021-06-27,714.0,Body Fat Monitors
283,2021-06-28,712.0,Body Fat Monitors
284,2021-06-29,775.0,Body Fat Monitors
285,2021-06-30,748.0,Body Fat Monitors
286,2021-07-01,661.0,Body Fat Monitors
287,2021-07-02,655.0,Body Fat Monitors
288,2021-07-03,655.0,Body Fat Monitors
289,2021-07-04,801.0,Body Fat Monitors
290,2021-07-05,667.0,Body Fat Monitors
291,2021-07-06,667.0,Body Fat Monitors
292,2021-07-07,730.0,Body Fat Monitors
293,2021-07-08,692.0,Body Fat Monitors
294,2021-07-09,692.0,Body Fat Monitors
295,2021-07-10,789.0,Body Fat Monitors
296,2021-07-11,655.0,Body Fat Monitors
