,date,value,name_B08HYMGP18
216,2021-06-24,27778.0,Free Standing Shoe Racks
217,2021-06-25,34377.0,Free Standing Shoe Racks
218,2021-06-26,37304.0,Free Standing Shoe Racks
219,2021-06-27,42608.0,Free Standing Shoe Racks
220,2021-06-28,38788.0,Free Standing Shoe Racks
221,2021-06-29,41685.0,Free Standing Shoe Racks
222,2021-06-30,39998.0,Free Standing Shoe Racks
223,2021-07-01,54336.0,Free Standing Shoe Racks
224,2021-07-02,36593.0,Free Standing Shoe Racks
225,2021-07-03,32070.0,Free Standing Shoe Racks
226,2021-07-04,28271.0,Free Standing Shoe Racks
227,2021-07-05,28271.0,Free Standing Shoe Racks
228,2021-07-06,28279.0,Free Standing Shoe Racks
229,2021-07-07,29725.0,Free Standing Shoe Racks
230,2021-07-08,31816.0,Free Standing Shoe Racks
231,2021-07-09,43638.0,Free Standing Shoe Racks
232,2021-07-10,43638.0,Free Standing Shoe Racks
233,2021-07-11,35102.0,Free Standing Shoe Racks
