,date,value,name_B07TY6854M
94,2019-10-10,128185.0,Tables
95,2019-10-11,128185.0,Tables
96,2019-10-12,128185.0,Tables
97,2019-10-13,94968.0,Tables
98,2019-10-14,94968.0,Tables
99,2019-10-15,94968.0,Tables
100,2019-10-16,82787.0,Tables
101,2019-10-17,82787.0,Tables
102,2019-10-18,54524.0,Tables
103,2019-10-19,54524.0,Tables
104,2019-10-20,24885.0,Tables
105,2019-10-21,25905.0,Tables
106,2019-10-22,31355.0,Tables
107,2019-10-23,23171.0,Tables
108,2019-10-24,32759.0,Tables
109,2019-10-25,27480.0,Tables
110,2019-10-26,32487.0,Tables
111,2019-10-27,34758.0,Tables
112,2019-10-28,40948.0,Tables
113,2019-10-29,35774.0,Tables
114,2019-10-30,27317.0,Tables
115,2019-10-31,34603.0,Tables
116,2019-11-01,37410.0,Tables
117,2019-11-02,40434.0,Tables
118,2019-11-03,45065.0,Tables
119,2019-11-04,30513.0,Tables
120,2019-11-05,33919.0,Tables
121,2019-11-06,53981.0,Tables
122,2019-11-07,57104.0,Tables
123,2019-11-08,57104.0,Tables
124,2019-11-09,41327.0,Tables
125,2019-11-10,41327.0,Tables
126,2019-11-11,41327.0,Tables
127,2019-11-12,41327.0,Tables
128,2019-11-13,35302.0,Tables
129,2019-11-14,35302.0,Tables
130,2019-11-15,35302.0,Tables
131,2019-11-16,35302.0,Tables
132,2019-11-17,35302.0,Tables
133,2019-11-18,20473.0,Tables
134,2019-11-19,20473.0,Tables
135,2019-11-20,20473.0,Tables
136,2019-11-21,20473.0,Tables
137,2019-11-22,20473.0,Tables
138,2019-11-23,20473.0,Tables
139,2019-11-24,41017.0,Tables
140,2019-11-25,41017.0,Tables
141,2019-11-26,48989.0,Tables
142,2019-11-27,48989.0,Tables
143,2019-11-28,48989.0,Tables
144,2019-11-29,48989.0,Tables
145,2019-11-30,48989.0,Tables
146,2019-12-01,48989.0,Tables
147,2019-12-02,34725.0,Tables
148,2019-12-03,34725.0,Tables
149,2019-12-04,34725.0,Tables
150,2019-12-05,34725.0,Tables
151,2019-12-06,34890.0,Tables
152,2019-12-07,34890.0,Tables
153,2019-12-08,34890.0,Tables
154,2019-12-09,18963.0,Tables
155,2019-12-10,18963.0,Tables
156,2019-12-11,18963.0,Tables
157,2019-12-12,18963.0,Tables
158,2019-12-13,18131.0,Tables
159,2019-12-14,18131.0,Tables
160,2019-12-15,18131.0,Tables
161,2019-12-16,18131.0,Tables
162,2019-12-17,18131.0,Tables
163,2019-12-18,19986.0,Tables
164,2019-12-19,19986.0,Tables
165,2019-12-20,16082.0,Tables
166,2019-12-21,16082.0,Tables
167,2019-12-22,16082.0,Tables
168,2019-12-23,15144.0,Tables
169,2019-12-24,15144.0,Tables
170,2019-12-25,15144.0,Tables
171,2019-12-26,17616.0,Tables
172,2019-12-27,17616.0,Tables
173,2019-12-28,17616.0,Tables
174,2019-12-29,17616.0,Tables
175,2019-12-30,10814.0,Tables
176,2019-12-31,10814.0,Tables
177,2020-01-01,10814.0,Tables
178,2020-01-02,10814.0,Tables
179,2020-01-03,10814.0,Tables
180,2020-01-04,14823.0,Tables
181,2020-01-05,21020.0,Tables
182,2020-01-06,21741.0,Tables
183,2020-01-07,21741.0,Tables
184,2020-01-08,26396.0,Tables
185,2020-01-09,26958.0,Tables
186,2020-01-10,26958.0,Tables
187,2020-01-11,26958.0,Tables
188,2020-01-12,26958.0,Tables
189,2020-01-13,9210.0,Tables
190,2020-01-14,18547.0,Tables
191,2020-01-15,18547.0,Tables
192,2020-01-16,18547.0,Tables
193,2020-01-17,19642.0,Tables
194,2020-01-18,19642.0,Tables
195,2020-01-19,19642.0,Tables
196,2020-01-20,15820.0,Tables
197,2020-01-21,15820.0,Tables
198,2020-01-22,15820.0,Tables
199,2020-01-23,10154.0,Tables
200,2020-01-24,10958.0,Tables
201,2020-01-25,10958.0,Tables
202,2020-01-26,10958.0,Tables
203,2020-01-27,10958.0,Tables
204,2020-01-28,10958.0,Tables
205,2020-01-29,11982.0,Tables
206,2020-01-30,15603.0,Tables
207,2020-01-31,15603.0,Tables
208,2020-02-01,9861.0,Tables
209,2020-02-02,9861.0,Tables
210,2020-02-03,9861.0,Tables
211,2020-02-04,9861.0,Tables
212,2020-02-05,26077.0,Tables
213,2020-02-06,26077.0,Tables
214,2020-02-07,26077.0,Tables
215,2020-02-08,26077.0,Tables
216,2020-02-09,19422.0,Tables
217,2020-02-10,19422.0,Tables
218,2020-02-11,19422.0,Tables
219,2020-02-12,19422.0,Tables
220,2020-02-13,19422.0,Tables
221,2020-02-14,17602.0,Tables
222,2020-02-15,17602.0,Tables
223,2020-02-16,18240.0,Tables
224,2020-02-17,18240.0,Tables
225,2020-02-18,25304.0,Tables
226,2020-02-19,25304.0,Tables
227,2020-02-20,17031.0,Tables
228,2020-02-21,17031.0,Tables
229,2020-02-22,17031.0,Tables
230,2020-02-23,17031.0,Tables
231,2020-02-24,17031.0,Tables
232,2020-02-25,-1.0,Tables
233,2020-02-26,-1.0,Tables
234,2020-02-27,-1.0,Tables
235,2020-02-28,-1.0,Tables
236,2020-02-29,-1.0,Tables
237,2020-03-01,13246.0,Tables
238,2020-03-02,13246.0,Tables
239,2020-03-03,13246.0,Tables
240,2020-03-04,13246.0,Tables
241,2020-03-05,20526.0,Tables
242,2020-03-06,20526.0,Tables
243,2020-03-07,20526.0,Tables
244,2020-03-08,20526.0,Tables
245,2020-03-09,20526.0,Tables
246,2020-03-10,20526.0,Tables
247,2020-03-11,20526.0,Tables
248,2020-03-12,-1.0,Tables
