,date,value,name_B08V8K9JJG
46,2021-04-23,36897.0,Lawn Water Slides
47,2021-04-24,32048.0,Lawn Water Slides
48,2021-04-25,29304.0,Lawn Water Slides
49,2021-04-26,35217.0,Lawn Water Slides
50,2021-04-27,37100.0,Lawn Water Slides
51,2021-04-28,28666.0,Lawn Water Slides
52,2021-04-29,32698.0,Lawn Water Slides
53,2021-04-30,58038.0,Lawn Water Slides
54,2021-05-01,78308.0,Lawn Water Slides
55,2021-05-02,52763.0,Lawn Water Slides
56,2021-05-03,38657.0,Lawn Water Slides
57,2021-05-04,52291.0,Lawn Water Slides
58,2021-05-05,39989.0,Lawn Water Slides
59,2021-05-06,38273.0,Lawn Water Slides
60,2021-05-07,32477.0,Lawn Water Slides
61,2021-05-08,28505.0,Lawn Water Slides
62,2021-05-09,38051.0,Lawn Water Slides
63,2021-05-10,39370.0,Lawn Water Slides
64,2021-05-11,43753.0,Lawn Water Slides
65,2021-05-12,70648.0,Lawn Water Slides
66,2021-05-13,78828.0,Lawn Water Slides
67,2021-05-14,80396.0,Lawn Water Slides
68,2021-05-15,88377.0,Lawn Water Slides
69,2021-05-16,53421.0,Lawn Water Slides
70,2021-05-17,34607.0,Lawn Water Slides
71,2021-05-18,30740.0,Lawn Water Slides
72,2021-05-19,31764.0,Lawn Water Slides
73,2021-05-20,20395.0,Lawn Water Slides
74,2021-05-21,21460.0,Lawn Water Slides
75,2021-05-22,19950.0,Lawn Water Slides
76,2021-05-23,15096.0,Lawn Water Slides
77,2021-05-24,12229.0,Lawn Water Slides
78,2021-05-25,15418.0,Lawn Water Slides
79,2021-05-26,10858.0,Lawn Water Slides
80,2021-05-27,17237.0,Lawn Water Slides
81,2021-05-28,18354.0,Lawn Water Slides
82,2021-05-29,26595.0,Lawn Water Slides
83,2021-05-30,34914.0,Lawn Water Slides
84,2021-05-31,70741.0,Lawn Water Slides
85,2021-06-01,95837.0,Lawn Water Slides
86,2021-06-02,105862.0,Lawn Water Slides
87,2021-06-03,142294.0,Lawn Water Slides
88,2021-06-04,96218.0,Lawn Water Slides
89,2021-06-05,106623.0,Lawn Water Slides
90,2021-06-06,33860.0,Lawn Water Slides
91,2021-06-07,45109.0,Lawn Water Slides
92,2021-06-08,54731.0,Lawn Water Slides
93,2021-06-09,30118.0,Lawn Water Slides
94,2021-06-10,49636.0,Lawn Water Slides
95,2021-06-11,44470.0,Lawn Water Slides
96,2021-06-12,36071.0,Lawn Water Slides
97,2021-06-13,22157.0,Lawn Water Slides
98,2021-06-14,27504.0,Lawn Water Slides
99,2021-06-15,30928.0,Lawn Water Slides
100,2021-06-16,26993.0,Lawn Water Slides
101,2021-06-17,19052.0,Lawn Water Slides
102,2021-06-18,25285.0,Lawn Water Slides
103,2021-06-19,25859.0,Lawn Water Slides
104,2021-06-20,19540.0,Lawn Water Slides
105,2021-06-21,11441.0,Lawn Water Slides
106,2021-06-22,11164.0,Lawn Water Slides
107,2021-06-23,8746.0,Lawn Water Slides
108,2021-06-24,8431.0,Lawn Water Slides
109,2021-06-25,6704.0,Lawn Water Slides
110,2021-06-26,4538.0,Lawn Water Slides
111,2021-06-27,5306.0,Lawn Water Slides
112,2021-06-28,3616.0,Lawn Water Slides
113,2021-06-29,3868.0,Lawn Water Slides
114,2021-06-30,3741.0,Lawn Water Slides
115,2021-07-01,5951.0,Lawn Water Slides
116,2021-07-02,6346.0,Lawn Water Slides
117,2021-07-03,9138.0,Lawn Water Slides
118,2021-07-04,13152.0,Lawn Water Slides
119,2021-07-05,15052.0,Lawn Water Slides
120,2021-07-06,7180.0,Lawn Water Slides
121,2021-07-07,11012.0,Lawn Water Slides
122,2021-07-08,22400.0,Lawn Water Slides
123,2021-07-09,24457.0,Lawn Water Slides
