,date,value,name_B08D98TMQ1
328,2021-06-24,4858.0,Tablecloths
329,2021-06-25,4858.0,Tablecloths
330,2021-06-26,4525.0,Tablecloths
331,2021-06-27,4525.0,Tablecloths
332,2021-06-28,4525.0,Tablecloths
333,2021-06-29,4041.0,Tablecloths
334,2021-06-30,4041.0,Tablecloths
335,2021-07-01,4041.0,Tablecloths
336,2021-07-02,3752.0,Tablecloths
337,2021-07-03,3752.0,Tablecloths
338,2021-07-04,3752.0,Tablecloths
339,2021-07-05,4275.0,Tablecloths
340,2021-07-06,4275.0,Tablecloths
341,2021-07-07,4275.0,Tablecloths
342,2021-07-08,2856.0,Tablecloths
343,2021-07-09,2856.0,Tablecloths
344,2021-07-10,3020.0,Tablecloths
345,2021-07-11,3050.0,Tablecloths
