,date,value,name_B07QZ4FD3T
182,2021-03-18,7940.0,Whey
183,2021-03-19,7940.0,Whey
184,2021-03-20,7940.0,Whey
185,2021-03-21,8953.0,Whey
186,2021-03-22,8953.0,Whey
187,2021-03-23,6371.0,Whey
188,2021-03-24,6371.0,Whey
189,2021-03-25,7169.0,Whey
190,2021-03-26,7169.0,Whey
191,2021-03-27,9052.0,Whey
192,2021-03-28,9052.0,Whey
193,2021-03-29,9052.0,Whey
194,2021-03-30,9052.0,Whey
195,2021-03-31,7308.0,Whey
196,2021-04-01,7323.0,Whey
197,2021-04-02,7323.0,Whey
198,2021-04-03,7323.0,Whey
199,2021-04-04,8230.0,Whey
200,2021-04-05,8230.0,Whey
201,2021-04-06,8230.0,Whey
202,2021-04-07,6404.0,Whey
203,2021-04-08,6404.0,Whey
204,2021-04-09,6404.0,Whey
205,2021-04-10,6404.0,Whey
206,2021-04-11,6404.0,Whey
207,2021-04-12,6791.0,Whey
208,2021-04-13,6219.0,Whey
209,2021-04-14,6219.0,Whey
210,2021-04-15,6640.0,Whey
211,2021-04-16,6988.0,Whey
212,2021-04-17,6988.0,Whey
213,2021-04-18,6988.0,Whey
214,2021-04-19,7085.0,Whey
215,2021-04-20,6532.0,Whey
216,2021-04-21,6532.0,Whey
217,2021-04-22,6467.0,Whey
218,2021-04-23,7587.0,Whey
219,2021-04-24,7587.0,Whey
220,2021-04-25,8252.0,Whey
221,2021-04-26,8252.0,Whey
222,2021-04-27,8252.0,Whey
223,2021-04-28,7561.0,Whey
224,2021-04-29,7561.0,Whey
225,2021-04-30,8348.0,Whey
226,2021-05-01,8348.0,Whey
227,2021-05-02,8348.0,Whey
228,2021-05-03,9495.0,Whey
229,2021-05-04,9495.0,Whey
230,2021-05-05,9495.0,Whey
231,2021-05-06,7617.0,Whey
232,2021-05-07,8507.0,Whey
233,2021-05-08,8507.0,Whey
234,2021-05-09,8507.0,Whey
235,2021-05-10,8507.0,Whey
236,2021-05-11,8507.0,Whey
237,2021-05-12,8507.0,Whey
238,2021-05-13,8488.0,Whey
239,2021-05-14,8488.0,Whey
240,2021-05-15,8853.0,Whey
241,2021-05-16,8853.0,Whey
242,2021-05-17,8853.0,Whey
243,2021-05-18,8853.0,Whey
244,2021-05-19,9100.0,Whey
245,2021-05-20,10169.0,Whey
246,2021-05-21,10527.0,Whey
247,2021-05-22,10527.0,Whey
248,2021-05-23,10527.0,Whey
249,2021-05-24,12079.0,Whey
250,2021-05-25,12079.0,Whey
251,2021-05-26,13185.0,Whey
252,2021-05-27,13185.0,Whey
253,2021-05-28,19244.0,Whey
254,2021-05-29,19244.0,Whey
255,2021-05-30,19244.0,Whey
256,2021-05-31,15261.0,Whey
257,2021-06-01,15261.0,Whey
258,2021-06-02,10145.0,Whey
259,2021-06-03,10145.0,Whey
260,2021-06-04,9327.0,Whey
261,2021-06-05,9327.0,Whey
262,2021-06-06,11056.0,Whey
263,2021-06-07,11056.0,Whey
264,2021-06-08,11056.0,Whey
265,2021-06-09,8483.0,Whey
266,2021-06-10,8483.0,Whey
267,2021-06-11,8233.0,Whey
268,2021-06-12,9001.0,Whey
269,2021-06-13,9001.0,Whey
270,2021-06-14,9001.0,Whey
271,2021-06-15,8761.0,Whey
272,2021-06-16,8761.0,Whey
273,2021-06-17,7852.0,Whey
274,2021-06-18,9578.0,Whey
275,2021-06-19,9578.0,Whey
276,2021-06-20,9578.0,Whey
277,2021-06-21,8418.0,Whey
278,2021-06-22,10433.0,Whey
279,2021-06-23,10433.0,Whey
280,2021-06-24,10433.0,Whey
281,2021-06-25,10314.0,Whey
282,2021-06-26,10314.0,Whey
283,2021-06-27,10314.0,Whey
284,2021-06-28,10868.0,Whey
285,2021-06-29,10868.0,Whey
286,2021-06-30,8906.0,Whey
287,2021-07-01,8906.0,Whey
288,2021-07-02,8906.0,Whey
289,2021-07-03,10064.0,Whey
290,2021-07-04,10064.0,Whey
291,2021-07-05,10649.0,Whey
292,2021-07-06,10649.0,Whey
293,2021-07-07,10649.0,Whey
294,2021-07-08,8017.0,Whey
295,2021-07-09,8017.0,Whey
296,2021-07-10,8155.0,Whey
