,date,value,name_B07X6SX3NQ
145,2020-01-28,22624.0,Toasters
146,2020-01-29,22624.0,Toasters
147,2020-01-30,22624.0,Toasters
148,2020-01-31,22624.0,Toasters
149,2020-02-01,22624.0,Toasters
150,2020-02-02,26950.0,Toasters
151,2020-02-03,26950.0,Toasters
152,2020-02-04,38711.0,Toasters
153,2020-02-05,38711.0,Toasters
154,2020-02-06,38711.0,Toasters
155,2020-02-07,38711.0,Toasters
156,2020-02-08,17608.0,Toasters
157,2020-02-09,17608.0,Toasters
158,2020-02-10,17608.0,Toasters
159,2020-02-11,17608.0,Toasters
160,2020-02-12,17608.0,Toasters
161,2020-02-13,17608.0,Toasters
162,2020-02-14,44089.0,Toasters
163,2020-02-15,44089.0,Toasters
164,2020-02-16,44089.0,Toasters
165,2020-02-17,44089.0,Toasters
166,2020-02-18,44089.0,Toasters
167,2020-02-19,44089.0,Toasters
168,2020-02-20,25139.0,Toasters
169,2020-02-21,25139.0,Toasters
170,2020-02-22,25139.0,Toasters
171,2020-02-23,25139.0,Toasters
172,2020-02-24,25139.0,Toasters
173,2020-02-25,25139.0,Toasters
174,2020-02-26,28103.0,Toasters
175,2020-02-27,28103.0,Toasters
176,2020-02-28,28103.0,Toasters
177,2020-02-29,19432.0,Toasters
178,2020-03-01,20871.0,Toasters
179,2020-03-02,20871.0,Toasters
180,2020-03-03,20871.0,Toasters
181,2020-03-04,20871.0,Toasters
182,2020-03-05,20871.0,Toasters
183,2020-03-06,20871.0,Toasters
184,2020-03-07,20871.0,Toasters
185,2020-03-08,20871.0,Toasters
186,2020-03-09,20871.0,Toasters
187,2020-03-10,-1.0,Toasters
