,date,value,name_B07Q358Y39
215,2020-01-01,21553.0,Table Skirts
216,2020-01-02,21771.0,Table Skirts
217,2020-01-03,19611.0,Table Skirts
218,2020-01-04,24209.0,Table Skirts
219,2020-01-05,24209.0,Table Skirts
220,2020-01-06,18671.0,Table Skirts
221,2020-01-07,20887.0,Table Skirts
222,2020-01-08,21072.0,Table Skirts
223,2020-01-09,21072.0,Table Skirts
224,2020-01-10,13273.0,Table Skirts
225,2020-01-11,15635.0,Table Skirts
226,2020-01-12,15635.0,Table Skirts
227,2020-01-13,15635.0,Table Skirts
228,2020-01-14,15860.0,Table Skirts
229,2020-01-15,14534.0,Table Skirts
230,2020-01-16,13107.0,Table Skirts
231,2020-01-17,15857.0,Table Skirts
232,2020-01-18,17297.0,Table Skirts
233,2020-01-19,19750.0,Table Skirts
234,2020-01-20,19750.0,Table Skirts
235,2020-01-21,19750.0,Table Skirts
236,2020-01-22,19750.0,Table Skirts
237,2020-01-23,12503.0,Table Skirts
238,2020-01-24,10616.0,Table Skirts
239,2020-01-25,10616.0,Table Skirts
240,2020-01-26,10616.0,Table Skirts
241,2020-01-27,10616.0,Table Skirts
242,2020-01-28,10616.0,Table Skirts
243,2020-01-29,10616.0,Table Skirts
244,2020-01-30,10616.0,Table Skirts
245,2020-01-31,17200.0,Table Skirts
246,2020-02-01,17200.0,Table Skirts
247,2020-02-02,17200.0,Table Skirts
248,2020-02-03,17200.0,Table Skirts
249,2020-02-04,17200.0,Table Skirts
250,2020-02-05,19109.0,Table Skirts
251,2020-02-06,13997.0,Table Skirts
252,2020-02-07,13997.0,Table Skirts
253,2020-02-08,13997.0,Table Skirts
254,2020-02-09,9007.0,Table Skirts
255,2020-02-10,9007.0,Table Skirts
256,2020-02-11,10997.0,Table Skirts
257,2020-02-12,10997.0,Table Skirts
258,2020-02-13,10997.0,Table Skirts
259,2020-02-14,10997.0,Table Skirts
260,2020-02-15,10997.0,Table Skirts
261,2020-02-16,12008.0,Table Skirts
