,date,value,name_B07X1R67TH
61,2019-10-29,208.0,Novelty & Gag Toys
62,2019-10-30,212.0,Novelty & Gag Toys
63,2019-10-31,498.0,Novelty & Gag Toys
64,2019-11-01,1283.0,Novelty & Gag Toys
65,2019-11-02,2165.0,Novelty & Gag Toys
66,2019-11-03,2959.0,Novelty & Gag Toys
67,2019-11-04,3828.0,Novelty & Gag Toys
68,2019-11-05,3835.0,Novelty & Gag Toys
69,2019-11-06,3725.0,Novelty & Gag Toys
70,2019-11-07,3355.0,Novelty & Gag Toys
71,2019-11-08,3702.0,Novelty & Gag Toys
72,2019-11-09,3702.0,Novelty & Gag Toys
73,2019-11-10,3702.0,Novelty & Gag Toys
74,2019-11-11,4196.0,Novelty & Gag Toys
75,2019-11-12,5576.0,Novelty & Gag Toys
76,2019-11-13,5065.0,Novelty & Gag Toys
77,2019-11-14,5065.0,Novelty & Gag Toys
78,2019-11-15,5092.0,Novelty & Gag Toys
79,2019-11-16,6393.0,Novelty & Gag Toys
80,2019-11-17,6393.0,Novelty & Gag Toys
81,2019-11-18,6337.0,Novelty & Gag Toys
82,2019-11-19,6475.0,Novelty & Gag Toys
83,2019-11-20,6904.0,Novelty & Gag Toys
84,2019-11-21,5252.0,Novelty & Gag Toys
85,2019-11-22,7471.0,Novelty & Gag Toys
86,2019-11-23,8806.0,Novelty & Gag Toys
87,2019-11-24,10014.0,Novelty & Gag Toys
88,2019-11-25,10014.0,Novelty & Gag Toys
89,2019-11-26,11068.0,Novelty & Gag Toys
90,2019-11-27,10750.0,Novelty & Gag Toys
91,2019-11-28,12116.0,Novelty & Gag Toys
92,2019-11-29,12965.0,Novelty & Gag Toys
93,2019-11-30,20279.0,Novelty & Gag Toys
94,2019-12-01,20279.0,Novelty & Gag Toys
95,2019-12-02,13370.0,Novelty & Gag Toys
96,2019-12-03,17565.0,Novelty & Gag Toys
97,2019-12-04,17565.0,Novelty & Gag Toys
98,2019-12-05,17565.0,Novelty & Gag Toys
99,2019-12-06,13247.0,Novelty & Gag Toys
100,2019-12-07,11837.0,Novelty & Gag Toys
101,2019-12-08,16257.0,Novelty & Gag Toys
102,2019-12-09,17993.0,Novelty & Gag Toys
103,2019-12-10,16510.0,Novelty & Gag Toys
104,2019-12-11,11788.0,Novelty & Gag Toys
105,2019-12-12,12920.0,Novelty & Gag Toys
106,2019-12-13,12920.0,Novelty & Gag Toys
107,2019-12-14,16897.0,Novelty & Gag Toys
108,2019-12-15,16897.0,Novelty & Gag Toys
109,2019-12-16,16897.0,Novelty & Gag Toys
110,2019-12-17,16897.0,Novelty & Gag Toys
111,2019-12-18,24097.0,Novelty & Gag Toys
112,2019-12-19,22502.0,Novelty & Gag Toys
113,2019-12-20,22093.0,Novelty & Gag Toys
114,2019-12-21,22093.0,Novelty & Gag Toys
115,2019-12-22,22093.0,Novelty & Gag Toys
116,2019-12-23,22093.0,Novelty & Gag Toys
117,2019-12-24,21576.0,Novelty & Gag Toys
118,2019-12-25,10353.0,Novelty & Gag Toys
119,2019-12-26,11912.0,Novelty & Gag Toys
120,2019-12-27,11912.0,Novelty & Gag Toys
121,2019-12-28,11912.0,Novelty & Gag Toys
122,2019-12-29,11912.0,Novelty & Gag Toys
123,2019-12-30,4168.0,Novelty & Gag Toys
124,2019-12-31,5961.0,Novelty & Gag Toys
125,2020-01-01,5961.0,Novelty & Gag Toys
126,2020-01-02,4622.0,Novelty & Gag Toys
127,2020-01-03,4619.0,Novelty & Gag Toys
128,2020-01-04,4619.0,Novelty & Gag Toys
129,2020-01-05,4619.0,Novelty & Gag Toys
130,2020-01-06,5174.0,Novelty & Gag Toys
131,2020-01-07,3145.0,Novelty & Gag Toys
132,2020-01-08,3145.0,Novelty & Gag Toys
133,2020-01-09,2806.0,Novelty & Gag Toys
134,2020-01-10,3210.0,Novelty & Gag Toys
135,2020-01-11,3120.0,Novelty & Gag Toys
136,2020-01-12,3409.0,Novelty & Gag Toys
137,2020-01-13,3409.0,Novelty & Gag Toys
138,2020-01-14,2937.0,Novelty & Gag Toys
139,2020-01-15,2492.0,Novelty & Gag Toys
140,2020-01-16,2492.0,Novelty & Gag Toys
141,2020-01-17,2751.0,Novelty & Gag Toys
142,2020-01-18,2751.0,Novelty & Gag Toys
143,2020-01-19,2751.0,Novelty & Gag Toys
144,2020-01-20,2751.0,Novelty & Gag Toys
145,2020-01-21,3470.0,Novelty & Gag Toys
146,2020-01-22,3470.0,Novelty & Gag Toys
147,2020-01-23,1936.0,Novelty & Gag Toys
148,2020-01-24,1936.0,Novelty & Gag Toys
149,2020-01-25,2742.0,Novelty & Gag Toys
150,2020-01-26,2740.0,Novelty & Gag Toys
151,2020-01-27,2740.0,Novelty & Gag Toys
152,2020-01-28,2740.0,Novelty & Gag Toys
153,2020-01-29,2740.0,Novelty & Gag Toys
154,2020-01-30,2031.0,Novelty & Gag Toys
155,2020-01-31,2031.0,Novelty & Gag Toys
156,2020-02-01,2031.0,Novelty & Gag Toys
157,2020-02-02,3486.0,Novelty & Gag Toys
158,2020-02-03,3480.0,Novelty & Gag Toys
159,2020-02-04,2548.0,Novelty & Gag Toys
160,2020-02-05,2447.0,Novelty & Gag Toys
161,2020-02-06,2069.0,Novelty & Gag Toys
162,2020-02-07,2069.0,Novelty & Gag Toys
163,2020-02-08,2069.0,Novelty & Gag Toys
164,2020-02-09,3895.0,Novelty & Gag Toys
165,2020-02-10,4020.0,Novelty & Gag Toys
166,2020-02-11,2934.0,Novelty & Gag Toys
167,2020-02-12,2934.0,Novelty & Gag Toys
168,2020-02-13,2095.0,Novelty & Gag Toys
169,2020-02-14,2095.0,Novelty & Gag Toys
170,2020-02-15,2095.0,Novelty & Gag Toys
171,2020-02-16,2095.0,Novelty & Gag Toys
172,2020-02-17,2130.0,Novelty & Gag Toys
173,2020-02-18,2130.0,Novelty & Gag Toys
174,2020-02-19,2130.0,Novelty & Gag Toys
175,2020-02-20,1349.0,Novelty & Gag Toys
176,2020-02-21,242.0,Novelty & Gag Toys
177,2020-02-22,242.0,Novelty & Gag Toys
178,2020-02-23,397.0,Novelty & Gag Toys
179,2020-02-24,397.0,Novelty & Gag Toys
180,2020-02-25,308.0,Novelty & Gag Toys
181,2020-02-26,1274.0,Novelty & Gag Toys
182,2020-02-27,1467.0,Novelty & Gag Toys
183,2020-02-28,1467.0,Novelty & Gag Toys
184,2020-02-29,1745.0,Novelty & Gag Toys
185,2020-03-01,1745.0,Novelty & Gag Toys
186,2020-03-02,2552.0,Novelty & Gag Toys
187,2020-03-03,1968.0,Novelty & Gag Toys
188,2020-03-04,1664.0,Novelty & Gag Toys
189,2020-03-05,1664.0,Novelty & Gag Toys
190,2020-03-06,1664.0,Novelty & Gag Toys
191,2020-03-07,1810.0,Novelty & Gag Toys
192,2020-03-08,1810.0,Novelty & Gag Toys
193,2020-03-09,-1.0,Novelty & Gag Toys
