,date,value,name_B08W9S699J
101,2021-05-25,6884.0,Electric Space Heaters
102,2021-05-26,6884.0,Electric Space Heaters
103,2021-05-27,7120.0,Electric Space Heaters
104,2021-05-28,7120.0,Electric Space Heaters
105,2021-05-29,7120.0,Electric Space Heaters
106,2021-05-30,5858.0,Electric Space Heaters
107,2021-05-31,7312.0,Electric Space Heaters
108,2021-06-01,7312.0,Electric Space Heaters
109,2021-06-02,7754.0,Electric Space Heaters
110,2021-06-03,7754.0,Electric Space Heaters
111,2021-06-04,8113.0,Electric Space Heaters
112,2021-06-05,8113.0,Electric Space Heaters
113,2021-06-06,8113.0,Electric Space Heaters
114,2021-06-07,13266.0,Electric Space Heaters
115,2021-06-08,12807.0,Electric Space Heaters
116,2021-06-09,12807.0,Electric Space Heaters
117,2021-06-10,13329.0,Electric Space Heaters
118,2021-06-11,13329.0,Electric Space Heaters
119,2021-06-12,13435.0,Electric Space Heaters
120,2021-06-13,13435.0,Electric Space Heaters
121,2021-06-14,13435.0,Electric Space Heaters
122,2021-06-15,16560.0,Electric Space Heaters
123,2021-06-16,16560.0,Electric Space Heaters
124,2021-06-17,13095.0,Electric Space Heaters
125,2021-06-18,13095.0,Electric Space Heaters
126,2021-06-19,13095.0,Electric Space Heaters
127,2021-06-20,20675.0,Electric Space Heaters
128,2021-06-21,20675.0,Electric Space Heaters
129,2021-06-22,20909.0,Electric Space Heaters
130,2021-06-23,20909.0,Electric Space Heaters
131,2021-06-24,20386.0,Electric Space Heaters
132,2021-06-25,20386.0,Electric Space Heaters
133,2021-06-26,18428.0,Electric Space Heaters
134,2021-06-27,18428.0,Electric Space Heaters
135,2021-06-28,18428.0,Electric Space Heaters
136,2021-06-29,19960.0,Electric Space Heaters
137,2021-06-30,15769.0,Electric Space Heaters
138,2021-07-01,15769.0,Electric Space Heaters
139,2021-07-02,21663.0,Electric Space Heaters
140,2021-07-03,21663.0,Electric Space Heaters
141,2021-07-04,20245.0,Electric Space Heaters
142,2021-07-05,20245.0,Electric Space Heaters
143,2021-07-06,29115.0,Electric Space Heaters
144,2021-07-07,29115.0,Electric Space Heaters
145,2021-07-08,15070.0,Electric Space Heaters
146,2021-07-09,16611.0,Electric Space Heaters
147,2021-07-10,20221.0,Electric Space Heaters
