,date,value,name_B08NW9437Z
167,2021-05-11,26344.0,Open Storage Bins
168,2021-05-12,30963.0,Open Storage Bins
169,2021-05-13,25096.0,Open Storage Bins
170,2021-05-14,25096.0,Open Storage Bins
171,2021-05-15,25096.0,Open Storage Bins
172,2021-05-16,23675.0,Open Storage Bins
173,2021-05-17,26688.0,Open Storage Bins
174,2021-05-18,26688.0,Open Storage Bins
175,2021-05-19,24802.0,Open Storage Bins
176,2021-05-20,26740.0,Open Storage Bins
177,2021-05-21,26740.0,Open Storage Bins
178,2021-05-22,22229.0,Open Storage Bins
179,2021-05-23,22229.0,Open Storage Bins
180,2021-05-24,19193.0,Open Storage Bins
181,2021-05-25,19193.0,Open Storage Bins
182,2021-05-26,10236.0,Open Storage Bins
183,2021-05-27,10236.0,Open Storage Bins
184,2021-05-28,7200.0,Open Storage Bins
185,2021-05-29,7410.0,Open Storage Bins
186,2021-05-30,7410.0,Open Storage Bins
187,2021-05-31,5423.0,Open Storage Bins
188,2021-06-01,9569.0,Open Storage Bins
189,2021-06-02,12617.0,Open Storage Bins
190,2021-06-03,11739.0,Open Storage Bins
191,2021-06-04,11739.0,Open Storage Bins
192,2021-06-05,11739.0,Open Storage Bins
193,2021-06-06,11739.0,Open Storage Bins
194,2021-06-07,14689.0,Open Storage Bins
195,2021-06-08,15402.0,Open Storage Bins
196,2021-06-09,16876.0,Open Storage Bins
197,2021-06-10,18290.0,Open Storage Bins
198,2021-06-11,17480.0,Open Storage Bins
199,2021-06-12,17480.0,Open Storage Bins
200,2021-06-13,21419.0,Open Storage Bins
201,2021-06-14,22985.0,Open Storage Bins
202,2021-06-15,22985.0,Open Storage Bins
203,2021-06-16,22985.0,Open Storage Bins
204,2021-06-17,23332.0,Open Storage Bins
205,2021-06-18,23332.0,Open Storage Bins
206,2021-06-19,23332.0,Open Storage Bins
207,2021-06-20,23332.0,Open Storage Bins
208,2021-06-21,36844.0,Open Storage Bins
209,2021-06-22,5910.0,Open Storage Bins
210,2021-06-23,7963.0,Open Storage Bins
211,2021-06-24,7963.0,Open Storage Bins
212,2021-06-25,7963.0,Open Storage Bins
213,2021-06-26,7963.0,Open Storage Bins
214,2021-06-27,7963.0,Open Storage Bins
215,2021-06-28,21212.0,Open Storage Bins
216,2021-06-29,31586.0,Open Storage Bins
217,2021-06-30,24511.0,Open Storage Bins
218,2021-07-01,22199.0,Open Storage Bins
219,2021-07-02,22199.0,Open Storage Bins
220,2021-07-03,22199.0,Open Storage Bins
221,2021-07-04,22199.0,Open Storage Bins
222,2021-07-05,21641.0,Open Storage Bins
223,2021-07-06,12611.0,Open Storage Bins
224,2021-07-07,10484.0,Open Storage Bins
225,2021-07-08,9098.0,Open Storage Bins
226,2021-07-09,9098.0,Open Storage Bins
227,2021-07-10,849460.0,Open Storage Bins
