,date,value,name_B08L6BY1G3
53,2021-01-18,113317.0,Party Packs
54,2021-01-19,111907.0,Party Packs
55,2021-01-20,56425.0,Party Packs
56,2021-01-21,81743.0,Party Packs
57,2021-01-22,105517.0,Party Packs
58,2021-01-23,55863.0,Party Packs
59,2021-01-24,55863.0,Party Packs
60,2021-01-25,67053.0,Party Packs
61,2021-01-26,76817.0,Party Packs
62,2021-01-27,86645.0,Party Packs
63,2021-01-28,115968.0,Party Packs
64,2021-01-29,80789.0,Party Packs
65,2021-01-30,80789.0,Party Packs
66,2021-01-31,191170.0,Party Packs
67,2021-02-01,215324.0,Party Packs
68,2021-02-02,124421.0,Party Packs
69,2021-02-03,75318.0,Party Packs
70,2021-02-04,56476.0,Party Packs
71,2021-02-05,70513.0,Party Packs
72,2021-02-06,59046.0,Party Packs
73,2021-02-07,74842.0,Party Packs
74,2021-02-08,130423.0,Party Packs
75,2021-02-09,130423.0,Party Packs
76,2021-02-10,76614.0,Party Packs
77,2021-02-11,53266.0,Party Packs
78,2021-02-12,83376.0,Party Packs
79,2021-02-13,109162.0,Party Packs
80,2021-02-14,109162.0,Party Packs
81,2021-02-15,178943.0,Party Packs
82,2021-02-16,79158.0,Party Packs
83,2021-02-17,81220.0,Party Packs
84,2021-02-18,70329.0,Party Packs
85,2021-02-19,86659.0,Party Packs
86,2021-02-20,86659.0,Party Packs
87,2021-02-21,52659.0,Party Packs
88,2021-02-22,41257.0,Party Packs
89,2021-02-23,44867.0,Party Packs
90,2021-02-24,40525.0,Party Packs
91,2021-02-25,48833.0,Party Packs
92,2021-02-26,34055.0,Party Packs
93,2021-02-27,51592.0,Party Packs
94,2021-02-28,60437.0,Party Packs
95,2021-03-01,64854.0,Party Packs
96,2021-03-02,51458.0,Party Packs
97,2021-03-03,55127.0,Party Packs
98,2021-03-04,55127.0,Party Packs
99,2021-03-05,52464.0,Party Packs
100,2021-03-06,68737.0,Party Packs
101,2021-03-07,68737.0,Party Packs
102,2021-03-08,68737.0,Party Packs
103,2021-03-09,68737.0,Party Packs
104,2021-03-10,64580.0,Party Packs
105,2021-03-11,59237.0,Party Packs
106,2021-03-12,44211.0,Party Packs
107,2021-03-13,85381.0,Party Packs
108,2021-03-14,78464.0,Party Packs
109,2021-03-15,124319.0,Party Packs
110,2021-03-16,100805.0,Party Packs
111,2021-03-17,75900.0,Party Packs
112,2021-03-18,75900.0,Party Packs
113,2021-03-19,98404.0,Party Packs
114,2021-03-20,98404.0,Party Packs
115,2021-03-21,55871.0,Party Packs
116,2021-03-22,51052.0,Party Packs
117,2021-03-23,34887.0,Party Packs
118,2021-03-24,63817.0,Party Packs
119,2021-03-25,75830.0,Party Packs
120,2021-03-26,57447.0,Party Packs
121,2021-03-27,37000.0,Party Packs
122,2021-03-28,63426.0,Party Packs
123,2021-03-29,45987.0,Party Packs
124,2021-03-30,36941.0,Party Packs
125,2021-03-31,46392.0,Party Packs
126,2021-04-01,60895.0,Party Packs
127,2021-04-02,51169.0,Party Packs
128,2021-04-03,70737.0,Party Packs
129,2021-04-04,43102.0,Party Packs
130,2021-04-05,46003.0,Party Packs
131,2021-04-06,25773.0,Party Packs
132,2021-04-07,28474.0,Party Packs
133,2021-04-08,29733.0,Party Packs
134,2021-04-09,32971.0,Party Packs
135,2021-04-10,27958.0,Party Packs
136,2021-04-11,24495.0,Party Packs
137,2021-04-12,28618.0,Party Packs
138,2021-04-13,21888.0,Party Packs
139,2021-04-14,22766.0,Party Packs
140,2021-04-15,15102.0,Party Packs
141,2021-04-16,21492.0,Party Packs
142,2021-04-17,36076.0,Party Packs
143,2021-04-18,29960.0,Party Packs
144,2021-04-19,33329.0,Party Packs
145,2021-04-20,22952.0,Party Packs
146,2021-04-21,19244.0,Party Packs
147,2021-04-22,22282.0,Party Packs
148,2021-04-23,21786.0,Party Packs
149,2021-04-24,27235.0,Party Packs
150,2021-04-25,22512.0,Party Packs
151,2021-04-26,21202.0,Party Packs
152,2021-04-27,15632.0,Party Packs
153,2021-04-28,17213.0,Party Packs
154,2021-04-29,14591.0,Party Packs
155,2021-04-30,13716.0,Party Packs
156,2021-05-01,16519.0,Party Packs
157,2021-05-02,17600.0,Party Packs
158,2021-05-03,15050.0,Party Packs
159,2021-05-04,21486.0,Party Packs
160,2021-05-05,19548.0,Party Packs
161,2021-05-06,23940.0,Party Packs
162,2021-05-07,26632.0,Party Packs
163,2021-05-08,24128.0,Party Packs
164,2021-05-09,14861.0,Party Packs
165,2021-05-10,20445.0,Party Packs
166,2021-05-11,19104.0,Party Packs
167,2021-05-12,11630.0,Party Packs
168,2021-05-13,12951.0,Party Packs
169,2021-05-14,14099.0,Party Packs
170,2021-05-15,15563.0,Party Packs
171,2021-05-16,11187.0,Party Packs
172,2021-05-17,12538.0,Party Packs
173,2021-05-18,10192.0,Party Packs
174,2021-05-19,10484.0,Party Packs
175,2021-05-20,12755.0,Party Packs
176,2021-05-21,-1.0,Party Packs
