,date,value,name_B07BSHS3GN
255,2019-03-22,1067.0,Vertical & Wall Planters
256,2019-03-23,1388.0,Vertical & Wall Planters
257,2019-03-24,1801.0,Vertical & Wall Planters
258,2019-03-25,1889.0,Vertical & Wall Planters
259,2019-03-26,1889.0,Vertical & Wall Planters
260,2019-03-27,1699.0,Vertical & Wall Planters
261,2019-03-28,2726.0,Vertical & Wall Planters
262,2019-03-29,2587.0,Vertical & Wall Planters
263,2019-03-30,3009.0,Vertical & Wall Planters
264,2019-03-31,1898.0,Vertical & Wall Planters
265,2019-04-01,2831.0,Vertical & Wall Planters
266,2019-04-02,3340.0,Vertical & Wall Planters
267,2019-04-03,3340.0,Vertical & Wall Planters
268,2019-04-04,2713.0,Vertical & Wall Planters
269,2019-04-05,3503.0,Vertical & Wall Planters
270,2019-04-06,3503.0,Vertical & Wall Planters
271,2019-04-07,3503.0,Vertical & Wall Planters
272,2019-04-08,3503.0,Vertical & Wall Planters
273,2019-04-09,4686.0,Vertical & Wall Planters
274,2019-04-10,4686.0,Vertical & Wall Planters
275,2019-04-11,7576.0,Vertical & Wall Planters
276,2019-04-12,7576.0,Vertical & Wall Planters
277,2019-04-13,8798.0,Vertical & Wall Planters
278,2019-04-14,15429.0,Vertical & Wall Planters
279,2019-04-15,15429.0,Vertical & Wall Planters
280,2019-04-16,15429.0,Vertical & Wall Planters
281,2019-04-17,15429.0,Vertical & Wall Planters
282,2019-04-18,25590.0,Vertical & Wall Planters
283,2019-04-19,20068.0,Vertical & Wall Planters
284,2019-04-20,20068.0,Vertical & Wall Planters
285,2019-04-21,44793.0,Vertical & Wall Planters
286,2019-04-22,44793.0,Vertical & Wall Planters
287,2019-04-23,44793.0,Vertical & Wall Planters
288,2019-04-24,44793.0,Vertical & Wall Planters
289,2019-04-25,8997.0,Vertical & Wall Planters
290,2019-04-26,5516.0,Vertical & Wall Planters
291,2019-04-27,3762.0,Vertical & Wall Planters
292,2019-04-28,2748.0,Vertical & Wall Planters
293,2019-04-29,2418.0,Vertical & Wall Planters
294,2019-04-30,2252.0,Vertical & Wall Planters
295,2019-05-01,2596.0,Vertical & Wall Planters
296,2019-05-02,3918.0,Vertical & Wall Planters
297,2019-05-03,3982.0,Vertical & Wall Planters
298,2019-05-04,4996.0,Vertical & Wall Planters
299,2019-05-05,5157.0,Vertical & Wall Planters
300,2019-05-06,5157.0,Vertical & Wall Planters
301,2019-05-07,7685.0,Vertical & Wall Planters
302,2019-05-08,4578.0,Vertical & Wall Planters
303,2019-05-09,4072.0,Vertical & Wall Planters
304,2019-05-10,5089.0,Vertical & Wall Planters
305,2019-05-11,5542.0,Vertical & Wall Planters
306,2019-05-12,4934.0,Vertical & Wall Planters
