,date,value,name_B08SH51QCX
61,2021-03-14,358225.0,Coat Hooks
62,2021-03-15,358225.0,Coat Hooks
63,2021-03-16,358225.0,Coat Hooks
64,2021-03-17,311238.0,Coat Hooks
65,2021-03-18,311238.0,Coat Hooks
66,2021-03-19,630700.0,Coat Hooks
67,2021-03-20,630700.0,Coat Hooks
68,2021-03-21,630700.0,Coat Hooks
69,2021-03-22,630700.0,Coat Hooks
70,2021-03-23,764048.0,Coat Hooks
71,2021-03-24,764048.0,Coat Hooks
72,2021-03-25,764048.0,Coat Hooks
73,2021-03-26,764048.0,Coat Hooks
74,2021-03-27,764048.0,Coat Hooks
75,2021-03-28,764048.0,Coat Hooks
76,2021-03-29,715743.0,Coat Hooks
77,2021-03-30,715743.0,Coat Hooks
78,2021-03-31,753465.0,Coat Hooks
79,2021-04-01,753465.0,Coat Hooks
80,2021-04-02,796818.0,Coat Hooks
81,2021-04-03,796818.0,Coat Hooks
82,2021-04-04,796818.0,Coat Hooks
83,2021-04-05,797946.0,Coat Hooks
84,2021-04-06,818609.0,Coat Hooks
85,2021-04-07,818609.0,Coat Hooks
86,2021-04-08,818609.0,Coat Hooks
87,2021-04-09,813911.0,Coat Hooks
88,2021-04-10,516819.0,Coat Hooks
89,2021-04-11,76646.0,Coat Hooks
90,2021-04-12,39581.0,Coat Hooks
91,2021-04-13,40906.0,Coat Hooks
92,2021-04-14,40906.0,Coat Hooks
93,2021-04-15,40906.0,Coat Hooks
94,2021-04-16,28800.0,Coat Hooks
95,2021-04-17,28800.0,Coat Hooks
96,2021-04-18,28800.0,Coat Hooks
97,2021-04-19,28800.0,Coat Hooks
98,2021-04-20,28800.0,Coat Hooks
99,2021-04-21,19707.0,Coat Hooks
100,2021-04-22,23400.0,Coat Hooks
101,2021-04-23,23400.0,Coat Hooks
102,2021-04-24,23400.0,Coat Hooks
103,2021-04-25,28139.0,Coat Hooks
104,2021-04-26,19005.0,Coat Hooks
105,2021-04-27,19005.0,Coat Hooks
106,2021-04-28,19005.0,Coat Hooks
107,2021-04-29,22203.0,Coat Hooks
108,2021-04-30,24054.0,Coat Hooks
109,2021-05-01,24054.0,Coat Hooks
110,2021-05-02,24054.0,Coat Hooks
111,2021-05-03,16976.0,Coat Hooks
112,2021-05-04,16976.0,Coat Hooks
113,2021-05-05,16976.0,Coat Hooks
114,2021-05-06,21937.0,Coat Hooks
115,2021-05-07,22661.0,Coat Hooks
116,2021-05-08,22661.0,Coat Hooks
117,2021-05-09,22661.0,Coat Hooks
118,2021-05-10,27340.0,Coat Hooks
119,2021-05-11,27340.0,Coat Hooks
120,2021-05-12,27340.0,Coat Hooks
121,2021-05-13,20128.0,Coat Hooks
122,2021-05-14,20128.0,Coat Hooks
123,2021-05-15,29925.0,Coat Hooks
124,2021-05-16,29925.0,Coat Hooks
125,2021-05-17,29925.0,Coat Hooks
126,2021-05-18,19257.0,Coat Hooks
127,2021-05-19,18597.0,Coat Hooks
128,2021-05-20,18597.0,Coat Hooks
129,2021-05-21,18597.0,Coat Hooks
130,2021-05-22,18597.0,Coat Hooks
131,2021-05-23,21104.0,Coat Hooks
132,2021-05-24,21088.0,Coat Hooks
133,2021-05-25,25203.0,Coat Hooks
134,2021-05-26,25203.0,Coat Hooks
135,2021-05-27,25203.0,Coat Hooks
136,2021-05-28,25203.0,Coat Hooks
137,2021-05-29,25203.0,Coat Hooks
138,2021-05-30,25203.0,Coat Hooks
139,2021-05-31,28764.0,Coat Hooks
140,2021-06-01,21327.0,Coat Hooks
141,2021-06-02,21327.0,Coat Hooks
142,2021-06-03,21899.0,Coat Hooks
143,2021-06-04,21899.0,Coat Hooks
144,2021-06-05,21899.0,Coat Hooks
145,2021-06-06,24899.0,Coat Hooks
146,2021-06-07,24899.0,Coat Hooks
147,2021-06-08,27076.0,Coat Hooks
148,2021-06-09,28030.0,Coat Hooks
149,2021-06-10,30431.0,Coat Hooks
150,2021-06-11,30431.0,Coat Hooks
151,2021-06-12,30431.0,Coat Hooks
152,2021-06-13,30431.0,Coat Hooks
153,2021-06-14,30431.0,Coat Hooks
154,2021-06-15,22991.0,Coat Hooks
155,2021-06-16,22991.0,Coat Hooks
156,2021-06-17,29638.0,Coat Hooks
157,2021-06-18,29941.0,Coat Hooks
158,2021-06-19,33169.0,Coat Hooks
159,2021-06-20,33169.0,Coat Hooks
160,2021-06-21,33169.0,Coat Hooks
161,2021-06-22,38430.0,Coat Hooks
162,2021-06-23,38430.0,Coat Hooks
163,2021-06-24,36668.0,Coat Hooks
164,2021-06-25,36668.0,Coat Hooks
165,2021-06-26,36668.0,Coat Hooks
166,2021-06-27,36668.0,Coat Hooks
167,2021-06-28,58538.0,Coat Hooks
168,2021-06-29,58538.0,Coat Hooks
169,2021-06-30,70794.0,Coat Hooks
170,2021-07-01,70794.0,Coat Hooks
171,2021-07-02,37630.0,Coat Hooks
172,2021-07-03,37630.0,Coat Hooks
173,2021-07-04,37630.0,Coat Hooks
174,2021-07-05,40674.0,Coat Hooks
175,2021-07-06,30497.0,Coat Hooks
176,2021-07-07,35140.0,Coat Hooks
177,2021-07-08,29069.0,Coat Hooks
178,2021-07-09,29069.0,Coat Hooks
179,2021-07-10,24935.0,Coat Hooks
