,date,value,name_B08HHTMB56
209,2021-04-07,2211.0,Garden Netting
210,2021-04-08,2211.0,Garden Netting
211,2021-04-09,1611.0,Garden Netting
212,2021-04-10,1611.0,Garden Netting
213,2021-04-11,1919.0,Garden Netting
214,2021-04-12,1919.0,Garden Netting
215,2021-04-13,2274.0,Garden Netting
216,2021-04-14,2039.0,Garden Netting
217,2021-04-15,2039.0,Garden Netting
218,2021-04-16,2039.0,Garden Netting
219,2021-04-17,2384.0,Garden Netting
220,2021-04-18,2384.0,Garden Netting
221,2021-04-19,2812.0,Garden Netting
222,2021-04-20,2812.0,Garden Netting
223,2021-04-21,2328.0,Garden Netting
224,2021-04-22,2328.0,Garden Netting
225,2021-04-23,2328.0,Garden Netting
226,2021-04-24,3861.0,Garden Netting
227,2021-04-25,3861.0,Garden Netting
228,2021-04-26,4650.0,Garden Netting
229,2021-04-27,4650.0,Garden Netting
230,2021-04-28,4650.0,Garden Netting
231,2021-04-29,2963.0,Garden Netting
232,2021-04-30,2963.0,Garden Netting
233,2021-05-01,3529.0,Garden Netting
234,2021-05-02,3708.0,Garden Netting
235,2021-05-03,3708.0,Garden Netting
236,2021-05-04,2628.0,Garden Netting
237,2021-05-05,2628.0,Garden Netting
238,2021-05-06,1970.0,Garden Netting
239,2021-05-07,1970.0,Garden Netting
240,2021-05-08,1868.0,Garden Netting
241,2021-05-09,1839.0,Garden Netting
242,2021-05-10,1623.0,Garden Netting
243,2021-05-11,1623.0,Garden Netting
244,2021-05-12,1991.0,Garden Netting
245,2021-05-13,1991.0,Garden Netting
246,2021-05-14,1517.0,Garden Netting
247,2021-05-15,1282.0,Garden Netting
248,2021-05-16,1282.0,Garden Netting
249,2021-05-17,1282.0,Garden Netting
250,2021-05-18,1249.0,Garden Netting
251,2021-05-19,1249.0,Garden Netting
252,2021-05-20,1601.0,Garden Netting
253,2021-05-21,1601.0,Garden Netting
254,2021-05-22,1697.0,Garden Netting
255,2021-05-23,1697.0,Garden Netting
256,2021-05-24,1493.0,Garden Netting
257,2021-05-25,1493.0,Garden Netting
258,2021-05-26,1572.0,Garden Netting
259,2021-05-27,1572.0,Garden Netting
260,2021-05-28,1685.0,Garden Netting
261,2021-05-29,2210.0,Garden Netting
262,2021-05-30,2210.0,Garden Netting
263,2021-05-31,2135.0,Garden Netting
264,2021-06-01,2135.0,Garden Netting
265,2021-06-02,1743.0,Garden Netting
266,2021-06-03,1743.0,Garden Netting
267,2021-06-04,1553.0,Garden Netting
268,2021-06-05,1553.0,Garden Netting
269,2021-06-06,2638.0,Garden Netting
270,2021-06-07,2638.0,Garden Netting
271,2021-06-08,1395.0,Garden Netting
272,2021-06-09,1395.0,Garden Netting
273,2021-06-10,1145.0,Garden Netting
274,2021-06-11,1145.0,Garden Netting
275,2021-06-12,1145.0,Garden Netting
276,2021-06-13,2236.0,Garden Netting
277,2021-06-14,2236.0,Garden Netting
278,2021-06-15,2117.0,Garden Netting
279,2021-06-16,2117.0,Garden Netting
280,2021-06-17,2733.0,Garden Netting
281,2021-06-18,2733.0,Garden Netting
282,2021-06-19,2509.0,Garden Netting
283,2021-06-20,2105.0,Garden Netting
284,2021-06-21,2105.0,Garden Netting
285,2021-06-22,2105.0,Garden Netting
286,2021-06-23,2838.0,Garden Netting
287,2021-06-24,2838.0,Garden Netting
288,2021-06-25,2431.0,Garden Netting
289,2021-06-26,2431.0,Garden Netting
290,2021-06-27,2634.0,Garden Netting
291,2021-06-28,2634.0,Garden Netting
292,2021-06-29,2337.0,Garden Netting
293,2021-06-30,2546.0,Garden Netting
294,2021-07-01,2384.0,Garden Netting
295,2021-07-02,2384.0,Garden Netting
296,2021-07-03,2503.0,Garden Netting
297,2021-07-04,2503.0,Garden Netting
298,2021-07-05,3072.0,Garden Netting
299,2021-07-06,2695.0,Garden Netting
300,2021-07-07,2695.0,Garden Netting
301,2021-07-08,2695.0,Garden Netting
302,2021-07-09,2407.0,Garden Netting
303,2021-07-10,2407.0,Garden Netting
304,2021-07-11,2836.0,Garden Netting
