,date,value,name_B086L6GM4L
214,2021-01-24,20422.0,Valances
215,2021-01-25,18646.0,Valances
216,2021-01-26,18646.0,Valances
217,2021-01-27,18646.0,Valances
218,2021-01-28,18646.0,Valances
219,2021-01-29,18646.0,Valances
220,2021-01-30,14865.0,Valances
221,2021-01-31,14865.0,Valances
222,2021-02-01,19052.0,Valances
223,2021-02-02,22711.0,Valances
224,2021-02-03,22711.0,Valances
225,2021-02-04,22711.0,Valances
226,2021-02-05,19026.0,Valances
227,2021-02-06,19026.0,Valances
228,2021-02-07,19026.0,Valances
229,2021-02-08,15061.0,Valances
230,2021-02-09,15061.0,Valances
231,2021-02-10,15061.0,Valances
232,2021-02-11,15061.0,Valances
233,2021-02-12,15061.0,Valances
234,2021-02-13,12913.0,Valances
235,2021-02-14,14386.0,Valances
236,2021-02-15,16005.0,Valances
237,2021-02-16,16005.0,Valances
238,2021-02-17,16005.0,Valances
239,2021-02-18,19390.0,Valances
240,2021-02-19,19390.0,Valances
241,2021-02-20,19901.0,Valances
242,2021-02-21,19901.0,Valances
243,2021-02-22,19901.0,Valances
244,2021-02-23,15801.0,Valances
245,2021-02-24,15801.0,Valances
246,2021-02-25,22614.0,Valances
247,2021-02-26,22614.0,Valances
248,2021-02-27,22614.0,Valances
249,2021-02-28,28193.0,Valances
250,2021-03-01,24226.0,Valances
251,2021-03-02,24226.0,Valances
252,2021-03-03,24226.0,Valances
253,2021-03-04,14128.0,Valances
254,2021-03-05,28657.0,Valances
255,2021-03-06,28657.0,Valances
256,2021-03-07,28657.0,Valances
257,2021-03-08,24954.0,Valances
258,2021-03-09,24954.0,Valances
259,2021-03-10,24655.0,Valances
260,2021-03-11,24655.0,Valances
261,2021-03-12,24655.0,Valances
262,2021-03-13,22559.0,Valances
263,2021-03-14,22559.0,Valances
264,2021-03-15,22559.0,Valances
265,2021-03-16,14687.0,Valances
266,2021-03-17,14687.0,Valances
267,2021-03-18,14687.0,Valances
268,2021-03-19,14687.0,Valances
269,2021-03-20,14687.0,Valances
270,2021-03-21,14687.0,Valances
271,2021-03-22,25427.0,Valances
272,2021-03-23,25427.0,Valances
273,2021-03-24,25427.0,Valances
274,2021-03-25,25427.0,Valances
275,2021-03-26,25427.0,Valances
276,2021-03-27,17588.0,Valances
277,2021-03-28,17588.0,Valances
278,2021-03-29,17588.0,Valances
279,2021-03-30,18847.0,Valances
280,2021-03-31,18847.0,Valances
281,2021-04-01,22586.0,Valances
282,2021-04-02,22586.0,Valances
283,2021-04-03,21601.0,Valances
284,2021-04-04,20382.0,Valances
285,2021-04-05,20382.0,Valances
286,2021-04-06,20382.0,Valances
287,2021-04-07,20382.0,Valances
288,2021-04-08,22171.0,Valances
289,2021-04-09,30957.0,Valances
290,2021-04-10,30957.0,Valances
291,2021-04-11,30957.0,Valances
292,2021-04-12,23062.0,Valances
293,2021-04-13,23062.0,Valances
294,2021-04-14,27139.0,Valances
295,2021-04-15,27139.0,Valances
296,2021-04-16,27139.0,Valances
297,2021-04-17,24916.0,Valances
298,2021-04-18,24916.0,Valances
299,2021-04-19,24916.0,Valances
300,2021-04-20,24916.0,Valances
301,2021-04-21,28495.0,Valances
302,2021-04-22,28495.0,Valances
303,2021-04-23,21517.0,Valances
304,2021-04-24,19138.0,Valances
305,2021-04-25,19138.0,Valances
306,2021-04-26,26516.0,Valances
307,2021-04-27,26343.0,Valances
308,2021-04-28,23191.0,Valances
309,2021-04-29,23191.0,Valances
310,2021-04-30,23191.0,Valances
311,2021-05-01,22653.0,Valances
312,2021-05-02,28235.0,Valances
313,2021-05-03,28235.0,Valances
314,2021-05-04,31107.0,Valances
315,2021-05-05,31107.0,Valances
316,2021-05-06,31107.0,Valances
317,2021-05-07,34320.0,Valances
318,2021-05-08,34320.0,Valances
319,2021-05-09,34320.0,Valances
320,2021-05-10,34409.0,Valances
321,2021-05-11,34409.0,Valances
322,2021-05-12,27195.0,Valances
323,2021-05-13,25062.0,Valances
324,2021-05-14,36447.0,Valances
325,2021-05-15,36447.0,Valances
326,2021-05-16,36447.0,Valances
327,2021-05-17,36447.0,Valances
328,2021-05-18,23102.0,Valances
329,2021-05-19,17603.0,Valances
330,2021-05-20,29217.0,Valances
331,2021-05-21,29217.0,Valances
332,2021-05-22,29217.0,Valances
333,2021-05-23,32932.0,Valances
334,2021-05-24,27800.0,Valances
335,2021-05-25,27800.0,Valances
336,2021-05-26,21832.0,Valances
337,2021-05-27,21832.0,Valances
338,2021-05-28,21832.0,Valances
339,2021-05-29,32936.0,Valances
340,2021-05-30,32936.0,Valances
341,2021-05-31,32936.0,Valances
342,2021-06-01,24269.0,Valances
343,2021-06-02,24269.0,Valances
344,2021-06-03,24269.0,Valances
345,2021-06-04,35915.0,Valances
346,2021-06-05,35915.0,Valances
347,2021-06-06,35915.0,Valances
348,2021-06-07,32676.0,Valances
349,2021-06-08,32676.0,Valances
350,2021-06-09,32676.0,Valances
351,2021-06-10,30917.0,Valances
352,2021-06-11,30917.0,Valances
353,2021-06-12,46846.0,Valances
354,2021-06-13,46846.0,Valances
355,2021-06-14,50167.0,Valances
356,2021-06-15,50167.0,Valances
357,2021-06-16,50167.0,Valances
358,2021-06-17,41891.0,Valances
359,2021-06-18,41891.0,Valances
360,2021-06-19,41891.0,Valances
361,2021-06-20,41891.0,Valances
362,2021-06-21,39891.0,Valances
363,2021-06-22,39891.0,Valances
364,2021-06-23,39891.0,Valances
365,2021-06-24,39891.0,Valances
366,2021-06-25,32769.0,Valances
367,2021-06-26,30942.0,Valances
368,2021-06-27,30942.0,Valances
369,2021-06-28,30942.0,Valances
370,2021-06-29,30942.0,Valances
371,2021-06-30,30942.0,Valances
372,2021-07-01,30942.0,Valances
373,2021-07-02,30942.0,Valances
374,2021-07-03,30942.0,Valances
375,2021-07-04,30942.0,Valances
376,2021-07-05,33534.0,Valances
377,2021-07-06,35207.0,Valances
378,2021-07-07,35207.0,Valances
379,2021-07-08,35207.0,Valances
380,2021-07-09,38898.0,Valances
381,2021-07-10,38898.0,Valances
382,2021-07-11,26728.0,Valances
