,date,value,name_B08SD3R64T
57,2021-03-09,1310.0,Dry
58,2021-03-10,1343.0,Dry
59,2021-03-11,1272.0,Dry
60,2021-03-12,1272.0,Dry
61,2021-03-13,1405.0,Dry
62,2021-03-14,1405.0,Dry
63,2021-03-15,1232.0,Dry
64,2021-03-16,1232.0,Dry
65,2021-03-17,1232.0,Dry
66,2021-03-18,1386.0,Dry
67,2021-03-19,1386.0,Dry
68,2021-03-20,1415.0,Dry
69,2021-03-21,1554.0,Dry
70,2021-03-22,1300.0,Dry
71,2021-03-23,1300.0,Dry
72,2021-03-24,1300.0,Dry
73,2021-03-25,1286.0,Dry
74,2021-03-26,1256.0,Dry
75,2021-03-27,1239.0,Dry
76,2021-03-28,1239.0,Dry
77,2021-03-29,1157.0,Dry
78,2021-03-30,1157.0,Dry
79,2021-03-31,1157.0,Dry
80,2021-04-01,1095.0,Dry
81,2021-04-02,1095.0,Dry
82,2021-04-03,1545.0,Dry
83,2021-04-04,1545.0,Dry
84,2021-04-05,1316.0,Dry
85,2021-04-06,1520.0,Dry
86,2021-04-07,1502.0,Dry
87,2021-04-08,1502.0,Dry
88,2021-04-09,1789.0,Dry
89,2021-04-10,1789.0,Dry
90,2021-04-11,1589.0,Dry
91,2021-04-12,1399.0,Dry
92,2021-04-13,1399.0,Dry
93,2021-04-14,1399.0,Dry
94,2021-04-15,1661.0,Dry
95,2021-04-16,1555.0,Dry
96,2021-04-17,1555.0,Dry
97,2021-04-18,1555.0,Dry
98,2021-04-19,1534.0,Dry
99,2021-04-20,1406.0,Dry
100,2021-04-21,1406.0,Dry
101,2021-04-22,1406.0,Dry
102,2021-04-23,1233.0,Dry
103,2021-04-24,1233.0,Dry
104,2021-04-25,1403.0,Dry
105,2021-04-26,1403.0,Dry
106,2021-04-27,1403.0,Dry
107,2021-04-28,1268.0,Dry
108,2021-04-29,1268.0,Dry
109,2021-04-30,1341.0,Dry
110,2021-05-01,1285.0,Dry
111,2021-05-02,1285.0,Dry
112,2021-05-03,1596.0,Dry
113,2021-05-04,1596.0,Dry
114,2021-05-05,1596.0,Dry
115,2021-05-06,1338.0,Dry
116,2021-05-07,1338.0,Dry
117,2021-05-08,1291.0,Dry
118,2021-05-09,1568.0,Dry
119,2021-05-10,1568.0,Dry
120,2021-05-11,1098.0,Dry
121,2021-05-12,1098.0,Dry
122,2021-05-13,1098.0,Dry
123,2021-05-14,1302.0,Dry
124,2021-05-15,1431.0,Dry
125,2021-05-16,1431.0,Dry
126,2021-05-17,1417.0,Dry
127,2021-05-18,1417.0,Dry
128,2021-05-19,1573.0,Dry
129,2021-05-20,1577.0,Dry
130,2021-05-21,1577.0,Dry
131,2021-05-22,1455.0,Dry
132,2021-05-23,1455.0,Dry
133,2021-05-24,1285.0,Dry
134,2021-05-25,1419.0,Dry
135,2021-05-26,1419.0,Dry
136,2021-05-27,1419.0,Dry
137,2021-05-28,1528.0,Dry
138,2021-05-29,1407.0,Dry
139,2021-05-30,1331.0,Dry
140,2021-05-31,1136.0,Dry
141,2021-06-01,1155.0,Dry
142,2021-06-02,1155.0,Dry
143,2021-06-03,1155.0,Dry
144,2021-06-04,1499.0,Dry
145,2021-06-05,1464.0,Dry
146,2021-06-06,1464.0,Dry
147,2021-06-07,1307.0,Dry
148,2021-06-08,1363.0,Dry
149,2021-06-09,1419.0,Dry
150,2021-06-10,1419.0,Dry
151,2021-06-11,1419.0,Dry
152,2021-06-12,1562.0,Dry
153,2021-06-13,1436.0,Dry
154,2021-06-14,1436.0,Dry
155,2021-06-15,1436.0,Dry
156,2021-06-16,1406.0,Dry
157,2021-06-17,1371.0,Dry
158,2021-06-18,1371.0,Dry
159,2021-06-19,1532.0,Dry
160,2021-06-20,1505.0,Dry
161,2021-06-21,1505.0,Dry
162,2021-06-22,1759.0,Dry
163,2021-06-23,1941.0,Dry
164,2021-06-24,1741.0,Dry
165,2021-06-25,1649.0,Dry
166,2021-06-26,1507.0,Dry
167,2021-06-27,1436.0,Dry
168,2021-06-28,1106.0,Dry
169,2021-06-29,1317.0,Dry
170,2021-06-30,1378.0,Dry
171,2021-07-01,1378.0,Dry
172,2021-07-02,1378.0,Dry
173,2021-07-03,1696.0,Dry
174,2021-07-04,1696.0,Dry
175,2021-07-05,1465.0,Dry
176,2021-07-06,1474.0,Dry
177,2021-07-07,1526.0,Dry
178,2021-07-08,1526.0,Dry
179,2021-07-09,1539.0,Dry
180,2021-07-10,1539.0,Dry
181,2021-07-11,1820.0,Dry
