,date,value,name_B086J9R9QC
153,2020-11-25,49476.0,Comforter Sets
154,2020-11-26,49476.0,Comforter Sets
155,2020-11-27,47296.0,Comforter Sets
156,2020-11-28,47296.0,Comforter Sets
157,2020-11-29,47296.0,Comforter Sets
158,2020-11-30,47296.0,Comforter Sets
159,2020-12-01,13466.0,Comforter Sets
160,2020-12-02,13466.0,Comforter Sets
161,2020-12-03,13466.0,Comforter Sets
162,2020-12-04,13466.0,Comforter Sets
163,2020-12-05,13466.0,Comforter Sets
164,2020-12-06,13466.0,Comforter Sets
165,2020-12-07,13466.0,Comforter Sets
166,2020-12-08,13466.0,Comforter Sets
167,2020-12-09,13466.0,Comforter Sets
168,2020-12-10,13466.0,Comforter Sets
169,2020-12-11,13466.0,Comforter Sets
170,2020-12-12,73859.0,Comforter Sets
171,2020-12-13,73859.0,Comforter Sets
172,2020-12-14,73859.0,Comforter Sets
173,2020-12-15,61360.0,Comforter Sets
174,2020-12-16,61360.0,Comforter Sets
175,2020-12-17,61360.0,Comforter Sets
176,2020-12-18,59731.0,Comforter Sets
177,2020-12-19,59731.0,Comforter Sets
178,2020-12-20,59731.0,Comforter Sets
179,2020-12-21,59731.0,Comforter Sets
180,2020-12-22,59731.0,Comforter Sets
181,2020-12-23,69840.0,Comforter Sets
182,2020-12-24,67818.0,Comforter Sets
183,2020-12-25,67818.0,Comforter Sets
184,2020-12-26,67818.0,Comforter Sets
185,2020-12-27,44790.0,Comforter Sets
186,2020-12-28,23310.0,Comforter Sets
187,2020-12-29,23310.0,Comforter Sets
188,2020-12-30,23310.0,Comforter Sets
189,2020-12-31,23310.0,Comforter Sets
190,2021-01-01,23310.0,Comforter Sets
191,2021-01-02,24567.0,Comforter Sets
192,2021-01-03,24567.0,Comforter Sets
193,2021-01-04,16098.0,Comforter Sets
194,2021-01-05,16098.0,Comforter Sets
195,2021-01-06,16098.0,Comforter Sets
196,2021-01-07,22151.0,Comforter Sets
197,2021-01-08,22151.0,Comforter Sets
198,2021-01-09,22151.0,Comforter Sets
199,2021-01-10,22151.0,Comforter Sets
200,2021-01-11,15566.0,Comforter Sets
201,2021-01-12,15676.0,Comforter Sets
202,2021-01-13,15676.0,Comforter Sets
203,2021-01-14,16936.0,Comforter Sets
204,2021-01-15,16936.0,Comforter Sets
205,2021-01-16,16936.0,Comforter Sets
206,2021-01-17,18988.0,Comforter Sets
207,2021-01-18,23203.0,Comforter Sets
208,2021-01-19,20878.0,Comforter Sets
209,2021-01-20,20878.0,Comforter Sets
210,2021-01-21,25160.0,Comforter Sets
211,2021-01-22,25160.0,Comforter Sets
212,2021-01-23,25160.0,Comforter Sets
213,2021-01-24,19298.0,Comforter Sets
214,2021-01-25,19298.0,Comforter Sets
215,2021-01-26,24510.0,Comforter Sets
216,2021-01-27,24510.0,Comforter Sets
217,2021-01-28,24510.0,Comforter Sets
218,2021-01-29,24510.0,Comforter Sets
219,2021-01-30,24510.0,Comforter Sets
220,2021-01-31,22909.0,Comforter Sets
221,2021-02-01,17689.0,Comforter Sets
222,2021-02-02,17689.0,Comforter Sets
223,2021-02-03,22401.0,Comforter Sets
224,2021-02-04,20142.0,Comforter Sets
225,2021-02-05,20142.0,Comforter Sets
226,2021-02-06,20142.0,Comforter Sets
227,2021-02-07,20142.0,Comforter Sets
228,2021-02-08,20142.0,Comforter Sets
229,2021-02-09,20142.0,Comforter Sets
230,2021-02-10,26605.0,Comforter Sets
231,2021-02-11,26605.0,Comforter Sets
232,2021-02-12,26605.0,Comforter Sets
233,2021-02-13,26574.0,Comforter Sets
234,2021-02-14,26574.0,Comforter Sets
235,2021-02-15,26574.0,Comforter Sets
236,2021-02-16,27156.0,Comforter Sets
237,2021-02-17,27156.0,Comforter Sets
238,2021-02-18,27156.0,Comforter Sets
239,2021-02-19,30533.0,Comforter Sets
240,2021-02-20,30533.0,Comforter Sets
241,2021-02-21,22232.0,Comforter Sets
242,2021-02-22,22232.0,Comforter Sets
243,2021-02-23,22232.0,Comforter Sets
244,2021-02-24,22232.0,Comforter Sets
245,2021-02-25,22232.0,Comforter Sets
246,2021-02-26,22232.0,Comforter Sets
247,2021-02-27,36879.0,Comforter Sets
248,2021-02-28,36879.0,Comforter Sets
249,2021-03-01,48412.0,Comforter Sets
250,2021-03-02,48412.0,Comforter Sets
251,2021-03-03,48412.0,Comforter Sets
252,2021-03-04,48412.0,Comforter Sets
253,2021-03-05,48412.0,Comforter Sets
254,2021-03-06,41161.0,Comforter Sets
255,2021-03-07,41161.0,Comforter Sets
256,2021-03-08,41161.0,Comforter Sets
257,2021-03-09,105952.0,Comforter Sets
258,2021-03-10,105952.0,Comforter Sets
259,2021-03-11,105952.0,Comforter Sets
260,2021-03-12,105952.0,Comforter Sets
261,2021-03-13,105952.0,Comforter Sets
262,2021-03-14,105952.0,Comforter Sets
263,2021-03-15,105952.0,Comforter Sets
264,2021-03-16,105952.0,Comforter Sets
265,2021-03-17,105952.0,Comforter Sets
266,2021-03-18,64247.0,Comforter Sets
267,2021-03-19,64247.0,Comforter Sets
268,2021-03-20,64247.0,Comforter Sets
269,2021-03-21,64247.0,Comforter Sets
270,2021-03-22,72933.0,Comforter Sets
271,2021-03-23,72933.0,Comforter Sets
272,2021-03-24,72933.0,Comforter Sets
273,2021-03-25,64908.0,Comforter Sets
274,2021-03-26,64908.0,Comforter Sets
275,2021-03-27,64908.0,Comforter Sets
276,2021-03-28,64908.0,Comforter Sets
277,2021-03-29,27315.0,Comforter Sets
278,2021-03-30,27315.0,Comforter Sets
279,2021-03-31,27315.0,Comforter Sets
280,2021-04-01,54947.0,Comforter Sets
281,2021-04-02,34034.0,Comforter Sets
282,2021-04-03,34034.0,Comforter Sets
283,2021-04-04,37772.0,Comforter Sets
284,2021-04-05,37772.0,Comforter Sets
285,2021-04-06,42021.0,Comforter Sets
286,2021-04-07,42021.0,Comforter Sets
287,2021-04-08,42021.0,Comforter Sets
288,2021-04-09,42021.0,Comforter Sets
289,2021-04-10,35104.0,Comforter Sets
290,2021-04-11,35104.0,Comforter Sets
291,2021-04-12,35104.0,Comforter Sets
292,2021-04-13,35104.0,Comforter Sets
293,2021-04-14,35104.0,Comforter Sets
294,2021-04-15,35104.0,Comforter Sets
295,2021-04-16,41440.0,Comforter Sets
296,2021-04-17,41440.0,Comforter Sets
297,2021-04-18,41440.0,Comforter Sets
298,2021-04-19,81159.0,Comforter Sets
299,2021-04-20,81159.0,Comforter Sets
300,2021-04-21,81159.0,Comforter Sets
301,2021-04-22,65225.0,Comforter Sets
302,2021-04-23,65225.0,Comforter Sets
303,2021-04-24,65225.0,Comforter Sets
304,2021-04-25,88240.0,Comforter Sets
305,2021-04-26,88240.0,Comforter Sets
306,2021-04-27,57418.0,Comforter Sets
307,2021-04-28,57418.0,Comforter Sets
308,2021-04-29,67340.0,Comforter Sets
309,2021-04-30,67340.0,Comforter Sets
310,2021-05-01,67340.0,Comforter Sets
311,2021-05-02,67340.0,Comforter Sets
312,2021-05-03,67340.0,Comforter Sets
313,2021-05-04,76837.0,Comforter Sets
314,2021-05-05,76837.0,Comforter Sets
315,2021-05-06,44482.0,Comforter Sets
316,2021-05-07,44482.0,Comforter Sets
317,2021-05-08,44482.0,Comforter Sets
318,2021-05-09,44482.0,Comforter Sets
319,2021-05-10,59594.0,Comforter Sets
320,2021-05-11,59594.0,Comforter Sets
321,2021-05-12,59594.0,Comforter Sets
322,2021-05-13,59594.0,Comforter Sets
323,2021-05-14,77041.0,Comforter Sets
324,2021-05-15,77041.0,Comforter Sets
325,2021-05-16,77041.0,Comforter Sets
326,2021-05-17,77041.0,Comforter Sets
327,2021-05-18,77041.0,Comforter Sets
328,2021-05-19,64723.0,Comforter Sets
329,2021-05-20,80125.0,Comforter Sets
330,2021-05-21,80125.0,Comforter Sets
331,2021-05-22,80125.0,Comforter Sets
332,2021-05-23,55156.0,Comforter Sets
333,2021-05-24,55156.0,Comforter Sets
334,2021-05-25,85824.0,Comforter Sets
335,2021-05-26,85824.0,Comforter Sets
336,2021-05-27,85824.0,Comforter Sets
337,2021-05-28,85824.0,Comforter Sets
338,2021-05-29,85824.0,Comforter Sets
339,2021-05-30,39806.0,Comforter Sets
340,2021-05-31,39806.0,Comforter Sets
341,2021-06-01,41398.0,Comforter Sets
342,2021-06-02,41398.0,Comforter Sets
343,2021-06-03,41398.0,Comforter Sets
344,2021-06-04,41398.0,Comforter Sets
345,2021-06-05,41398.0,Comforter Sets
346,2021-06-06,34630.0,Comforter Sets
347,2021-06-07,34630.0,Comforter Sets
348,2021-06-08,34630.0,Comforter Sets
349,2021-06-09,41352.0,Comforter Sets
350,2021-06-10,33340.0,Comforter Sets
351,2021-06-11,44393.0,Comforter Sets
352,2021-06-12,44393.0,Comforter Sets
353,2021-06-13,39599.0,Comforter Sets
354,2021-06-14,39599.0,Comforter Sets
355,2021-06-15,39599.0,Comforter Sets
356,2021-06-16,32004.0,Comforter Sets
357,2021-06-17,32004.0,Comforter Sets
358,2021-06-18,32004.0,Comforter Sets
359,2021-06-19,32004.0,Comforter Sets
360,2021-06-20,32004.0,Comforter Sets
361,2021-06-21,26499.0,Comforter Sets
362,2021-06-22,26499.0,Comforter Sets
363,2021-06-23,5570.0,Comforter Sets
364,2021-06-24,5570.0,Comforter Sets
365,2021-06-25,10267.0,Comforter Sets
366,2021-06-26,10267.0,Comforter Sets
367,2021-06-27,13519.0,Comforter Sets
368,2021-06-28,13519.0,Comforter Sets
369,2021-06-29,15397.0,Comforter Sets
370,2021-06-30,13157.0,Comforter Sets
371,2021-07-01,14303.0,Comforter Sets
372,2021-07-02,16632.0,Comforter Sets
373,2021-07-03,16632.0,Comforter Sets
374,2021-07-04,23888.0,Comforter Sets
375,2021-07-05,29323.0,Comforter Sets
376,2021-07-06,29323.0,Comforter Sets
377,2021-07-07,27696.0,Comforter Sets
378,2021-07-08,20229.0,Comforter Sets
379,2021-07-09,21028.0,Comforter Sets
