,date,value,name_B08CY89X7F
130,2021-01-30,234094.0,Bread Proofing Baskets
131,2021-01-31,234094.0,Bread Proofing Baskets
132,2021-02-01,240908.0,Bread Proofing Baskets
133,2021-02-02,247603.0,Bread Proofing Baskets
134,2021-02-03,242791.0,Bread Proofing Baskets
135,2021-02-04,242731.0,Bread Proofing Baskets
136,2021-02-05,241949.0,Bread Proofing Baskets
137,2021-02-06,241747.0,Bread Proofing Baskets
138,2021-02-07,247210.0,Bread Proofing Baskets
139,2021-02-08,245442.0,Bread Proofing Baskets
140,2021-02-09,250296.0,Bread Proofing Baskets
141,2021-02-10,246426.0,Bread Proofing Baskets
142,2021-02-11,247334.0,Bread Proofing Baskets
143,2021-02-12,244387.0,Bread Proofing Baskets
144,2021-02-13,242332.0,Bread Proofing Baskets
145,2021-02-14,242978.0,Bread Proofing Baskets
146,2021-02-15,242978.0,Bread Proofing Baskets
147,2021-02-16,242978.0,Bread Proofing Baskets
148,2021-02-17,244942.0,Bread Proofing Baskets
149,2021-02-18,239411.0,Bread Proofing Baskets
150,2021-02-19,244419.0,Bread Proofing Baskets
151,2021-02-20,246521.0,Bread Proofing Baskets
152,2021-02-21,248522.0,Bread Proofing Baskets
153,2021-02-22,253393.0,Bread Proofing Baskets
154,2021-02-23,253393.0,Bread Proofing Baskets
155,2021-02-24,255393.0,Bread Proofing Baskets
156,2021-02-25,251965.0,Bread Proofing Baskets
157,2021-02-26,251654.0,Bread Proofing Baskets
158,2021-02-27,249664.0,Bread Proofing Baskets
159,2021-02-28,251609.0,Bread Proofing Baskets
160,2021-03-01,257877.0,Bread Proofing Baskets
161,2021-03-02,262055.0,Bread Proofing Baskets
162,2021-03-03,262055.0,Bread Proofing Baskets
163,2021-03-04,262055.0,Bread Proofing Baskets
164,2021-03-05,263880.0,Bread Proofing Baskets
165,2021-03-06,263880.0,Bread Proofing Baskets
166,2021-03-07,263880.0,Bread Proofing Baskets
167,2021-03-08,263880.0,Bread Proofing Baskets
168,2021-03-09,263577.0,Bread Proofing Baskets
169,2021-03-10,43032.0,Bread Proofing Baskets
170,2021-03-11,71225.0,Bread Proofing Baskets
171,2021-03-12,261960.0,Bread Proofing Baskets
172,2021-03-13,261960.0,Bread Proofing Baskets
173,2021-03-14,261960.0,Bread Proofing Baskets
174,2021-03-15,266160.0,Bread Proofing Baskets
175,2021-03-16,266160.0,Bread Proofing Baskets
176,2021-03-17,269851.0,Bread Proofing Baskets
177,2021-03-18,269851.0,Bread Proofing Baskets
178,2021-03-19,276688.0,Bread Proofing Baskets
179,2021-03-20,276688.0,Bread Proofing Baskets
180,2021-03-21,272961.0,Bread Proofing Baskets
181,2021-03-22,272961.0,Bread Proofing Baskets
182,2021-03-23,275374.0,Bread Proofing Baskets
183,2021-03-24,276933.0,Bread Proofing Baskets
184,2021-03-25,276865.0,Bread Proofing Baskets
185,2021-03-26,276183.0,Bread Proofing Baskets
186,2021-03-27,276183.0,Bread Proofing Baskets
187,2021-03-28,276221.0,Bread Proofing Baskets
188,2021-03-29,278876.0,Bread Proofing Baskets
189,2021-03-30,280780.0,Bread Proofing Baskets
190,2021-03-31,280619.0,Bread Proofing Baskets
191,2021-04-01,280619.0,Bread Proofing Baskets
192,2021-04-02,276175.0,Bread Proofing Baskets
193,2021-04-03,272203.0,Bread Proofing Baskets
194,2021-04-04,270012.0,Bread Proofing Baskets
195,2021-04-05,270348.0,Bread Proofing Baskets
196,2021-04-06,271033.0,Bread Proofing Baskets
197,2021-04-07,276989.0,Bread Proofing Baskets
198,2021-04-08,279873.0,Bread Proofing Baskets
199,2021-04-09,282724.0,Bread Proofing Baskets
200,2021-04-10,275995.0,Bread Proofing Baskets
201,2021-04-11,274403.0,Bread Proofing Baskets
202,2021-04-12,282562.0,Bread Proofing Baskets
203,2021-04-13,280564.0,Bread Proofing Baskets
204,2021-04-14,285589.0,Bread Proofing Baskets
205,2021-04-15,282770.0,Bread Proofing Baskets
206,2021-04-16,280016.0,Bread Proofing Baskets
207,2021-04-17,280016.0,Bread Proofing Baskets
208,2021-04-18,282193.0,Bread Proofing Baskets
209,2021-04-19,281613.0,Bread Proofing Baskets
210,2021-04-20,283638.0,Bread Proofing Baskets
211,2021-04-21,287493.0,Bread Proofing Baskets
212,2021-04-22,283193.0,Bread Proofing Baskets
213,2021-04-23,284216.0,Bread Proofing Baskets
214,2021-04-24,284216.0,Bread Proofing Baskets
215,2021-04-25,284216.0,Bread Proofing Baskets
216,2021-04-26,283362.0,Bread Proofing Baskets
217,2021-04-27,283362.0,Bread Proofing Baskets
218,2021-04-28,283412.0,Bread Proofing Baskets
219,2021-04-29,285747.0,Bread Proofing Baskets
220,2021-04-30,287024.0,Bread Proofing Baskets
221,2021-05-01,283742.0,Bread Proofing Baskets
222,2021-05-02,285236.0,Bread Proofing Baskets
223,2021-05-03,290197.0,Bread Proofing Baskets
224,2021-05-04,293721.0,Bread Proofing Baskets
225,2021-05-05,294506.0,Bread Proofing Baskets
226,2021-05-06,297789.0,Bread Proofing Baskets
227,2021-05-07,293875.0,Bread Proofing Baskets
228,2021-05-08,293875.0,Bread Proofing Baskets
229,2021-05-09,285302.0,Bread Proofing Baskets
230,2021-05-10,281648.0,Bread Proofing Baskets
231,2021-05-11,280385.0,Bread Proofing Baskets
232,2021-05-12,282673.0,Bread Proofing Baskets
233,2021-05-13,282673.0,Bread Proofing Baskets
234,2021-05-14,278818.0,Bread Proofing Baskets
235,2021-05-15,278751.0,Bread Proofing Baskets
236,2021-05-16,282681.0,Bread Proofing Baskets
237,2021-05-17,282681.0,Bread Proofing Baskets
238,2021-05-18,284529.0,Bread Proofing Baskets
239,2021-05-19,284373.0,Bread Proofing Baskets
240,2021-05-20,281960.0,Bread Proofing Baskets
241,2021-05-21,280460.0,Bread Proofing Baskets
242,2021-05-22,277824.0,Bread Proofing Baskets
243,2021-05-23,275980.0,Bread Proofing Baskets
244,2021-05-24,274467.0,Bread Proofing Baskets
245,2021-05-25,169917.0,Bread Proofing Baskets
246,2021-05-26,209995.0,Bread Proofing Baskets
247,2021-05-27,231947.0,Bread Proofing Baskets
248,2021-05-28,245354.0,Bread Proofing Baskets
249,2021-05-29,245354.0,Bread Proofing Baskets
250,2021-05-30,258650.0,Bread Proofing Baskets
251,2021-05-31,265577.0,Bread Proofing Baskets
252,2021-06-01,267761.0,Bread Proofing Baskets
253,2021-06-02,267761.0,Bread Proofing Baskets
254,2021-06-03,267761.0,Bread Proofing Baskets
255,2021-06-04,267761.0,Bread Proofing Baskets
256,2021-06-05,267761.0,Bread Proofing Baskets
257,2021-06-06,267761.0,Bread Proofing Baskets
258,2021-06-07,267761.0,Bread Proofing Baskets
259,2021-06-08,267761.0,Bread Proofing Baskets
260,2021-06-09,267761.0,Bread Proofing Baskets
261,2021-06-10,267761.0,Bread Proofing Baskets
262,2021-06-11,267761.0,Bread Proofing Baskets
263,2021-06-12,267761.0,Bread Proofing Baskets
264,2021-06-13,267761.0,Bread Proofing Baskets
265,2021-06-14,267799.0,Bread Proofing Baskets
266,2021-06-15,267799.0,Bread Proofing Baskets
267,2021-06-16,267799.0,Bread Proofing Baskets
268,2021-06-17,267799.0,Bread Proofing Baskets
269,2021-06-18,267799.0,Bread Proofing Baskets
270,2021-06-19,267799.0,Bread Proofing Baskets
271,2021-06-20,267799.0,Bread Proofing Baskets
272,2021-06-21,267799.0,Bread Proofing Baskets
273,2021-06-22,267799.0,Bread Proofing Baskets
274,2021-06-23,267799.0,Bread Proofing Baskets
275,2021-06-24,267799.0,Bread Proofing Baskets
276,2021-06-25,267799.0,Bread Proofing Baskets
277,2021-06-26,267799.0,Bread Proofing Baskets
278,2021-06-27,267799.0,Bread Proofing Baskets
279,2021-06-28,267799.0,Bread Proofing Baskets
280,2021-06-29,267799.0,Bread Proofing Baskets
281,2021-06-30,279901.0,Bread Proofing Baskets
282,2021-07-01,-1.0,Bread Proofing Baskets
283,2021-07-02,284806.0,Bread Proofing Baskets
284,2021-07-03,283093.0,Bread Proofing Baskets
285,2021-07-04,280963.0,Bread Proofing Baskets
286,2021-07-05,139779.0,Bread Proofing Baskets
287,2021-07-06,202133.0,Bread Proofing Baskets
288,2021-07-07,222182.0,Bread Proofing Baskets
289,2021-07-08,256634.0,Bread Proofing Baskets
290,2021-07-09,263439.0,Bread Proofing Baskets
291,2021-07-10,269873.0,Bread Proofing Baskets
292,2021-07-11,272396.0,Bread Proofing Baskets
