,date,value,name_B00D41T3R8
393,2021-03-27,3730.0,Feeding Supplies
394,2021-03-28,3730.0,Feeding Supplies
395,2021-03-29,3730.0,Feeding Supplies
396,2021-03-30,3576.0,Feeding Supplies
397,2021-03-31,3576.0,Feeding Supplies
398,2021-04-01,3035.0,Feeding Supplies
399,2021-04-02,3855.0,Feeding Supplies
400,2021-04-03,3855.0,Feeding Supplies
401,2021-04-04,3855.0,Feeding Supplies
402,2021-04-05,3444.0,Feeding Supplies
403,2021-04-06,3444.0,Feeding Supplies
404,2021-04-07,3444.0,Feeding Supplies
405,2021-04-08,4154.0,Feeding Supplies
406,2021-04-09,4154.0,Feeding Supplies
407,2021-04-10,3895.0,Feeding Supplies
408,2021-04-11,3628.0,Feeding Supplies
409,2021-04-12,3628.0,Feeding Supplies
410,2021-04-13,3729.0,Feeding Supplies
411,2021-04-14,3608.0,Feeding Supplies
412,2021-04-15,3187.0,Feeding Supplies
413,2021-04-16,3187.0,Feeding Supplies
414,2021-04-17,3918.0,Feeding Supplies
415,2021-04-18,3918.0,Feeding Supplies
416,2021-04-19,3926.0,Feeding Supplies
417,2021-04-20,3926.0,Feeding Supplies
418,2021-04-21,4274.0,Feeding Supplies
419,2021-04-22,4274.0,Feeding Supplies
420,2021-04-23,3877.0,Feeding Supplies
421,2021-04-24,3877.0,Feeding Supplies
422,2021-04-25,3877.0,Feeding Supplies
423,2021-04-26,3877.0,Feeding Supplies
424,2021-04-27,3468.0,Feeding Supplies
425,2021-04-28,3468.0,Feeding Supplies
426,2021-04-29,3468.0,Feeding Supplies
427,2021-04-30,3468.0,Feeding Supplies
428,2021-05-01,3468.0,Feeding Supplies
429,2021-05-02,3706.0,Feeding Supplies
430,2021-05-03,3706.0,Feeding Supplies
431,2021-05-04,3883.0,Feeding Supplies
432,2021-05-05,3883.0,Feeding Supplies
433,2021-05-06,4238.0,Feeding Supplies
434,2021-05-07,4238.0,Feeding Supplies
435,2021-05-08,3491.0,Feeding Supplies
436,2021-05-09,3734.0,Feeding Supplies
437,2021-05-10,4767.0,Feeding Supplies
438,2021-05-11,4767.0,Feeding Supplies
439,2021-05-12,4767.0,Feeding Supplies
440,2021-05-13,4427.0,Feeding Supplies
441,2021-05-14,4358.0,Feeding Supplies
442,2021-05-15,4358.0,Feeding Supplies
443,2021-05-16,4274.0,Feeding Supplies
444,2021-05-17,4274.0,Feeding Supplies
445,2021-05-18,4274.0,Feeding Supplies
446,2021-05-19,3076.0,Feeding Supplies
447,2021-05-20,3739.0,Feeding Supplies
448,2021-05-21,3420.0,Feeding Supplies
449,2021-05-22,3420.0,Feeding Supplies
450,2021-05-23,3420.0,Feeding Supplies
451,2021-05-24,3141.0,Feeding Supplies
452,2021-05-25,3141.0,Feeding Supplies
453,2021-05-26,3058.0,Feeding Supplies
454,2021-05-27,3058.0,Feeding Supplies
455,2021-05-28,3058.0,Feeding Supplies
456,2021-05-29,3181.0,Feeding Supplies
457,2021-05-30,3181.0,Feeding Supplies
458,2021-05-31,3181.0,Feeding Supplies
459,2021-06-01,4003.0,Feeding Supplies
460,2021-06-02,3934.0,Feeding Supplies
461,2021-06-03,3934.0,Feeding Supplies
462,2021-06-04,3858.0,Feeding Supplies
463,2021-06-05,3858.0,Feeding Supplies
464,2021-06-06,2777.0,Feeding Supplies
465,2021-06-07,2777.0,Feeding Supplies
466,2021-06-08,2777.0,Feeding Supplies
467,2021-06-09,2715.0,Feeding Supplies
468,2021-06-10,3493.0,Feeding Supplies
469,2021-06-11,3493.0,Feeding Supplies
470,2021-06-12,3493.0,Feeding Supplies
471,2021-06-13,3258.0,Feeding Supplies
472,2021-06-14,3688.0,Feeding Supplies
473,2021-06-15,3688.0,Feeding Supplies
474,2021-06-16,3321.0,Feeding Supplies
475,2021-06-17,3124.0,Feeding Supplies
476,2021-06-18,2903.0,Feeding Supplies
477,2021-06-19,2903.0,Feeding Supplies
478,2021-06-20,2903.0,Feeding Supplies
479,2021-06-21,3594.0,Feeding Supplies
480,2021-06-22,3563.0,Feeding Supplies
481,2021-06-23,3563.0,Feeding Supplies
482,2021-06-24,4103.0,Feeding Supplies
483,2021-06-25,4103.0,Feeding Supplies
484,2021-06-26,3113.0,Feeding Supplies
485,2021-06-27,4509.0,Feeding Supplies
486,2021-06-28,4509.0,Feeding Supplies
487,2021-06-29,3862.0,Feeding Supplies
488,2021-06-30,3301.0,Feeding Supplies
489,2021-07-01,3301.0,Feeding Supplies
490,2021-07-02,3713.0,Feeding Supplies
491,2021-07-03,3384.0,Feeding Supplies
492,2021-07-04,3384.0,Feeding Supplies
493,2021-07-05,3384.0,Feeding Supplies
494,2021-07-06,3899.0,Feeding Supplies
495,2021-07-07,3899.0,Feeding Supplies
496,2021-07-08,3919.0,Feeding Supplies
497,2021-07-09,4244.0,Feeding Supplies
498,2021-07-10,4244.0,Feeding Supplies
499,2021-07-11,3605.0,Feeding Supplies
