,date,value,name_B087LY2KT6
233,2020-12-23,1552.0,Bath Rugs
234,2020-12-24,1552.0,Bath Rugs
235,2020-12-25,1017.0,Bath Rugs
236,2020-12-26,1463.0,Bath Rugs
237,2020-12-27,1463.0,Bath Rugs
238,2020-12-28,1014.0,Bath Rugs
239,2020-12-29,1161.0,Bath Rugs
240,2020-12-30,1161.0,Bath Rugs
241,2020-12-31,875.0,Bath Rugs
242,2021-01-01,845.0,Bath Rugs
243,2021-01-02,1006.0,Bath Rugs
244,2021-01-03,1326.0,Bath Rugs
245,2021-01-04,1348.0,Bath Rugs
246,2021-01-05,1626.0,Bath Rugs
247,2021-01-06,1588.0,Bath Rugs
248,2021-01-07,1588.0,Bath Rugs
249,2021-01-08,1588.0,Bath Rugs
250,2021-01-09,1207.0,Bath Rugs
251,2021-01-10,1207.0,Bath Rugs
252,2021-01-11,907.0,Bath Rugs
253,2021-01-12,922.0,Bath Rugs
254,2021-01-13,694.0,Bath Rugs
255,2021-01-14,694.0,Bath Rugs
256,2021-01-15,660.0,Bath Rugs
257,2021-01-16,660.0,Bath Rugs
258,2021-01-17,595.0,Bath Rugs
259,2021-01-18,624.0,Bath Rugs
260,2021-01-19,562.0,Bath Rugs
261,2021-01-20,562.0,Bath Rugs
262,2021-01-21,578.0,Bath Rugs
263,2021-01-22,578.0,Bath Rugs
264,2021-01-23,578.0,Bath Rugs
265,2021-01-24,568.0,Bath Rugs
266,2021-01-25,607.0,Bath Rugs
267,2021-01-26,714.0,Bath Rugs
268,2021-01-27,714.0,Bath Rugs
269,2021-01-28,637.0,Bath Rugs
270,2021-01-29,671.0,Bath Rugs
271,2021-01-30,671.0,Bath Rugs
272,2021-01-31,605.0,Bath Rugs
273,2021-02-01,640.0,Bath Rugs
274,2021-02-02,805.0,Bath Rugs
275,2021-02-03,916.0,Bath Rugs
276,2021-02-04,916.0,Bath Rugs
277,2021-02-05,1022.0,Bath Rugs
278,2021-02-06,881.0,Bath Rugs
279,2021-02-07,881.0,Bath Rugs
280,2021-02-08,881.0,Bath Rugs
281,2021-02-09,1264.0,Bath Rugs
282,2021-02-10,1264.0,Bath Rugs
283,2021-02-11,1840.0,Bath Rugs
284,2021-02-12,1840.0,Bath Rugs
285,2021-02-13,1703.0,Bath Rugs
286,2021-02-14,1621.0,Bath Rugs
287,2021-02-15,1594.0,Bath Rugs
288,2021-02-16,1594.0,Bath Rugs
289,2021-02-17,749.0,Bath Rugs
290,2021-02-18,749.0,Bath Rugs
291,2021-02-19,749.0,Bath Rugs
292,2021-02-20,724.0,Bath Rugs
293,2021-02-21,724.0,Bath Rugs
294,2021-02-22,585.0,Bath Rugs
295,2021-02-23,493.0,Bath Rugs
296,2021-02-24,252.0,Bath Rugs
297,2021-02-25,239.0,Bath Rugs
298,2021-02-26,150.0,Bath Rugs
299,2021-02-27,132.0,Bath Rugs
300,2021-02-28,132.0,Bath Rugs
301,2021-03-01,136.0,Bath Rugs
302,2021-03-02,218.0,Bath Rugs
303,2021-03-03,245.0,Bath Rugs
304,2021-03-04,348.0,Bath Rugs
305,2021-03-05,359.0,Bath Rugs
306,2021-03-06,359.0,Bath Rugs
307,2021-03-07,344.0,Bath Rugs
308,2021-03-08,344.0,Bath Rugs
309,2021-03-09,408.0,Bath Rugs
310,2021-03-10,384.0,Bath Rugs
311,2021-03-11,384.0,Bath Rugs
312,2021-03-12,240.0,Bath Rugs
313,2021-03-13,240.0,Bath Rugs
314,2021-03-14,319.0,Bath Rugs
315,2021-03-15,395.0,Bath Rugs
316,2021-03-16,458.0,Bath Rugs
317,2021-03-17,458.0,Bath Rugs
318,2021-03-18,572.0,Bath Rugs
319,2021-03-19,539.0,Bath Rugs
320,2021-03-20,551.0,Bath Rugs
321,2021-03-21,555.0,Bath Rugs
322,2021-03-22,648.0,Bath Rugs
323,2021-03-23,721.0,Bath Rugs
324,2021-03-24,757.0,Bath Rugs
325,2021-03-25,700.0,Bath Rugs
326,2021-03-26,707.0,Bath Rugs
327,2021-03-27,679.0,Bath Rugs
328,2021-03-28,679.0,Bath Rugs
329,2021-03-29,787.0,Bath Rugs
330,2021-03-30,573.0,Bath Rugs
331,2021-03-31,523.0,Bath Rugs
332,2021-04-01,554.0,Bath Rugs
333,2021-04-02,554.0,Bath Rugs
334,2021-04-03,554.0,Bath Rugs
335,2021-04-04,450.0,Bath Rugs
336,2021-04-05,471.0,Bath Rugs
337,2021-04-06,649.0,Bath Rugs
338,2021-04-07,831.0,Bath Rugs
339,2021-04-08,831.0,Bath Rugs
340,2021-04-09,814.0,Bath Rugs
341,2021-04-10,964.0,Bath Rugs
342,2021-04-11,781.0,Bath Rugs
343,2021-04-12,781.0,Bath Rugs
344,2021-04-13,763.0,Bath Rugs
345,2021-04-14,891.0,Bath Rugs
346,2021-04-15,891.0,Bath Rugs
347,2021-04-16,623.0,Bath Rugs
348,2021-04-17,623.0,Bath Rugs
349,2021-04-18,575.0,Bath Rugs
350,2021-04-19,593.0,Bath Rugs
351,2021-04-20,541.0,Bath Rugs
352,2021-04-21,541.0,Bath Rugs
353,2021-04-22,489.0,Bath Rugs
354,2021-04-23,584.0,Bath Rugs
355,2021-04-24,584.0,Bath Rugs
356,2021-04-25,637.0,Bath Rugs
357,2021-04-26,637.0,Bath Rugs
358,2021-04-27,725.0,Bath Rugs
359,2021-04-28,635.0,Bath Rugs
360,2021-04-29,721.0,Bath Rugs
361,2021-04-30,773.0,Bath Rugs
362,2021-05-01,773.0,Bath Rugs
363,2021-05-02,729.0,Bath Rugs
364,2021-05-03,729.0,Bath Rugs
365,2021-05-04,720.0,Bath Rugs
366,2021-05-05,720.0,Bath Rugs
367,2021-05-06,719.0,Bath Rugs
368,2021-05-07,763.0,Bath Rugs
369,2021-05-08,763.0,Bath Rugs
370,2021-05-09,555.0,Bath Rugs
371,2021-05-10,509.0,Bath Rugs
372,2021-05-11,367.0,Bath Rugs
373,2021-05-12,273.0,Bath Rugs
374,2021-05-13,314.0,Bath Rugs
375,2021-05-14,267.0,Bath Rugs
376,2021-05-15,259.0,Bath Rugs
377,2021-05-16,286.0,Bath Rugs
378,2021-05-17,286.0,Bath Rugs
379,2021-05-18,351.0,Bath Rugs
380,2021-05-19,458.0,Bath Rugs
381,2021-05-20,492.0,Bath Rugs
382,2021-05-21,492.0,Bath Rugs
383,2021-05-22,696.0,Bath Rugs
384,2021-05-23,522.0,Bath Rugs
385,2021-05-24,573.0,Bath Rugs
386,2021-05-25,646.0,Bath Rugs
387,2021-05-26,675.0,Bath Rugs
388,2021-05-27,679.0,Bath Rugs
389,2021-05-28,679.0,Bath Rugs
390,2021-05-29,726.0,Bath Rugs
391,2021-05-30,594.0,Bath Rugs
392,2021-05-31,594.0,Bath Rugs
393,2021-06-01,747.0,Bath Rugs
394,2021-06-02,745.0,Bath Rugs
395,2021-06-03,723.0,Bath Rugs
396,2021-06-04,723.0,Bath Rugs
397,2021-06-05,694.0,Bath Rugs
398,2021-06-06,694.0,Bath Rugs
399,2021-06-07,621.0,Bath Rugs
400,2021-06-08,720.0,Bath Rugs
401,2021-06-09,613.0,Bath Rugs
402,2021-06-10,750.0,Bath Rugs
403,2021-06-11,800.0,Bath Rugs
404,2021-06-12,778.0,Bath Rugs
405,2021-06-13,778.0,Bath Rugs
406,2021-06-14,970.0,Bath Rugs
407,2021-06-15,970.0,Bath Rugs
408,2021-06-16,594.0,Bath Rugs
409,2021-06-17,575.0,Bath Rugs
410,2021-06-18,560.0,Bath Rugs
411,2021-06-19,453.0,Bath Rugs
412,2021-06-20,426.0,Bath Rugs
413,2021-06-21,711.0,Bath Rugs
414,2021-06-22,1466.0,Bath Rugs
415,2021-06-23,1466.0,Bath Rugs
416,2021-06-24,895.0,Bath Rugs
417,2021-06-25,895.0,Bath Rugs
418,2021-06-26,781.0,Bath Rugs
419,2021-06-27,781.0,Bath Rugs
420,2021-06-28,837.0,Bath Rugs
421,2021-06-29,712.0,Bath Rugs
422,2021-06-30,852.0,Bath Rugs
423,2021-07-01,738.0,Bath Rugs
424,2021-07-02,710.0,Bath Rugs
425,2021-07-03,842.0,Bath Rugs
426,2021-07-04,829.0,Bath Rugs
427,2021-07-05,796.0,Bath Rugs
428,2021-07-06,607.0,Bath Rugs
429,2021-07-07,718.0,Bath Rugs
430,2021-07-08,524.0,Bath Rugs
431,2021-07-09,612.0,Bath Rugs
432,2021-07-10,573.0,Bath Rugs
