,date,value,name_B089M7V98H
173,2020-11-28,12097.0,Role Playing Dice
174,2020-11-29,12097.0,Role Playing Dice
175,2020-11-30,10565.0,Role Playing Dice
176,2020-12-01,10534.0,Role Playing Dice
177,2020-12-02,10534.0,Role Playing Dice
178,2020-12-03,11028.0,Role Playing Dice
179,2020-12-04,11028.0,Role Playing Dice
180,2020-12-05,11028.0,Role Playing Dice
181,2020-12-06,11028.0,Role Playing Dice
182,2020-12-07,7647.0,Role Playing Dice
183,2020-12-08,7647.0,Role Playing Dice
184,2020-12-09,7647.0,Role Playing Dice
185,2020-12-10,8900.0,Role Playing Dice
186,2020-12-11,8900.0,Role Playing Dice
187,2020-12-12,10580.0,Role Playing Dice
188,2020-12-13,9928.0,Role Playing Dice
189,2020-12-14,9928.0,Role Playing Dice
190,2020-12-15,9928.0,Role Playing Dice
191,2020-12-16,9593.0,Role Playing Dice
192,2020-12-17,9353.0,Role Playing Dice
193,2020-12-18,9353.0,Role Playing Dice
194,2020-12-19,9353.0,Role Playing Dice
195,2020-12-20,10736.0,Role Playing Dice
196,2020-12-21,10736.0,Role Playing Dice
197,2020-12-22,10736.0,Role Playing Dice
198,2020-12-23,10736.0,Role Playing Dice
199,2020-12-24,12158.0,Role Playing Dice
200,2020-12-25,12158.0,Role Playing Dice
201,2020-12-26,12158.0,Role Playing Dice
202,2020-12-27,12158.0,Role Playing Dice
203,2020-12-28,12158.0,Role Playing Dice
204,2020-12-29,6748.0,Role Playing Dice
205,2020-12-30,6748.0,Role Playing Dice
206,2020-12-31,6748.0,Role Playing Dice
207,2021-01-01,7192.0,Role Playing Dice
208,2021-01-02,3937.0,Role Playing Dice
209,2021-01-03,3937.0,Role Playing Dice
210,2021-01-04,5798.0,Role Playing Dice
211,2021-01-05,6286.0,Role Playing Dice
212,2021-01-06,6286.0,Role Playing Dice
213,2021-01-07,6286.0,Role Playing Dice
214,2021-01-08,6286.0,Role Playing Dice
215,2021-01-09,7723.0,Role Playing Dice
216,2021-01-10,7723.0,Role Playing Dice
217,2021-01-11,7723.0,Role Playing Dice
218,2021-01-12,7723.0,Role Playing Dice
219,2021-01-13,9532.0,Role Playing Dice
220,2021-01-14,9532.0,Role Playing Dice
221,2021-01-15,9265.0,Role Playing Dice
222,2021-01-16,9265.0,Role Playing Dice
223,2021-01-17,9265.0,Role Playing Dice
224,2021-01-18,6718.0,Role Playing Dice
225,2021-01-19,6718.0,Role Playing Dice
226,2021-01-20,6718.0,Role Playing Dice
227,2021-01-21,6718.0,Role Playing Dice
228,2021-01-22,5670.0,Role Playing Dice
229,2021-01-23,5670.0,Role Playing Dice
230,2021-01-24,5670.0,Role Playing Dice
231,2021-01-25,5670.0,Role Playing Dice
232,2021-01-26,11862.0,Role Playing Dice
233,2021-01-27,11862.0,Role Playing Dice
234,2021-01-28,11862.0,Role Playing Dice
235,2021-01-29,10648.0,Role Playing Dice
236,2021-01-30,10648.0,Role Playing Dice
237,2021-01-31,10648.0,Role Playing Dice
238,2021-02-01,9780.0,Role Playing Dice
239,2021-02-02,9780.0,Role Playing Dice
240,2021-02-03,8805.0,Role Playing Dice
241,2021-02-04,8805.0,Role Playing Dice
242,2021-02-05,8805.0,Role Playing Dice
243,2021-02-06,8894.0,Role Playing Dice
244,2021-02-07,8894.0,Role Playing Dice
245,2021-02-08,8894.0,Role Playing Dice
246,2021-02-09,8894.0,Role Playing Dice
247,2021-02-10,14627.0,Role Playing Dice
248,2021-02-11,14627.0,Role Playing Dice
249,2021-02-12,14627.0,Role Playing Dice
250,2021-02-13,14627.0,Role Playing Dice
251,2021-02-14,14627.0,Role Playing Dice
252,2021-02-15,11068.0,Role Playing Dice
253,2021-02-16,11068.0,Role Playing Dice
254,2021-02-17,11068.0,Role Playing Dice
255,2021-02-18,10661.0,Role Playing Dice
256,2021-02-19,10661.0,Role Playing Dice
257,2021-02-20,10661.0,Role Playing Dice
258,2021-02-21,9132.0,Role Playing Dice
259,2021-02-22,9132.0,Role Playing Dice
260,2021-02-23,12314.0,Role Playing Dice
261,2021-02-24,12314.0,Role Playing Dice
262,2021-02-25,6097.0,Role Playing Dice
263,2021-02-26,6097.0,Role Playing Dice
264,2021-02-27,6097.0,Role Playing Dice
265,2021-02-28,9400.0,Role Playing Dice
266,2021-03-01,9400.0,Role Playing Dice
267,2021-03-02,9400.0,Role Playing Dice
268,2021-03-03,7622.0,Role Playing Dice
269,2021-03-04,6496.0,Role Playing Dice
270,2021-03-05,7103.0,Role Playing Dice
271,2021-03-06,9332.0,Role Playing Dice
272,2021-03-07,9332.0,Role Playing Dice
273,2021-03-08,9811.0,Role Playing Dice
274,2021-03-09,9811.0,Role Playing Dice
275,2021-03-10,9811.0,Role Playing Dice
276,2021-03-11,9811.0,Role Playing Dice
277,2021-03-12,10615.0,Role Playing Dice
278,2021-03-13,7849.0,Role Playing Dice
279,2021-03-14,7849.0,Role Playing Dice
280,2021-03-15,7849.0,Role Playing Dice
281,2021-03-16,8880.0,Role Playing Dice
282,2021-03-17,8880.0,Role Playing Dice
283,2021-03-18,8880.0,Role Playing Dice
284,2021-03-19,7611.0,Role Playing Dice
285,2021-03-20,7611.0,Role Playing Dice
286,2021-03-21,7611.0,Role Playing Dice
287,2021-03-22,9295.0,Role Playing Dice
288,2021-03-23,9295.0,Role Playing Dice
289,2021-03-24,9295.0,Role Playing Dice
290,2021-03-25,12135.0,Role Playing Dice
291,2021-03-26,7440.0,Role Playing Dice
292,2021-03-27,7440.0,Role Playing Dice
293,2021-03-28,7440.0,Role Playing Dice
294,2021-03-29,9067.0,Role Playing Dice
295,2021-03-30,9067.0,Role Playing Dice
296,2021-03-31,8863.0,Role Playing Dice
297,2021-04-01,8863.0,Role Playing Dice
298,2021-04-02,8863.0,Role Playing Dice
299,2021-04-03,8863.0,Role Playing Dice
300,2021-04-04,8863.0,Role Playing Dice
301,2021-04-05,7724.0,Role Playing Dice
302,2021-04-06,7724.0,Role Playing Dice
303,2021-04-07,7724.0,Role Playing Dice
304,2021-04-08,7939.0,Role Playing Dice
305,2021-04-09,7939.0,Role Playing Dice
306,2021-04-10,7939.0,Role Playing Dice
307,2021-04-11,5027.0,Role Playing Dice
308,2021-04-12,5027.0,Role Playing Dice
309,2021-04-13,5027.0,Role Playing Dice
310,2021-04-14,10460.0,Role Playing Dice
311,2021-04-15,10460.0,Role Playing Dice
312,2021-04-16,10460.0,Role Playing Dice
313,2021-04-17,10460.0,Role Playing Dice
314,2021-04-18,10460.0,Role Playing Dice
315,2021-04-19,8014.0,Role Playing Dice
316,2021-04-20,11314.0,Role Playing Dice
317,2021-04-21,11314.0,Role Playing Dice
318,2021-04-22,14192.0,Role Playing Dice
319,2021-04-23,14192.0,Role Playing Dice
320,2021-04-24,14192.0,Role Playing Dice
321,2021-04-25,14192.0,Role Playing Dice
322,2021-04-26,11752.0,Role Playing Dice
323,2021-04-27,12156.0,Role Playing Dice
324,2021-04-28,11648.0,Role Playing Dice
325,2021-04-29,15608.0,Role Playing Dice
326,2021-04-30,9052.0,Role Playing Dice
327,2021-05-01,9052.0,Role Playing Dice
328,2021-05-02,17095.0,Role Playing Dice
329,2021-05-03,17095.0,Role Playing Dice
330,2021-05-04,18937.0,Role Playing Dice
331,2021-05-05,15913.0,Role Playing Dice
332,2021-05-06,15913.0,Role Playing Dice
333,2021-05-07,15596.0,Role Playing Dice
334,2021-05-08,15596.0,Role Playing Dice
335,2021-05-09,15596.0,Role Playing Dice
336,2021-05-10,13503.0,Role Playing Dice
337,2021-05-11,22270.0,Role Playing Dice
338,2021-05-12,22270.0,Role Playing Dice
339,2021-05-13,22270.0,Role Playing Dice
340,2021-05-14,10250.0,Role Playing Dice
341,2021-05-15,10250.0,Role Playing Dice
342,2021-05-16,10250.0,Role Playing Dice
343,2021-05-17,20646.0,Role Playing Dice
344,2021-05-18,20646.0,Role Playing Dice
345,2021-05-19,20646.0,Role Playing Dice
346,2021-05-20,18393.0,Role Playing Dice
347,2021-05-21,18393.0,Role Playing Dice
348,2021-05-22,18393.0,Role Playing Dice
349,2021-05-23,11392.0,Role Playing Dice
350,2021-05-24,18929.0,Role Playing Dice
351,2021-05-25,18929.0,Role Playing Dice
352,2021-05-26,18929.0,Role Playing Dice
353,2021-05-27,9365.0,Role Playing Dice
354,2021-05-28,7799.0,Role Playing Dice
355,2021-05-29,7799.0,Role Playing Dice
356,2021-05-30,7799.0,Role Playing Dice
357,2021-05-31,7723.0,Role Playing Dice
358,2021-06-01,11871.0,Role Playing Dice
359,2021-06-02,11871.0,Role Playing Dice
360,2021-06-03,10484.0,Role Playing Dice
361,2021-06-04,10484.0,Role Playing Dice
362,2021-06-05,10484.0,Role Playing Dice
363,2021-06-06,12184.0,Role Playing Dice
364,2021-06-07,12184.0,Role Playing Dice
365,2021-06-08,10541.0,Role Playing Dice
366,2021-06-09,10541.0,Role Playing Dice
367,2021-06-10,12384.0,Role Playing Dice
368,2021-06-11,12384.0,Role Playing Dice
369,2021-06-12,12384.0,Role Playing Dice
370,2021-06-13,19519.0,Role Playing Dice
371,2021-06-14,19519.0,Role Playing Dice
372,2021-06-15,12986.0,Role Playing Dice
373,2021-06-16,12986.0,Role Playing Dice
374,2021-06-17,12227.0,Role Playing Dice
375,2021-06-18,12227.0,Role Playing Dice
376,2021-06-19,12227.0,Role Playing Dice
377,2021-06-20,12227.0,Role Playing Dice
378,2021-06-21,11781.0,Role Playing Dice
379,2021-06-22,17035.0,Role Playing Dice
380,2021-06-23,17035.0,Role Playing Dice
381,2021-06-24,17035.0,Role Playing Dice
382,2021-06-25,15057.0,Role Playing Dice
383,2021-06-26,18107.0,Role Playing Dice
384,2021-06-27,18107.0,Role Playing Dice
385,2021-06-28,16016.0,Role Playing Dice
386,2021-06-29,16016.0,Role Playing Dice
387,2021-06-30,15625.0,Role Playing Dice
388,2021-07-01,15625.0,Role Playing Dice
389,2021-07-02,16766.0,Role Playing Dice
390,2021-07-03,16766.0,Role Playing Dice
391,2021-07-04,7194.0,Role Playing Dice
392,2021-07-05,7194.0,Role Playing Dice
393,2021-07-06,10631.0,Role Playing Dice
394,2021-07-07,10631.0,Role Playing Dice
395,2021-07-08,10631.0,Role Playing Dice
396,2021-07-09,9219.0,Role Playing Dice
397,2021-07-10,9219.0,Role Playing Dice
398,2021-07-11,18423.0,Role Playing Dice
