,date,value,name_B08FT1CJCP
154,2021-01-17,13364.0,Free Standing Shoe Racks
155,2021-01-18,13364.0,Free Standing Shoe Racks
156,2021-01-19,13364.0,Free Standing Shoe Racks
157,2021-01-20,12930.0,Free Standing Shoe Racks
158,2021-01-21,12882.0,Free Standing Shoe Racks
159,2021-01-22,12882.0,Free Standing Shoe Racks
160,2021-01-23,12882.0,Free Standing Shoe Racks
161,2021-01-24,10386.0,Free Standing Shoe Racks
162,2021-01-25,10386.0,Free Standing Shoe Racks
163,2021-01-26,10386.0,Free Standing Shoe Racks
164,2021-01-27,9376.0,Free Standing Shoe Racks
165,2021-01-28,9376.0,Free Standing Shoe Racks
166,2021-01-29,8132.0,Free Standing Shoe Racks
167,2021-01-30,8132.0,Free Standing Shoe Racks
168,2021-01-31,8132.0,Free Standing Shoe Racks
169,2021-02-01,3452.0,Free Standing Shoe Racks
170,2021-02-02,5870.0,Free Standing Shoe Racks
171,2021-02-03,5870.0,Free Standing Shoe Racks
172,2021-02-04,5870.0,Free Standing Shoe Racks
173,2021-02-05,4446.0,Free Standing Shoe Racks
174,2021-02-06,4446.0,Free Standing Shoe Racks
175,2021-02-07,4516.0,Free Standing Shoe Racks
176,2021-02-08,4516.0,Free Standing Shoe Racks
177,2021-02-09,4516.0,Free Standing Shoe Racks
178,2021-02-10,6674.0,Free Standing Shoe Racks
179,2021-02-11,6543.0,Free Standing Shoe Racks
180,2021-02-12,6543.0,Free Standing Shoe Racks
181,2021-02-13,6543.0,Free Standing Shoe Racks
182,2021-02-14,5310.0,Free Standing Shoe Racks
183,2021-02-15,5835.0,Free Standing Shoe Racks
184,2021-02-16,5472.0,Free Standing Shoe Racks
185,2021-02-17,5472.0,Free Standing Shoe Racks
186,2021-02-18,5472.0,Free Standing Shoe Racks
187,2021-02-19,3002.0,Free Standing Shoe Racks
188,2021-02-20,3002.0,Free Standing Shoe Racks
189,2021-02-21,3879.0,Free Standing Shoe Racks
190,2021-02-22,3879.0,Free Standing Shoe Racks
191,2021-02-23,3879.0,Free Standing Shoe Racks
192,2021-02-24,5497.0,Free Standing Shoe Racks
193,2021-02-25,5497.0,Free Standing Shoe Racks
194,2021-02-26,5497.0,Free Standing Shoe Racks
195,2021-02-27,4730.0,Free Standing Shoe Racks
196,2021-02-28,4730.0,Free Standing Shoe Racks
197,2021-03-01,4770.0,Free Standing Shoe Racks
198,2021-03-02,4689.0,Free Standing Shoe Racks
199,2021-03-03,4816.0,Free Standing Shoe Racks
200,2021-03-04,4816.0,Free Standing Shoe Racks
201,2021-03-05,4996.0,Free Standing Shoe Racks
202,2021-03-06,4996.0,Free Standing Shoe Racks
203,2021-03-07,4996.0,Free Standing Shoe Racks
204,2021-03-08,4505.0,Free Standing Shoe Racks
205,2021-03-09,4505.0,Free Standing Shoe Racks
206,2021-03-10,5927.0,Free Standing Shoe Racks
207,2021-03-11,5927.0,Free Standing Shoe Racks
208,2021-03-12,5927.0,Free Standing Shoe Racks
209,2021-03-13,7098.0,Free Standing Shoe Racks
210,2021-03-14,6685.0,Free Standing Shoe Racks
211,2021-03-15,6685.0,Free Standing Shoe Racks
212,2021-03-16,5745.0,Free Standing Shoe Racks
213,2021-03-17,6876.0,Free Standing Shoe Racks
214,2021-03-18,6607.0,Free Standing Shoe Racks
215,2021-03-19,6607.0,Free Standing Shoe Racks
216,2021-03-20,7979.0,Free Standing Shoe Racks
217,2021-03-21,7979.0,Free Standing Shoe Racks
218,2021-03-22,7979.0,Free Standing Shoe Racks
219,2021-03-23,2278.0,Free Standing Shoe Racks
220,2021-03-24,2278.0,Free Standing Shoe Racks
221,2021-03-25,2242.0,Free Standing Shoe Racks
222,2021-03-26,2242.0,Free Standing Shoe Racks
223,2021-03-27,2012.0,Free Standing Shoe Racks
224,2021-03-28,1666.0,Free Standing Shoe Racks
225,2021-03-29,1170.0,Free Standing Shoe Racks
226,2021-03-30,1418.0,Free Standing Shoe Racks
227,2021-03-31,1418.0,Free Standing Shoe Racks
228,2021-04-01,1642.0,Free Standing Shoe Racks
229,2021-04-02,1642.0,Free Standing Shoe Racks
230,2021-04-03,1642.0,Free Standing Shoe Racks
231,2021-04-04,1790.0,Free Standing Shoe Racks
232,2021-04-05,1790.0,Free Standing Shoe Racks
233,2021-04-06,1626.0,Free Standing Shoe Racks
234,2021-04-07,1729.0,Free Standing Shoe Racks
235,2021-04-08,1729.0,Free Standing Shoe Racks
236,2021-04-09,1827.0,Free Standing Shoe Racks
237,2021-04-10,1827.0,Free Standing Shoe Racks
238,2021-04-11,1827.0,Free Standing Shoe Racks
239,2021-04-12,1794.0,Free Standing Shoe Racks
240,2021-04-13,1664.0,Free Standing Shoe Racks
241,2021-04-14,1664.0,Free Standing Shoe Racks
242,2021-04-15,2306.0,Free Standing Shoe Racks
243,2021-04-16,1860.0,Free Standing Shoe Racks
244,2021-04-17,1860.0,Free Standing Shoe Racks
245,2021-04-18,1480.0,Free Standing Shoe Racks
246,2021-04-19,1480.0,Free Standing Shoe Racks
247,2021-04-20,1500.0,Free Standing Shoe Racks
248,2021-04-21,1568.0,Free Standing Shoe Racks
249,2021-04-22,1568.0,Free Standing Shoe Racks
250,2021-04-23,1636.0,Free Standing Shoe Racks
251,2021-04-24,1437.0,Free Standing Shoe Racks
252,2021-04-25,1437.0,Free Standing Shoe Racks
253,2021-04-26,1765.0,Free Standing Shoe Racks
254,2021-04-27,1011.0,Free Standing Shoe Racks
255,2021-04-28,1011.0,Free Standing Shoe Racks
256,2021-04-29,1313.0,Free Standing Shoe Racks
257,2021-04-30,1313.0,Free Standing Shoe Racks
258,2021-05-01,908.0,Free Standing Shoe Racks
259,2021-05-02,893.0,Free Standing Shoe Racks
260,2021-05-03,893.0,Free Standing Shoe Racks
261,2021-05-04,1443.0,Free Standing Shoe Racks
262,2021-05-05,1443.0,Free Standing Shoe Racks
263,2021-05-06,2244.0,Free Standing Shoe Racks
264,2021-05-07,2534.0,Free Standing Shoe Racks
265,2021-05-08,2486.0,Free Standing Shoe Racks
266,2021-05-09,2820.0,Free Standing Shoe Racks
267,2021-05-10,3067.0,Free Standing Shoe Racks
268,2021-05-11,3067.0,Free Standing Shoe Racks
269,2021-05-12,2525.0,Free Standing Shoe Racks
270,2021-05-13,2525.0,Free Standing Shoe Racks
271,2021-05-14,2651.0,Free Standing Shoe Racks
272,2021-05-15,2651.0,Free Standing Shoe Racks
273,2021-05-16,3988.0,Free Standing Shoe Racks
274,2021-05-17,3988.0,Free Standing Shoe Racks
275,2021-05-18,3179.0,Free Standing Shoe Racks
276,2021-05-19,3179.0,Free Standing Shoe Racks
277,2021-05-20,3387.0,Free Standing Shoe Racks
278,2021-05-21,3387.0,Free Standing Shoe Racks
279,2021-05-22,2768.0,Free Standing Shoe Racks
280,2021-05-23,2768.0,Free Standing Shoe Racks
281,2021-05-24,1542.0,Free Standing Shoe Racks
282,2021-05-25,1542.0,Free Standing Shoe Racks
283,2021-05-26,1265.0,Free Standing Shoe Racks
284,2021-05-27,1265.0,Free Standing Shoe Racks
285,2021-05-28,1265.0,Free Standing Shoe Racks
286,2021-05-29,1163.0,Free Standing Shoe Racks
287,2021-05-30,1163.0,Free Standing Shoe Racks
288,2021-05-31,671.0,Free Standing Shoe Racks
289,2021-06-01,658.0,Free Standing Shoe Racks
290,2021-06-02,875.0,Free Standing Shoe Racks
291,2021-06-03,875.0,Free Standing Shoe Racks
292,2021-06-04,1285.0,Free Standing Shoe Racks
293,2021-06-05,1285.0,Free Standing Shoe Racks
294,2021-06-06,1612.0,Free Standing Shoe Racks
295,2021-06-07,1612.0,Free Standing Shoe Racks
296,2021-06-08,1510.0,Free Standing Shoe Racks
297,2021-06-09,1651.0,Free Standing Shoe Racks
298,2021-06-10,1651.0,Free Standing Shoe Racks
299,2021-06-11,1651.0,Free Standing Shoe Racks
300,2021-06-12,1928.0,Free Standing Shoe Racks
301,2021-06-13,2142.0,Free Standing Shoe Racks
302,2021-06-14,2142.0,Free Standing Shoe Racks
303,2021-06-15,2142.0,Free Standing Shoe Racks
304,2021-06-16,2468.0,Free Standing Shoe Racks
305,2021-06-17,3134.0,Free Standing Shoe Racks
306,2021-06-18,3134.0,Free Standing Shoe Racks
307,2021-06-19,2705.0,Free Standing Shoe Racks
308,2021-06-20,2705.0,Free Standing Shoe Racks
309,2021-06-21,2748.0,Free Standing Shoe Racks
310,2021-06-22,514.0,Free Standing Shoe Racks
311,2021-06-23,514.0,Free Standing Shoe Racks
312,2021-06-24,1112.0,Free Standing Shoe Racks
313,2021-06-25,1112.0,Free Standing Shoe Racks
314,2021-06-26,1028.0,Free Standing Shoe Racks
315,2021-06-27,1028.0,Free Standing Shoe Racks
316,2021-06-28,1237.0,Free Standing Shoe Racks
317,2021-06-29,1237.0,Free Standing Shoe Racks
318,2021-06-30,1127.0,Free Standing Shoe Racks
319,2021-07-01,1261.0,Free Standing Shoe Racks
320,2021-07-02,1353.0,Free Standing Shoe Racks
321,2021-07-03,1353.0,Free Standing Shoe Racks
322,2021-07-04,1561.0,Free Standing Shoe Racks
323,2021-07-05,1561.0,Free Standing Shoe Racks
324,2021-07-06,1768.0,Free Standing Shoe Racks
325,2021-07-07,1768.0,Free Standing Shoe Racks
326,2021-07-08,1809.0,Free Standing Shoe Racks
327,2021-07-09,1919.0,Free Standing Shoe Racks
328,2021-07-10,2748.0,Free Standing Shoe Racks
