,date,value,name_B086LL5SC6
95,2020-08-28,9453.0,Ointments
96,2020-08-29,9453.0,Ointments
97,2020-08-30,9681.0,Ointments
98,2020-08-31,9681.0,Ointments
99,2020-09-01,9074.0,Ointments
100,2020-09-02,9174.0,Ointments
101,2020-09-03,9174.0,Ointments
102,2020-09-04,9174.0,Ointments
103,2020-09-05,10153.0,Ointments
104,2020-09-06,10153.0,Ointments
105,2020-09-07,10153.0,Ointments
106,2020-09-08,11892.0,Ointments
107,2020-09-09,11892.0,Ointments
108,2020-09-10,11892.0,Ointments
109,2020-09-11,15442.0,Ointments
110,2020-09-12,15442.0,Ointments
111,2020-09-13,15442.0,Ointments
112,2020-09-14,10476.0,Ointments
113,2020-09-15,11698.0,Ointments
114,2020-09-16,11698.0,Ointments
115,2020-09-17,11698.0,Ointments
116,2020-09-18,11698.0,Ointments
117,2020-09-19,11348.0,Ointments
118,2020-09-20,11348.0,Ointments
119,2020-09-21,10105.0,Ointments
120,2020-09-22,10105.0,Ointments
121,2020-09-23,10105.0,Ointments
122,2020-09-24,9767.0,Ointments
123,2020-09-25,9767.0,Ointments
124,2020-09-26,9767.0,Ointments
125,2020-09-27,11195.0,Ointments
126,2020-09-28,10849.0,Ointments
127,2020-09-29,10849.0,Ointments
128,2020-09-30,11792.0,Ointments
129,2020-10-01,11792.0,Ointments
130,2020-10-02,11792.0,Ointments
131,2020-10-03,13149.0,Ointments
132,2020-10-04,13149.0,Ointments
133,2020-10-05,13149.0,Ointments
134,2020-10-06,13168.0,Ointments
135,2020-10-07,13168.0,Ointments
136,2020-10-08,13168.0,Ointments
137,2020-10-09,13168.0,Ointments
138,2020-10-10,13115.0,Ointments
139,2020-10-11,13821.0,Ointments
140,2020-10-12,13821.0,Ointments
141,2020-10-13,13821.0,Ointments
142,2020-10-14,10816.0,Ointments
143,2020-10-15,10816.0,Ointments
144,2020-10-16,10816.0,Ointments
145,2020-10-17,13483.0,Ointments
146,2020-10-18,13483.0,Ointments
147,2020-10-19,13483.0,Ointments
148,2020-10-20,13483.0,Ointments
149,2020-10-21,15183.0,Ointments
150,2020-10-22,15183.0,Ointments
151,2020-10-23,15183.0,Ointments
152,2020-10-24,15183.0,Ointments
153,2020-10-25,14190.0,Ointments
154,2020-10-26,14190.0,Ointments
155,2020-10-27,14190.0,Ointments
156,2020-10-28,11228.0,Ointments
157,2020-10-29,11228.0,Ointments
158,2020-10-30,14543.0,Ointments
159,2020-10-31,11772.0,Ointments
160,2020-11-01,11772.0,Ointments
161,2020-11-02,13940.0,Ointments
162,2020-11-03,13940.0,Ointments
163,2020-11-04,10265.0,Ointments
164,2020-11-05,10265.0,Ointments
165,2020-11-06,10265.0,Ointments
166,2020-11-07,14730.0,Ointments
167,2020-11-08,14730.0,Ointments
168,2020-11-09,14730.0,Ointments
169,2020-11-10,15860.0,Ointments
170,2020-11-11,15860.0,Ointments
171,2020-11-12,15860.0,Ointments
172,2020-11-13,15860.0,Ointments
173,2020-11-14,13920.0,Ointments
174,2020-11-15,16657.0,Ointments
175,2020-11-16,16657.0,Ointments
176,2020-11-17,16657.0,Ointments
