,date,value,name_B0886BKFWG
240,2021-03-31,216555.0,Pillow Inserts
241,2021-04-01,216555.0,Pillow Inserts
242,2021-04-02,216555.0,Pillow Inserts
243,2021-04-03,216555.0,Pillow Inserts
244,2021-04-04,216555.0,Pillow Inserts
245,2021-04-05,216555.0,Pillow Inserts
246,2021-04-06,271241.0,Pillow Inserts
247,2021-04-07,271241.0,Pillow Inserts
248,2021-04-08,266429.0,Pillow Inserts
249,2021-04-09,266429.0,Pillow Inserts
250,2021-04-10,343824.0,Pillow Inserts
251,2021-04-11,343824.0,Pillow Inserts
252,2021-04-12,343824.0,Pillow Inserts
253,2021-04-13,285712.0,Pillow Inserts
254,2021-04-14,285712.0,Pillow Inserts
255,2021-04-15,285712.0,Pillow Inserts
256,2021-04-16,32314.0,Pillow Inserts
257,2021-04-17,26240.0,Pillow Inserts
258,2021-04-18,26240.0,Pillow Inserts
259,2021-04-19,26240.0,Pillow Inserts
260,2021-04-20,17893.0,Pillow Inserts
261,2021-04-21,17893.0,Pillow Inserts
262,2021-04-22,37240.0,Pillow Inserts
263,2021-04-23,37240.0,Pillow Inserts
264,2021-04-24,37240.0,Pillow Inserts
265,2021-04-25,37240.0,Pillow Inserts
266,2021-04-26,37240.0,Pillow Inserts
267,2021-04-27,18774.0,Pillow Inserts
268,2021-04-28,18774.0,Pillow Inserts
269,2021-04-29,25147.0,Pillow Inserts
270,2021-04-30,25147.0,Pillow Inserts
271,2021-05-01,29955.0,Pillow Inserts
272,2021-05-02,29955.0,Pillow Inserts
273,2021-05-03,29955.0,Pillow Inserts
274,2021-05-04,29955.0,Pillow Inserts
275,2021-05-05,29955.0,Pillow Inserts
276,2021-05-06,26840.0,Pillow Inserts
277,2021-05-07,26840.0,Pillow Inserts
278,2021-05-08,26840.0,Pillow Inserts
279,2021-05-09,26840.0,Pillow Inserts
280,2021-05-10,43666.0,Pillow Inserts
281,2021-05-11,43666.0,Pillow Inserts
282,2021-05-12,43666.0,Pillow Inserts
283,2021-05-13,43666.0,Pillow Inserts
284,2021-05-14,43666.0,Pillow Inserts
285,2021-05-15,43666.0,Pillow Inserts
286,2021-05-16,43666.0,Pillow Inserts
287,2021-05-17,50545.0,Pillow Inserts
288,2021-05-18,33956.0,Pillow Inserts
289,2021-05-19,33956.0,Pillow Inserts
290,2021-05-20,33956.0,Pillow Inserts
291,2021-05-21,33956.0,Pillow Inserts
292,2021-05-22,33956.0,Pillow Inserts
293,2021-05-23,25096.0,Pillow Inserts
294,2021-05-24,25096.0,Pillow Inserts
295,2021-05-25,29453.0,Pillow Inserts
296,2021-05-26,29453.0,Pillow Inserts
297,2021-05-27,29453.0,Pillow Inserts
298,2021-05-28,29453.0,Pillow Inserts
299,2021-05-29,41449.0,Pillow Inserts
300,2021-05-30,41449.0,Pillow Inserts
301,2021-05-31,41449.0,Pillow Inserts
302,2021-06-01,34264.0,Pillow Inserts
303,2021-06-02,34264.0,Pillow Inserts
304,2021-06-03,34264.0,Pillow Inserts
305,2021-06-04,34264.0,Pillow Inserts
306,2021-06-05,34264.0,Pillow Inserts
307,2021-06-06,42540.0,Pillow Inserts
308,2021-06-07,42540.0,Pillow Inserts
309,2021-06-08,45989.0,Pillow Inserts
