,date,value,name_B08VDLYB68
74,2021-04-25,7218.0,Miniatures
75,2021-04-26,7218.0,Miniatures
76,2021-04-27,385816.0,Miniatures
77,2021-04-28,390060.0,Miniatures
78,2021-04-29,390411.0,Miniatures
79,2021-04-30,124964.0,Miniatures
80,2021-05-01,40339.0,Miniatures
81,2021-05-02,5381.0,Miniatures
82,2021-05-03,11412.0,Miniatures
83,2021-05-04,10050.0,Miniatures
84,2021-05-05,10050.0,Miniatures
85,2021-05-06,7242.0,Miniatures
86,2021-05-07,5450.0,Miniatures
87,2021-05-08,6927.0,Miniatures
88,2021-05-09,5294.0,Miniatures
89,2021-05-10,8404.0,Miniatures
90,2021-05-11,3211.0,Miniatures
91,2021-05-12,3211.0,Miniatures
92,2021-05-13,2667.0,Miniatures
93,2021-05-14,2667.0,Miniatures
94,2021-05-15,2667.0,Miniatures
95,2021-05-16,3734.0,Miniatures
96,2021-05-17,3504.0,Miniatures
97,2021-05-18,3504.0,Miniatures
98,2021-05-19,6555.0,Miniatures
99,2021-05-20,10468.0,Miniatures
100,2021-05-21,11184.0,Miniatures
101,2021-05-22,11184.0,Miniatures
102,2021-05-23,11152.0,Miniatures
103,2021-05-24,12396.0,Miniatures
104,2021-05-25,12396.0,Miniatures
105,2021-05-26,12396.0,Miniatures
106,2021-05-27,14407.0,Miniatures
107,2021-05-28,13245.0,Miniatures
108,2021-05-29,16756.0,Miniatures
109,2021-05-30,16756.0,Miniatures
110,2021-05-31,17816.0,Miniatures
111,2021-06-01,15343.0,Miniatures
112,2021-06-02,15343.0,Miniatures
113,2021-06-03,15343.0,Miniatures
114,2021-06-04,20681.0,Miniatures
115,2021-06-05,29516.0,Miniatures
116,2021-06-06,23144.0,Miniatures
117,2021-06-07,20092.0,Miniatures
118,2021-06-08,24421.0,Miniatures
119,2021-06-09,24421.0,Miniatures
120,2021-06-10,50700.0,Miniatures
121,2021-06-11,47565.0,Miniatures
122,2021-06-12,47565.0,Miniatures
123,2021-06-13,31326.0,Miniatures
124,2021-06-14,31326.0,Miniatures
125,2021-06-15,31326.0,Miniatures
126,2021-06-16,37750.0,Miniatures
127,2021-06-17,16537.0,Miniatures
128,2021-06-18,16703.0,Miniatures
129,2021-06-19,10916.0,Miniatures
130,2021-06-20,10916.0,Miniatures
131,2021-06-21,10916.0,Miniatures
132,2021-06-22,19213.0,Miniatures
133,2021-06-23,19213.0,Miniatures
134,2021-06-24,20463.0,Miniatures
135,2021-06-25,20463.0,Miniatures
136,2021-06-26,24781.0,Miniatures
137,2021-06-27,18199.0,Miniatures
138,2021-06-28,23953.0,Miniatures
139,2021-06-29,23953.0,Miniatures
140,2021-06-30,23953.0,Miniatures
141,2021-07-01,24189.0,Miniatures
142,2021-07-02,24189.0,Miniatures
143,2021-07-03,35602.0,Miniatures
144,2021-07-04,34808.0,Miniatures
145,2021-07-05,28689.0,Miniatures
146,2021-07-06,39914.0,Miniatures
147,2021-07-07,34872.0,Miniatures
148,2021-07-08,37510.0,Miniatures
149,2021-07-09,49492.0,Miniatures
