,date,value,name_B08LVDPTW7
84,2021-02-06,74220.0,Body Pillows
85,2021-02-07,132585.0,Body Pillows
86,2021-02-08,132585.0,Body Pillows
87,2021-02-09,132585.0,Body Pillows
88,2021-02-10,132585.0,Body Pillows
89,2021-02-11,132585.0,Body Pillows
90,2021-02-12,132585.0,Body Pillows
91,2021-02-13,132585.0,Body Pillows
92,2021-02-14,132585.0,Body Pillows
93,2021-02-15,132585.0,Body Pillows
94,2021-02-16,132585.0,Body Pillows
95,2021-02-17,132585.0,Body Pillows
96,2021-02-18,132585.0,Body Pillows
97,2021-02-19,178969.0,Body Pillows
98,2021-02-20,101787.0,Body Pillows
99,2021-02-21,79651.0,Body Pillows
100,2021-02-22,79651.0,Body Pillows
101,2021-02-23,79651.0,Body Pillows
102,2021-02-24,79651.0,Body Pillows
103,2021-02-25,59264.0,Body Pillows
104,2021-02-26,59264.0,Body Pillows
105,2021-02-27,59264.0,Body Pillows
106,2021-02-28,59264.0,Body Pillows
107,2021-03-01,59264.0,Body Pillows
108,2021-03-02,34221.0,Body Pillows
109,2021-03-03,34221.0,Body Pillows
110,2021-03-04,18827.0,Body Pillows
111,2021-03-05,14708.0,Body Pillows
112,2021-03-06,14708.0,Body Pillows
113,2021-03-07,14708.0,Body Pillows
114,2021-03-08,20911.0,Body Pillows
115,2021-03-09,15337.0,Body Pillows
116,2021-03-10,17973.0,Body Pillows
117,2021-03-11,17973.0,Body Pillows
118,2021-03-12,17973.0,Body Pillows
119,2021-03-13,17973.0,Body Pillows
120,2021-03-14,17973.0,Body Pillows
121,2021-03-15,44576.0,Body Pillows
122,2021-03-16,44576.0,Body Pillows
123,2021-03-17,39003.0,Body Pillows
124,2021-03-18,25584.0,Body Pillows
125,2021-03-19,32221.0,Body Pillows
126,2021-03-20,32221.0,Body Pillows
127,2021-03-21,45240.0,Body Pillows
128,2021-03-22,44567.0,Body Pillows
129,2021-03-23,34253.0,Body Pillows
130,2021-03-24,35254.0,Body Pillows
131,2021-03-25,35254.0,Body Pillows
132,2021-03-26,22410.0,Body Pillows
133,2021-03-27,22410.0,Body Pillows
134,2021-03-28,22410.0,Body Pillows
135,2021-03-29,28033.0,Body Pillows
136,2021-03-30,28033.0,Body Pillows
137,2021-03-31,28033.0,Body Pillows
138,2021-04-01,28033.0,Body Pillows
139,2021-04-02,28033.0,Body Pillows
140,2021-04-03,25706.0,Body Pillows
141,2021-04-04,25706.0,Body Pillows
142,2021-04-05,28260.0,Body Pillows
143,2021-04-06,28502.0,Body Pillows
144,2021-04-07,28502.0,Body Pillows
145,2021-04-08,28502.0,Body Pillows
146,2021-04-09,19454.0,Body Pillows
147,2021-04-10,19454.0,Body Pillows
148,2021-04-11,35338.0,Body Pillows
149,2021-04-12,42327.0,Body Pillows
150,2021-04-13,42327.0,Body Pillows
151,2021-04-14,42327.0,Body Pillows
152,2021-04-15,42327.0,Body Pillows
153,2021-04-16,45211.0,Body Pillows
154,2021-04-17,45211.0,Body Pillows
155,2021-04-18,45241.0,Body Pillows
156,2021-04-19,45241.0,Body Pillows
157,2021-04-20,45241.0,Body Pillows
158,2021-04-21,59512.0,Body Pillows
159,2021-04-22,59512.0,Body Pillows
160,2021-04-23,59512.0,Body Pillows
161,2021-04-24,59512.0,Body Pillows
162,2021-04-25,59512.0,Body Pillows
163,2021-04-26,50235.0,Body Pillows
164,2021-04-27,84882.0,Body Pillows
165,2021-04-28,84882.0,Body Pillows
166,2021-04-29,84882.0,Body Pillows
167,2021-04-30,57765.0,Body Pillows
168,2021-05-01,57765.0,Body Pillows
169,2021-05-02,57765.0,Body Pillows
170,2021-05-03,64524.0,Body Pillows
171,2021-05-04,64524.0,Body Pillows
172,2021-05-05,64524.0,Body Pillows
173,2021-05-06,45913.0,Body Pillows
174,2021-05-07,45913.0,Body Pillows
175,2021-05-08,45913.0,Body Pillows
176,2021-05-09,45913.0,Body Pillows
177,2021-05-10,45913.0,Body Pillows
178,2021-05-11,45913.0,Body Pillows
179,2021-05-12,28592.0,Body Pillows
180,2021-05-13,28592.0,Body Pillows
181,2021-05-14,38808.0,Body Pillows
182,2021-05-15,38808.0,Body Pillows
183,2021-05-16,38808.0,Body Pillows
184,2021-05-17,38808.0,Body Pillows
185,2021-05-18,38808.0,Body Pillows
186,2021-05-19,31920.0,Body Pillows
187,2021-05-20,39882.0,Body Pillows
188,2021-05-21,39882.0,Body Pillows
189,2021-05-22,29064.0,Body Pillows
190,2021-05-23,25161.0,Body Pillows
191,2021-05-24,25161.0,Body Pillows
192,2021-05-25,25161.0,Body Pillows
193,2021-05-26,18908.0,Body Pillows
194,2021-05-27,22986.0,Body Pillows
195,2021-05-28,22986.0,Body Pillows
196,2021-05-29,20282.0,Body Pillows
197,2021-05-30,12499.0,Body Pillows
198,2021-05-31,12499.0,Body Pillows
199,2021-06-01,9796.0,Body Pillows
200,2021-06-02,14992.0,Body Pillows
201,2021-06-03,14992.0,Body Pillows
202,2021-06-04,14992.0,Body Pillows
203,2021-06-05,12817.0,Body Pillows
204,2021-06-06,12817.0,Body Pillows
205,2021-06-07,21867.0,Body Pillows
206,2021-06-08,21867.0,Body Pillows
207,2021-06-09,21867.0,Body Pillows
208,2021-06-10,21867.0,Body Pillows
209,2021-06-11,21449.0,Body Pillows
210,2021-06-12,21449.0,Body Pillows
211,2021-06-13,21449.0,Body Pillows
212,2021-06-14,23277.0,Body Pillows
213,2021-06-15,23277.0,Body Pillows
214,2021-06-16,34357.0,Body Pillows
215,2021-06-17,34357.0,Body Pillows
216,2021-06-18,40900.0,Body Pillows
217,2021-06-19,40900.0,Body Pillows
218,2021-06-20,40900.0,Body Pillows
219,2021-06-21,37769.0,Body Pillows
220,2021-06-22,37769.0,Body Pillows
221,2021-06-23,45270.0,Body Pillows
222,2021-06-24,45270.0,Body Pillows
223,2021-06-25,52267.0,Body Pillows
224,2021-06-26,52267.0,Body Pillows
225,2021-06-27,52267.0,Body Pillows
226,2021-06-28,48332.0,Body Pillows
227,2021-06-29,48332.0,Body Pillows
228,2021-06-30,52363.0,Body Pillows
229,2021-07-01,51308.0,Body Pillows
230,2021-07-02,48734.0,Body Pillows
231,2021-07-03,48734.0,Body Pillows
232,2021-07-04,48734.0,Body Pillows
233,2021-07-05,48086.0,Body Pillows
234,2021-07-06,76469.0,Body Pillows
235,2021-07-07,76469.0,Body Pillows
236,2021-07-08,64613.0,Body Pillows
237,2021-07-09,64613.0,Body Pillows
238,2021-07-10,42194.0,Body Pillows
