,date,value,name_B086L1RH6R
61,2020-06-02,4613.0,Floating Shelves
62,2020-06-03,4180.0,Floating Shelves
63,2020-06-04,4180.0,Floating Shelves
64,2020-06-05,4180.0,Floating Shelves
65,2020-06-06,5522.0,Floating Shelves
66,2020-06-07,6294.0,Floating Shelves
67,2020-06-08,6294.0,Floating Shelves
68,2020-06-09,7728.0,Floating Shelves
69,2020-06-10,7728.0,Floating Shelves
70,2020-06-11,7728.0,Floating Shelves
71,2020-06-12,6461.0,Floating Shelves
72,2020-06-13,6461.0,Floating Shelves
73,2020-06-14,7409.0,Floating Shelves
74,2020-06-15,7598.0,Floating Shelves
75,2020-06-16,6332.0,Floating Shelves
76,2020-06-17,6332.0,Floating Shelves
77,2020-06-18,6332.0,Floating Shelves
78,2020-06-19,8780.0,Floating Shelves
79,2020-06-20,8780.0,Floating Shelves
80,2020-06-21,8780.0,Floating Shelves
81,2020-06-22,4614.0,Floating Shelves
82,2020-06-23,4614.0,Floating Shelves
83,2020-06-24,4371.0,Floating Shelves
84,2020-06-25,4371.0,Floating Shelves
85,2020-06-26,3235.0,Floating Shelves
86,2020-06-27,3235.0,Floating Shelves
87,2020-06-28,3235.0,Floating Shelves
88,2020-06-29,2952.0,Floating Shelves
89,2020-06-30,1304.0,Floating Shelves
90,2020-07-01,622.0,Floating Shelves
91,2020-07-02,767.0,Floating Shelves
92,2020-07-03,1101.0,Floating Shelves
93,2020-07-04,1101.0,Floating Shelves
94,2020-07-05,1373.0,Floating Shelves
95,2020-07-06,1373.0,Floating Shelves
96,2020-07-07,1373.0,Floating Shelves
97,2020-07-08,1998.0,Floating Shelves
98,2020-07-09,1998.0,Floating Shelves
99,2020-07-10,1998.0,Floating Shelves
100,2020-07-11,2537.0,Floating Shelves
101,2020-07-12,2484.0,Floating Shelves
102,2020-07-13,2484.0,Floating Shelves
103,2020-07-14,3292.0,Floating Shelves
104,2020-07-15,1790.0,Floating Shelves
105,2020-07-16,2667.0,Floating Shelves
106,2020-07-17,2667.0,Floating Shelves
107,2020-07-18,2667.0,Floating Shelves
108,2020-07-19,3912.0,Floating Shelves
109,2020-07-20,4850.0,Floating Shelves
110,2020-07-21,4699.0,Floating Shelves
111,2020-07-22,4699.0,Floating Shelves
112,2020-07-23,4024.0,Floating Shelves
113,2020-07-24,3408.0,Floating Shelves
114,2020-07-25,4278.0,Floating Shelves
115,2020-07-26,3989.0,Floating Shelves
116,2020-07-27,3989.0,Floating Shelves
117,2020-07-28,3447.0,Floating Shelves
118,2020-07-29,3948.0,Floating Shelves
119,2020-07-30,3296.0,Floating Shelves
120,2020-07-31,3296.0,Floating Shelves
121,2020-08-01,3171.0,Floating Shelves
122,2020-08-02,3171.0,Floating Shelves
123,2020-08-03,3006.0,Floating Shelves
124,2020-08-04,1651.0,Floating Shelves
125,2020-08-05,1213.0,Floating Shelves
126,2020-08-06,1116.0,Floating Shelves
127,2020-08-07,1383.0,Floating Shelves
128,2020-08-08,1023.0,Floating Shelves
129,2020-08-09,1023.0,Floating Shelves
130,2020-08-10,1490.0,Floating Shelves
131,2020-08-11,2188.0,Floating Shelves
132,2020-08-12,2389.0,Floating Shelves
133,2020-08-13,2389.0,Floating Shelves
134,2020-08-14,2637.0,Floating Shelves
135,2020-08-15,2637.0,Floating Shelves
136,2020-08-16,3260.0,Floating Shelves
137,2020-08-17,3260.0,Floating Shelves
138,2020-08-18,4139.0,Floating Shelves
139,2020-08-19,4139.0,Floating Shelves
140,2020-08-20,4139.0,Floating Shelves
141,2020-08-21,4139.0,Floating Shelves
142,2020-08-22,4295.0,Floating Shelves
143,2020-08-23,4232.0,Floating Shelves
144,2020-08-24,4232.0,Floating Shelves
145,2020-08-25,4232.0,Floating Shelves
146,2020-08-26,5789.0,Floating Shelves
147,2020-08-27,5276.0,Floating Shelves
148,2020-08-28,5276.0,Floating Shelves
149,2020-08-29,5395.0,Floating Shelves
150,2020-08-30,7385.0,Floating Shelves
151,2020-08-31,7137.0,Floating Shelves
152,2020-09-01,7137.0,Floating Shelves
153,2020-09-02,6804.0,Floating Shelves
154,2020-09-03,6804.0,Floating Shelves
155,2020-09-04,6876.0,Floating Shelves
156,2020-09-05,6876.0,Floating Shelves
157,2020-09-06,5377.0,Floating Shelves
158,2020-09-07,6523.0,Floating Shelves
159,2020-09-08,6690.0,Floating Shelves
160,2020-09-09,8556.0,Floating Shelves
161,2020-09-10,7741.0,Floating Shelves
162,2020-09-11,7741.0,Floating Shelves
163,2020-09-12,7741.0,Floating Shelves
164,2020-09-13,8330.0,Floating Shelves
165,2020-09-14,9256.0,Floating Shelves
166,2020-09-15,8690.0,Floating Shelves
167,2020-09-16,8027.0,Floating Shelves
168,2020-09-17,8027.0,Floating Shelves
169,2020-09-18,8027.0,Floating Shelves
170,2020-09-19,8004.0,Floating Shelves
171,2020-09-20,8004.0,Floating Shelves
172,2020-09-21,8004.0,Floating Shelves
173,2020-09-22,5097.0,Floating Shelves
174,2020-09-23,5097.0,Floating Shelves
175,2020-09-24,4905.0,Floating Shelves
176,2020-09-25,4781.0,Floating Shelves
177,2020-09-26,4781.0,Floating Shelves
178,2020-09-27,6386.0,Floating Shelves
179,2020-09-28,5881.0,Floating Shelves
180,2020-09-29,5881.0,Floating Shelves
181,2020-09-30,6642.0,Floating Shelves
182,2020-10-01,6642.0,Floating Shelves
183,2020-10-02,6642.0,Floating Shelves
184,2020-10-03,7741.0,Floating Shelves
185,2020-10-04,7741.0,Floating Shelves
186,2020-10-05,7421.0,Floating Shelves
187,2020-10-06,7596.0,Floating Shelves
188,2020-10-07,8247.0,Floating Shelves
189,2020-10-08,8247.0,Floating Shelves
190,2020-10-09,7065.0,Floating Shelves
191,2020-10-10,7065.0,Floating Shelves
192,2020-10-11,7065.0,Floating Shelves
193,2020-10-12,7693.0,Floating Shelves
194,2020-10-13,7693.0,Floating Shelves
195,2020-10-14,2447.0,Floating Shelves
196,2020-10-15,2447.0,Floating Shelves
197,2020-10-16,2447.0,Floating Shelves
198,2020-10-17,3141.0,Floating Shelves
199,2020-10-18,3141.0,Floating Shelves
200,2020-10-19,3141.0,Floating Shelves
201,2020-10-20,5689.0,Floating Shelves
202,2020-10-21,5689.0,Floating Shelves
203,2020-10-22,7023.0,Floating Shelves
204,2020-10-23,7023.0,Floating Shelves
205,2020-10-24,6444.0,Floating Shelves
206,2020-10-25,5616.0,Floating Shelves
207,2020-10-26,7168.0,Floating Shelves
208,2020-10-27,7168.0,Floating Shelves
209,2020-10-28,2048.0,Floating Shelves
210,2020-10-29,2048.0,Floating Shelves
211,2020-10-30,2048.0,Floating Shelves
212,2020-10-31,1681.0,Floating Shelves
213,2020-11-01,1811.0,Floating Shelves
214,2020-11-02,1450.0,Floating Shelves
215,2020-11-03,1450.0,Floating Shelves
216,2020-11-04,4106.0,Floating Shelves
217,2020-11-05,4106.0,Floating Shelves
218,2020-11-06,4106.0,Floating Shelves
219,2020-11-07,7840.0,Floating Shelves
220,2020-11-08,7840.0,Floating Shelves
221,2020-11-09,6336.0,Floating Shelves
222,2020-11-10,8123.0,Floating Shelves
223,2020-11-11,8862.0,Floating Shelves
224,2020-11-12,8862.0,Floating Shelves
225,2020-11-13,1789.0,Floating Shelves
226,2020-11-14,2806.0,Floating Shelves
227,2020-11-15,5298.0,Floating Shelves
228,2020-11-16,5298.0,Floating Shelves
229,2020-11-17,5298.0,Floating Shelves
230,2020-11-18,8171.0,Floating Shelves
231,2020-11-19,8171.0,Floating Shelves
232,2020-11-20,9388.0,Floating Shelves
233,2020-11-21,9388.0,Floating Shelves
234,2020-11-22,9388.0,Floating Shelves
235,2020-11-23,14048.0,Floating Shelves
236,2020-11-24,14048.0,Floating Shelves
237,2020-11-25,14048.0,Floating Shelves
238,2020-11-26,3762.0,Floating Shelves
239,2020-11-27,3471.0,Floating Shelves
240,2020-11-28,2478.0,Floating Shelves
241,2020-11-29,2269.0,Floating Shelves
242,2020-11-30,2269.0,Floating Shelves
243,2020-12-01,4866.0,Floating Shelves
244,2020-12-02,4827.0,Floating Shelves
245,2020-12-03,4827.0,Floating Shelves
246,2020-12-04,6053.0,Floating Shelves
247,2020-12-05,6053.0,Floating Shelves
248,2020-12-06,6053.0,Floating Shelves
249,2020-12-07,6136.0,Floating Shelves
250,2020-12-08,8220.0,Floating Shelves
251,2020-12-09,8220.0,Floating Shelves
252,2020-12-10,7667.0,Floating Shelves
253,2020-12-11,7440.0,Floating Shelves
254,2020-12-12,6833.0,Floating Shelves
255,2020-12-13,6504.0,Floating Shelves
256,2020-12-14,5503.0,Floating Shelves
257,2020-12-15,5798.0,Floating Shelves
258,2020-12-16,6241.0,Floating Shelves
259,2020-12-17,5732.0,Floating Shelves
260,2020-12-18,5837.0,Floating Shelves
261,2020-12-19,5702.0,Floating Shelves
262,2020-12-20,5566.0,Floating Shelves
263,2020-12-21,4222.0,Floating Shelves
264,2020-12-22,4915.0,Floating Shelves
265,2020-12-23,4412.0,Floating Shelves
266,2020-12-24,4554.0,Floating Shelves
267,2020-12-25,5274.0,Floating Shelves
268,2020-12-26,3138.0,Floating Shelves
269,2020-12-27,3290.0,Floating Shelves
270,2020-12-28,3488.0,Floating Shelves
271,2020-12-29,3578.0,Floating Shelves
272,2020-12-30,2857.0,Floating Shelves
273,2020-12-31,3280.0,Floating Shelves
274,2021-01-01,3007.0,Floating Shelves
275,2021-01-02,3390.0,Floating Shelves
276,2021-01-03,2945.0,Floating Shelves
277,2021-01-04,3265.0,Floating Shelves
278,2021-01-05,2839.0,Floating Shelves
279,2021-01-06,2983.0,Floating Shelves
280,2021-01-07,2925.0,Floating Shelves
281,2021-01-08,3155.0,Floating Shelves
282,2021-01-09,3155.0,Floating Shelves
283,2021-01-10,3155.0,Floating Shelves
284,2021-01-11,2988.0,Floating Shelves
285,2021-01-12,3803.0,Floating Shelves
286,2021-01-13,3803.0,Floating Shelves
287,2021-01-14,3803.0,Floating Shelves
288,2021-01-15,3765.0,Floating Shelves
289,2021-01-16,4551.0,Floating Shelves
290,2021-01-17,4551.0,Floating Shelves
291,2021-01-18,4551.0,Floating Shelves
292,2021-01-19,4836.0,Floating Shelves
293,2021-01-20,4836.0,Floating Shelves
294,2021-01-21,4836.0,Floating Shelves
295,2021-01-22,3926.0,Floating Shelves
296,2021-01-23,3926.0,Floating Shelves
297,2021-01-24,5090.0,Floating Shelves
298,2021-01-25,4503.0,Floating Shelves
299,2021-01-26,4503.0,Floating Shelves
300,2021-01-27,4430.0,Floating Shelves
301,2021-01-28,5513.0,Floating Shelves
302,2021-01-29,5513.0,Floating Shelves
303,2021-01-30,5151.0,Floating Shelves
304,2021-01-31,5787.0,Floating Shelves
305,2021-02-01,5787.0,Floating Shelves
306,2021-02-02,5787.0,Floating Shelves
307,2021-02-03,4477.0,Floating Shelves
308,2021-02-04,4477.0,Floating Shelves
309,2021-02-05,4002.0,Floating Shelves
310,2021-02-06,5633.0,Floating Shelves
311,2021-02-07,5633.0,Floating Shelves
312,2021-02-08,5902.0,Floating Shelves
313,2021-02-09,5902.0,Floating Shelves
314,2021-02-10,6338.0,Floating Shelves
315,2021-02-11,6338.0,Floating Shelves
316,2021-02-12,6338.0,Floating Shelves
317,2021-02-13,6720.0,Floating Shelves
318,2021-02-14,6720.0,Floating Shelves
319,2021-02-15,6720.0,Floating Shelves
320,2021-02-16,4612.0,Floating Shelves
321,2021-02-17,4612.0,Floating Shelves
322,2021-02-18,4612.0,Floating Shelves
323,2021-02-19,5126.0,Floating Shelves
324,2021-02-20,5126.0,Floating Shelves
325,2021-02-21,4445.0,Floating Shelves
326,2021-02-22,4445.0,Floating Shelves
327,2021-02-23,3374.0,Floating Shelves
328,2021-02-24,3278.0,Floating Shelves
329,2021-02-25,3408.0,Floating Shelves
330,2021-02-26,3408.0,Floating Shelves
331,2021-02-27,3270.0,Floating Shelves
332,2021-02-28,3270.0,Floating Shelves
333,2021-03-01,4586.0,Floating Shelves
334,2021-03-02,3766.0,Floating Shelves
335,2021-03-03,3766.0,Floating Shelves
336,2021-03-04,3766.0,Floating Shelves
337,2021-03-05,5750.0,Floating Shelves
338,2021-03-06,5750.0,Floating Shelves
339,2021-03-07,5750.0,Floating Shelves
340,2021-03-08,10797.0,Floating Shelves
341,2021-03-09,10111.0,Floating Shelves
342,2021-03-10,10111.0,Floating Shelves
343,2021-03-11,14226.0,Floating Shelves
344,2021-03-12,11452.0,Floating Shelves
345,2021-03-13,11452.0,Floating Shelves
346,2021-03-14,9378.0,Floating Shelves
347,2021-03-15,11743.0,Floating Shelves
348,2021-03-16,8654.0,Floating Shelves
349,2021-03-17,7576.0,Floating Shelves
350,2021-03-18,7576.0,Floating Shelves
351,2021-03-19,7576.0,Floating Shelves
352,2021-03-20,8236.0,Floating Shelves
353,2021-03-21,8236.0,Floating Shelves
354,2021-03-22,8434.0,Floating Shelves
355,2021-03-23,8434.0,Floating Shelves
356,2021-03-24,8672.0,Floating Shelves
357,2021-03-25,8672.0,Floating Shelves
358,2021-03-26,8435.0,Floating Shelves
359,2021-03-27,11116.0,Floating Shelves
360,2021-03-28,9905.0,Floating Shelves
361,2021-03-29,12997.0,Floating Shelves
362,2021-03-30,13717.0,Floating Shelves
363,2021-03-31,13847.0,Floating Shelves
364,2021-04-01,13847.0,Floating Shelves
365,2021-04-02,14590.0,Floating Shelves
366,2021-04-03,14590.0,Floating Shelves
367,2021-04-04,13028.0,Floating Shelves
368,2021-04-05,13028.0,Floating Shelves
369,2021-04-06,13028.0,Floating Shelves
370,2021-04-07,13028.0,Floating Shelves
371,2021-04-08,16930.0,Floating Shelves
372,2021-04-09,17671.0,Floating Shelves
373,2021-04-10,15258.0,Floating Shelves
374,2021-04-11,15258.0,Floating Shelves
375,2021-04-12,11307.0,Floating Shelves
376,2021-04-13,10247.0,Floating Shelves
377,2021-04-14,12977.0,Floating Shelves
378,2021-04-15,12513.0,Floating Shelves
379,2021-04-16,12063.0,Floating Shelves
380,2021-04-17,14001.0,Floating Shelves
381,2021-04-18,14001.0,Floating Shelves
382,2021-04-19,11484.0,Floating Shelves
383,2021-04-20,8101.0,Floating Shelves
384,2021-04-21,11707.0,Floating Shelves
385,2021-04-22,11707.0,Floating Shelves
386,2021-04-23,9030.0,Floating Shelves
387,2021-04-24,8843.0,Floating Shelves
388,2021-04-25,8699.0,Floating Shelves
389,2021-04-26,10742.0,Floating Shelves
390,2021-04-27,9941.0,Floating Shelves
391,2021-04-28,10041.0,Floating Shelves
392,2021-04-29,9047.0,Floating Shelves
393,2021-04-30,9578.0,Floating Shelves
394,2021-05-01,7771.0,Floating Shelves
395,2021-05-02,9754.0,Floating Shelves
396,2021-05-03,9754.0,Floating Shelves
397,2021-05-04,4184.0,Floating Shelves
398,2021-05-05,3453.0,Floating Shelves
399,2021-05-06,3003.0,Floating Shelves
400,2021-05-07,3469.0,Floating Shelves
401,2021-05-08,2565.0,Floating Shelves
402,2021-05-09,2565.0,Floating Shelves
403,2021-05-10,2157.0,Floating Shelves
404,2021-05-11,2522.0,Floating Shelves
405,2021-05-12,2754.0,Floating Shelves
406,2021-05-13,3220.0,Floating Shelves
407,2021-05-14,2444.0,Floating Shelves
408,2021-05-15,2444.0,Floating Shelves
409,2021-05-16,2871.0,Floating Shelves
410,2021-05-17,2940.0,Floating Shelves
411,2021-05-18,3223.0,Floating Shelves
412,2021-05-19,2941.0,Floating Shelves
413,2021-05-20,3269.0,Floating Shelves
414,2021-05-21,3333.0,Floating Shelves
415,2021-05-22,2998.0,Floating Shelves
416,2021-05-23,3279.0,Floating Shelves
417,2021-05-24,3601.0,Floating Shelves
418,2021-05-25,3601.0,Floating Shelves
419,2021-05-26,3806.0,Floating Shelves
420,2021-05-27,3806.0,Floating Shelves
421,2021-05-28,2925.0,Floating Shelves
422,2021-05-29,2676.0,Floating Shelves
423,2021-05-30,2676.0,Floating Shelves
424,2021-05-31,2570.0,Floating Shelves
425,2021-06-01,2297.0,Floating Shelves
426,2021-06-02,2678.0,Floating Shelves
427,2021-06-03,2610.0,Floating Shelves
428,2021-06-04,2610.0,Floating Shelves
429,2021-06-05,2654.0,Floating Shelves
430,2021-06-06,2654.0,Floating Shelves
431,2021-06-07,2911.0,Floating Shelves
432,2021-06-08,1742.0,Floating Shelves
433,2021-06-09,1147.0,Floating Shelves
434,2021-06-10,967.0,Floating Shelves
435,2021-06-11,545.0,Floating Shelves
436,2021-06-12,591.0,Floating Shelves
437,2021-06-13,510.0,Floating Shelves
438,2021-06-14,458.0,Floating Shelves
439,2021-06-15,790.0,Floating Shelves
440,2021-06-16,959.0,Floating Shelves
441,2021-06-17,872.0,Floating Shelves
442,2021-06-18,1020.0,Floating Shelves
443,2021-06-19,1006.0,Floating Shelves
444,2021-06-20,1006.0,Floating Shelves
445,2021-06-21,1361.0,Floating Shelves
446,2021-06-22,1563.0,Floating Shelves
447,2021-06-23,1653.0,Floating Shelves
448,2021-06-24,1578.0,Floating Shelves
449,2021-06-25,1556.0,Floating Shelves
450,2021-06-26,1719.0,Floating Shelves
451,2021-06-27,2188.0,Floating Shelves
452,2021-06-28,2610.0,Floating Shelves
453,2021-06-29,3202.0,Floating Shelves
454,2021-06-30,3750.0,Floating Shelves
455,2021-07-01,3237.0,Floating Shelves
456,2021-07-02,3263.0,Floating Shelves
457,2021-07-03,3263.0,Floating Shelves
458,2021-07-04,3064.0,Floating Shelves
459,2021-07-05,3432.0,Floating Shelves
460,2021-07-06,3421.0,Floating Shelves
461,2021-07-07,3613.0,Floating Shelves
462,2021-07-08,3346.0,Floating Shelves
463,2021-07-09,3583.0,Floating Shelves
464,2021-07-10,3583.0,Floating Shelves
465,2021-07-11,6418.0,Floating Shelves
