,date,value,name_B07L19HJLC
191,2020-12-01,87696.0,Rinse-Free Wipes
192,2020-12-02,87696.0,Rinse-Free Wipes
193,2020-12-03,89534.0,Rinse-Free Wipes
194,2020-12-04,89534.0,Rinse-Free Wipes
195,2020-12-05,70617.0,Rinse-Free Wipes
196,2020-12-06,70617.0,Rinse-Free Wipes
197,2020-12-07,40242.0,Rinse-Free Wipes
198,2020-12-08,40242.0,Rinse-Free Wipes
199,2020-12-09,47821.0,Rinse-Free Wipes
200,2020-12-10,47821.0,Rinse-Free Wipes
201,2020-12-11,47289.0,Rinse-Free Wipes
202,2020-12-12,47289.0,Rinse-Free Wipes
203,2020-12-13,31768.0,Rinse-Free Wipes
204,2020-12-14,33354.0,Rinse-Free Wipes
205,2020-12-15,33354.0,Rinse-Free Wipes
206,2020-12-16,39069.0,Rinse-Free Wipes
207,2020-12-17,42771.0,Rinse-Free Wipes
208,2020-12-18,42771.0,Rinse-Free Wipes
209,2020-12-19,34934.0,Rinse-Free Wipes
210,2020-12-20,35944.0,Rinse-Free Wipes
211,2020-12-21,27879.0,Rinse-Free Wipes
212,2020-12-22,39269.0,Rinse-Free Wipes
213,2020-12-23,39269.0,Rinse-Free Wipes
214,2020-12-24,39001.0,Rinse-Free Wipes
215,2020-12-25,39001.0,Rinse-Free Wipes
216,2020-12-26,43497.0,Rinse-Free Wipes
217,2020-12-27,43497.0,Rinse-Free Wipes
218,2020-12-28,36072.0,Rinse-Free Wipes
219,2020-12-29,39768.0,Rinse-Free Wipes
220,2020-12-30,39768.0,Rinse-Free Wipes
221,2020-12-31,42646.0,Rinse-Free Wipes
222,2021-01-01,42646.0,Rinse-Free Wipes
223,2021-01-02,29717.0,Rinse-Free Wipes
224,2021-01-03,29717.0,Rinse-Free Wipes
225,2021-01-04,43697.0,Rinse-Free Wipes
226,2021-01-05,34495.0,Rinse-Free Wipes
227,2021-01-06,34495.0,Rinse-Free Wipes
228,2021-01-07,35720.0,Rinse-Free Wipes
229,2021-01-08,35720.0,Rinse-Free Wipes
230,2021-01-09,35366.0,Rinse-Free Wipes
231,2021-01-10,35366.0,Rinse-Free Wipes
232,2021-01-11,31569.0,Rinse-Free Wipes
233,2021-01-12,31569.0,Rinse-Free Wipes
234,2021-01-13,37329.0,Rinse-Free Wipes
235,2021-01-14,37329.0,Rinse-Free Wipes
236,2021-01-15,35034.0,Rinse-Free Wipes
237,2021-01-16,35034.0,Rinse-Free Wipes
238,2021-01-17,31116.0,Rinse-Free Wipes
239,2021-01-18,31116.0,Rinse-Free Wipes
240,2021-01-19,41516.0,Rinse-Free Wipes
241,2021-01-20,41516.0,Rinse-Free Wipes
242,2021-01-21,29883.0,Rinse-Free Wipes
243,2021-01-22,29883.0,Rinse-Free Wipes
244,2021-01-23,34928.0,Rinse-Free Wipes
245,2021-01-24,34928.0,Rinse-Free Wipes
246,2021-01-25,46964.0,Rinse-Free Wipes
247,2021-01-26,39094.0,Rinse-Free Wipes
248,2021-01-27,39274.0,Rinse-Free Wipes
249,2021-01-28,39274.0,Rinse-Free Wipes
250,2021-01-29,32332.0,Rinse-Free Wipes
251,2021-01-30,32332.0,Rinse-Free Wipes
252,2021-01-31,32332.0,Rinse-Free Wipes
253,2021-02-01,42399.0,Rinse-Free Wipes
254,2021-02-02,42399.0,Rinse-Free Wipes
255,2021-02-03,41512.0,Rinse-Free Wipes
256,2021-02-04,41512.0,Rinse-Free Wipes
257,2021-02-05,38934.0,Rinse-Free Wipes
258,2021-02-06,38934.0,Rinse-Free Wipes
259,2021-02-07,32377.0,Rinse-Free Wipes
260,2021-02-08,32377.0,Rinse-Free Wipes
261,2021-02-09,34279.0,Rinse-Free Wipes
262,2021-02-10,34279.0,Rinse-Free Wipes
263,2021-02-11,30832.0,Rinse-Free Wipes
264,2021-02-12,31585.0,Rinse-Free Wipes
265,2021-02-13,35144.0,Rinse-Free Wipes
266,2021-02-14,37264.0,Rinse-Free Wipes
267,2021-02-15,36161.0,Rinse-Free Wipes
268,2021-02-16,36128.0,Rinse-Free Wipes
269,2021-02-17,36128.0,Rinse-Free Wipes
270,2021-02-18,31949.0,Rinse-Free Wipes
271,2021-02-19,36307.0,Rinse-Free Wipes
272,2021-02-20,36307.0,Rinse-Free Wipes
273,2021-02-21,31168.0,Rinse-Free Wipes
274,2021-02-22,31168.0,Rinse-Free Wipes
275,2021-02-23,26689.0,Rinse-Free Wipes
276,2021-02-24,26012.0,Rinse-Free Wipes
277,2021-02-25,21471.0,Rinse-Free Wipes
278,2021-02-26,21471.0,Rinse-Free Wipes
279,2021-02-27,30006.0,Rinse-Free Wipes
280,2021-02-28,30006.0,Rinse-Free Wipes
281,2021-03-01,23471.0,Rinse-Free Wipes
282,2021-03-02,37094.0,Rinse-Free Wipes
283,2021-03-03,37094.0,Rinse-Free Wipes
284,2021-03-04,35261.0,Rinse-Free Wipes
285,2021-03-05,35261.0,Rinse-Free Wipes
286,2021-03-06,27373.0,Rinse-Free Wipes
287,2021-03-07,31928.0,Rinse-Free Wipes
288,2021-03-08,31928.0,Rinse-Free Wipes
289,2021-03-09,26011.0,Rinse-Free Wipes
290,2021-03-10,26011.0,Rinse-Free Wipes
291,2021-03-11,35492.0,Rinse-Free Wipes
292,2021-03-12,35492.0,Rinse-Free Wipes
293,2021-03-13,35815.0,Rinse-Free Wipes
294,2021-03-14,35815.0,Rinse-Free Wipes
295,2021-03-15,37762.0,Rinse-Free Wipes
296,2021-03-16,37762.0,Rinse-Free Wipes
297,2021-03-17,24378.0,Rinse-Free Wipes
298,2021-03-18,28957.0,Rinse-Free Wipes
299,2021-03-19,32020.0,Rinse-Free Wipes
300,2021-03-20,32020.0,Rinse-Free Wipes
301,2021-03-21,31946.0,Rinse-Free Wipes
302,2021-03-22,31946.0,Rinse-Free Wipes
303,2021-03-23,29993.0,Rinse-Free Wipes
304,2021-03-24,29993.0,Rinse-Free Wipes
305,2021-03-25,29926.0,Rinse-Free Wipes
306,2021-03-26,29926.0,Rinse-Free Wipes
307,2021-03-27,35682.0,Rinse-Free Wipes
308,2021-03-28,24374.0,Rinse-Free Wipes
309,2021-03-29,31229.0,Rinse-Free Wipes
310,2021-03-30,31229.0,Rinse-Free Wipes
311,2021-03-31,30534.0,Rinse-Free Wipes
312,2021-04-01,30534.0,Rinse-Free Wipes
313,2021-04-02,32035.0,Rinse-Free Wipes
314,2021-04-03,32035.0,Rinse-Free Wipes
315,2021-04-04,35889.0,Rinse-Free Wipes
316,2021-04-05,35889.0,Rinse-Free Wipes
317,2021-04-06,35889.0,Rinse-Free Wipes
318,2021-04-07,31866.0,Rinse-Free Wipes
319,2021-04-08,31866.0,Rinse-Free Wipes
320,2021-04-09,27643.0,Rinse-Free Wipes
321,2021-04-10,27643.0,Rinse-Free Wipes
322,2021-04-11,26996.0,Rinse-Free Wipes
323,2021-04-12,26996.0,Rinse-Free Wipes
324,2021-04-13,25707.0,Rinse-Free Wipes
325,2021-04-14,25707.0,Rinse-Free Wipes
326,2021-04-15,33030.0,Rinse-Free Wipes
327,2021-04-16,30863.0,Rinse-Free Wipes
328,2021-04-17,29870.0,Rinse-Free Wipes
329,2021-04-18,29870.0,Rinse-Free Wipes
330,2021-04-19,30332.0,Rinse-Free Wipes
331,2021-04-20,30332.0,Rinse-Free Wipes
332,2021-04-21,31566.0,Rinse-Free Wipes
333,2021-04-22,31566.0,Rinse-Free Wipes
334,2021-04-23,27058.0,Rinse-Free Wipes
335,2021-04-24,27058.0,Rinse-Free Wipes
336,2021-04-25,24925.0,Rinse-Free Wipes
337,2021-04-26,24925.0,Rinse-Free Wipes
338,2021-04-27,22786.0,Rinse-Free Wipes
339,2021-04-28,22786.0,Rinse-Free Wipes
340,2021-04-29,23938.0,Rinse-Free Wipes
341,2021-04-30,23938.0,Rinse-Free Wipes
342,2021-05-01,17472.0,Rinse-Free Wipes
343,2021-05-02,17472.0,Rinse-Free Wipes
344,2021-05-03,25054.0,Rinse-Free Wipes
345,2021-05-04,25054.0,Rinse-Free Wipes
346,2021-05-05,16903.0,Rinse-Free Wipes
347,2021-05-06,17915.0,Rinse-Free Wipes
348,2021-05-07,17915.0,Rinse-Free Wipes
349,2021-05-08,22197.0,Rinse-Free Wipes
350,2021-05-09,21870.0,Rinse-Free Wipes
351,2021-05-10,21870.0,Rinse-Free Wipes
352,2021-05-11,20800.0,Rinse-Free Wipes
353,2021-05-12,25803.0,Rinse-Free Wipes
354,2021-05-13,25803.0,Rinse-Free Wipes
355,2021-05-14,22908.0,Rinse-Free Wipes
356,2021-05-15,22908.0,Rinse-Free Wipes
357,2021-05-16,18989.0,Rinse-Free Wipes
358,2021-05-17,20934.0,Rinse-Free Wipes
359,2021-05-18,20934.0,Rinse-Free Wipes
360,2021-05-19,20911.0,Rinse-Free Wipes
361,2021-05-20,23863.0,Rinse-Free Wipes
362,2021-05-21,19699.0,Rinse-Free Wipes
363,2021-05-22,19699.0,Rinse-Free Wipes
364,2021-05-23,14362.0,Rinse-Free Wipes
365,2021-05-24,14362.0,Rinse-Free Wipes
366,2021-05-25,15983.0,Rinse-Free Wipes
367,2021-05-26,15983.0,Rinse-Free Wipes
368,2021-05-27,18362.0,Rinse-Free Wipes
369,2021-05-28,18362.0,Rinse-Free Wipes
370,2021-05-29,14628.0,Rinse-Free Wipes
371,2021-05-30,14628.0,Rinse-Free Wipes
372,2021-05-31,16798.0,Rinse-Free Wipes
373,2021-06-01,14524.0,Rinse-Free Wipes
374,2021-06-02,14524.0,Rinse-Free Wipes
375,2021-06-03,17838.0,Rinse-Free Wipes
376,2021-06-04,17838.0,Rinse-Free Wipes
377,2021-06-05,18573.0,Rinse-Free Wipes
378,2021-06-06,18573.0,Rinse-Free Wipes
379,2021-06-07,13397.0,Rinse-Free Wipes
380,2021-06-08,13397.0,Rinse-Free Wipes
381,2021-06-09,15648.0,Rinse-Free Wipes
382,2021-06-10,15648.0,Rinse-Free Wipes
383,2021-06-11,16088.0,Rinse-Free Wipes
384,2021-06-12,16088.0,Rinse-Free Wipes
385,2021-06-13,17237.0,Rinse-Free Wipes
386,2021-06-14,14582.0,Rinse-Free Wipes
387,2021-06-15,14582.0,Rinse-Free Wipes
388,2021-06-16,22849.0,Rinse-Free Wipes
389,2021-06-17,22849.0,Rinse-Free Wipes
390,2021-06-18,17004.0,Rinse-Free Wipes
391,2021-06-19,17004.0,Rinse-Free Wipes
392,2021-06-20,17155.0,Rinse-Free Wipes
393,2021-06-21,21016.0,Rinse-Free Wipes
394,2021-06-22,20100.0,Rinse-Free Wipes
395,2021-06-23,20100.0,Rinse-Free Wipes
396,2021-06-24,24575.0,Rinse-Free Wipes
397,2021-06-25,24575.0,Rinse-Free Wipes
398,2021-06-26,23963.0,Rinse-Free Wipes
399,2021-06-27,23963.0,Rinse-Free Wipes
400,2021-06-28,15176.0,Rinse-Free Wipes
401,2021-06-29,18398.0,Rinse-Free Wipes
402,2021-06-30,18398.0,Rinse-Free Wipes
403,2021-07-01,18398.0,Rinse-Free Wipes
404,2021-07-02,23406.0,Rinse-Free Wipes
405,2021-07-03,18126.0,Rinse-Free Wipes
406,2021-07-04,18126.0,Rinse-Free Wipes
407,2021-07-05,20079.0,Rinse-Free Wipes
408,2021-07-06,19993.0,Rinse-Free Wipes
409,2021-07-07,19993.0,Rinse-Free Wipes
410,2021-07-08,19993.0,Rinse-Free Wipes
411,2021-07-09,18344.0,Rinse-Free Wipes
412,2021-07-10,18344.0,Rinse-Free Wipes
413,2021-07-11,16872.0,Rinse-Free Wipes
