,date,value,name_B08877S3Q9
82,2020-09-14,12988.0,Highlighters
83,2020-09-15,12988.0,Highlighters
84,2020-09-16,8280.0,Highlighters
85,2020-09-17,8280.0,Highlighters
86,2020-09-18,8280.0,Highlighters
87,2020-09-19,8343.0,Highlighters
88,2020-09-20,8343.0,Highlighters
89,2020-09-21,8343.0,Highlighters
90,2020-09-22,8343.0,Highlighters
91,2020-09-23,9983.0,Highlighters
92,2020-09-24,9509.0,Highlighters
93,2020-09-25,9509.0,Highlighters
94,2020-09-26,9509.0,Highlighters
95,2020-09-27,10152.0,Highlighters
96,2020-09-28,10628.0,Highlighters
97,2020-09-29,7570.0,Highlighters
98,2020-09-30,8913.0,Highlighters
99,2020-10-01,9082.0,Highlighters
100,2020-10-02,9082.0,Highlighters
101,2020-10-03,8682.0,Highlighters
102,2020-10-04,8682.0,Highlighters
103,2020-10-05,8682.0,Highlighters
104,2020-10-06,8566.0,Highlighters
105,2020-10-07,5297.0,Highlighters
106,2020-10-08,5297.0,Highlighters
107,2020-10-09,5297.0,Highlighters
108,2020-10-10,5297.0,Highlighters
109,2020-10-11,5297.0,Highlighters
110,2020-10-12,13289.0,Highlighters
111,2020-10-13,13289.0,Highlighters
112,2020-10-14,3335.0,Highlighters
113,2020-10-15,3335.0,Highlighters
114,2020-10-16,3335.0,Highlighters
115,2020-10-17,5653.0,Highlighters
116,2020-10-18,5653.0,Highlighters
117,2020-10-19,5653.0,Highlighters
118,2020-10-20,5653.0,Highlighters
119,2020-10-21,6768.0,Highlighters
120,2020-10-22,6768.0,Highlighters
121,2020-10-23,6768.0,Highlighters
122,2020-10-24,6768.0,Highlighters
123,2020-10-25,6768.0,Highlighters
124,2020-10-26,6768.0,Highlighters
125,2020-10-27,6299.0,Highlighters
126,2020-10-28,6107.0,Highlighters
127,2020-10-29,6107.0,Highlighters
128,2020-10-30,6107.0,Highlighters
129,2020-10-31,4509.0,Highlighters
130,2020-11-01,4509.0,Highlighters
131,2020-11-02,4509.0,Highlighters
132,2020-11-03,6075.0,Highlighters
133,2020-11-04,6075.0,Highlighters
134,2020-11-05,6075.0,Highlighters
135,2020-11-06,6875.0,Highlighters
136,2020-11-07,6601.0,Highlighters
137,2020-11-08,6601.0,Highlighters
138,2020-11-09,6601.0,Highlighters
139,2020-11-10,6631.0,Highlighters
140,2020-11-11,6631.0,Highlighters
141,2020-11-12,5600.0,Highlighters
142,2020-11-13,5600.0,Highlighters
143,2020-11-14,5600.0,Highlighters
144,2020-11-15,5600.0,Highlighters
145,2020-11-16,8964.0,Highlighters
146,2020-11-17,8964.0,Highlighters
147,2020-11-18,7465.0,Highlighters
148,2020-11-19,7465.0,Highlighters
149,2020-11-20,7465.0,Highlighters
150,2020-11-21,6375.0,Highlighters
151,2020-11-22,6375.0,Highlighters
152,2020-11-23,6375.0,Highlighters
153,2020-11-24,9814.0,Highlighters
154,2020-11-25,9814.0,Highlighters
155,2020-11-26,8477.0,Highlighters
156,2020-11-27,8477.0,Highlighters
157,2020-11-28,8477.0,Highlighters
158,2020-11-29,8477.0,Highlighters
159,2020-11-30,11124.0,Highlighters
160,2020-12-01,10115.0,Highlighters
161,2020-12-02,5170.0,Highlighters
162,2020-12-03,5170.0,Highlighters
163,2020-12-04,5170.0,Highlighters
164,2020-12-05,6277.0,Highlighters
165,2020-12-06,6277.0,Highlighters
166,2020-12-07,7047.0,Highlighters
167,2020-12-08,8190.0,Highlighters
168,2020-12-09,8190.0,Highlighters
169,2020-12-10,8190.0,Highlighters
170,2020-12-11,11910.0,Highlighters
171,2020-12-12,11910.0,Highlighters
172,2020-12-13,16351.0,Highlighters
173,2020-12-14,16351.0,Highlighters
174,2020-12-15,16351.0,Highlighters
175,2020-12-16,16351.0,Highlighters
176,2020-12-17,16351.0,Highlighters
177,2020-12-18,16351.0,Highlighters
178,2020-12-19,10163.0,Highlighters
179,2020-12-20,10163.0,Highlighters
180,2020-12-21,10163.0,Highlighters
181,2020-12-22,10163.0,Highlighters
182,2020-12-23,10163.0,Highlighters
183,2020-12-24,10163.0,Highlighters
184,2020-12-25,13360.0,Highlighters
185,2020-12-26,13360.0,Highlighters
186,2020-12-27,13360.0,Highlighters
187,2020-12-28,21234.0,Highlighters
188,2020-12-29,21234.0,Highlighters
189,2020-12-30,21234.0,Highlighters
190,2020-12-31,10287.0,Highlighters
191,2021-01-01,10287.0,Highlighters
192,2021-01-02,10287.0,Highlighters
193,2021-01-03,15118.0,Highlighters
194,2021-01-04,15118.0,Highlighters
195,2021-01-05,15118.0,Highlighters
196,2021-01-06,7842.0,Highlighters
197,2021-01-07,7563.0,Highlighters
198,2021-01-08,6788.0,Highlighters
199,2021-01-09,6788.0,Highlighters
200,2021-01-10,6788.0,Highlighters
201,2021-01-11,6788.0,Highlighters
202,2021-01-12,7763.0,Highlighters
203,2021-01-13,7763.0,Highlighters
204,2021-01-14,7763.0,Highlighters
205,2021-01-15,6907.0,Highlighters
206,2021-01-16,6907.0,Highlighters
207,2021-01-17,6907.0,Highlighters
208,2021-01-18,11524.0,Highlighters
209,2021-01-19,11524.0,Highlighters
210,2021-01-20,11524.0,Highlighters
211,2021-01-21,8332.0,Highlighters
212,2021-01-22,8408.0,Highlighters
213,2021-01-23,8408.0,Highlighters
214,2021-01-24,8408.0,Highlighters
215,2021-01-25,8909.0,Highlighters
216,2021-01-26,8909.0,Highlighters
217,2021-01-27,8724.0,Highlighters
218,2021-01-28,8724.0,Highlighters
219,2021-01-29,4634.0,Highlighters
220,2021-01-30,4634.0,Highlighters
221,2021-01-31,4634.0,Highlighters
222,2021-02-01,10269.0,Highlighters
223,2021-02-02,10269.0,Highlighters
224,2021-02-03,10269.0,Highlighters
225,2021-02-04,5161.0,Highlighters
226,2021-02-05,5161.0,Highlighters
227,2021-02-06,5161.0,Highlighters
228,2021-02-07,5161.0,Highlighters
229,2021-02-08,9773.0,Highlighters
230,2021-02-09,9773.0,Highlighters
231,2021-02-10,9773.0,Highlighters
232,2021-02-11,9773.0,Highlighters
233,2021-02-12,6929.0,Highlighters
234,2021-02-13,6929.0,Highlighters
235,2021-02-14,6929.0,Highlighters
236,2021-02-15,9164.0,Highlighters
237,2021-02-16,9164.0,Highlighters
238,2021-02-17,4478.0,Highlighters
239,2021-02-18,4191.0,Highlighters
240,2021-02-19,4191.0,Highlighters
241,2021-02-20,4191.0,Highlighters
242,2021-02-21,4191.0,Highlighters
243,2021-02-22,4191.0,Highlighters
244,2021-02-23,8184.0,Highlighters
245,2021-02-24,9481.0,Highlighters
246,2021-02-25,9481.0,Highlighters
247,2021-02-26,9481.0,Highlighters
248,2021-02-27,8772.0,Highlighters
249,2021-02-28,7123.0,Highlighters
250,2021-03-01,7123.0,Highlighters
251,2021-03-02,7123.0,Highlighters
252,2021-03-03,5875.0,Highlighters
253,2021-03-04,5875.0,Highlighters
254,2021-03-05,5875.0,Highlighters
255,2021-03-06,5634.0,Highlighters
256,2021-03-07,5634.0,Highlighters
257,2021-03-08,5634.0,Highlighters
258,2021-03-09,5634.0,Highlighters
259,2021-03-10,5498.0,Highlighters
260,2021-03-11,5498.0,Highlighters
261,2021-03-12,5498.0,Highlighters
262,2021-03-13,4446.0,Highlighters
263,2021-03-14,4446.0,Highlighters
264,2021-03-15,10690.0,Highlighters
265,2021-03-16,10690.0,Highlighters
266,2021-03-17,10690.0,Highlighters
267,2021-03-18,8432.0,Highlighters
268,2021-03-19,4890.0,Highlighters
269,2021-03-20,4890.0,Highlighters
270,2021-03-21,9559.0,Highlighters
271,2021-03-22,9559.0,Highlighters
272,2021-03-23,9559.0,Highlighters
273,2021-03-24,4150.0,Highlighters
274,2021-03-25,4150.0,Highlighters
275,2021-03-26,4718.0,Highlighters
276,2021-03-27,3719.0,Highlighters
277,2021-03-28,3719.0,Highlighters
278,2021-03-29,5919.0,Highlighters
279,2021-03-30,5623.0,Highlighters
280,2021-03-31,5623.0,Highlighters
281,2021-04-01,5355.0,Highlighters
282,2021-04-02,5355.0,Highlighters
283,2021-04-03,5355.0,Highlighters
284,2021-04-04,7804.0,Highlighters
285,2021-04-05,7804.0,Highlighters
286,2021-04-06,7804.0,Highlighters
287,2021-04-07,7027.0,Highlighters
288,2021-04-08,7027.0,Highlighters
289,2021-04-09,5806.0,Highlighters
290,2021-04-10,5806.0,Highlighters
291,2021-04-11,5806.0,Highlighters
292,2021-04-12,10860.0,Highlighters
293,2021-04-13,10860.0,Highlighters
294,2021-04-14,10860.0,Highlighters
295,2021-04-15,4726.0,Highlighters
296,2021-04-16,4611.0,Highlighters
297,2021-04-17,4611.0,Highlighters
298,2021-04-18,4611.0,Highlighters
299,2021-04-19,4611.0,Highlighters
300,2021-04-20,4611.0,Highlighters
301,2021-04-21,5050.0,Highlighters
302,2021-04-22,5050.0,Highlighters
303,2021-04-23,4241.0,Highlighters
304,2021-04-24,7376.0,Highlighters
305,2021-04-25,7376.0,Highlighters
306,2021-04-26,13257.0,Highlighters
307,2021-04-27,13257.0,Highlighters
308,2021-04-28,13257.0,Highlighters
309,2021-04-29,13257.0,Highlighters
310,2021-04-30,5343.0,Highlighters
311,2021-05-01,5343.0,Highlighters
312,2021-05-02,5343.0,Highlighters
313,2021-05-03,13200.0,Highlighters
314,2021-05-04,13200.0,Highlighters
315,2021-05-05,6528.0,Highlighters
316,2021-05-06,6528.0,Highlighters
317,2021-05-07,6528.0,Highlighters
318,2021-05-08,7946.0,Highlighters
319,2021-05-09,7946.0,Highlighters
320,2021-05-10,10787.0,Highlighters
321,2021-05-11,10787.0,Highlighters
322,2021-05-12,10787.0,Highlighters
323,2021-05-13,10787.0,Highlighters
324,2021-05-14,5562.0,Highlighters
325,2021-05-15,5562.0,Highlighters
326,2021-05-16,8613.0,Highlighters
327,2021-05-17,8613.0,Highlighters
328,2021-05-18,8613.0,Highlighters
329,2021-05-19,8613.0,Highlighters
330,2021-05-20,6046.0,Highlighters
331,2021-05-21,6046.0,Highlighters
332,2021-05-22,6950.0,Highlighters
333,2021-05-23,9737.0,Highlighters
334,2021-05-24,10740.0,Highlighters
335,2021-05-25,12123.0,Highlighters
336,2021-05-26,9307.0,Highlighters
337,2021-05-27,9307.0,Highlighters
338,2021-05-28,9307.0,Highlighters
339,2021-05-29,9307.0,Highlighters
340,2021-05-30,9307.0,Highlighters
341,2021-05-31,9307.0,Highlighters
342,2021-06-01,9307.0,Highlighters
343,2021-06-02,9938.0,Highlighters
344,2021-06-03,8850.0,Highlighters
345,2021-06-04,7617.0,Highlighters
346,2021-06-05,7617.0,Highlighters
347,2021-06-06,7617.0,Highlighters
348,2021-06-07,5792.0,Highlighters
349,2021-06-08,5792.0,Highlighters
350,2021-06-09,6714.0,Highlighters
351,2021-06-10,5192.0,Highlighters
352,2021-06-11,5192.0,Highlighters
353,2021-06-12,5270.0,Highlighters
354,2021-06-13,5270.0,Highlighters
355,2021-06-14,12032.0,Highlighters
356,2021-06-15,12032.0,Highlighters
357,2021-06-16,7481.0,Highlighters
358,2021-06-17,7481.0,Highlighters
359,2021-06-18,7192.0,Highlighters
360,2021-06-19,7192.0,Highlighters
361,2021-06-20,8730.0,Highlighters
362,2021-06-21,8730.0,Highlighters
363,2021-06-22,3621.0,Highlighters
364,2021-06-23,3358.0,Highlighters
365,2021-06-24,3358.0,Highlighters
366,2021-06-25,6768.0,Highlighters
367,2021-06-26,5957.0,Highlighters
368,2021-06-27,5957.0,Highlighters
369,2021-06-28,8927.0,Highlighters
370,2021-06-29,5012.0,Highlighters
371,2021-06-30,5012.0,Highlighters
372,2021-07-01,5012.0,Highlighters
373,2021-07-02,5088.0,Highlighters
374,2021-07-03,5088.0,Highlighters
375,2021-07-04,5088.0,Highlighters
376,2021-07-05,9586.0,Highlighters
377,2021-07-06,9313.0,Highlighters
378,2021-07-07,9313.0,Highlighters
379,2021-07-08,9313.0,Highlighters
380,2021-07-09,5343.0,Highlighters
381,2021-07-10,4317.0,Highlighters
382,2021-07-11,6199.0,Highlighters
