,date,value,name_B076ZPQPTV
189,2020-12-01,399.0,Shredders
190,2020-12-02,426.0,Shredders
191,2020-12-03,426.0,Shredders
192,2020-12-04,499.0,Shredders
193,2020-12-05,518.0,Shredders
194,2020-12-06,518.0,Shredders
195,2020-12-07,400.0,Shredders
196,2020-12-08,477.0,Shredders
197,2020-12-09,524.0,Shredders
198,2020-12-10,557.0,Shredders
199,2020-12-11,533.0,Shredders
200,2020-12-12,533.0,Shredders
201,2020-12-13,439.0,Shredders
202,2020-12-14,403.0,Shredders
203,2020-12-15,484.0,Shredders
204,2020-12-16,446.0,Shredders
205,2020-12-17,484.0,Shredders
206,2020-12-18,515.0,Shredders
207,2020-12-19,515.0,Shredders
208,2020-12-20,460.0,Shredders
209,2020-12-21,386.0,Shredders
210,2020-12-22,386.0,Shredders
211,2020-12-23,387.0,Shredders
212,2020-12-24,387.0,Shredders
213,2020-12-25,387.0,Shredders
214,2020-12-26,305.0,Shredders
215,2020-12-27,260.0,Shredders
216,2020-12-28,260.0,Shredders
217,2020-12-29,281.0,Shredders
218,2020-12-30,281.0,Shredders
219,2020-12-31,308.0,Shredders
220,2021-01-01,308.0,Shredders
221,2021-01-02,225.0,Shredders
222,2021-01-03,189.0,Shredders
223,2021-01-04,196.0,Shredders
224,2021-01-05,252.0,Shredders
225,2021-01-06,244.0,Shredders
226,2021-01-07,256.0,Shredders
227,2021-01-08,253.0,Shredders
228,2021-01-09,253.0,Shredders
229,2021-01-10,171.0,Shredders
230,2021-01-11,169.0,Shredders
231,2021-01-12,234.0,Shredders
232,2021-01-13,224.0,Shredders
233,2021-01-14,249.0,Shredders
234,2021-01-15,252.0,Shredders
235,2021-01-16,237.0,Shredders
236,2021-01-17,150.0,Shredders
237,2021-01-18,150.0,Shredders
238,2021-01-19,186.0,Shredders
239,2021-01-20,286.0,Shredders
240,2021-01-21,292.0,Shredders
241,2021-01-22,272.0,Shredders
242,2021-01-23,265.0,Shredders
243,2021-01-24,206.0,Shredders
244,2021-01-25,211.0,Shredders
245,2021-01-26,289.0,Shredders
246,2021-01-27,289.0,Shredders
247,2021-01-28,312.0,Shredders
248,2021-01-29,315.0,Shredders
249,2021-01-30,284.0,Shredders
250,2021-01-31,210.0,Shredders
251,2021-02-01,214.0,Shredders
252,2021-02-02,262.0,Shredders
253,2021-02-03,290.0,Shredders
254,2021-02-04,290.0,Shredders
255,2021-02-05,272.0,Shredders
256,2021-02-06,285.0,Shredders
257,2021-02-07,285.0,Shredders
258,2021-02-08,249.0,Shredders
259,2021-02-09,334.0,Shredders
260,2021-02-10,334.0,Shredders
261,2021-02-11,286.0,Shredders
262,2021-02-12,283.0,Shredders
263,2021-02-13,283.0,Shredders
264,2021-02-14,215.0,Shredders
265,2021-02-15,215.0,Shredders
266,2021-02-16,294.0,Shredders
267,2021-02-17,294.0,Shredders
268,2021-02-18,294.0,Shredders
269,2021-02-19,270.0,Shredders
270,2021-02-20,280.0,Shredders
271,2021-02-21,280.0,Shredders
272,2021-02-22,227.0,Shredders
273,2021-02-23,261.0,Shredders
274,2021-02-24,286.0,Shredders
275,2021-02-25,313.0,Shredders
276,2021-02-26,313.0,Shredders
277,2021-02-27,313.0,Shredders
278,2021-02-28,236.0,Shredders
279,2021-03-01,236.0,Shredders
280,2021-03-02,236.0,Shredders
281,2021-03-03,309.0,Shredders
282,2021-03-04,309.0,Shredders
283,2021-03-05,309.0,Shredders
284,2021-03-06,297.0,Shredders
285,2021-03-07,207.0,Shredders
286,2021-03-08,229.0,Shredders
287,2021-03-09,264.0,Shredders
288,2021-03-10,264.0,Shredders
289,2021-03-11,310.0,Shredders
290,2021-03-12,310.0,Shredders
291,2021-03-13,270.0,Shredders
292,2021-03-14,270.0,Shredders
293,2021-03-15,211.0,Shredders
294,2021-03-16,226.0,Shredders
295,2021-03-17,226.0,Shredders
296,2021-03-18,272.0,Shredders
297,2021-03-19,237.0,Shredders
298,2021-03-20,237.0,Shredders
299,2021-03-21,237.0,Shredders
300,2021-03-22,209.0,Shredders
301,2021-03-23,234.0,Shredders
302,2021-03-24,246.0,Shredders
303,2021-03-25,260.0,Shredders
304,2021-03-26,237.0,Shredders
305,2021-03-27,225.0,Shredders
306,2021-03-28,225.0,Shredders
307,2021-03-29,186.0,Shredders
308,2021-03-30,242.0,Shredders
309,2021-03-31,237.0,Shredders
310,2021-04-01,237.0,Shredders
311,2021-04-02,265.0,Shredders
312,2021-04-03,243.0,Shredders
313,2021-04-04,201.0,Shredders
314,2021-04-05,238.0,Shredders
315,2021-04-06,265.0,Shredders
316,2021-04-07,265.0,Shredders
317,2021-04-08,290.0,Shredders
318,2021-04-09,265.0,Shredders
319,2021-04-10,261.0,Shredders
320,2021-04-11,219.0,Shredders
321,2021-04-12,219.0,Shredders
322,2021-04-13,286.0,Shredders
323,2021-04-14,259.0,Shredders
324,2021-04-15,282.0,Shredders
325,2021-04-16,286.0,Shredders
326,2021-04-17,286.0,Shredders
327,2021-04-18,232.0,Shredders
328,2021-04-19,232.0,Shredders
329,2021-04-20,274.0,Shredders
330,2021-04-21,274.0,Shredders
331,2021-04-22,289.0,Shredders
332,2021-04-23,304.0,Shredders
333,2021-04-24,277.0,Shredders
334,2021-04-25,261.0,Shredders
335,2021-04-26,261.0,Shredders
336,2021-04-27,275.0,Shredders
337,2021-04-28,275.0,Shredders
338,2021-04-29,348.0,Shredders
339,2021-04-30,348.0,Shredders
340,2021-05-01,348.0,Shredders
341,2021-05-02,276.0,Shredders
342,2021-05-03,276.0,Shredders
343,2021-05-04,324.0,Shredders
344,2021-05-05,334.0,Shredders
345,2021-05-06,351.0,Shredders
346,2021-05-07,342.0,Shredders
347,2021-05-08,342.0,Shredders
348,2021-05-09,262.0,Shredders
349,2021-05-10,226.0,Shredders
350,2021-05-11,257.0,Shredders
351,2021-05-12,257.0,Shredders
352,2021-05-13,280.0,Shredders
353,2021-05-14,280.0,Shredders
354,2021-05-15,280.0,Shredders
355,2021-05-16,239.0,Shredders
356,2021-05-17,242.0,Shredders
357,2021-05-18,296.0,Shredders
358,2021-05-19,296.0,Shredders
359,2021-05-20,296.0,Shredders
360,2021-05-21,325.0,Shredders
361,2021-05-22,289.0,Shredders
362,2021-05-23,239.0,Shredders
363,2021-05-24,225.0,Shredders
364,2021-05-25,225.0,Shredders
365,2021-05-26,310.0,Shredders
366,2021-05-27,302.0,Shredders
367,2021-05-28,290.0,Shredders
368,2021-05-29,284.0,Shredders
369,2021-05-30,284.0,Shredders
370,2021-05-31,224.0,Shredders
371,2021-06-01,203.0,Shredders
372,2021-06-02,326.0,Shredders
373,2021-06-03,354.0,Shredders
374,2021-06-04,369.0,Shredders
375,2021-06-05,317.0,Shredders
376,2021-06-06,266.0,Shredders
377,2021-06-07,271.0,Shredders
378,2021-06-08,328.0,Shredders
379,2021-06-09,328.0,Shredders
380,2021-06-10,330.0,Shredders
381,2021-06-11,376.0,Shredders
382,2021-06-12,352.0,Shredders
383,2021-06-13,352.0,Shredders
384,2021-06-14,286.0,Shredders
385,2021-06-15,327.0,Shredders
386,2021-06-16,371.0,Shredders
387,2021-06-17,430.0,Shredders
388,2021-06-18,374.0,Shredders
389,2021-06-19,337.0,Shredders
390,2021-06-20,286.0,Shredders
391,2021-06-21,297.0,Shredders
392,2021-06-22,329.0,Shredders
393,2021-06-23,340.0,Shredders
394,2021-06-24,318.0,Shredders
395,2021-06-25,307.0,Shredders
396,2021-06-26,294.0,Shredders
397,2021-06-27,246.0,Shredders
398,2021-06-28,287.0,Shredders
399,2021-06-29,360.0,Shredders
400,2021-06-30,360.0,Shredders
401,2021-07-01,359.0,Shredders
402,2021-07-02,322.0,Shredders
403,2021-07-03,322.0,Shredders
404,2021-07-04,269.0,Shredders
405,2021-07-05,237.0,Shredders
406,2021-07-06,289.0,Shredders
407,2021-07-07,353.0,Shredders
408,2021-07-08,365.0,Shredders
409,2021-07-09,366.0,Shredders
410,2021-07-10,343.0,Shredders
411,2021-07-11,300.0,Shredders
