,date,value,name_B07YB6HSB7
163,2020-03-07,13988.0,Wall & Tabletop Frames
164,2020-03-08,13988.0,Wall & Tabletop Frames
165,2020-03-09,11107.0,Wall & Tabletop Frames
166,2020-03-10,13433.0,Wall & Tabletop Frames
167,2020-03-11,13433.0,Wall & Tabletop Frames
168,2020-03-12,15593.0,Wall & Tabletop Frames
169,2020-03-13,13709.0,Wall & Tabletop Frames
170,2020-03-14,13903.0,Wall & Tabletop Frames
171,2020-03-15,13903.0,Wall & Tabletop Frames
172,2020-03-16,22486.0,Wall & Tabletop Frames
173,2020-03-17,22486.0,Wall & Tabletop Frames
174,2020-03-18,13885.0,Wall & Tabletop Frames
175,2020-03-19,13885.0,Wall & Tabletop Frames
176,2020-03-20,13885.0,Wall & Tabletop Frames
177,2020-03-21,13885.0,Wall & Tabletop Frames
178,2020-03-22,13885.0,Wall & Tabletop Frames
179,2020-03-23,13885.0,Wall & Tabletop Frames
180,2020-03-24,12267.0,Wall & Tabletop Frames
181,2020-03-25,7105.0,Wall & Tabletop Frames
182,2020-03-26,7490.0,Wall & Tabletop Frames
183,2020-03-27,11464.0,Wall & Tabletop Frames
184,2020-03-28,11464.0,Wall & Tabletop Frames
185,2020-03-29,11464.0,Wall & Tabletop Frames
186,2020-03-30,11464.0,Wall & Tabletop Frames
187,2020-03-31,10354.0,Wall & Tabletop Frames
188,2020-04-01,11352.0,Wall & Tabletop Frames
189,2020-04-02,11352.0,Wall & Tabletop Frames
190,2020-04-03,11352.0,Wall & Tabletop Frames
191,2020-04-04,10649.0,Wall & Tabletop Frames
192,2020-04-05,10649.0,Wall & Tabletop Frames
193,2020-04-06,10649.0,Wall & Tabletop Frames
194,2020-04-07,10649.0,Wall & Tabletop Frames
195,2020-04-08,8768.0,Wall & Tabletop Frames
196,2020-04-09,8902.0,Wall & Tabletop Frames
197,2020-04-10,7378.0,Wall & Tabletop Frames
198,2020-04-11,7378.0,Wall & Tabletop Frames
199,2020-04-12,7378.0,Wall & Tabletop Frames
200,2020-04-13,8481.0,Wall & Tabletop Frames
201,2020-04-14,8202.0,Wall & Tabletop Frames
202,2020-04-15,8202.0,Wall & Tabletop Frames
203,2020-04-16,8202.0,Wall & Tabletop Frames
204,2020-04-17,8202.0,Wall & Tabletop Frames
205,2020-04-18,30354.0,Wall & Tabletop Frames
206,2020-04-19,41518.0,Wall & Tabletop Frames
207,2020-04-20,40676.0,Wall & Tabletop Frames
208,2020-04-21,40676.0,Wall & Tabletop Frames
209,2020-04-22,31955.0,Wall & Tabletop Frames
210,2020-04-23,31955.0,Wall & Tabletop Frames
211,2020-04-24,7418.0,Wall & Tabletop Frames
212,2020-04-25,7418.0,Wall & Tabletop Frames
213,2020-04-26,8955.0,Wall & Tabletop Frames
214,2020-04-27,8955.0,Wall & Tabletop Frames
215,2020-04-28,8955.0,Wall & Tabletop Frames
216,2020-04-29,6901.0,Wall & Tabletop Frames
217,2020-04-30,6901.0,Wall & Tabletop Frames
218,2020-05-01,6901.0,Wall & Tabletop Frames
219,2020-05-02,6901.0,Wall & Tabletop Frames
220,2020-05-03,6530.0,Wall & Tabletop Frames
221,2020-05-04,6530.0,Wall & Tabletop Frames
222,2020-05-05,7006.0,Wall & Tabletop Frames
223,2020-05-06,7006.0,Wall & Tabletop Frames
224,2020-05-07,7006.0,Wall & Tabletop Frames
225,2020-05-08,5540.0,Wall & Tabletop Frames
226,2020-05-09,5540.0,Wall & Tabletop Frames
227,2020-05-10,5979.0,Wall & Tabletop Frames
228,2020-05-11,5826.0,Wall & Tabletop Frames
