,date,value,name_B08SC15C7R
48,2021-04-14,26711.0,Mouse Pads
49,2021-04-15,41096.0,Mouse Pads
50,2021-04-16,35162.0,Mouse Pads
51,2021-04-17,56983.0,Mouse Pads
52,2021-04-18,56983.0,Mouse Pads
53,2021-04-19,51411.0,Mouse Pads
54,2021-04-20,49000.0,Mouse Pads
55,2021-04-21,38739.0,Mouse Pads
56,2021-04-22,65749.0,Mouse Pads
57,2021-04-23,57873.0,Mouse Pads
58,2021-04-24,51643.0,Mouse Pads
59,2021-04-25,35289.0,Mouse Pads
60,2021-04-26,50336.0,Mouse Pads
61,2021-04-27,50336.0,Mouse Pads
62,2021-04-28,160538.0,Mouse Pads
63,2021-04-29,177794.0,Mouse Pads
64,2021-04-30,116362.0,Mouse Pads
65,2021-05-01,97126.0,Mouse Pads
66,2021-05-02,97126.0,Mouse Pads
67,2021-05-03,97126.0,Mouse Pads
68,2021-05-04,181381.0,Mouse Pads
69,2021-05-05,181381.0,Mouse Pads
70,2021-05-06,181381.0,Mouse Pads
71,2021-05-07,235780.0,Mouse Pads
72,2021-05-08,235780.0,Mouse Pads
73,2021-05-09,250935.0,Mouse Pads
74,2021-05-10,250935.0,Mouse Pads
75,2021-05-11,250935.0,Mouse Pads
76,2021-05-12,-1.0,Mouse Pads
77,2021-05-13,-1.0,Mouse Pads
78,2021-05-14,-1.0,Mouse Pads
79,2021-05-15,-1.0,Mouse Pads
80,2021-05-16,-1.0,Mouse Pads
81,2021-05-17,-1.0,Mouse Pads
82,2021-05-18,-1.0,Mouse Pads
83,2021-05-19,-1.0,Mouse Pads
84,2021-05-20,-1.0,Mouse Pads
85,2021-05-21,-1.0,Mouse Pads
86,2021-05-22,-1.0,Mouse Pads
87,2021-05-23,-1.0,Mouse Pads
88,2021-05-24,-1.0,Mouse Pads
89,2021-05-25,-1.0,Mouse Pads
90,2021-05-26,-1.0,Mouse Pads
91,2021-05-27,-1.0,Mouse Pads
92,2021-05-28,-1.0,Mouse Pads
93,2021-05-29,-1.0,Mouse Pads
94,2021-05-30,13403.0,Mouse Pads
95,2021-05-31,14109.0,Mouse Pads
96,2021-06-01,17722.0,Mouse Pads
97,2021-06-02,16941.0,Mouse Pads
98,2021-06-03,16114.0,Mouse Pads
99,2021-06-04,16114.0,Mouse Pads
100,2021-06-05,16114.0,Mouse Pads
101,2021-06-06,16114.0,Mouse Pads
102,2021-06-07,16114.0,Mouse Pads
103,2021-06-08,16114.0,Mouse Pads
104,2021-06-09,16114.0,Mouse Pads
105,2021-06-10,16114.0,Mouse Pads
106,2021-06-11,16114.0,Mouse Pads
107,2021-06-12,16114.0,Mouse Pads
108,2021-06-13,16114.0,Mouse Pads
109,2021-06-14,16114.0,Mouse Pads
110,2021-06-15,16114.0,Mouse Pads
111,2021-06-16,16114.0,Mouse Pads
112,2021-06-17,72612.0,Mouse Pads
113,2021-06-18,72612.0,Mouse Pads
114,2021-06-19,72612.0,Mouse Pads
115,2021-06-20,72612.0,Mouse Pads
116,2021-06-21,72612.0,Mouse Pads
117,2021-06-22,72612.0,Mouse Pads
118,2021-06-23,53725.0,Mouse Pads
119,2021-06-24,53725.0,Mouse Pads
120,2021-06-25,53725.0,Mouse Pads
121,2021-06-26,53725.0,Mouse Pads
122,2021-06-27,53725.0,Mouse Pads
123,2021-06-28,53725.0,Mouse Pads
124,2021-06-29,53725.0,Mouse Pads
125,2021-06-30,53725.0,Mouse Pads
126,2021-07-01,53725.0,Mouse Pads
127,2021-07-02,53725.0,Mouse Pads
128,2021-07-03,53725.0,Mouse Pads
129,2021-07-04,53725.0,Mouse Pads
130,2021-07-05,53725.0,Mouse Pads
131,2021-07-06,53725.0,Mouse Pads
132,2021-07-07,53725.0,Mouse Pads
133,2021-07-08,53725.0,Mouse Pads
134,2021-07-09,20612.0,Mouse Pads
