,date,value,name_B08RDQH5MX
123,2021-05-04,10327.0,Carts & Stands
124,2021-05-05,8460.0,Carts & Stands
125,2021-05-06,8460.0,Carts & Stands
126,2021-05-07,8460.0,Carts & Stands
127,2021-05-08,8460.0,Carts & Stands
128,2021-05-09,9279.0,Carts & Stands
129,2021-05-10,9279.0,Carts & Stands
130,2021-05-11,9317.0,Carts & Stands
131,2021-05-12,9317.0,Carts & Stands
132,2021-05-13,9064.0,Carts & Stands
133,2021-05-14,9064.0,Carts & Stands
134,2021-05-15,9064.0,Carts & Stands
135,2021-05-16,9064.0,Carts & Stands
136,2021-05-17,8456.0,Carts & Stands
137,2021-05-18,8456.0,Carts & Stands
138,2021-05-19,8456.0,Carts & Stands
139,2021-05-20,6243.0,Carts & Stands
140,2021-05-21,6243.0,Carts & Stands
141,2021-05-22,6420.0,Carts & Stands
142,2021-05-23,6420.0,Carts & Stands
143,2021-05-24,6420.0,Carts & Stands
144,2021-05-25,9014.0,Carts & Stands
145,2021-05-26,9014.0,Carts & Stands
146,2021-05-27,14314.0,Carts & Stands
147,2021-05-28,14314.0,Carts & Stands
148,2021-05-29,111283.0,Carts & Stands
149,2021-05-30,111283.0,Carts & Stands
150,2021-05-31,90516.0,Carts & Stands
151,2021-06-01,90516.0,Carts & Stands
152,2021-06-02,90516.0,Carts & Stands
153,2021-06-03,16801.0,Carts & Stands
154,2021-06-04,16801.0,Carts & Stands
155,2021-06-05,16801.0,Carts & Stands
156,2021-06-06,10843.0,Carts & Stands
157,2021-06-07,10843.0,Carts & Stands
158,2021-06-08,10722.0,Carts & Stands
159,2021-06-09,7628.0,Carts & Stands
160,2021-06-10,7628.0,Carts & Stands
161,2021-06-11,7628.0,Carts & Stands
162,2021-06-12,2898.0,Carts & Stands
163,2021-06-13,2898.0,Carts & Stands
164,2021-06-14,1727.0,Carts & Stands
165,2021-06-15,3102.0,Carts & Stands
166,2021-06-16,3781.0,Carts & Stands
167,2021-06-17,3781.0,Carts & Stands
168,2021-06-18,5110.0,Carts & Stands
169,2021-06-19,5110.0,Carts & Stands
170,2021-06-20,3610.0,Carts & Stands
171,2021-06-21,3610.0,Carts & Stands
172,2021-06-22,5438.0,Carts & Stands
173,2021-06-23,4949.0,Carts & Stands
174,2021-06-24,4949.0,Carts & Stands
175,2021-06-25,4949.0,Carts & Stands
176,2021-06-26,4949.0,Carts & Stands
177,2021-06-27,6334.0,Carts & Stands
178,2021-06-28,6334.0,Carts & Stands
179,2021-06-29,10035.0,Carts & Stands
180,2021-06-30,10791.0,Carts & Stands
181,2021-07-01,8638.0,Carts & Stands
182,2021-07-02,8638.0,Carts & Stands
183,2021-07-03,5906.0,Carts & Stands
184,2021-07-04,5906.0,Carts & Stands
185,2021-07-05,8042.0,Carts & Stands
186,2021-07-06,8293.0,Carts & Stands
187,2021-07-07,8174.0,Carts & Stands
