,date,value,name_B08Q3TLHF4
112,2021-04-28,9862.0,Chef's Knives
113,2021-04-29,11785.0,Chef's Knives
114,2021-04-30,10321.0,Chef's Knives
115,2021-05-01,9652.0,Chef's Knives
116,2021-05-02,10022.0,Chef's Knives
117,2021-05-03,10022.0,Chef's Knives
118,2021-05-04,11406.0,Chef's Knives
119,2021-05-05,10476.0,Chef's Knives
120,2021-05-06,10227.0,Chef's Knives
121,2021-05-07,11638.0,Chef's Knives
122,2021-05-08,10110.0,Chef's Knives
123,2021-05-09,10110.0,Chef's Knives
124,2021-05-10,11508.0,Chef's Knives
125,2021-05-11,11117.0,Chef's Knives
126,2021-05-12,11117.0,Chef's Knives
127,2021-05-13,19523.0,Chef's Knives
128,2021-05-14,21565.0,Chef's Knives
129,2021-05-15,18766.0,Chef's Knives
130,2021-05-16,18733.0,Chef's Knives
131,2021-05-17,10712.0,Chef's Knives
132,2021-05-18,12461.0,Chef's Knives
133,2021-05-19,16599.0,Chef's Knives
134,2021-05-20,19807.0,Chef's Knives
135,2021-05-21,17734.0,Chef's Knives
136,2021-05-22,28735.0,Chef's Knives
137,2021-05-23,34906.0,Chef's Knives
138,2021-05-24,34865.0,Chef's Knives
139,2021-05-25,29193.0,Chef's Knives
140,2021-05-26,36084.0,Chef's Knives
141,2021-05-27,18949.0,Chef's Knives
142,2021-05-28,21378.0,Chef's Knives
143,2021-05-29,21378.0,Chef's Knives
144,2021-05-30,21378.0,Chef's Knives
145,2021-05-31,20409.0,Chef's Knives
146,2021-06-01,20137.0,Chef's Knives
147,2021-06-02,13903.0,Chef's Knives
148,2021-06-03,18568.0,Chef's Knives
149,2021-06-04,18568.0,Chef's Knives
150,2021-06-05,16848.0,Chef's Knives
151,2021-06-06,19693.0,Chef's Knives
152,2021-06-07,23051.0,Chef's Knives
153,2021-06-08,23385.0,Chef's Knives
154,2021-06-09,18476.0,Chef's Knives
155,2021-06-10,18476.0,Chef's Knives
156,2021-06-11,10399.0,Chef's Knives
157,2021-06-12,12876.0,Chef's Knives
158,2021-06-13,10024.0,Chef's Knives
159,2021-06-14,11367.0,Chef's Knives
160,2021-06-15,9971.0,Chef's Knives
161,2021-06-16,12847.0,Chef's Knives
162,2021-06-17,12847.0,Chef's Knives
163,2021-06-18,8237.0,Chef's Knives
164,2021-06-19,6075.0,Chef's Knives
165,2021-06-20,5233.0,Chef's Knives
166,2021-06-21,9810.0,Chef's Knives
167,2021-06-22,160933.0,Chef's Knives
168,2021-06-23,97677.0,Chef's Knives
169,2021-06-24,185471.0,Chef's Knives
170,2021-06-25,199212.0,Chef's Knives
171,2021-06-26,211994.0,Chef's Knives
172,2021-06-27,232582.0,Chef's Knives
173,2021-06-28,232582.0,Chef's Knives
174,2021-06-29,130415.0,Chef's Knives
175,2021-06-30,179680.0,Chef's Knives
176,2021-07-01,179680.0,Chef's Knives
177,2021-07-02,164566.0,Chef's Knives
178,2021-07-03,181443.0,Chef's Knives
179,2021-07-04,158231.0,Chef's Knives
180,2021-07-05,158231.0,Chef's Knives
181,2021-07-06,99401.0,Chef's Knives
182,2021-07-07,147360.0,Chef's Knives
183,2021-07-08,200143.0,Chef's Knives
184,2021-07-09,232471.0,Chef's Knives
