,date,value,name_B08TWR142R
134,2021-06-13,12503.0,Sofa Slipcovers
135,2021-06-14,15153.0,Sofa Slipcovers
136,2021-06-15,15153.0,Sofa Slipcovers
137,2021-06-16,15153.0,Sofa Slipcovers
138,2021-06-17,15153.0,Sofa Slipcovers
139,2021-06-18,16997.0,Sofa Slipcovers
140,2021-06-19,17461.0,Sofa Slipcovers
141,2021-06-20,17461.0,Sofa Slipcovers
142,2021-06-21,17461.0,Sofa Slipcovers
143,2021-06-22,14661.0,Sofa Slipcovers
144,2021-06-23,14661.0,Sofa Slipcovers
145,2021-06-24,14661.0,Sofa Slipcovers
146,2021-06-25,16932.0,Sofa Slipcovers
147,2021-06-26,16932.0,Sofa Slipcovers
148,2021-06-27,16932.0,Sofa Slipcovers
149,2021-06-28,13884.0,Sofa Slipcovers
150,2021-06-29,13884.0,Sofa Slipcovers
151,2021-06-30,13758.0,Sofa Slipcovers
152,2021-07-01,11118.0,Sofa Slipcovers
153,2021-07-02,11118.0,Sofa Slipcovers
154,2021-07-03,12414.0,Sofa Slipcovers
155,2021-07-04,12414.0,Sofa Slipcovers
156,2021-07-05,12414.0,Sofa Slipcovers
157,2021-07-06,14191.0,Sofa Slipcovers
158,2021-07-07,14191.0,Sofa Slipcovers
159,2021-07-08,14191.0,Sofa Slipcovers
160,2021-07-09,10719.0,Sofa Slipcovers
161,2021-07-10,10719.0,Sofa Slipcovers
162,2021-07-11,11189.0,Sofa Slipcovers
