,date,value,name_B0882P2J3Z
137,2020-11-22,10793.0,Full-Sized Inflatable Pools
138,2020-11-23,7175.0,Full-Sized Inflatable Pools
139,2020-11-24,7175.0,Full-Sized Inflatable Pools
140,2020-11-25,17615.0,Full-Sized Inflatable Pools
141,2020-11-26,17615.0,Full-Sized Inflatable Pools
142,2020-11-27,17615.0,Full-Sized Inflatable Pools
143,2020-11-28,17615.0,Full-Sized Inflatable Pools
144,2020-11-29,17615.0,Full-Sized Inflatable Pools
145,2020-11-30,9357.0,Full-Sized Inflatable Pools
146,2020-12-01,9063.0,Full-Sized Inflatable Pools
147,2020-12-02,13749.0,Full-Sized Inflatable Pools
148,2020-12-03,13749.0,Full-Sized Inflatable Pools
149,2020-12-04,20494.0,Full-Sized Inflatable Pools
150,2020-12-05,20494.0,Full-Sized Inflatable Pools
151,2020-12-06,31054.0,Full-Sized Inflatable Pools
152,2020-12-07,28539.0,Full-Sized Inflatable Pools
153,2020-12-08,32704.0,Full-Sized Inflatable Pools
154,2020-12-09,32704.0,Full-Sized Inflatable Pools
155,2020-12-10,26407.0,Full-Sized Inflatable Pools
156,2020-12-11,35208.0,Full-Sized Inflatable Pools
157,2020-12-12,34194.0,Full-Sized Inflatable Pools
158,2020-12-13,46646.0,Full-Sized Inflatable Pools
159,2020-12-14,45655.0,Full-Sized Inflatable Pools
160,2020-12-15,44942.0,Full-Sized Inflatable Pools
161,2020-12-16,61948.0,Full-Sized Inflatable Pools
162,2020-12-17,57133.0,Full-Sized Inflatable Pools
163,2020-12-18,43136.0,Full-Sized Inflatable Pools
164,2020-12-19,31394.0,Full-Sized Inflatable Pools
165,2020-12-20,30338.0,Full-Sized Inflatable Pools
166,2020-12-21,27558.0,Full-Sized Inflatable Pools
167,2020-12-22,36342.0,Full-Sized Inflatable Pools
168,2020-12-23,42856.0,Full-Sized Inflatable Pools
169,2020-12-24,44130.0,Full-Sized Inflatable Pools
170,2020-12-25,49761.0,Full-Sized Inflatable Pools
171,2020-12-26,49761.0,Full-Sized Inflatable Pools
172,2020-12-27,49761.0,Full-Sized Inflatable Pools
173,2020-12-28,49761.0,Full-Sized Inflatable Pools
174,2020-12-29,49761.0,Full-Sized Inflatable Pools
175,2020-12-30,53151.0,Full-Sized Inflatable Pools
176,2020-12-31,53151.0,Full-Sized Inflatable Pools
177,2021-01-01,53151.0,Full-Sized Inflatable Pools
178,2021-01-02,53151.0,Full-Sized Inflatable Pools
179,2021-01-03,53151.0,Full-Sized Inflatable Pools
180,2021-01-04,54748.0,Full-Sized Inflatable Pools
181,2021-01-05,54748.0,Full-Sized Inflatable Pools
182,2021-01-06,49008.0,Full-Sized Inflatable Pools
183,2021-01-07,49008.0,Full-Sized Inflatable Pools
184,2021-01-08,61426.0,Full-Sized Inflatable Pools
185,2021-01-09,61426.0,Full-Sized Inflatable Pools
186,2021-01-10,61426.0,Full-Sized Inflatable Pools
187,2021-01-11,61426.0,Full-Sized Inflatable Pools
188,2021-01-12,61426.0,Full-Sized Inflatable Pools
189,2021-01-13,61663.0,Full-Sized Inflatable Pools
190,2021-01-14,71660.0,Full-Sized Inflatable Pools
