,date,value,name_B08CVBRGZT
46,2020-09-12,10395.0,Wall-Mounted Mirrors
47,2020-09-13,14491.0,Wall-Mounted Mirrors
48,2020-09-14,14491.0,Wall-Mounted Mirrors
49,2020-09-15,14491.0,Wall-Mounted Mirrors
50,2020-09-16,11394.0,Wall-Mounted Mirrors
51,2020-09-17,12752.0,Wall-Mounted Mirrors
52,2020-09-18,12752.0,Wall-Mounted Mirrors
53,2020-09-19,12752.0,Wall-Mounted Mirrors
54,2020-09-20,20929.0,Wall-Mounted Mirrors
55,2020-09-21,20929.0,Wall-Mounted Mirrors
56,2020-09-22,19568.0,Wall-Mounted Mirrors
57,2020-09-23,22331.0,Wall-Mounted Mirrors
58,2020-09-24,22331.0,Wall-Mounted Mirrors
59,2020-09-25,17848.0,Wall-Mounted Mirrors
60,2020-09-26,17848.0,Wall-Mounted Mirrors
61,2020-09-27,17848.0,Wall-Mounted Mirrors
62,2020-09-28,15206.0,Wall-Mounted Mirrors
63,2020-09-29,15206.0,Wall-Mounted Mirrors
64,2020-09-30,10767.0,Wall-Mounted Mirrors
65,2020-10-01,10767.0,Wall-Mounted Mirrors
66,2020-10-02,10767.0,Wall-Mounted Mirrors
67,2020-10-03,7750.0,Wall-Mounted Mirrors
68,2020-10-04,7750.0,Wall-Mounted Mirrors
69,2020-10-05,7739.0,Wall-Mounted Mirrors
70,2020-10-06,6775.0,Wall-Mounted Mirrors
71,2020-10-07,6775.0,Wall-Mounted Mirrors
72,2020-10-08,6569.0,Wall-Mounted Mirrors
73,2020-10-09,6569.0,Wall-Mounted Mirrors
74,2020-10-10,6569.0,Wall-Mounted Mirrors
75,2020-10-11,6569.0,Wall-Mounted Mirrors
76,2020-10-12,7834.0,Wall-Mounted Mirrors
77,2020-10-13,7834.0,Wall-Mounted Mirrors
78,2020-10-14,9947.0,Wall-Mounted Mirrors
79,2020-10-15,9947.0,Wall-Mounted Mirrors
80,2020-10-16,9947.0,Wall-Mounted Mirrors
81,2020-10-17,8770.0,Wall-Mounted Mirrors
82,2020-10-18,8770.0,Wall-Mounted Mirrors
83,2020-10-19,8770.0,Wall-Mounted Mirrors
84,2020-10-20,7839.0,Wall-Mounted Mirrors
85,2020-10-21,7839.0,Wall-Mounted Mirrors
86,2020-10-22,7839.0,Wall-Mounted Mirrors
87,2020-10-23,7634.0,Wall-Mounted Mirrors
88,2020-10-24,6455.0,Wall-Mounted Mirrors
89,2020-10-25,7510.0,Wall-Mounted Mirrors
90,2020-10-26,7018.0,Wall-Mounted Mirrors
91,2020-10-27,8072.0,Wall-Mounted Mirrors
92,2020-10-28,8072.0,Wall-Mounted Mirrors
93,2020-10-29,5653.0,Wall-Mounted Mirrors
94,2020-10-30,5653.0,Wall-Mounted Mirrors
95,2020-10-31,5653.0,Wall-Mounted Mirrors
96,2020-11-01,6947.0,Wall-Mounted Mirrors
97,2020-11-02,6947.0,Wall-Mounted Mirrors
98,2020-11-03,6597.0,Wall-Mounted Mirrors
99,2020-11-04,7159.0,Wall-Mounted Mirrors
100,2020-11-05,5753.0,Wall-Mounted Mirrors
101,2020-11-06,6878.0,Wall-Mounted Mirrors
102,2020-11-07,6921.0,Wall-Mounted Mirrors
103,2020-11-08,6921.0,Wall-Mounted Mirrors
104,2020-11-09,7522.0,Wall-Mounted Mirrors
105,2020-11-10,7522.0,Wall-Mounted Mirrors
106,2020-11-11,8834.0,Wall-Mounted Mirrors
107,2020-11-12,8834.0,Wall-Mounted Mirrors
108,2020-11-13,8700.0,Wall-Mounted Mirrors
109,2020-11-14,8700.0,Wall-Mounted Mirrors
110,2020-11-15,8700.0,Wall-Mounted Mirrors
111,2020-11-16,9623.0,Wall-Mounted Mirrors
112,2020-11-17,9623.0,Wall-Mounted Mirrors
113,2020-11-18,9623.0,Wall-Mounted Mirrors
114,2020-11-19,11123.0,Wall-Mounted Mirrors
115,2020-11-20,11123.0,Wall-Mounted Mirrors
116,2020-11-21,11123.0,Wall-Mounted Mirrors
117,2020-11-22,11123.0,Wall-Mounted Mirrors
118,2020-11-23,22231.0,Wall-Mounted Mirrors
119,2020-11-24,22231.0,Wall-Mounted Mirrors
120,2020-11-25,22231.0,Wall-Mounted Mirrors
121,2020-11-26,16692.0,Wall-Mounted Mirrors
122,2020-11-27,11252.0,Wall-Mounted Mirrors
123,2020-11-28,11252.0,Wall-Mounted Mirrors
124,2020-11-29,11252.0,Wall-Mounted Mirrors
125,2020-11-30,11252.0,Wall-Mounted Mirrors
126,2020-12-01,12939.0,Wall-Mounted Mirrors
127,2020-12-02,14139.0,Wall-Mounted Mirrors
128,2020-12-03,14139.0,Wall-Mounted Mirrors
129,2020-12-04,14139.0,Wall-Mounted Mirrors
130,2020-12-05,8805.0,Wall-Mounted Mirrors
131,2020-12-06,8805.0,Wall-Mounted Mirrors
132,2020-12-07,8805.0,Wall-Mounted Mirrors
133,2020-12-08,8805.0,Wall-Mounted Mirrors
134,2020-12-09,8721.0,Wall-Mounted Mirrors
135,2020-12-10,8721.0,Wall-Mounted Mirrors
136,2020-12-11,7688.0,Wall-Mounted Mirrors
137,2020-12-12,7688.0,Wall-Mounted Mirrors
138,2020-12-13,7688.0,Wall-Mounted Mirrors
139,2020-12-14,6969.0,Wall-Mounted Mirrors
140,2020-12-15,6969.0,Wall-Mounted Mirrors
141,2020-12-16,6969.0,Wall-Mounted Mirrors
142,2020-12-17,16619.0,Wall-Mounted Mirrors
143,2020-12-18,16619.0,Wall-Mounted Mirrors
144,2020-12-19,31635.0,Wall-Mounted Mirrors
145,2020-12-20,63572.0,Wall-Mounted Mirrors
146,2020-12-21,63572.0,Wall-Mounted Mirrors
147,2020-12-22,63572.0,Wall-Mounted Mirrors
148,2020-12-23,63572.0,Wall-Mounted Mirrors
149,2020-12-24,72425.0,Wall-Mounted Mirrors
150,2020-12-25,72425.0,Wall-Mounted Mirrors
151,2020-12-26,72425.0,Wall-Mounted Mirrors
152,2020-12-27,72425.0,Wall-Mounted Mirrors
153,2020-12-28,72425.0,Wall-Mounted Mirrors
154,2020-12-29,136490.0,Wall-Mounted Mirrors
155,2020-12-30,136490.0,Wall-Mounted Mirrors
156,2020-12-31,85051.0,Wall-Mounted Mirrors
157,2021-01-01,85051.0,Wall-Mounted Mirrors
158,2021-01-02,85051.0,Wall-Mounted Mirrors
159,2021-01-03,85051.0,Wall-Mounted Mirrors
160,2021-01-04,85051.0,Wall-Mounted Mirrors
161,2021-01-05,49976.0,Wall-Mounted Mirrors
162,2021-01-06,49976.0,Wall-Mounted Mirrors
163,2021-01-07,49976.0,Wall-Mounted Mirrors
164,2021-01-08,49976.0,Wall-Mounted Mirrors
165,2021-01-09,49976.0,Wall-Mounted Mirrors
166,2021-01-10,49976.0,Wall-Mounted Mirrors
167,2021-01-11,74444.0,Wall-Mounted Mirrors
168,2021-01-12,74444.0,Wall-Mounted Mirrors
169,2021-01-13,74444.0,Wall-Mounted Mirrors
170,2021-01-14,133548.0,Wall-Mounted Mirrors
171,2021-01-15,133548.0,Wall-Mounted Mirrors
172,2021-01-16,133548.0,Wall-Mounted Mirrors
173,2021-01-17,133548.0,Wall-Mounted Mirrors
174,2021-01-18,146158.0,Wall-Mounted Mirrors
175,2021-01-19,146158.0,Wall-Mounted Mirrors
176,2021-01-20,146158.0,Wall-Mounted Mirrors
177,2021-01-21,146158.0,Wall-Mounted Mirrors
178,2021-01-22,146158.0,Wall-Mounted Mirrors
179,2021-01-23,146158.0,Wall-Mounted Mirrors
180,2021-01-24,146158.0,Wall-Mounted Mirrors
181,2021-01-25,24601.0,Wall-Mounted Mirrors
182,2021-01-26,24601.0,Wall-Mounted Mirrors
183,2021-01-27,24601.0,Wall-Mounted Mirrors
184,2021-01-28,24601.0,Wall-Mounted Mirrors
185,2021-01-29,22253.0,Wall-Mounted Mirrors
186,2021-01-30,22253.0,Wall-Mounted Mirrors
187,2021-01-31,22253.0,Wall-Mounted Mirrors
188,2021-02-01,14665.0,Wall-Mounted Mirrors
189,2021-02-02,14665.0,Wall-Mounted Mirrors
190,2021-02-03,14665.0,Wall-Mounted Mirrors
191,2021-02-04,14665.0,Wall-Mounted Mirrors
192,2021-02-05,14665.0,Wall-Mounted Mirrors
193,2021-02-06,14665.0,Wall-Mounted Mirrors
194,2021-02-07,16423.0,Wall-Mounted Mirrors
195,2021-02-08,14258.0,Wall-Mounted Mirrors
196,2021-02-09,14258.0,Wall-Mounted Mirrors
197,2021-02-10,14258.0,Wall-Mounted Mirrors
198,2021-02-11,10562.0,Wall-Mounted Mirrors
199,2021-02-12,10562.0,Wall-Mounted Mirrors
200,2021-02-13,10562.0,Wall-Mounted Mirrors
201,2021-02-14,10562.0,Wall-Mounted Mirrors
202,2021-02-15,10562.0,Wall-Mounted Mirrors
203,2021-02-16,10261.0,Wall-Mounted Mirrors
204,2021-02-17,10261.0,Wall-Mounted Mirrors
205,2021-02-18,10261.0,Wall-Mounted Mirrors
206,2021-02-19,8158.0,Wall-Mounted Mirrors
207,2021-02-20,8158.0,Wall-Mounted Mirrors
208,2021-02-21,8158.0,Wall-Mounted Mirrors
209,2021-02-22,8780.0,Wall-Mounted Mirrors
210,2021-02-23,8780.0,Wall-Mounted Mirrors
211,2021-02-24,8780.0,Wall-Mounted Mirrors
212,2021-02-25,6311.0,Wall-Mounted Mirrors
213,2021-02-26,7369.0,Wall-Mounted Mirrors
214,2021-02-27,6536.0,Wall-Mounted Mirrors
215,2021-02-28,7549.0,Wall-Mounted Mirrors
216,2021-03-01,8532.0,Wall-Mounted Mirrors
217,2021-03-02,6192.0,Wall-Mounted Mirrors
218,2021-03-03,6192.0,Wall-Mounted Mirrors
219,2021-03-04,6192.0,Wall-Mounted Mirrors
220,2021-03-05,6628.0,Wall-Mounted Mirrors
221,2021-03-06,6628.0,Wall-Mounted Mirrors
222,2021-03-07,7943.0,Wall-Mounted Mirrors
223,2021-03-08,7943.0,Wall-Mounted Mirrors
224,2021-03-09,7134.0,Wall-Mounted Mirrors
225,2021-03-10,6550.0,Wall-Mounted Mirrors
226,2021-03-11,6697.0,Wall-Mounted Mirrors
227,2021-03-12,6697.0,Wall-Mounted Mirrors
228,2021-03-13,6413.0,Wall-Mounted Mirrors
229,2021-03-14,6413.0,Wall-Mounted Mirrors
230,2021-03-15,6238.0,Wall-Mounted Mirrors
231,2021-03-16,6238.0,Wall-Mounted Mirrors
232,2021-03-17,6238.0,Wall-Mounted Mirrors
233,2021-03-18,5327.0,Wall-Mounted Mirrors
234,2021-03-19,5327.0,Wall-Mounted Mirrors
235,2021-03-20,5327.0,Wall-Mounted Mirrors
236,2021-03-21,5327.0,Wall-Mounted Mirrors
237,2021-03-22,19584.0,Wall-Mounted Mirrors
238,2021-03-23,19584.0,Wall-Mounted Mirrors
239,2021-03-24,19584.0,Wall-Mounted Mirrors
240,2021-03-25,15803.0,Wall-Mounted Mirrors
241,2021-03-26,15803.0,Wall-Mounted Mirrors
242,2021-03-27,15803.0,Wall-Mounted Mirrors
243,2021-03-28,15803.0,Wall-Mounted Mirrors
244,2021-03-29,16414.0,Wall-Mounted Mirrors
245,2021-03-30,16414.0,Wall-Mounted Mirrors
246,2021-03-31,16414.0,Wall-Mounted Mirrors
247,2021-04-01,12598.0,Wall-Mounted Mirrors
248,2021-04-02,12598.0,Wall-Mounted Mirrors
249,2021-04-03,12598.0,Wall-Mounted Mirrors
250,2021-04-04,12598.0,Wall-Mounted Mirrors
251,2021-04-05,10389.0,Wall-Mounted Mirrors
252,2021-04-06,10389.0,Wall-Mounted Mirrors
253,2021-04-07,8179.0,Wall-Mounted Mirrors
254,2021-04-08,8179.0,Wall-Mounted Mirrors
255,2021-04-09,8902.0,Wall-Mounted Mirrors
256,2021-04-10,8902.0,Wall-Mounted Mirrors
257,2021-04-11,8777.0,Wall-Mounted Mirrors
258,2021-04-12,9750.0,Wall-Mounted Mirrors
259,2021-04-13,9750.0,Wall-Mounted Mirrors
260,2021-04-14,8776.0,Wall-Mounted Mirrors
261,2021-04-15,8776.0,Wall-Mounted Mirrors
262,2021-04-16,8776.0,Wall-Mounted Mirrors
263,2021-04-17,6912.0,Wall-Mounted Mirrors
264,2021-04-18,6912.0,Wall-Mounted Mirrors
265,2021-04-19,11894.0,Wall-Mounted Mirrors
266,2021-04-20,11894.0,Wall-Mounted Mirrors
267,2021-04-21,7082.0,Wall-Mounted Mirrors
268,2021-04-22,8595.0,Wall-Mounted Mirrors
269,2021-04-23,8595.0,Wall-Mounted Mirrors
270,2021-04-24,7775.0,Wall-Mounted Mirrors
271,2021-04-25,7775.0,Wall-Mounted Mirrors
272,2021-04-26,10323.0,Wall-Mounted Mirrors
273,2021-04-27,10323.0,Wall-Mounted Mirrors
274,2021-04-28,10323.0,Wall-Mounted Mirrors
275,2021-04-29,10307.0,Wall-Mounted Mirrors
276,2021-04-30,10307.0,Wall-Mounted Mirrors
277,2021-05-01,6970.0,Wall-Mounted Mirrors
278,2021-05-02,6970.0,Wall-Mounted Mirrors
279,2021-05-03,6970.0,Wall-Mounted Mirrors
280,2021-05-04,11508.0,Wall-Mounted Mirrors
281,2021-05-05,11508.0,Wall-Mounted Mirrors
282,2021-05-06,9898.0,Wall-Mounted Mirrors
283,2021-05-07,9898.0,Wall-Mounted Mirrors
284,2021-05-08,10081.0,Wall-Mounted Mirrors
285,2021-05-09,10081.0,Wall-Mounted Mirrors
286,2021-05-10,10046.0,Wall-Mounted Mirrors
287,2021-05-11,9336.0,Wall-Mounted Mirrors
288,2021-05-12,9336.0,Wall-Mounted Mirrors
289,2021-05-13,9005.0,Wall-Mounted Mirrors
290,2021-05-14,9005.0,Wall-Mounted Mirrors
291,2021-05-15,8960.0,Wall-Mounted Mirrors
292,2021-05-16,8929.0,Wall-Mounted Mirrors
293,2021-05-17,8929.0,Wall-Mounted Mirrors
294,2021-05-18,9435.0,Wall-Mounted Mirrors
295,2021-05-19,8223.0,Wall-Mounted Mirrors
296,2021-05-20,9087.0,Wall-Mounted Mirrors
297,2021-05-21,7036.0,Wall-Mounted Mirrors
298,2021-05-22,8041.0,Wall-Mounted Mirrors
299,2021-05-23,8041.0,Wall-Mounted Mirrors
300,2021-05-24,11010.0,Wall-Mounted Mirrors
301,2021-05-25,9390.0,Wall-Mounted Mirrors
302,2021-05-26,9390.0,Wall-Mounted Mirrors
303,2021-05-27,9390.0,Wall-Mounted Mirrors
304,2021-05-28,7376.0,Wall-Mounted Mirrors
305,2021-05-29,8400.0,Wall-Mounted Mirrors
306,2021-05-30,8400.0,Wall-Mounted Mirrors
307,2021-05-31,9492.0,Wall-Mounted Mirrors
308,2021-06-01,8622.0,Wall-Mounted Mirrors
309,2021-06-02,8622.0,Wall-Mounted Mirrors
310,2021-06-03,7256.0,Wall-Mounted Mirrors
311,2021-06-04,7256.0,Wall-Mounted Mirrors
312,2021-06-05,8581.0,Wall-Mounted Mirrors
313,2021-06-06,8581.0,Wall-Mounted Mirrors
314,2021-06-07,8381.0,Wall-Mounted Mirrors
315,2021-06-08,10160.0,Wall-Mounted Mirrors
316,2021-06-09,10160.0,Wall-Mounted Mirrors
317,2021-06-10,11397.0,Wall-Mounted Mirrors
318,2021-06-11,11397.0,Wall-Mounted Mirrors
319,2021-06-12,7871.0,Wall-Mounted Mirrors
320,2021-06-13,7871.0,Wall-Mounted Mirrors
321,2021-06-14,8830.0,Wall-Mounted Mirrors
322,2021-06-15,8830.0,Wall-Mounted Mirrors
323,2021-06-16,8830.0,Wall-Mounted Mirrors
324,2021-06-17,8584.0,Wall-Mounted Mirrors
325,2021-06-18,8584.0,Wall-Mounted Mirrors
326,2021-06-19,8584.0,Wall-Mounted Mirrors
327,2021-06-20,8587.0,Wall-Mounted Mirrors
328,2021-06-21,8697.0,Wall-Mounted Mirrors
329,2021-06-22,8697.0,Wall-Mounted Mirrors
330,2021-06-23,8697.0,Wall-Mounted Mirrors
331,2021-06-24,6747.0,Wall-Mounted Mirrors
332,2021-06-25,6747.0,Wall-Mounted Mirrors
333,2021-06-26,5562.0,Wall-Mounted Mirrors
334,2021-06-27,5562.0,Wall-Mounted Mirrors
335,2021-06-28,7686.0,Wall-Mounted Mirrors
336,2021-06-29,6071.0,Wall-Mounted Mirrors
337,2021-06-30,6071.0,Wall-Mounted Mirrors
338,2021-07-01,5417.0,Wall-Mounted Mirrors
339,2021-07-02,5417.0,Wall-Mounted Mirrors
340,2021-07-03,5136.0,Wall-Mounted Mirrors
341,2021-07-04,5136.0,Wall-Mounted Mirrors
342,2021-07-05,6640.0,Wall-Mounted Mirrors
343,2021-07-06,6640.0,Wall-Mounted Mirrors
344,2021-07-07,6305.0,Wall-Mounted Mirrors
345,2021-07-08,6305.0,Wall-Mounted Mirrors
346,2021-07-09,5524.0,Wall-Mounted Mirrors
347,2021-07-10,5524.0,Wall-Mounted Mirrors
348,2021-07-11,5360.0,Wall-Mounted Mirrors
