,date,value,name_B08GQW6GH5
106,2020-12-14,25173.0,Can Liners
107,2020-12-15,20974.0,Can Liners
108,2020-12-16,15944.0,Can Liners
109,2020-12-17,15944.0,Can Liners
110,2020-12-18,13551.0,Can Liners
111,2020-12-19,16877.0,Can Liners
112,2020-12-20,16877.0,Can Liners
113,2020-12-21,16877.0,Can Liners
114,2020-12-22,15172.0,Can Liners
115,2020-12-23,12172.0,Can Liners
116,2020-12-24,11534.0,Can Liners
117,2020-12-25,11534.0,Can Liners
118,2020-12-26,11534.0,Can Liners
119,2020-12-27,11534.0,Can Liners
120,2020-12-28,26077.0,Can Liners
121,2020-12-29,26077.0,Can Liners
122,2020-12-30,12174.0,Can Liners
123,2020-12-31,15224.0,Can Liners
124,2021-01-01,16577.0,Can Liners
125,2021-01-02,16577.0,Can Liners
126,2021-01-03,16577.0,Can Liners
127,2021-01-04,23760.0,Can Liners
128,2021-01-05,23760.0,Can Liners
129,2021-01-06,12569.0,Can Liners
130,2021-01-07,12569.0,Can Liners
131,2021-01-08,12569.0,Can Liners
132,2021-01-09,10018.0,Can Liners
133,2021-01-10,14682.0,Can Liners
134,2021-01-11,14433.0,Can Liners
135,2021-01-12,12404.0,Can Liners
136,2021-01-13,12404.0,Can Liners
137,2021-01-14,10877.0,Can Liners
138,2021-01-15,11769.0,Can Liners
139,2021-01-16,13940.0,Can Liners
140,2021-01-17,16206.0,Can Liners
141,2021-01-18,16206.0,Can Liners
142,2021-01-19,16206.0,Can Liners
143,2021-01-20,12657.0,Can Liners
144,2021-01-21,10440.0,Can Liners
145,2021-01-22,10440.0,Can Liners
146,2021-01-23,10440.0,Can Liners
147,2021-01-24,13086.0,Can Liners
148,2021-01-25,17951.0,Can Liners
149,2021-01-26,11848.0,Can Liners
150,2021-01-27,11848.0,Can Liners
151,2021-01-28,14088.0,Can Liners
152,2021-01-29,10414.0,Can Liners
153,2021-01-30,13523.0,Can Liners
154,2021-01-31,13523.0,Can Liners
155,2021-02-01,16393.0,Can Liners
156,2021-02-02,12627.0,Can Liners
157,2021-02-03,11254.0,Can Liners
158,2021-02-04,13749.0,Can Liners
159,2021-02-05,11102.0,Can Liners
160,2021-02-06,11102.0,Can Liners
161,2021-02-07,11102.0,Can Liners
162,2021-02-08,21156.0,Can Liners
163,2021-02-09,15230.0,Can Liners
164,2021-02-10,13337.0,Can Liners
165,2021-02-11,13337.0,Can Liners
166,2021-02-12,13337.0,Can Liners
167,2021-02-13,13337.0,Can Liners
168,2021-02-14,13337.0,Can Liners
169,2021-02-15,16468.0,Can Liners
170,2021-02-16,16468.0,Can Liners
171,2021-02-17,16468.0,Can Liners
172,2021-02-18,11931.0,Can Liners
173,2021-02-19,11563.0,Can Liners
174,2021-02-20,9940.0,Can Liners
175,2021-02-21,18497.0,Can Liners
176,2021-02-22,18497.0,Can Liners
177,2021-02-23,14243.0,Can Liners
178,2021-02-24,13124.0,Can Liners
179,2021-02-25,13124.0,Can Liners
180,2021-02-26,12366.0,Can Liners
181,2021-02-27,12660.0,Can Liners
182,2021-02-28,18079.0,Can Liners
183,2021-03-01,18079.0,Can Liners
184,2021-03-02,16306.0,Can Liners
185,2021-03-03,16306.0,Can Liners
186,2021-03-04,14101.0,Can Liners
187,2021-03-05,14101.0,Can Liners
188,2021-03-06,12656.0,Can Liners
189,2021-03-07,18839.0,Can Liners
190,2021-03-08,20098.0,Can Liners
191,2021-03-09,20098.0,Can Liners
192,2021-03-10,13838.0,Can Liners
193,2021-03-11,12747.0,Can Liners
194,2021-03-12,13008.0,Can Liners
195,2021-03-13,13008.0,Can Liners
196,2021-03-14,13008.0,Can Liners
197,2021-03-15,21236.0,Can Liners
198,2021-03-16,21236.0,Can Liners
199,2021-03-17,13143.0,Can Liners
200,2021-03-18,13592.0,Can Liners
201,2021-03-19,13592.0,Can Liners
202,2021-03-20,13592.0,Can Liners
203,2021-03-21,16292.0,Can Liners
204,2021-03-22,16292.0,Can Liners
205,2021-03-23,12461.0,Can Liners
206,2021-03-24,13282.0,Can Liners
207,2021-03-25,14960.0,Can Liners
208,2021-03-26,13757.0,Can Liners
209,2021-03-27,12811.0,Can Liners
210,2021-03-28,14387.0,Can Liners
211,2021-03-29,12796.0,Can Liners
212,2021-03-30,12796.0,Can Liners
213,2021-03-31,14165.0,Can Liners
214,2021-04-01,14343.0,Can Liners
215,2021-04-02,14343.0,Can Liners
216,2021-04-03,14665.0,Can Liners
217,2021-04-04,14168.0,Can Liners
218,2021-04-05,14168.0,Can Liners
219,2021-04-06,16710.0,Can Liners
220,2021-04-07,12271.0,Can Liners
221,2021-04-08,10143.0,Can Liners
222,2021-04-09,9611.0,Can Liners
223,2021-04-10,12814.0,Can Liners
224,2021-04-11,17599.0,Can Liners
225,2021-04-12,21144.0,Can Liners
226,2021-04-13,21144.0,Can Liners
227,2021-04-14,12272.0,Can Liners
228,2021-04-15,12272.0,Can Liners
229,2021-04-16,12797.0,Can Liners
230,2021-04-17,12797.0,Can Liners
231,2021-04-18,17016.0,Can Liners
232,2021-04-19,18441.0,Can Liners
233,2021-04-20,10086.0,Can Liners
234,2021-04-21,10086.0,Can Liners
235,2021-04-22,9365.0,Can Liners
236,2021-04-23,9365.0,Can Liners
237,2021-04-24,10395.0,Can Liners
238,2021-04-25,15218.0,Can Liners
239,2021-04-26,10417.0,Can Liners
240,2021-04-27,10417.0,Can Liners
241,2021-04-28,11589.0,Can Liners
242,2021-04-29,10668.0,Can Liners
243,2021-04-30,12132.0,Can Liners
244,2021-05-01,12132.0,Can Liners
245,2021-05-02,14825.0,Can Liners
246,2021-05-03,17506.0,Can Liners
247,2021-05-04,9431.0,Can Liners
248,2021-05-05,11464.0,Can Liners
249,2021-05-06,9883.0,Can Liners
250,2021-05-07,8101.0,Can Liners
251,2021-05-08,6838.0,Can Liners
252,2021-05-09,10636.0,Can Liners
253,2021-05-10,7611.0,Can Liners
254,2021-05-11,7611.0,Can Liners
255,2021-05-12,6833.0,Can Liners
256,2021-05-13,7562.0,Can Liners
257,2021-05-14,6231.0,Can Liners
258,2021-05-15,6823.0,Can Liners
259,2021-05-16,6823.0,Can Liners
260,2021-05-17,9344.0,Can Liners
261,2021-05-18,9344.0,Can Liners
262,2021-05-19,6679.0,Can Liners
263,2021-05-20,6598.0,Can Liners
264,2021-05-21,7462.0,Can Liners
265,2021-05-22,5579.0,Can Liners
266,2021-05-23,10007.0,Can Liners
267,2021-05-24,8892.0,Can Liners
268,2021-05-25,7776.0,Can Liners
269,2021-05-26,7241.0,Can Liners
270,2021-05-27,7065.0,Can Liners
271,2021-05-28,6837.0,Can Liners
272,2021-05-29,6837.0,Can Liners
273,2021-05-30,9647.0,Can Liners
274,2021-05-31,9647.0,Can Liners
275,2021-06-01,12180.0,Can Liners
276,2021-06-02,7266.0,Can Liners
277,2021-06-03,7266.0,Can Liners
278,2021-06-04,4913.0,Can Liners
279,2021-06-05,6643.0,Can Liners
280,2021-06-06,7568.0,Can Liners
281,2021-06-07,9221.0,Can Liners
282,2021-06-08,9221.0,Can Liners
283,2021-06-09,6590.0,Can Liners
284,2021-06-10,5447.0,Can Liners
285,2021-06-11,7022.0,Can Liners
286,2021-06-12,7022.0,Can Liners
287,2021-06-13,7022.0,Can Liners
288,2021-06-14,11360.0,Can Liners
289,2021-06-15,9351.0,Can Liners
290,2021-06-16,5350.0,Can Liners
291,2021-06-17,5042.0,Can Liners
292,2021-06-18,6397.0,Can Liners
293,2021-06-19,6397.0,Can Liners
294,2021-06-20,9426.0,Can Liners
295,2021-06-21,9426.0,Can Liners
296,2021-06-22,9842.0,Can Liners
297,2021-06-23,9591.0,Can Liners
298,2021-06-24,6814.0,Can Liners
299,2021-06-25,8088.0,Can Liners
300,2021-06-26,7597.0,Can Liners
301,2021-06-27,9066.0,Can Liners
302,2021-06-28,11627.0,Can Liners
303,2021-06-29,11627.0,Can Liners
304,2021-06-30,7712.0,Can Liners
305,2021-07-01,6403.0,Can Liners
306,2021-07-02,5571.0,Can Liners
307,2021-07-03,14000.0,Can Liners
308,2021-07-04,17379.0,Can Liners
309,2021-07-05,17379.0,Can Liners
310,2021-07-06,17379.0,Can Liners
311,2021-07-07,11272.0,Can Liners
312,2021-07-08,12590.0,Can Liners
313,2021-07-09,14810.0,Can Liners
314,2021-07-10,17650.0,Can Liners
