,date,value,name_B081K5P55S
44,2020-01-04,8048.0,Recliner Slipcovers
45,2020-01-05,8048.0,Recliner Slipcovers
46,2020-01-06,8048.0,Recliner Slipcovers
47,2020-01-07,8048.0,Recliner Slipcovers
48,2020-01-08,6854.0,Recliner Slipcovers
49,2020-01-09,6854.0,Recliner Slipcovers
50,2020-01-10,6854.0,Recliner Slipcovers
51,2020-01-11,5031.0,Recliner Slipcovers
52,2020-01-12,5031.0,Recliner Slipcovers
53,2020-01-13,5031.0,Recliner Slipcovers
54,2020-01-14,5031.0,Recliner Slipcovers
55,2020-01-15,5221.0,Recliner Slipcovers
56,2020-01-16,5221.0,Recliner Slipcovers
57,2020-01-17,5221.0,Recliner Slipcovers
58,2020-01-18,6015.0,Recliner Slipcovers
59,2020-01-19,6015.0,Recliner Slipcovers
60,2020-01-20,6015.0,Recliner Slipcovers
61,2020-01-21,7898.0,Recliner Slipcovers
62,2020-01-22,7898.0,Recliner Slipcovers
63,2020-01-23,7898.0,Recliner Slipcovers
64,2020-01-24,7898.0,Recliner Slipcovers
65,2020-01-25,7898.0,Recliner Slipcovers
66,2020-01-26,7898.0,Recliner Slipcovers
67,2020-01-27,7473.0,Recliner Slipcovers
68,2020-01-28,7473.0,Recliner Slipcovers
69,2020-01-29,7473.0,Recliner Slipcovers
70,2020-01-30,6216.0,Recliner Slipcovers
71,2020-01-31,6216.0,Recliner Slipcovers
72,2020-02-01,6216.0,Recliner Slipcovers
73,2020-02-02,11865.0,Recliner Slipcovers
74,2020-02-03,11865.0,Recliner Slipcovers
75,2020-02-04,11865.0,Recliner Slipcovers
76,2020-02-05,11865.0,Recliner Slipcovers
77,2020-02-06,11865.0,Recliner Slipcovers
78,2020-02-07,21785.0,Recliner Slipcovers
79,2020-02-08,21785.0,Recliner Slipcovers
80,2020-02-09,21785.0,Recliner Slipcovers
81,2020-02-10,21785.0,Recliner Slipcovers
82,2020-02-11,21785.0,Recliner Slipcovers
83,2020-02-12,21785.0,Recliner Slipcovers
84,2020-02-13,21785.0,Recliner Slipcovers
85,2020-02-14,21785.0,Recliner Slipcovers
86,2020-02-15,42901.0,Recliner Slipcovers
87,2020-02-16,42901.0,Recliner Slipcovers
88,2020-02-17,42901.0,Recliner Slipcovers
89,2020-02-18,42901.0,Recliner Slipcovers
90,2020-02-19,42901.0,Recliner Slipcovers
91,2020-02-20,42901.0,Recliner Slipcovers
92,2020-02-21,26517.0,Recliner Slipcovers
93,2020-02-22,26517.0,Recliner Slipcovers
94,2020-02-23,26517.0,Recliner Slipcovers
95,2020-02-24,26517.0,Recliner Slipcovers
96,2020-02-25,25271.0,Recliner Slipcovers
97,2020-02-26,25271.0,Recliner Slipcovers
98,2020-02-27,25271.0,Recliner Slipcovers
99,2020-02-28,14327.0,Recliner Slipcovers
100,2020-02-29,14327.0,Recliner Slipcovers
101,2020-03-01,8039.0,Recliner Slipcovers
102,2020-03-02,8039.0,Recliner Slipcovers
103,2020-03-03,8039.0,Recliner Slipcovers
104,2020-03-04,12044.0,Recliner Slipcovers
105,2020-03-05,12044.0,Recliner Slipcovers
106,2020-03-06,12044.0,Recliner Slipcovers
107,2020-03-07,8490.0,Recliner Slipcovers
108,2020-03-08,8490.0,Recliner Slipcovers
109,2020-03-09,8490.0,Recliner Slipcovers
110,2020-03-10,8490.0,Recliner Slipcovers
111,2020-03-11,8490.0,Recliner Slipcovers
112,2020-03-12,8490.0,Recliner Slipcovers
113,2020-03-13,7834.0,Recliner Slipcovers
114,2020-03-14,8568.0,Recliner Slipcovers
115,2020-03-15,8568.0,Recliner Slipcovers
116,2020-03-16,8568.0,Recliner Slipcovers
117,2020-03-17,8568.0,Recliner Slipcovers
118,2020-03-18,9526.0,Recliner Slipcovers
119,2020-03-19,9526.0,Recliner Slipcovers
120,2020-03-20,9526.0,Recliner Slipcovers
121,2020-03-21,9526.0,Recliner Slipcovers
122,2020-03-22,9526.0,Recliner Slipcovers
123,2020-03-23,9526.0,Recliner Slipcovers
124,2020-03-24,11293.0,Recliner Slipcovers
125,2020-03-25,11293.0,Recliner Slipcovers
126,2020-03-26,11293.0,Recliner Slipcovers
127,2020-03-27,11293.0,Recliner Slipcovers
128,2020-03-28,11293.0,Recliner Slipcovers
129,2020-03-29,11293.0,Recliner Slipcovers
130,2020-03-30,13552.0,Recliner Slipcovers
131,2020-03-31,13552.0,Recliner Slipcovers
132,2020-04-01,9148.0,Recliner Slipcovers
133,2020-04-02,9148.0,Recliner Slipcovers
134,2020-04-03,9148.0,Recliner Slipcovers
135,2020-04-04,9148.0,Recliner Slipcovers
136,2020-04-05,19050.0,Recliner Slipcovers
137,2020-04-06,19050.0,Recliner Slipcovers
138,2020-04-07,19050.0,Recliner Slipcovers
139,2020-04-08,12633.0,Recliner Slipcovers
140,2020-04-09,12633.0,Recliner Slipcovers
141,2020-04-10,12633.0,Recliner Slipcovers
142,2020-04-11,12633.0,Recliner Slipcovers
143,2020-04-12,12633.0,Recliner Slipcovers
144,2020-04-13,12326.0,Recliner Slipcovers
145,2020-04-14,12326.0,Recliner Slipcovers
146,2020-04-15,12326.0,Recliner Slipcovers
147,2020-04-16,12326.0,Recliner Slipcovers
148,2020-04-17,12326.0,Recliner Slipcovers
149,2020-04-18,13166.0,Recliner Slipcovers
150,2020-04-19,13166.0,Recliner Slipcovers
151,2020-04-20,13166.0,Recliner Slipcovers
152,2020-04-21,11625.0,Recliner Slipcovers
153,2020-04-22,11625.0,Recliner Slipcovers
154,2020-04-23,11625.0,Recliner Slipcovers
155,2020-04-24,10998.0,Recliner Slipcovers
156,2020-04-25,8811.0,Recliner Slipcovers
157,2020-04-26,8811.0,Recliner Slipcovers
158,2020-04-27,8811.0,Recliner Slipcovers
159,2020-04-28,8811.0,Recliner Slipcovers
160,2020-04-29,8811.0,Recliner Slipcovers
161,2020-04-30,33571.0,Recliner Slipcovers
162,2020-05-01,25574.0,Recliner Slipcovers
163,2020-05-02,25574.0,Recliner Slipcovers
164,2020-05-03,25574.0,Recliner Slipcovers
165,2020-05-04,25574.0,Recliner Slipcovers
166,2020-05-05,25574.0,Recliner Slipcovers
167,2020-05-06,25574.0,Recliner Slipcovers
168,2020-05-07,32047.0,Recliner Slipcovers
169,2020-05-08,26056.0,Recliner Slipcovers
170,2020-05-09,26056.0,Recliner Slipcovers
171,2020-05-10,26056.0,Recliner Slipcovers
172,2020-05-11,26056.0,Recliner Slipcovers
173,2020-05-12,26056.0,Recliner Slipcovers
174,2020-05-13,13745.0,Recliner Slipcovers
175,2020-05-14,13745.0,Recliner Slipcovers
176,2020-05-15,13745.0,Recliner Slipcovers
177,2020-05-16,8640.0,Recliner Slipcovers
178,2020-05-17,8640.0,Recliner Slipcovers
179,2020-05-18,7311.0,Recliner Slipcovers
180,2020-05-19,7391.0,Recliner Slipcovers
181,2020-05-20,7391.0,Recliner Slipcovers
182,2020-05-21,7391.0,Recliner Slipcovers
183,2020-05-22,7614.0,Recliner Slipcovers
184,2020-05-23,7839.0,Recliner Slipcovers
185,2020-05-24,7839.0,Recliner Slipcovers
186,2020-05-25,7839.0,Recliner Slipcovers
187,2020-05-26,7988.0,Recliner Slipcovers
188,2020-05-27,7988.0,Recliner Slipcovers
189,2020-05-28,7624.0,Recliner Slipcovers
190,2020-05-29,7158.0,Recliner Slipcovers
191,2020-05-30,7158.0,Recliner Slipcovers
192,2020-05-31,7158.0,Recliner Slipcovers
193,2020-06-01,7870.0,Recliner Slipcovers
194,2020-06-02,7870.0,Recliner Slipcovers
195,2020-06-03,7870.0,Recliner Slipcovers
196,2020-06-04,10857.0,Recliner Slipcovers
197,2020-06-05,10857.0,Recliner Slipcovers
198,2020-06-06,11396.0,Recliner Slipcovers
199,2020-06-07,11396.0,Recliner Slipcovers
200,2020-06-08,11396.0,Recliner Slipcovers
201,2020-06-09,30571.0,Recliner Slipcovers
202,2020-06-10,30571.0,Recliner Slipcovers
203,2020-06-11,50586.0,Recliner Slipcovers
204,2020-06-12,50586.0,Recliner Slipcovers
205,2020-06-13,50586.0,Recliner Slipcovers
206,2020-06-14,50586.0,Recliner Slipcovers
207,2020-06-15,50586.0,Recliner Slipcovers
208,2020-06-16,50586.0,Recliner Slipcovers
209,2020-06-17,50586.0,Recliner Slipcovers
210,2020-06-18,50586.0,Recliner Slipcovers
211,2020-06-19,50586.0,Recliner Slipcovers
212,2020-06-20,50586.0,Recliner Slipcovers
213,2020-06-21,50586.0,Recliner Slipcovers
214,2020-06-22,50586.0,Recliner Slipcovers
215,2020-06-23,147933.0,Recliner Slipcovers
216,2020-06-24,147933.0,Recliner Slipcovers
217,2020-06-25,147933.0,Recliner Slipcovers
218,2020-06-26,147933.0,Recliner Slipcovers
219,2020-06-27,147933.0,Recliner Slipcovers
220,2020-06-28,147933.0,Recliner Slipcovers
221,2020-06-29,10605.0,Recliner Slipcovers
222,2020-06-30,10605.0,Recliner Slipcovers
223,2020-07-01,10605.0,Recliner Slipcovers
224,2020-07-02,9873.0,Recliner Slipcovers
225,2020-07-03,9873.0,Recliner Slipcovers
226,2020-07-04,9873.0,Recliner Slipcovers
227,2020-07-05,9873.0,Recliner Slipcovers
228,2020-07-06,6244.0,Recliner Slipcovers
229,2020-07-07,6244.0,Recliner Slipcovers
230,2020-07-08,6244.0,Recliner Slipcovers
231,2020-07-09,5925.0,Recliner Slipcovers
232,2020-07-10,5925.0,Recliner Slipcovers
233,2020-07-11,5133.0,Recliner Slipcovers
234,2020-07-12,5133.0,Recliner Slipcovers
235,2020-07-13,5133.0,Recliner Slipcovers
236,2020-07-14,4346.0,Recliner Slipcovers
237,2020-07-15,5198.0,Recliner Slipcovers
238,2020-07-16,5198.0,Recliner Slipcovers
239,2020-07-17,5198.0,Recliner Slipcovers
240,2020-07-18,4164.0,Recliner Slipcovers
241,2020-07-19,4164.0,Recliner Slipcovers
242,2020-07-20,4164.0,Recliner Slipcovers
243,2020-07-21,4474.0,Recliner Slipcovers
244,2020-07-22,4474.0,Recliner Slipcovers
245,2020-07-23,4474.0,Recliner Slipcovers
246,2020-07-24,3712.0,Recliner Slipcovers
247,2020-07-25,3712.0,Recliner Slipcovers
248,2020-07-26,3794.0,Recliner Slipcovers
249,2020-07-27,4179.0,Recliner Slipcovers
250,2020-07-28,4179.0,Recliner Slipcovers
251,2020-07-29,4202.0,Recliner Slipcovers
252,2020-07-30,4329.0,Recliner Slipcovers
253,2020-07-31,3711.0,Recliner Slipcovers
254,2020-08-01,3711.0,Recliner Slipcovers
255,2020-08-02,1862.0,Recliner Slipcovers
256,2020-08-03,1862.0,Recliner Slipcovers
257,2020-08-04,3522.0,Recliner Slipcovers
258,2020-08-05,3745.0,Recliner Slipcovers
259,2020-08-06,3745.0,Recliner Slipcovers
260,2020-08-07,3745.0,Recliner Slipcovers
261,2020-08-08,3050.0,Recliner Slipcovers
262,2020-08-09,3050.0,Recliner Slipcovers
263,2020-08-10,3861.0,Recliner Slipcovers
264,2020-08-11,3861.0,Recliner Slipcovers
265,2020-08-12,3861.0,Recliner Slipcovers
266,2020-08-13,2471.0,Recliner Slipcovers
267,2020-08-14,3159.0,Recliner Slipcovers
268,2020-08-15,3159.0,Recliner Slipcovers
269,2020-08-16,3419.0,Recliner Slipcovers
270,2020-08-17,3998.0,Recliner Slipcovers
271,2020-08-18,3508.0,Recliner Slipcovers
272,2020-08-19,2708.0,Recliner Slipcovers
273,2020-08-20,2708.0,Recliner Slipcovers
274,2020-08-21,2708.0,Recliner Slipcovers
275,2020-08-22,3161.0,Recliner Slipcovers
276,2020-08-23,3161.0,Recliner Slipcovers
277,2020-08-24,3434.0,Recliner Slipcovers
278,2020-08-25,3280.0,Recliner Slipcovers
279,2020-08-26,3280.0,Recliner Slipcovers
280,2020-08-27,2972.0,Recliner Slipcovers
281,2020-08-28,2972.0,Recliner Slipcovers
282,2020-08-29,2972.0,Recliner Slipcovers
283,2020-08-30,3368.0,Recliner Slipcovers
284,2020-08-31,3770.0,Recliner Slipcovers
285,2020-09-01,3770.0,Recliner Slipcovers
286,2020-09-02,3770.0,Recliner Slipcovers
287,2020-09-03,3974.0,Recliner Slipcovers
288,2020-09-04,3974.0,Recliner Slipcovers
289,2020-09-05,3974.0,Recliner Slipcovers
290,2020-09-06,2916.0,Recliner Slipcovers
291,2020-09-07,2916.0,Recliner Slipcovers
292,2020-09-08,2916.0,Recliner Slipcovers
293,2020-09-09,3172.0,Recliner Slipcovers
294,2020-09-10,2920.0,Recliner Slipcovers
295,2020-09-11,2920.0,Recliner Slipcovers
296,2020-09-12,2920.0,Recliner Slipcovers
297,2020-09-13,2714.0,Recliner Slipcovers
298,2020-09-14,2714.0,Recliner Slipcovers
299,2020-09-15,2714.0,Recliner Slipcovers
300,2020-09-16,3439.0,Recliner Slipcovers
301,2020-09-17,3492.0,Recliner Slipcovers
302,2020-09-18,4167.0,Recliner Slipcovers
303,2020-09-19,4167.0,Recliner Slipcovers
304,2020-09-20,5123.0,Recliner Slipcovers
305,2020-09-21,4453.0,Recliner Slipcovers
306,2020-09-22,4453.0,Recliner Slipcovers
307,2020-09-23,5710.0,Recliner Slipcovers
308,2020-09-24,3640.0,Recliner Slipcovers
309,2020-09-25,3640.0,Recliner Slipcovers
310,2020-09-26,3640.0,Recliner Slipcovers
311,2020-09-27,2906.0,Recliner Slipcovers
312,2020-09-28,4026.0,Recliner Slipcovers
313,2020-09-29,4026.0,Recliner Slipcovers
314,2020-09-30,3412.0,Recliner Slipcovers
315,2020-10-01,3483.0,Recliner Slipcovers
316,2020-10-02,2465.0,Recliner Slipcovers
317,2020-10-03,3133.0,Recliner Slipcovers
318,2020-10-04,3133.0,Recliner Slipcovers
319,2020-10-05,4343.0,Recliner Slipcovers
320,2020-10-06,4350.0,Recliner Slipcovers
321,2020-10-07,3469.0,Recliner Slipcovers
322,2020-10-08,3293.0,Recliner Slipcovers
323,2020-10-09,3293.0,Recliner Slipcovers
324,2020-10-10,3293.0,Recliner Slipcovers
325,2020-10-11,2913.0,Recliner Slipcovers
326,2020-10-12,3060.0,Recliner Slipcovers
327,2020-10-13,3060.0,Recliner Slipcovers
328,2020-10-14,3060.0,Recliner Slipcovers
329,2020-10-15,5584.0,Recliner Slipcovers
330,2020-10-16,4307.0,Recliner Slipcovers
331,2020-10-17,4307.0,Recliner Slipcovers
332,2020-10-18,4307.0,Recliner Slipcovers
333,2020-10-19,4898.0,Recliner Slipcovers
334,2020-10-20,4898.0,Recliner Slipcovers
335,2020-10-21,4898.0,Recliner Slipcovers
336,2020-10-22,10897.0,Recliner Slipcovers
337,2020-10-23,10897.0,Recliner Slipcovers
338,2020-10-24,10091.0,Recliner Slipcovers
339,2020-10-25,11989.0,Recliner Slipcovers
340,2020-10-26,15357.0,Recliner Slipcovers
341,2020-10-27,15357.0,Recliner Slipcovers
342,2020-10-28,8473.0,Recliner Slipcovers
343,2020-10-29,8473.0,Recliner Slipcovers
344,2020-10-30,8473.0,Recliner Slipcovers
345,2020-10-31,5323.0,Recliner Slipcovers
346,2020-11-01,5323.0,Recliner Slipcovers
347,2020-11-02,5323.0,Recliner Slipcovers
348,2020-11-03,4131.0,Recliner Slipcovers
349,2020-11-04,4264.0,Recliner Slipcovers
350,2020-11-05,2729.0,Recliner Slipcovers
351,2020-11-06,2729.0,Recliner Slipcovers
352,2020-11-07,2729.0,Recliner Slipcovers
353,2020-11-08,2924.0,Recliner Slipcovers
354,2020-11-09,2924.0,Recliner Slipcovers
355,2020-11-10,2882.0,Recliner Slipcovers
356,2020-11-11,3070.0,Recliner Slipcovers
357,2020-11-12,2973.0,Recliner Slipcovers
358,2020-11-13,2920.0,Recliner Slipcovers
359,2020-11-14,2920.0,Recliner Slipcovers
360,2020-11-15,2920.0,Recliner Slipcovers
361,2020-11-16,2697.0,Recliner Slipcovers
362,2020-11-17,2697.0,Recliner Slipcovers
363,2020-11-18,2847.0,Recliner Slipcovers
364,2020-11-19,2847.0,Recliner Slipcovers
365,2020-11-20,2154.0,Recliner Slipcovers
366,2020-11-21,2154.0,Recliner Slipcovers
367,2020-11-22,2309.0,Recliner Slipcovers
368,2020-11-23,2712.0,Recliner Slipcovers
369,2020-11-24,2712.0,Recliner Slipcovers
370,2020-11-25,2160.0,Recliner Slipcovers
371,2020-11-26,2119.0,Recliner Slipcovers
372,2020-11-27,3180.0,Recliner Slipcovers
373,2020-11-28,3180.0,Recliner Slipcovers
374,2020-11-29,3180.0,Recliner Slipcovers
375,2020-11-30,3536.0,Recliner Slipcovers
376,2020-12-01,3692.0,Recliner Slipcovers
377,2020-12-02,3142.0,Recliner Slipcovers
378,2020-12-03,3142.0,Recliner Slipcovers
379,2020-12-04,2650.0,Recliner Slipcovers
380,2020-12-05,2650.0,Recliner Slipcovers
381,2020-12-06,2656.0,Recliner Slipcovers
382,2020-12-07,2662.0,Recliner Slipcovers
383,2020-12-08,2913.0,Recliner Slipcovers
384,2020-12-09,3023.0,Recliner Slipcovers
385,2020-12-10,3196.0,Recliner Slipcovers
386,2020-12-11,3178.0,Recliner Slipcovers
387,2020-12-12,3274.0,Recliner Slipcovers
388,2020-12-13,3360.0,Recliner Slipcovers
389,2020-12-14,3899.0,Recliner Slipcovers
390,2020-12-15,4364.0,Recliner Slipcovers
391,2020-12-16,5600.0,Recliner Slipcovers
392,2020-12-17,10356.0,Recliner Slipcovers
393,2020-12-18,11162.0,Recliner Slipcovers
394,2020-12-19,11162.0,Recliner Slipcovers
395,2020-12-20,11129.0,Recliner Slipcovers
396,2020-12-21,11703.0,Recliner Slipcovers
397,2020-12-22,11703.0,Recliner Slipcovers
398,2020-12-23,11563.0,Recliner Slipcovers
399,2020-12-24,8664.0,Recliner Slipcovers
400,2020-12-25,7305.0,Recliner Slipcovers
401,2020-12-26,6078.0,Recliner Slipcovers
402,2020-12-27,6681.0,Recliner Slipcovers
403,2020-12-28,9187.0,Recliner Slipcovers
404,2020-12-29,7207.0,Recliner Slipcovers
405,2020-12-30,6647.0,Recliner Slipcovers
406,2020-12-31,5137.0,Recliner Slipcovers
407,2021-01-01,4136.0,Recliner Slipcovers
408,2021-01-02,5814.0,Recliner Slipcovers
409,2021-01-03,6664.0,Recliner Slipcovers
410,2021-01-04,5594.0,Recliner Slipcovers
411,2021-01-05,5378.0,Recliner Slipcovers
412,2021-01-06,4850.0,Recliner Slipcovers
413,2021-01-07,3801.0,Recliner Slipcovers
414,2021-01-08,3659.0,Recliner Slipcovers
415,2021-01-09,4062.0,Recliner Slipcovers
416,2021-01-10,2765.0,Recliner Slipcovers
417,2021-01-11,3761.0,Recliner Slipcovers
418,2021-01-12,3134.0,Recliner Slipcovers
419,2021-01-13,3228.0,Recliner Slipcovers
420,2021-01-14,3228.0,Recliner Slipcovers
421,2021-01-15,4554.0,Recliner Slipcovers
422,2021-01-16,4554.0,Recliner Slipcovers
423,2021-01-17,4554.0,Recliner Slipcovers
424,2021-01-18,5548.0,Recliner Slipcovers
425,2021-01-19,5548.0,Recliner Slipcovers
426,2021-01-20,5548.0,Recliner Slipcovers
427,2021-01-21,6209.0,Recliner Slipcovers
428,2021-01-22,6209.0,Recliner Slipcovers
429,2021-01-23,5132.0,Recliner Slipcovers
430,2021-01-24,5132.0,Recliner Slipcovers
431,2021-01-25,4843.0,Recliner Slipcovers
432,2021-01-26,4843.0,Recliner Slipcovers
433,2021-01-27,4843.0,Recliner Slipcovers
434,2021-01-28,3672.0,Recliner Slipcovers
435,2021-01-29,3227.0,Recliner Slipcovers
436,2021-01-30,3227.0,Recliner Slipcovers
437,2021-01-31,2693.0,Recliner Slipcovers
438,2021-02-01,3167.0,Recliner Slipcovers
439,2021-02-02,3167.0,Recliner Slipcovers
440,2021-02-03,2514.0,Recliner Slipcovers
441,2021-02-04,2514.0,Recliner Slipcovers
442,2021-02-05,2514.0,Recliner Slipcovers
443,2021-02-06,1766.0,Recliner Slipcovers
444,2021-02-07,1821.0,Recliner Slipcovers
445,2021-02-08,1715.0,Recliner Slipcovers
446,2021-02-09,2079.0,Recliner Slipcovers
447,2021-02-10,2079.0,Recliner Slipcovers
448,2021-02-11,1981.0,Recliner Slipcovers
449,2021-02-12,1981.0,Recliner Slipcovers
450,2021-02-13,1981.0,Recliner Slipcovers
451,2021-02-14,2638.0,Recliner Slipcovers
452,2021-02-15,4005.0,Recliner Slipcovers
453,2021-02-16,4005.0,Recliner Slipcovers
454,2021-02-17,4002.0,Recliner Slipcovers
455,2021-02-18,4002.0,Recliner Slipcovers
456,2021-02-19,4002.0,Recliner Slipcovers
457,2021-02-20,2456.0,Recliner Slipcovers
458,2021-02-21,1792.0,Recliner Slipcovers
459,2021-02-22,1792.0,Recliner Slipcovers
460,2021-02-23,2643.0,Recliner Slipcovers
461,2021-02-24,2643.0,Recliner Slipcovers
462,2021-02-25,2079.0,Recliner Slipcovers
463,2021-02-26,2079.0,Recliner Slipcovers
464,2021-02-27,2079.0,Recliner Slipcovers
465,2021-02-28,2079.0,Recliner Slipcovers
466,2021-03-01,1840.0,Recliner Slipcovers
467,2021-03-02,2076.0,Recliner Slipcovers
468,2021-03-03,2076.0,Recliner Slipcovers
469,2021-03-04,2076.0,Recliner Slipcovers
470,2021-03-05,2162.0,Recliner Slipcovers
471,2021-03-06,2051.0,Recliner Slipcovers
472,2021-03-07,2051.0,Recliner Slipcovers
473,2021-03-08,2051.0,Recliner Slipcovers
474,2021-03-09,2380.0,Recliner Slipcovers
475,2021-03-10,2380.0,Recliner Slipcovers
476,2021-03-11,1958.0,Recliner Slipcovers
477,2021-03-12,1958.0,Recliner Slipcovers
478,2021-03-13,1958.0,Recliner Slipcovers
479,2021-03-14,3039.0,Recliner Slipcovers
480,2021-03-15,3477.0,Recliner Slipcovers
481,2021-03-16,3477.0,Recliner Slipcovers
482,2021-03-17,3477.0,Recliner Slipcovers
483,2021-03-18,3569.0,Recliner Slipcovers
484,2021-03-19,3030.0,Recliner Slipcovers
