,date,value,name_B07MG9KKW7
224,2019-10-01,304607.0,Sheet & Pillowcase Sets
225,2019-10-02,304607.0,Sheet & Pillowcase Sets
226,2019-10-03,372850.0,Sheet & Pillowcase Sets
227,2019-10-04,148526.0,Sheet & Pillowcase Sets
228,2019-10-05,333838.0,Sheet & Pillowcase Sets
229,2019-10-06,453755.0,Sheet & Pillowcase Sets
230,2019-10-07,453755.0,Sheet & Pillowcase Sets
231,2019-10-08,408975.0,Sheet & Pillowcase Sets
232,2019-10-09,552052.0,Sheet & Pillowcase Sets
233,2019-10-10,205349.0,Sheet & Pillowcase Sets
234,2019-10-11,357509.0,Sheet & Pillowcase Sets
235,2019-10-12,294549.0,Sheet & Pillowcase Sets
236,2019-10-13,144815.0,Sheet & Pillowcase Sets
237,2019-10-14,324614.0,Sheet & Pillowcase Sets
238,2019-10-15,280936.0,Sheet & Pillowcase Sets
239,2019-10-16,150313.0,Sheet & Pillowcase Sets
240,2019-10-17,240375.0,Sheet & Pillowcase Sets
241,2019-10-18,248031.0,Sheet & Pillowcase Sets
242,2019-10-19,259072.0,Sheet & Pillowcase Sets
243,2019-10-20,180386.0,Sheet & Pillowcase Sets
244,2019-10-21,236928.0,Sheet & Pillowcase Sets
245,2019-10-22,216568.0,Sheet & Pillowcase Sets
246,2019-10-23,128363.0,Sheet & Pillowcase Sets
247,2019-10-24,178057.0,Sheet & Pillowcase Sets
248,2019-10-25,287294.0,Sheet & Pillowcase Sets
249,2019-10-26,87978.0,Sheet & Pillowcase Sets
250,2019-10-27,97122.0,Sheet & Pillowcase Sets
251,2019-10-28,171300.0,Sheet & Pillowcase Sets
252,2019-10-29,231421.0,Sheet & Pillowcase Sets
253,2019-10-30,161469.0,Sheet & Pillowcase Sets
254,2019-10-31,176797.0,Sheet & Pillowcase Sets
255,2019-11-01,165418.0,Sheet & Pillowcase Sets
256,2019-11-02,318143.0,Sheet & Pillowcase Sets
257,2019-11-03,201014.0,Sheet & Pillowcase Sets
258,2019-11-04,134339.0,Sheet & Pillowcase Sets
259,2019-11-05,145235.0,Sheet & Pillowcase Sets
260,2019-11-06,146508.0,Sheet & Pillowcase Sets
261,2019-11-07,146508.0,Sheet & Pillowcase Sets
262,2019-11-08,146508.0,Sheet & Pillowcase Sets
263,2019-11-09,146508.0,Sheet & Pillowcase Sets
264,2019-11-10,146508.0,Sheet & Pillowcase Sets
265,2019-11-11,146508.0,Sheet & Pillowcase Sets
266,2019-11-12,367289.0,Sheet & Pillowcase Sets
267,2019-11-13,367289.0,Sheet & Pillowcase Sets
268,2019-11-14,323164.0,Sheet & Pillowcase Sets
269,2019-11-15,323164.0,Sheet & Pillowcase Sets
270,2019-11-16,323164.0,Sheet & Pillowcase Sets
271,2019-11-17,323164.0,Sheet & Pillowcase Sets
272,2019-11-18,323164.0,Sheet & Pillowcase Sets
273,2019-11-19,323164.0,Sheet & Pillowcase Sets
274,2019-11-20,391825.0,Sheet & Pillowcase Sets
275,2019-11-21,391825.0,Sheet & Pillowcase Sets
276,2019-11-22,391825.0,Sheet & Pillowcase Sets
