,date,value,name_B083ZM8YXG
77,2020-08-10,744.0,Beads & Bead Assortments
78,2020-08-11,983.0,Beads & Bead Assortments
79,2020-08-12,960.0,Beads & Bead Assortments
80,2020-08-13,854.0,Beads & Bead Assortments
81,2020-08-14,854.0,Beads & Bead Assortments
82,2020-08-15,854.0,Beads & Bead Assortments
83,2020-08-16,907.0,Beads & Bead Assortments
84,2020-08-17,907.0,Beads & Bead Assortments
85,2020-08-18,1044.0,Beads & Bead Assortments
86,2020-08-19,1044.0,Beads & Bead Assortments
87,2020-08-20,1044.0,Beads & Bead Assortments
88,2020-08-21,962.0,Beads & Bead Assortments
89,2020-08-22,962.0,Beads & Bead Assortments
90,2020-08-23,962.0,Beads & Bead Assortments
91,2020-08-24,742.0,Beads & Bead Assortments
92,2020-08-25,938.0,Beads & Bead Assortments
93,2020-08-26,938.0,Beads & Bead Assortments
94,2020-08-27,1060.0,Beads & Bead Assortments
95,2020-08-28,1112.0,Beads & Bead Assortments
96,2020-08-29,1112.0,Beads & Bead Assortments
97,2020-08-30,875.0,Beads & Bead Assortments
98,2020-08-31,875.0,Beads & Bead Assortments
99,2020-09-01,1228.0,Beads & Bead Assortments
100,2020-09-02,1289.0,Beads & Bead Assortments
101,2020-09-03,1289.0,Beads & Bead Assortments
102,2020-09-04,765.0,Beads & Bead Assortments
103,2020-09-05,765.0,Beads & Bead Assortments
104,2020-09-06,765.0,Beads & Bead Assortments
105,2020-09-07,779.0,Beads & Bead Assortments
106,2020-09-08,983.0,Beads & Bead Assortments
107,2020-09-09,983.0,Beads & Bead Assortments
108,2020-09-10,873.0,Beads & Bead Assortments
109,2020-09-11,650.0,Beads & Bead Assortments
110,2020-09-12,775.0,Beads & Bead Assortments
111,2020-09-13,775.0,Beads & Bead Assortments
112,2020-09-14,997.0,Beads & Bead Assortments
113,2020-09-15,997.0,Beads & Bead Assortments
114,2020-09-16,714.0,Beads & Bead Assortments
115,2020-09-17,714.0,Beads & Bead Assortments
116,2020-09-18,714.0,Beads & Bead Assortments
117,2020-09-19,850.0,Beads & Bead Assortments
118,2020-09-20,850.0,Beads & Bead Assortments
119,2020-09-21,857.0,Beads & Bead Assortments
120,2020-09-22,1117.0,Beads & Bead Assortments
121,2020-09-23,827.0,Beads & Bead Assortments
122,2020-09-24,810.0,Beads & Bead Assortments
123,2020-09-25,810.0,Beads & Bead Assortments
124,2020-09-26,810.0,Beads & Bead Assortments
125,2020-09-27,733.0,Beads & Bead Assortments
126,2020-09-28,828.0,Beads & Bead Assortments
127,2020-09-29,828.0,Beads & Bead Assortments
128,2020-09-30,567.0,Beads & Bead Assortments
129,2020-10-01,567.0,Beads & Bead Assortments
130,2020-10-02,509.0,Beads & Bead Assortments
131,2020-10-03,509.0,Beads & Bead Assortments
132,2020-10-04,509.0,Beads & Bead Assortments
133,2020-10-05,684.0,Beads & Bead Assortments
134,2020-10-06,684.0,Beads & Bead Assortments
135,2020-10-07,597.0,Beads & Bead Assortments
136,2020-10-08,597.0,Beads & Bead Assortments
137,2020-10-09,597.0,Beads & Bead Assortments
138,2020-10-10,534.0,Beads & Bead Assortments
139,2020-10-11,534.0,Beads & Bead Assortments
140,2020-10-12,553.0,Beads & Bead Assortments
141,2020-10-13,590.0,Beads & Bead Assortments
142,2020-10-14,831.0,Beads & Bead Assortments
143,2020-10-15,875.0,Beads & Bead Assortments
144,2020-10-16,875.0,Beads & Bead Assortments
145,2020-10-17,365.0,Beads & Bead Assortments
146,2020-10-18,365.0,Beads & Bead Assortments
147,2020-10-19,579.0,Beads & Bead Assortments
148,2020-10-20,519.0,Beads & Bead Assortments
149,2020-10-21,533.0,Beads & Bead Assortments
150,2020-10-22,753.0,Beads & Bead Assortments
151,2020-10-23,753.0,Beads & Bead Assortments
152,2020-10-24,545.0,Beads & Bead Assortments
153,2020-10-25,705.0,Beads & Bead Assortments
154,2020-10-26,808.0,Beads & Bead Assortments
155,2020-10-27,944.0,Beads & Bead Assortments
156,2020-10-28,1039.0,Beads & Bead Assortments
157,2020-10-29,699.0,Beads & Bead Assortments
158,2020-10-30,663.0,Beads & Bead Assortments
159,2020-10-31,727.0,Beads & Bead Assortments
160,2020-11-01,431.0,Beads & Bead Assortments
161,2020-11-02,431.0,Beads & Bead Assortments
162,2020-11-03,761.0,Beads & Bead Assortments
163,2020-11-04,810.0,Beads & Bead Assortments
164,2020-11-05,700.0,Beads & Bead Assortments
165,2020-11-06,828.0,Beads & Bead Assortments
