,date,value,name_B08GCN3B19
117,2020-12-22,21425.0,Towel Sets
118,2020-12-23,24990.0,Towel Sets
119,2020-12-24,22478.0,Towel Sets
120,2020-12-25,22478.0,Towel Sets
121,2020-12-26,22478.0,Towel Sets
122,2020-12-27,22478.0,Towel Sets
123,2020-12-28,22478.0,Towel Sets
124,2020-12-29,22478.0,Towel Sets
125,2020-12-30,22478.0,Towel Sets
126,2020-12-31,31507.0,Towel Sets
127,2021-01-01,31507.0,Towel Sets
128,2021-01-02,31507.0,Towel Sets
129,2021-01-03,31507.0,Towel Sets
130,2021-01-04,31507.0,Towel Sets
131,2021-01-05,21049.0,Towel Sets
132,2021-01-06,21049.0,Towel Sets
133,2021-01-07,21049.0,Towel Sets
134,2021-01-08,21049.0,Towel Sets
135,2021-01-09,21049.0,Towel Sets
136,2021-01-10,21049.0,Towel Sets
137,2021-01-11,23255.0,Towel Sets
138,2021-01-12,23255.0,Towel Sets
139,2021-01-13,23255.0,Towel Sets
140,2021-01-14,23255.0,Towel Sets
141,2021-01-15,29117.0,Towel Sets
142,2021-01-16,29117.0,Towel Sets
143,2021-01-17,29117.0,Towel Sets
144,2021-01-18,26187.0,Towel Sets
145,2021-01-19,30628.0,Towel Sets
146,2021-01-20,30628.0,Towel Sets
147,2021-01-21,30628.0,Towel Sets
148,2021-01-22,26992.0,Towel Sets
149,2021-01-23,17818.0,Towel Sets
150,2021-01-24,17818.0,Towel Sets
151,2021-01-25,20272.0,Towel Sets
152,2021-01-26,25828.0,Towel Sets
153,2021-01-27,25828.0,Towel Sets
154,2021-01-28,20364.0,Towel Sets
155,2021-01-29,20364.0,Towel Sets
156,2021-01-30,20364.0,Towel Sets
157,2021-01-31,20364.0,Towel Sets
158,2021-02-01,24290.0,Towel Sets
159,2021-02-02,24290.0,Towel Sets
160,2021-02-03,24290.0,Towel Sets
161,2021-02-04,24290.0,Towel Sets
162,2021-02-05,24290.0,Towel Sets
163,2021-02-06,24290.0,Towel Sets
164,2021-02-07,24290.0,Towel Sets
165,2021-02-08,32215.0,Towel Sets
166,2021-02-09,32215.0,Towel Sets
167,2021-02-10,38442.0,Towel Sets
168,2021-02-11,38442.0,Towel Sets
169,2021-02-12,38442.0,Towel Sets
170,2021-02-13,38442.0,Towel Sets
171,2021-02-14,38442.0,Towel Sets
172,2021-02-15,23801.0,Towel Sets
173,2021-02-16,23801.0,Towel Sets
174,2021-02-17,23801.0,Towel Sets
175,2021-02-18,23801.0,Towel Sets
176,2021-02-19,23801.0,Towel Sets
177,2021-02-20,23801.0,Towel Sets
178,2021-02-21,39729.0,Towel Sets
179,2021-02-22,43397.0,Towel Sets
180,2021-02-23,43397.0,Towel Sets
181,2021-02-24,43397.0,Towel Sets
182,2021-02-25,42241.0,Towel Sets
183,2021-02-26,42241.0,Towel Sets
184,2021-02-27,42241.0,Towel Sets
185,2021-02-28,42241.0,Towel Sets
186,2021-03-01,42241.0,Towel Sets
187,2021-03-02,59845.0,Towel Sets
188,2021-03-03,59845.0,Towel Sets
189,2021-03-04,59845.0,Towel Sets
190,2021-03-05,49656.0,Towel Sets
191,2021-03-06,49656.0,Towel Sets
192,2021-03-07,49656.0,Towel Sets
193,2021-03-08,39120.0,Towel Sets
194,2021-03-09,39120.0,Towel Sets
195,2021-03-10,39120.0,Towel Sets
196,2021-03-11,47155.0,Towel Sets
197,2021-03-12,47155.0,Towel Sets
198,2021-03-13,62074.0,Towel Sets
199,2021-03-14,42541.0,Towel Sets
200,2021-03-15,42541.0,Towel Sets
201,2021-03-16,42541.0,Towel Sets
202,2021-03-17,42541.0,Towel Sets
203,2021-03-18,29755.0,Towel Sets
204,2021-03-19,29755.0,Towel Sets
205,2021-03-20,29755.0,Towel Sets
206,2021-03-21,29755.0,Towel Sets
207,2021-03-22,29755.0,Towel Sets
208,2021-03-23,43176.0,Towel Sets
209,2021-03-24,43176.0,Towel Sets
210,2021-03-25,43176.0,Towel Sets
211,2021-03-26,43176.0,Towel Sets
212,2021-03-27,40574.0,Towel Sets
213,2021-03-28,34057.0,Towel Sets
214,2021-03-29,34057.0,Towel Sets
215,2021-03-30,34057.0,Towel Sets
216,2021-03-31,34057.0,Towel Sets
217,2021-04-01,34057.0,Towel Sets
218,2021-04-02,33314.0,Towel Sets
219,2021-04-03,33314.0,Towel Sets
220,2021-04-04,33314.0,Towel Sets
221,2021-04-05,33314.0,Towel Sets
222,2021-04-06,38789.0,Towel Sets
223,2021-04-07,38789.0,Towel Sets
224,2021-04-08,45352.0,Towel Sets
225,2021-04-09,51074.0,Towel Sets
226,2021-04-10,46415.0,Towel Sets
227,2021-04-11,46415.0,Towel Sets
228,2021-04-12,46415.0,Towel Sets
229,2021-04-13,46415.0,Towel Sets
230,2021-04-14,46415.0,Towel Sets
231,2021-04-15,44278.0,Towel Sets
232,2021-04-16,44278.0,Towel Sets
233,2021-04-17,46701.0,Towel Sets
234,2021-04-18,46701.0,Towel Sets
235,2021-04-19,23253.0,Towel Sets
236,2021-04-20,23253.0,Towel Sets
237,2021-04-21,23253.0,Towel Sets
238,2021-04-22,23253.0,Towel Sets
239,2021-04-23,23253.0,Towel Sets
240,2021-04-24,28329.0,Towel Sets
241,2021-04-25,28329.0,Towel Sets
242,2021-04-26,27943.0,Towel Sets
243,2021-04-27,27943.0,Towel Sets
244,2021-04-28,27943.0,Towel Sets
245,2021-04-29,27943.0,Towel Sets
246,2021-04-30,27943.0,Towel Sets
247,2021-05-01,46111.0,Towel Sets
248,2021-05-02,46111.0,Towel Sets
249,2021-05-03,46111.0,Towel Sets
250,2021-05-04,27785.0,Towel Sets
251,2021-05-05,27785.0,Towel Sets
252,2021-05-06,27785.0,Towel Sets
253,2021-05-07,27785.0,Towel Sets
254,2021-05-08,27785.0,Towel Sets
255,2021-05-09,27785.0,Towel Sets
256,2021-05-10,29916.0,Towel Sets
257,2021-05-11,22492.0,Towel Sets
258,2021-05-12,22492.0,Towel Sets
259,2021-05-13,32669.0,Towel Sets
260,2021-05-14,32669.0,Towel Sets
261,2021-05-15,32669.0,Towel Sets
262,2021-05-16,32669.0,Towel Sets
263,2021-05-17,32669.0,Towel Sets
264,2021-05-18,32669.0,Towel Sets
265,2021-05-19,55103.0,Towel Sets
266,2021-05-20,45990.0,Towel Sets
267,2021-05-21,45990.0,Towel Sets
268,2021-05-22,45990.0,Towel Sets
269,2021-05-23,45990.0,Towel Sets
270,2021-05-24,30295.0,Towel Sets
271,2021-05-25,30295.0,Towel Sets
272,2021-05-26,30295.0,Towel Sets
273,2021-05-27,35317.0,Towel Sets
274,2021-05-28,35317.0,Towel Sets
275,2021-05-29,35317.0,Towel Sets
276,2021-05-30,35317.0,Towel Sets
277,2021-05-31,37712.0,Towel Sets
278,2021-06-01,37712.0,Towel Sets
279,2021-06-02,36937.0,Towel Sets
280,2021-06-03,36937.0,Towel Sets
281,2021-06-04,36981.0,Towel Sets
282,2021-06-05,36981.0,Towel Sets
283,2021-06-06,36981.0,Towel Sets
284,2021-06-07,50720.0,Towel Sets
285,2021-06-08,50720.0,Towel Sets
286,2021-06-09,45486.0,Towel Sets
287,2021-06-10,45486.0,Towel Sets
288,2021-06-11,45486.0,Towel Sets
289,2021-06-12,40673.0,Towel Sets
290,2021-06-13,40673.0,Towel Sets
291,2021-06-14,40673.0,Towel Sets
292,2021-06-15,40673.0,Towel Sets
293,2021-06-16,40673.0,Towel Sets
294,2021-06-17,41516.0,Towel Sets
295,2021-06-18,41516.0,Towel Sets
296,2021-06-19,40473.0,Towel Sets
297,2021-06-20,40473.0,Towel Sets
298,2021-06-21,26794.0,Towel Sets
299,2021-06-22,28794.0,Towel Sets
300,2021-06-23,28794.0,Towel Sets
301,2021-06-24,28794.0,Towel Sets
302,2021-06-25,28794.0,Towel Sets
303,2021-06-26,28794.0,Towel Sets
304,2021-06-27,28794.0,Towel Sets
305,2021-06-28,28794.0,Towel Sets
306,2021-06-29,42240.0,Towel Sets
307,2021-06-30,42240.0,Towel Sets
308,2021-07-01,42240.0,Towel Sets
309,2021-07-02,42240.0,Towel Sets
310,2021-07-03,42240.0,Towel Sets
311,2021-07-04,42240.0,Towel Sets
312,2021-07-05,22744.0,Towel Sets
313,2021-07-06,22744.0,Towel Sets
314,2021-07-07,22744.0,Towel Sets
315,2021-07-08,22744.0,Towel Sets
316,2021-07-09,22744.0,Towel Sets
317,2021-07-10,22744.0,Towel Sets
318,2021-07-11,28079.0,Towel Sets
