,date,value,name_B08MZ8J27L
167,2021-05-08,547767.0,Laundry Hampers
168,2021-05-09,616998.0,Laundry Hampers
169,2021-05-10,616998.0,Laundry Hampers
170,2021-05-11,616998.0,Laundry Hampers
171,2021-05-12,616998.0,Laundry Hampers
172,2021-05-13,190272.0,Laundry Hampers
173,2021-05-14,190272.0,Laundry Hampers
174,2021-05-15,190272.0,Laundry Hampers
175,2021-05-16,212354.0,Laundry Hampers
176,2021-05-17,212354.0,Laundry Hampers
177,2021-05-18,212354.0,Laundry Hampers
178,2021-05-19,555399.0,Laundry Hampers
179,2021-05-20,655987.0,Laundry Hampers
180,2021-05-21,655987.0,Laundry Hampers
181,2021-05-22,773869.0,Laundry Hampers
182,2021-05-23,773869.0,Laundry Hampers
183,2021-05-24,773869.0,Laundry Hampers
184,2021-05-25,773869.0,Laundry Hampers
185,2021-05-26,773869.0,Laundry Hampers
186,2021-05-27,992169.0,Laundry Hampers
187,2021-05-28,992169.0,Laundry Hampers
188,2021-05-29,992169.0,Laundry Hampers
189,2021-05-30,992169.0,Laundry Hampers
190,2021-05-31,992169.0,Laundry Hampers
191,2021-06-01,1116236.0,Laundry Hampers
192,2021-06-02,1136704.0,Laundry Hampers
193,2021-06-03,1136704.0,Laundry Hampers
194,2021-06-04,1220256.0,Laundry Hampers
195,2021-06-05,1220256.0,Laundry Hampers
196,2021-06-06,1220256.0,Laundry Hampers
197,2021-06-07,498346.0,Laundry Hampers
198,2021-06-08,498346.0,Laundry Hampers
199,2021-06-09,498346.0,Laundry Hampers
200,2021-06-10,498346.0,Laundry Hampers
201,2021-06-11,498346.0,Laundry Hampers
202,2021-06-12,498346.0,Laundry Hampers
203,2021-06-13,498346.0,Laundry Hampers
204,2021-06-14,498346.0,Laundry Hampers
205,2021-06-15,1232350.0,Laundry Hampers
206,2021-06-16,1232350.0,Laundry Hampers
207,2021-06-17,1232350.0,Laundry Hampers
208,2021-06-18,1382448.0,Laundry Hampers
209,2021-06-19,1382448.0,Laundry Hampers
210,2021-06-20,1382448.0,Laundry Hampers
211,2021-06-21,1455822.0,Laundry Hampers
212,2021-06-22,1455822.0,Laundry Hampers
213,2021-06-23,1565431.0,Laundry Hampers
214,2021-06-24,1565431.0,Laundry Hampers
215,2021-06-25,1565431.0,Laundry Hampers
216,2021-06-26,1565431.0,Laundry Hampers
217,2021-06-27,1565431.0,Laundry Hampers
218,2021-06-28,1682482.0,Laundry Hampers
219,2021-06-29,1682482.0,Laundry Hampers
220,2021-06-30,1721561.0,Laundry Hampers
221,2021-07-01,1721561.0,Laundry Hampers
222,2021-07-02,1721561.0,Laundry Hampers
223,2021-07-03,1791648.0,Laundry Hampers
224,2021-07-04,1791648.0,Laundry Hampers
225,2021-07-05,1791648.0,Laundry Hampers
226,2021-07-06,1842796.0,Laundry Hampers
227,2021-07-07,1842796.0,Laundry Hampers
228,2021-07-08,1842796.0,Laundry Hampers
229,2021-07-09,1842796.0,Laundry Hampers
230,2021-07-10,1842796.0,Laundry Hampers
231,2021-07-11,1923503.0,Laundry Hampers
