,date,value,name_B088FBF9GB
251,2021-02-21,7427.0,Plush Pillows
252,2021-02-22,10117.0,Plush Pillows
253,2021-02-23,9456.0,Plush Pillows
254,2021-02-24,9456.0,Plush Pillows
255,2021-02-25,9966.0,Plush Pillows
256,2021-02-26,8135.0,Plush Pillows
257,2021-02-27,8135.0,Plush Pillows
258,2021-02-28,8135.0,Plush Pillows
259,2021-03-01,8135.0,Plush Pillows
260,2021-03-02,4388.0,Plush Pillows
261,2021-03-03,4388.0,Plush Pillows
262,2021-03-04,2953.0,Plush Pillows
263,2021-03-05,2953.0,Plush Pillows
264,2021-03-06,4795.0,Plush Pillows
265,2021-03-07,4628.0,Plush Pillows
266,2021-03-08,3289.0,Plush Pillows
267,2021-03-09,8745.0,Plush Pillows
268,2021-03-10,9293.0,Plush Pillows
269,2021-03-11,9293.0,Plush Pillows
270,2021-03-12,9293.0,Plush Pillows
271,2021-03-13,10626.0,Plush Pillows
272,2021-03-14,10626.0,Plush Pillows
273,2021-03-15,9865.0,Plush Pillows
274,2021-03-16,9865.0,Plush Pillows
275,2021-03-17,10673.0,Plush Pillows
276,2021-03-18,10330.0,Plush Pillows
277,2021-03-19,10330.0,Plush Pillows
278,2021-03-20,10330.0,Plush Pillows
279,2021-03-21,10330.0,Plush Pillows
280,2021-03-22,12747.0,Plush Pillows
281,2021-03-23,12751.0,Plush Pillows
282,2021-03-24,12751.0,Plush Pillows
283,2021-03-25,11037.0,Plush Pillows
284,2021-03-26,11037.0,Plush Pillows
285,2021-03-27,11037.0,Plush Pillows
286,2021-03-28,9748.0,Plush Pillows
287,2021-03-29,9748.0,Plush Pillows
288,2021-03-30,8073.0,Plush Pillows
289,2021-03-31,6923.0,Plush Pillows
290,2021-04-01,5440.0,Plush Pillows
291,2021-04-02,5364.0,Plush Pillows
292,2021-04-03,5288.0,Plush Pillows
293,2021-04-04,3984.0,Plush Pillows
294,2021-04-05,3334.0,Plush Pillows
295,2021-04-06,3456.0,Plush Pillows
296,2021-04-07,3878.0,Plush Pillows
297,2021-04-08,6327.0,Plush Pillows
298,2021-04-09,5776.0,Plush Pillows
299,2021-04-10,7388.0,Plush Pillows
300,2021-04-11,7388.0,Plush Pillows
301,2021-04-12,7893.0,Plush Pillows
302,2021-04-13,12914.0,Plush Pillows
303,2021-04-14,12962.0,Plush Pillows
304,2021-04-15,6248.0,Plush Pillows
305,2021-04-16,7734.0,Plush Pillows
306,2021-04-17,7734.0,Plush Pillows
307,2021-04-18,4651.0,Plush Pillows
308,2021-04-19,5518.0,Plush Pillows
309,2021-04-20,6023.0,Plush Pillows
310,2021-04-21,5927.0,Plush Pillows
311,2021-04-22,7206.0,Plush Pillows
312,2021-04-23,7107.0,Plush Pillows
313,2021-04-24,7107.0,Plush Pillows
314,2021-04-25,6909.0,Plush Pillows
315,2021-04-26,9645.0,Plush Pillows
316,2021-04-27,7140.0,Plush Pillows
317,2021-04-28,5028.0,Plush Pillows
318,2021-04-29,4510.0,Plush Pillows
319,2021-04-30,5110.0,Plush Pillows
320,2021-05-01,5110.0,Plush Pillows
321,2021-05-02,3737.0,Plush Pillows
322,2021-05-03,3075.0,Plush Pillows
323,2021-05-04,3627.0,Plush Pillows
324,2021-05-05,3627.0,Plush Pillows
325,2021-05-06,4665.0,Plush Pillows
326,2021-05-07,2363.0,Plush Pillows
327,2021-05-08,2363.0,Plush Pillows
328,2021-05-09,3138.0,Plush Pillows
329,2021-05-10,3138.0,Plush Pillows
330,2021-05-11,4630.0,Plush Pillows
331,2021-05-12,4630.0,Plush Pillows
332,2021-05-13,8220.0,Plush Pillows
333,2021-05-14,5968.0,Plush Pillows
334,2021-05-15,5691.0,Plush Pillows
335,2021-05-16,2468.0,Plush Pillows
336,2021-05-17,4971.0,Plush Pillows
337,2021-05-18,5370.0,Plush Pillows
338,2021-05-19,5672.0,Plush Pillows
339,2021-05-20,5154.0,Plush Pillows
340,2021-05-21,5154.0,Plush Pillows
341,2021-05-22,8593.0,Plush Pillows
342,2021-05-23,8593.0,Plush Pillows
343,2021-05-24,5667.0,Plush Pillows
344,2021-05-25,5662.0,Plush Pillows
345,2021-05-26,5662.0,Plush Pillows
346,2021-05-27,11948.0,Plush Pillows
347,2021-05-28,8559.0,Plush Pillows
348,2021-05-29,8559.0,Plush Pillows
349,2021-05-30,8559.0,Plush Pillows
350,2021-05-31,10724.0,Plush Pillows
351,2021-06-01,6180.0,Plush Pillows
352,2021-06-02,6180.0,Plush Pillows
353,2021-06-03,4964.0,Plush Pillows
