,date,value,name_B08V547GSW
86,2021-05-31,28347.0,Kitchen & Dining Features
87,2021-06-01,36066.0,Kitchen & Dining Features
88,2021-06-02,27714.0,Kitchen & Dining Features
89,2021-06-03,27918.0,Kitchen & Dining Features
90,2021-06-04,27918.0,Kitchen & Dining Features
91,2021-06-05,28526.0,Kitchen & Dining Features
92,2021-06-06,29242.0,Kitchen & Dining Features
93,2021-06-07,34486.0,Kitchen & Dining Features
94,2021-06-08,24691.0,Kitchen & Dining Features
95,2021-06-09,26856.0,Kitchen & Dining Features
96,2021-06-10,31442.0,Kitchen & Dining Features
97,2021-06-11,31442.0,Kitchen & Dining Features
98,2021-06-12,21249.0,Kitchen & Dining Features
99,2021-06-13,21249.0,Kitchen & Dining Features
100,2021-06-14,21249.0,Kitchen & Dining Features
101,2021-06-15,17119.0,Kitchen & Dining Features
102,2021-06-16,17119.0,Kitchen & Dining Features
103,2021-06-17,17119.0,Kitchen & Dining Features
104,2021-06-18,17119.0,Kitchen & Dining Features
105,2021-06-19,22952.0,Kitchen & Dining Features
106,2021-06-20,28115.0,Kitchen & Dining Features
107,2021-06-21,28115.0,Kitchen & Dining Features
108,2021-06-22,33587.0,Kitchen & Dining Features
109,2021-06-23,33587.0,Kitchen & Dining Features
110,2021-06-24,33587.0,Kitchen & Dining Features
111,2021-06-25,22739.0,Kitchen & Dining Features
112,2021-06-26,22739.0,Kitchen & Dining Features
113,2021-06-27,22739.0,Kitchen & Dining Features
114,2021-06-28,20185.0,Kitchen & Dining Features
115,2021-06-29,20185.0,Kitchen & Dining Features
116,2021-06-30,21931.0,Kitchen & Dining Features
117,2021-07-01,18550.0,Kitchen & Dining Features
118,2021-07-02,18550.0,Kitchen & Dining Features
119,2021-07-03,18550.0,Kitchen & Dining Features
120,2021-07-04,18550.0,Kitchen & Dining Features
121,2021-07-05,21236.0,Kitchen & Dining Features
122,2021-07-06,21236.0,Kitchen & Dining Features
123,2021-07-07,19112.0,Kitchen & Dining Features
124,2021-07-08,19112.0,Kitchen & Dining Features
125,2021-07-09,19112.0,Kitchen & Dining Features
126,2021-07-10,11711.0,Kitchen & Dining Features
127,2021-07-11,11430.0,Kitchen & Dining Features
