,date,value,name_B082X2SVKS
196,2020-12-05,1446.0,Kids' Electronics
197,2020-12-06,2678.0,Kids' Electronics
198,2020-12-07,3857.0,Kids' Electronics
199,2020-12-08,3929.0,Kids' Electronics
200,2020-12-09,4513.0,Kids' Electronics
201,2020-12-10,4513.0,Kids' Electronics
202,2020-12-11,4052.0,Kids' Electronics
203,2020-12-12,5691.0,Kids' Electronics
204,2020-12-13,5691.0,Kids' Electronics
205,2020-12-14,4638.0,Kids' Electronics
206,2020-12-15,4638.0,Kids' Electronics
207,2020-12-16,2725.0,Kids' Electronics
208,2020-12-17,2725.0,Kids' Electronics
209,2020-12-18,2725.0,Kids' Electronics
210,2020-12-19,6804.0,Kids' Electronics
211,2020-12-20,6804.0,Kids' Electronics
212,2020-12-21,6804.0,Kids' Electronics
213,2020-12-22,3724.0,Kids' Electronics
214,2020-12-23,3724.0,Kids' Electronics
215,2020-12-24,3624.0,Kids' Electronics
216,2020-12-25,4160.0,Kids' Electronics
217,2020-12-26,4160.0,Kids' Electronics
218,2020-12-27,5278.0,Kids' Electronics
219,2020-12-28,5278.0,Kids' Electronics
220,2020-12-29,5276.0,Kids' Electronics
221,2020-12-30,5276.0,Kids' Electronics
222,2020-12-31,5276.0,Kids' Electronics
223,2021-01-01,5276.0,Kids' Electronics
224,2021-01-02,5276.0,Kids' Electronics
225,2021-01-03,6218.0,Kids' Electronics
226,2021-01-04,7351.0,Kids' Electronics
227,2021-01-05,7351.0,Kids' Electronics
228,2021-01-06,7351.0,Kids' Electronics
229,2021-01-07,6750.0,Kids' Electronics
230,2021-01-08,6750.0,Kids' Electronics
231,2021-01-09,7919.0,Kids' Electronics
232,2021-01-10,7919.0,Kids' Electronics
233,2021-01-11,7919.0,Kids' Electronics
234,2021-01-12,9222.0,Kids' Electronics
235,2021-01-13,6929.0,Kids' Electronics
236,2021-01-14,6929.0,Kids' Electronics
237,2021-01-15,8519.0,Kids' Electronics
238,2021-01-16,5406.0,Kids' Electronics
239,2021-01-17,5406.0,Kids' Electronics
240,2021-01-18,5636.0,Kids' Electronics
241,2021-01-19,5636.0,Kids' Electronics
242,2021-01-20,6224.0,Kids' Electronics
243,2021-01-21,6224.0,Kids' Electronics
244,2021-01-22,4196.0,Kids' Electronics
245,2021-01-23,4196.0,Kids' Electronics
246,2021-01-24,4904.0,Kids' Electronics
247,2021-01-25,6644.0,Kids' Electronics
248,2021-01-26,5659.0,Kids' Electronics
249,2021-01-27,5009.0,Kids' Electronics
250,2021-01-28,5009.0,Kids' Electronics
251,2021-01-29,5009.0,Kids' Electronics
252,2021-01-30,7104.0,Kids' Electronics
253,2021-01-31,7104.0,Kids' Electronics
254,2021-02-01,5861.0,Kids' Electronics
255,2021-02-02,9598.0,Kids' Electronics
256,2021-02-03,9598.0,Kids' Electronics
257,2021-02-04,7573.0,Kids' Electronics
258,2021-02-05,7573.0,Kids' Electronics
259,2021-02-06,8423.0,Kids' Electronics
260,2021-02-07,8423.0,Kids' Electronics
261,2021-02-08,8423.0,Kids' Electronics
262,2021-02-09,8423.0,Kids' Electronics
263,2021-02-10,11028.0,Kids' Electronics
264,2021-02-11,11028.0,Kids' Electronics
265,2021-02-12,11028.0,Kids' Electronics
266,2021-02-13,11028.0,Kids' Electronics
267,2021-02-14,7137.0,Kids' Electronics
268,2021-02-15,7137.0,Kids' Electronics
269,2021-02-16,7137.0,Kids' Electronics
270,2021-02-17,5668.0,Kids' Electronics
271,2021-02-18,5548.0,Kids' Electronics
272,2021-02-19,5548.0,Kids' Electronics
273,2021-02-20,7320.0,Kids' Electronics
274,2021-02-21,7320.0,Kids' Electronics
275,2021-02-22,7320.0,Kids' Electronics
276,2021-02-23,5697.0,Kids' Electronics
277,2021-02-24,5697.0,Kids' Electronics
278,2021-02-25,6393.0,Kids' Electronics
279,2021-02-26,6393.0,Kids' Electronics
280,2021-02-27,6393.0,Kids' Electronics
281,2021-02-28,6393.0,Kids' Electronics
282,2021-03-01,6393.0,Kids' Electronics
283,2021-03-02,5242.0,Kids' Electronics
284,2021-03-03,5242.0,Kids' Electronics
285,2021-03-04,5242.0,Kids' Electronics
286,2021-03-05,6208.0,Kids' Electronics
287,2021-03-06,6208.0,Kids' Electronics
288,2021-03-07,6208.0,Kids' Electronics
289,2021-03-08,5799.0,Kids' Electronics
290,2021-03-09,5799.0,Kids' Electronics
291,2021-03-10,5034.0,Kids' Electronics
292,2021-03-11,5034.0,Kids' Electronics
293,2021-03-12,5034.0,Kids' Electronics
294,2021-03-13,5989.0,Kids' Electronics
295,2021-03-14,4731.0,Kids' Electronics
296,2021-03-15,4731.0,Kids' Electronics
297,2021-03-16,5928.0,Kids' Electronics
298,2021-03-17,8030.0,Kids' Electronics
299,2021-03-18,8456.0,Kids' Electronics
300,2021-03-19,8456.0,Kids' Electronics
301,2021-03-20,7070.0,Kids' Electronics
302,2021-03-21,7070.0,Kids' Electronics
303,2021-03-22,5118.0,Kids' Electronics
304,2021-03-23,6615.0,Kids' Electronics
305,2021-03-24,8344.0,Kids' Electronics
306,2021-03-25,6571.0,Kids' Electronics
307,2021-03-26,5404.0,Kids' Electronics
308,2021-03-27,5897.0,Kids' Electronics
309,2021-03-28,5897.0,Kids' Electronics
310,2021-03-29,5897.0,Kids' Electronics
311,2021-03-30,5414.0,Kids' Electronics
312,2021-03-31,4255.0,Kids' Electronics
313,2021-04-01,4255.0,Kids' Electronics
314,2021-04-02,4438.0,Kids' Electronics
315,2021-04-03,4777.0,Kids' Electronics
316,2021-04-04,4777.0,Kids' Electronics
317,2021-04-05,7253.0,Kids' Electronics
318,2021-04-06,7253.0,Kids' Electronics
319,2021-04-07,7253.0,Kids' Electronics
320,2021-04-08,5699.0,Kids' Electronics
321,2021-04-09,5863.0,Kids' Electronics
322,2021-04-10,5863.0,Kids' Electronics
323,2021-04-11,4475.0,Kids' Electronics
324,2021-04-12,4373.0,Kids' Electronics
325,2021-04-13,4128.0,Kids' Electronics
326,2021-04-14,4128.0,Kids' Electronics
327,2021-04-15,4618.0,Kids' Electronics
328,2021-04-16,5928.0,Kids' Electronics
329,2021-04-17,5664.0,Kids' Electronics
330,2021-04-18,5664.0,Kids' Electronics
331,2021-04-19,5664.0,Kids' Electronics
332,2021-04-20,5207.0,Kids' Electronics
333,2021-04-21,5846.0,Kids' Electronics
334,2021-04-22,5846.0,Kids' Electronics
335,2021-04-23,5055.0,Kids' Electronics
336,2021-04-24,5055.0,Kids' Electronics
337,2021-04-25,5055.0,Kids' Electronics
338,2021-04-26,4704.0,Kids' Electronics
339,2021-04-27,6983.0,Kids' Electronics
340,2021-04-28,8064.0,Kids' Electronics
341,2021-04-29,5773.0,Kids' Electronics
342,2021-04-30,5364.0,Kids' Electronics
343,2021-05-01,5364.0,Kids' Electronics
344,2021-05-02,5364.0,Kids' Electronics
345,2021-05-03,7076.0,Kids' Electronics
346,2021-05-04,7076.0,Kids' Electronics
347,2021-05-05,7076.0,Kids' Electronics
348,2021-05-06,6182.0,Kids' Electronics
349,2021-05-07,6182.0,Kids' Electronics
350,2021-05-08,6372.0,Kids' Electronics
351,2021-05-09,6372.0,Kids' Electronics
352,2021-05-10,7417.0,Kids' Electronics
353,2021-05-11,6024.0,Kids' Electronics
354,2021-05-12,6024.0,Kids' Electronics
355,2021-05-13,6024.0,Kids' Electronics
356,2021-05-14,3822.0,Kids' Electronics
357,2021-05-15,6331.0,Kids' Electronics
358,2021-05-16,6331.0,Kids' Electronics
359,2021-05-17,5404.0,Kids' Electronics
360,2021-05-18,5404.0,Kids' Electronics
361,2021-05-19,5325.0,Kids' Electronics
362,2021-05-20,6051.0,Kids' Electronics
363,2021-05-21,6051.0,Kids' Electronics
364,2021-05-22,6051.0,Kids' Electronics
365,2021-05-23,6051.0,Kids' Electronics
366,2021-05-24,6023.0,Kids' Electronics
367,2021-05-25,6023.0,Kids' Electronics
368,2021-05-26,8098.0,Kids' Electronics
369,2021-05-27,8098.0,Kids' Electronics
370,2021-05-28,8098.0,Kids' Electronics
371,2021-05-29,5862.0,Kids' Electronics
372,2021-05-30,7465.0,Kids' Electronics
373,2021-05-31,7465.0,Kids' Electronics
374,2021-06-01,9084.0,Kids' Electronics
375,2021-06-02,9084.0,Kids' Electronics
376,2021-06-03,8106.0,Kids' Electronics
377,2021-06-04,5369.0,Kids' Electronics
378,2021-06-05,6190.0,Kids' Electronics
379,2021-06-06,6190.0,Kids' Electronics
380,2021-06-07,7179.0,Kids' Electronics
381,2021-06-08,7179.0,Kids' Electronics
382,2021-06-09,7179.0,Kids' Electronics
383,2021-06-10,5666.0,Kids' Electronics
384,2021-06-11,5666.0,Kids' Electronics
385,2021-06-12,4480.0,Kids' Electronics
386,2021-06-13,4480.0,Kids' Electronics
387,2021-06-14,4480.0,Kids' Electronics
388,2021-06-15,6353.0,Kids' Electronics
389,2021-06-16,6318.0,Kids' Electronics
390,2021-06-17,5377.0,Kids' Electronics
391,2021-06-18,5688.0,Kids' Electronics
392,2021-06-19,4146.0,Kids' Electronics
393,2021-06-20,6598.0,Kids' Electronics
394,2021-06-21,6598.0,Kids' Electronics
395,2021-06-22,5764.0,Kids' Electronics
396,2021-06-23,6990.0,Kids' Electronics
397,2021-06-24,8294.0,Kids' Electronics
398,2021-06-25,8294.0,Kids' Electronics
399,2021-06-26,8294.0,Kids' Electronics
400,2021-06-27,7585.0,Kids' Electronics
401,2021-06-28,7585.0,Kids' Electronics
402,2021-06-29,11139.0,Kids' Electronics
403,2021-06-30,6592.0,Kids' Electronics
404,2021-07-01,6592.0,Kids' Electronics
405,2021-07-02,7760.0,Kids' Electronics
406,2021-07-03,7760.0,Kids' Electronics
407,2021-07-04,7760.0,Kids' Electronics
408,2021-07-05,7867.0,Kids' Electronics
409,2021-07-06,4559.0,Kids' Electronics
410,2021-07-07,4315.0,Kids' Electronics
411,2021-07-08,4315.0,Kids' Electronics
412,2021-07-09,5758.0,Kids' Electronics
413,2021-07-10,7480.0,Kids' Electronics
414,2021-07-11,6386.0,Kids' Electronics
