,date,value,name_B08NDXCG8L
217,2021-06-27,8293.0,Cloth Napkins
218,2021-06-28,8648.0,Cloth Napkins
219,2021-06-29,6267.0,Cloth Napkins
220,2021-06-30,6267.0,Cloth Napkins
221,2021-07-01,6306.0,Cloth Napkins
222,2021-07-02,6306.0,Cloth Napkins
223,2021-07-03,6306.0,Cloth Napkins
224,2021-07-04,6306.0,Cloth Napkins
225,2021-07-05,7394.0,Cloth Napkins
226,2021-07-06,7394.0,Cloth Napkins
227,2021-07-07,7394.0,Cloth Napkins
228,2021-07-08,4370.0,Cloth Napkins
229,2021-07-09,4370.0,Cloth Napkins
230,2021-07-10,5261.0,Cloth Napkins
