,date,value,name_B08CTYQY5Q
59,2021-01-25,250645.0,Bed Pillows
60,2021-01-26,217914.0,Bed Pillows
61,2021-01-27,217914.0,Bed Pillows
62,2021-01-28,217914.0,Bed Pillows
63,2021-01-29,217914.0,Bed Pillows
64,2021-01-30,217914.0,Bed Pillows
65,2021-01-31,217914.0,Bed Pillows
66,2021-02-01,204064.0,Bed Pillows
67,2021-02-02,204064.0,Bed Pillows
68,2021-02-03,389430.0,Bed Pillows
69,2021-02-04,528283.0,Bed Pillows
70,2021-02-05,528283.0,Bed Pillows
71,2021-02-06,528283.0,Bed Pillows
72,2021-02-07,528283.0,Bed Pillows
73,2021-02-08,528283.0,Bed Pillows
74,2021-02-09,528283.0,Bed Pillows
75,2021-02-10,528283.0,Bed Pillows
76,2021-02-11,528283.0,Bed Pillows
77,2021-02-12,528283.0,Bed Pillows
78,2021-02-13,528283.0,Bed Pillows
79,2021-02-14,528283.0,Bed Pillows
80,2021-02-15,919816.0,Bed Pillows
81,2021-02-16,919816.0,Bed Pillows
82,2021-02-17,919816.0,Bed Pillows
83,2021-02-18,974808.0,Bed Pillows
84,2021-02-19,974808.0,Bed Pillows
85,2021-02-20,974808.0,Bed Pillows
86,2021-02-21,974808.0,Bed Pillows
87,2021-02-22,974808.0,Bed Pillows
88,2021-02-23,974808.0,Bed Pillows
89,2021-02-24,1097187.0,Bed Pillows
90,2021-02-25,1097187.0,Bed Pillows
91,2021-02-26,1097187.0,Bed Pillows
92,2021-02-27,1097187.0,Bed Pillows
93,2021-02-28,1097187.0,Bed Pillows
94,2021-03-01,1097187.0,Bed Pillows
95,2021-03-02,1097187.0,Bed Pillows
96,2021-03-03,1097187.0,Bed Pillows
97,2021-03-04,291017.0,Bed Pillows
98,2021-03-05,291017.0,Bed Pillows
99,2021-03-06,291017.0,Bed Pillows
100,2021-03-07,291017.0,Bed Pillows
101,2021-03-08,291017.0,Bed Pillows
102,2021-03-09,275853.0,Bed Pillows
103,2021-03-10,275853.0,Bed Pillows
104,2021-03-11,39503.0,Bed Pillows
105,2021-03-12,39503.0,Bed Pillows
106,2021-03-13,39503.0,Bed Pillows
107,2021-03-14,39503.0,Bed Pillows
108,2021-03-15,39503.0,Bed Pillows
109,2021-03-16,155825.0,Bed Pillows
110,2021-03-17,155825.0,Bed Pillows
111,2021-03-18,155825.0,Bed Pillows
112,2021-03-19,155825.0,Bed Pillows
113,2021-03-20,155825.0,Bed Pillows
114,2021-03-21,155825.0,Bed Pillows
115,2021-03-22,268590.0,Bed Pillows
116,2021-03-23,268590.0,Bed Pillows
117,2021-03-24,268590.0,Bed Pillows
118,2021-03-25,268590.0,Bed Pillows
119,2021-03-26,116793.0,Bed Pillows
120,2021-03-27,116793.0,Bed Pillows
121,2021-03-28,116793.0,Bed Pillows
122,2021-03-29,116793.0,Bed Pillows
123,2021-03-30,268514.0,Bed Pillows
124,2021-03-31,268514.0,Bed Pillows
125,2021-04-01,268514.0,Bed Pillows
126,2021-04-02,268514.0,Bed Pillows
127,2021-04-03,268514.0,Bed Pillows
128,2021-04-04,268514.0,Bed Pillows
129,2021-04-05,305404.0,Bed Pillows
130,2021-04-06,305404.0,Bed Pillows
131,2021-04-07,305404.0,Bed Pillows
132,2021-04-08,305404.0,Bed Pillows
133,2021-04-09,394919.0,Bed Pillows
134,2021-04-10,394919.0,Bed Pillows
135,2021-04-11,394919.0,Bed Pillows
136,2021-04-12,394919.0,Bed Pillows
137,2021-04-13,534104.0,Bed Pillows
138,2021-04-14,534104.0,Bed Pillows
139,2021-04-15,534104.0,Bed Pillows
140,2021-04-16,534104.0,Bed Pillows
141,2021-04-17,534104.0,Bed Pillows
142,2021-04-18,534104.0,Bed Pillows
143,2021-04-19,534104.0,Bed Pillows
144,2021-04-20,340696.0,Bed Pillows
145,2021-04-21,388362.0,Bed Pillows
146,2021-04-22,388362.0,Bed Pillows
147,2021-04-23,388362.0,Bed Pillows
148,2021-04-24,388362.0,Bed Pillows
149,2021-04-25,388362.0,Bed Pillows
150,2021-04-26,621938.0,Bed Pillows
151,2021-04-27,759776.0,Bed Pillows
152,2021-04-28,759776.0,Bed Pillows
153,2021-04-29,759776.0,Bed Pillows
154,2021-04-30,759776.0,Bed Pillows
155,2021-05-01,759776.0,Bed Pillows
156,2021-05-02,759776.0,Bed Pillows
157,2021-05-03,759776.0,Bed Pillows
158,2021-05-04,239597.0,Bed Pillows
159,2021-05-05,239597.0,Bed Pillows
160,2021-05-06,239597.0,Bed Pillows
161,2021-05-07,499271.0,Bed Pillows
162,2021-05-08,499271.0,Bed Pillows
163,2021-05-09,499271.0,Bed Pillows
164,2021-05-10,611824.0,Bed Pillows
165,2021-05-11,611824.0,Bed Pillows
166,2021-05-12,408539.0,Bed Pillows
167,2021-05-13,62317.0,Bed Pillows
168,2021-05-14,99263.0,Bed Pillows
169,2021-05-15,161966.0,Bed Pillows
170,2021-05-16,161966.0,Bed Pillows
171,2021-05-17,161966.0,Bed Pillows
172,2021-05-18,174016.0,Bed Pillows
173,2021-05-19,174016.0,Bed Pillows
174,2021-05-20,174016.0,Bed Pillows
175,2021-05-21,202236.0,Bed Pillows
176,2021-05-22,45439.0,Bed Pillows
177,2021-05-23,84112.0,Bed Pillows
178,2021-05-24,84112.0,Bed Pillows
179,2021-05-25,117943.0,Bed Pillows
180,2021-05-26,117943.0,Bed Pillows
181,2021-05-27,93848.0,Bed Pillows
182,2021-05-28,93848.0,Bed Pillows
183,2021-05-29,93848.0,Bed Pillows
184,2021-05-30,93848.0,Bed Pillows
185,2021-05-31,34948.0,Bed Pillows
186,2021-06-01,34948.0,Bed Pillows
187,2021-06-02,128651.0,Bed Pillows
188,2021-06-03,128651.0,Bed Pillows
189,2021-06-04,104538.0,Bed Pillows
190,2021-06-05,104538.0,Bed Pillows
191,2021-06-06,104538.0,Bed Pillows
192,2021-06-07,104538.0,Bed Pillows
193,2021-06-08,104538.0,Bed Pillows
194,2021-06-09,18404.0,Bed Pillows
195,2021-06-10,18404.0,Bed Pillows
196,2021-06-11,18404.0,Bed Pillows
197,2021-06-12,18404.0,Bed Pillows
198,2021-06-13,18404.0,Bed Pillows
199,2021-06-14,18404.0,Bed Pillows
200,2021-06-15,18404.0,Bed Pillows
201,2021-06-16,351310.0,Bed Pillows
202,2021-06-17,351310.0,Bed Pillows
203,2021-06-18,351310.0,Bed Pillows
204,2021-06-19,351310.0,Bed Pillows
205,2021-06-20,351310.0,Bed Pillows
206,2021-06-21,112321.0,Bed Pillows
207,2021-06-22,112321.0,Bed Pillows
208,2021-06-23,112321.0,Bed Pillows
209,2021-06-24,112321.0,Bed Pillows
210,2021-06-25,112321.0,Bed Pillows
211,2021-06-26,112321.0,Bed Pillows
212,2021-06-27,112321.0,Bed Pillows
213,2021-06-28,277751.0,Bed Pillows
214,2021-06-29,213396.0,Bed Pillows
215,2021-06-30,213396.0,Bed Pillows
216,2021-07-01,213396.0,Bed Pillows
217,2021-07-02,213396.0,Bed Pillows
218,2021-07-03,213396.0,Bed Pillows
219,2021-07-04,213396.0,Bed Pillows
220,2021-07-05,213396.0,Bed Pillows
221,2021-07-06,213396.0,Bed Pillows
222,2021-07-07,474059.0,Bed Pillows
223,2021-07-08,474059.0,Bed Pillows
224,2021-07-09,4823.0,Bed Pillows
