,date,value,name_B01N7Y2A8M
101,2020-08-31,1591.0,Whey
102,2020-09-01,1591.0,Whey
103,2020-09-02,1751.0,Whey
104,2020-09-03,1758.0,Whey
105,2020-09-04,1725.0,Whey
106,2020-09-05,1751.0,Whey
107,2020-09-06,1872.0,Whey
108,2020-09-07,1937.0,Whey
109,2020-09-08,1462.0,Whey
110,2020-09-09,1531.0,Whey
111,2020-09-10,1440.0,Whey
112,2020-09-11,1519.0,Whey
113,2020-09-12,1519.0,Whey
114,2020-09-13,1664.0,Whey
115,2020-09-14,1781.0,Whey
116,2020-09-15,1781.0,Whey
117,2020-09-16,1666.0,Whey
118,2020-09-17,1563.0,Whey
119,2020-09-18,1730.0,Whey
120,2020-09-19,1684.0,Whey
121,2020-09-20,1849.0,Whey
122,2020-09-21,1778.0,Whey
123,2020-09-22,1867.0,Whey
124,2020-09-23,1752.0,Whey
125,2020-09-24,1914.0,Whey
126,2020-09-25,1970.0,Whey
127,2020-09-26,1901.0,Whey
128,2020-09-27,1788.0,Whey
129,2020-09-28,2016.0,Whey
130,2020-09-29,1742.0,Whey
131,2020-09-30,1732.0,Whey
132,2020-10-01,1632.0,Whey
133,2020-10-02,1632.0,Whey
134,2020-10-03,1856.0,Whey
135,2020-10-04,1981.0,Whey
136,2020-10-05,1803.0,Whey
137,2020-10-06,1684.0,Whey
138,2020-10-07,1811.0,Whey
139,2020-10-08,1837.0,Whey
140,2020-10-09,2038.0,Whey
141,2020-10-10,1891.0,Whey
142,2020-10-11,1842.0,Whey
143,2020-10-12,2047.0,Whey
144,2020-10-13,1849.0,Whey
145,2020-10-14,571.0,Whey
146,2020-10-15,763.0,Whey
147,2020-10-16,763.0,Whey
148,2020-10-17,1680.0,Whey
149,2020-10-18,1806.0,Whey
150,2020-10-19,1751.0,Whey
151,2020-10-20,1751.0,Whey
152,2020-10-21,1784.0,Whey
153,2020-10-22,1845.0,Whey
154,2020-10-23,1915.0,Whey
155,2020-10-24,1583.0,Whey
156,2020-10-25,1583.0,Whey
157,2020-10-26,1959.0,Whey
158,2020-10-27,1875.0,Whey
159,2020-10-28,1890.0,Whey
160,2020-10-29,1727.0,Whey
161,2020-10-30,1793.0,Whey
162,2020-10-31,2033.0,Whey
163,2020-11-01,2112.0,Whey
164,2020-11-02,1910.0,Whey
165,2020-11-03,1910.0,Whey
166,2020-11-04,1708.0,Whey
167,2020-11-05,1546.0,Whey
168,2020-11-06,1854.0,Whey
169,2020-11-07,1974.0,Whey
170,2020-11-08,2053.0,Whey
171,2020-11-09,2053.0,Whey
172,2020-11-10,1891.0,Whey
173,2020-11-11,2061.0,Whey
174,2020-11-12,2061.0,Whey
175,2020-11-13,1927.0,Whey
176,2020-11-14,1890.0,Whey
177,2020-11-15,2184.0,Whey
178,2020-11-16,2184.0,Whey
179,2020-11-17,2191.0,Whey
180,2020-11-18,2191.0,Whey
181,2020-11-19,1953.0,Whey
182,2020-11-20,1953.0,Whey
183,2020-11-21,2227.0,Whey
184,2020-11-22,2646.0,Whey
185,2020-11-23,2458.0,Whey
186,2020-11-24,2458.0,Whey
187,2020-11-25,2491.0,Whey
188,2020-11-26,2463.0,Whey
189,2020-11-27,2014.0,Whey
190,2020-11-28,2014.0,Whey
191,2020-11-29,1692.0,Whey
192,2020-11-30,1581.0,Whey
193,2020-12-01,1263.0,Whey
194,2020-12-02,1750.0,Whey
195,2020-12-03,1860.0,Whey
196,2020-12-04,1860.0,Whey
197,2020-12-05,1968.0,Whey
198,2020-12-06,2176.0,Whey
199,2020-12-07,1982.0,Whey
200,2020-12-08,1982.0,Whey
201,2020-12-09,2039.0,Whey
202,2020-12-10,2147.0,Whey
203,2020-12-11,2315.0,Whey
204,2020-12-12,2651.0,Whey
205,2020-12-13,2864.0,Whey
206,2020-12-14,2591.0,Whey
207,2020-12-15,2383.0,Whey
208,2020-12-16,2305.0,Whey
209,2020-12-17,2272.0,Whey
210,2020-12-18,2454.0,Whey
211,2020-12-19,2477.0,Whey
212,2020-12-20,2365.0,Whey
213,2020-12-21,2462.0,Whey
214,2020-12-22,2468.0,Whey
215,2020-12-23,2546.0,Whey
216,2020-12-24,2600.0,Whey
217,2020-12-25,2375.0,Whey
218,2020-12-26,2659.0,Whey
219,2020-12-27,2159.0,Whey
220,2020-12-28,2061.0,Whey
221,2020-12-29,2166.0,Whey
222,2020-12-30,2190.0,Whey
223,2020-12-31,2190.0,Whey
224,2021-01-01,2146.0,Whey
225,2021-01-02,2146.0,Whey
226,2021-01-03,1656.0,Whey
227,2021-01-04,1597.0,Whey
228,2021-01-05,1597.0,Whey
229,2021-01-06,1471.0,Whey
230,2021-01-07,1689.0,Whey
231,2021-01-08,1659.0,Whey
232,2021-01-09,1987.0,Whey
233,2021-01-10,1987.0,Whey
234,2021-01-11,2041.0,Whey
235,2021-01-12,1966.0,Whey
236,2021-01-13,1966.0,Whey
237,2021-01-14,1859.0,Whey
238,2021-01-15,1749.0,Whey
239,2021-01-16,1749.0,Whey
240,2021-01-17,1783.0,Whey
241,2021-01-18,1907.0,Whey
242,2021-01-19,1799.0,Whey
243,2021-01-20,1854.0,Whey
244,2021-01-21,1869.0,Whey
245,2021-01-22,1867.0,Whey
246,2021-01-23,1867.0,Whey
247,2021-01-24,1888.0,Whey
248,2021-01-25,1814.0,Whey
249,2021-01-26,1814.0,Whey
250,2021-01-27,1774.0,Whey
251,2021-01-28,1785.0,Whey
252,2021-01-29,1785.0,Whey
253,2021-01-30,1605.0,Whey
254,2021-01-31,1866.0,Whey
255,2021-02-01,1866.0,Whey
256,2021-02-02,1595.0,Whey
257,2021-02-03,1493.0,Whey
258,2021-02-04,1446.0,Whey
259,2021-02-05,1414.0,Whey
260,2021-02-06,1414.0,Whey
261,2021-02-07,1661.0,Whey
262,2021-02-08,1909.0,Whey
263,2021-02-09,1692.0,Whey
264,2021-02-10,1461.0,Whey
265,2021-02-11,1540.0,Whey
266,2021-02-12,1540.0,Whey
267,2021-02-13,1769.0,Whey
268,2021-02-14,1763.0,Whey
269,2021-02-15,1767.0,Whey
270,2021-02-16,1469.0,Whey
271,2021-02-17,1499.0,Whey
272,2021-02-18,1387.0,Whey
273,2021-02-19,1554.0,Whey
274,2021-02-20,1681.0,Whey
275,2021-02-21,1733.0,Whey
276,2021-02-22,1603.0,Whey
277,2021-02-23,1603.0,Whey
278,2021-02-24,1292.0,Whey
279,2021-02-25,1292.0,Whey
280,2021-02-26,1750.0,Whey
281,2021-02-27,1750.0,Whey
282,2021-02-28,1593.0,Whey
283,2021-03-01,1593.0,Whey
284,2021-03-02,1549.0,Whey
285,2021-03-03,1440.0,Whey
286,2021-03-04,1439.0,Whey
287,2021-03-05,1439.0,Whey
288,2021-03-06,1495.0,Whey
289,2021-03-07,1711.0,Whey
290,2021-03-08,1741.0,Whey
291,2021-03-09,1452.0,Whey
292,2021-03-10,1452.0,Whey
293,2021-03-11,1361.0,Whey
294,2021-03-12,1545.0,Whey
295,2021-03-13,1715.0,Whey
296,2021-03-14,1715.0,Whey
297,2021-03-15,1715.0,Whey
298,2021-03-16,1604.0,Whey
299,2021-03-17,1624.0,Whey
300,2021-03-18,1624.0,Whey
301,2021-03-19,1515.0,Whey
302,2021-03-20,1515.0,Whey
303,2021-03-21,1690.0,Whey
304,2021-03-22,1690.0,Whey
305,2021-03-23,1365.0,Whey
306,2021-03-24,1365.0,Whey
307,2021-03-25,1568.0,Whey
308,2021-03-26,1826.0,Whey
309,2021-03-27,1870.0,Whey
310,2021-03-28,1870.0,Whey
311,2021-03-29,1552.0,Whey
312,2021-03-30,1511.0,Whey
313,2021-03-31,1390.0,Whey
314,2021-04-01,1420.0,Whey
315,2021-04-02,1474.0,Whey
316,2021-04-03,1531.0,Whey
317,2021-04-04,1531.0,Whey
318,2021-04-05,1778.0,Whey
319,2021-04-06,1778.0,Whey
320,2021-04-07,1516.0,Whey
321,2021-04-08,1516.0,Whey
322,2021-04-09,1416.0,Whey
323,2021-04-10,1416.0,Whey
324,2021-04-11,1507.0,Whey
325,2021-04-12,1507.0,Whey
326,2021-04-13,1389.0,Whey
327,2021-04-14,1345.0,Whey
328,2021-04-15,1328.0,Whey
329,2021-04-16,1516.0,Whey
330,2021-04-17,1516.0,Whey
331,2021-04-18,1772.0,Whey
332,2021-04-19,1505.0,Whey
333,2021-04-20,1445.0,Whey
334,2021-04-21,1368.0,Whey
335,2021-04-22,1368.0,Whey
336,2021-04-23,1609.0,Whey
337,2021-04-24,1609.0,Whey
338,2021-04-25,1789.0,Whey
339,2021-04-26,1789.0,Whey
340,2021-04-27,1523.0,Whey
341,2021-04-28,1523.0,Whey
342,2021-04-29,1466.0,Whey
343,2021-04-30,1462.0,Whey
344,2021-05-01,1696.0,Whey
345,2021-05-02,1696.0,Whey
346,2021-05-03,1597.0,Whey
347,2021-05-04,1419.0,Whey
348,2021-05-05,1419.0,Whey
349,2021-05-06,1466.0,Whey
350,2021-05-07,1769.0,Whey
351,2021-05-08,1621.0,Whey
352,2021-05-09,1552.0,Whey
353,2021-05-10,1594.0,Whey
354,2021-05-11,1594.0,Whey
355,2021-05-12,1437.0,Whey
356,2021-05-13,1547.0,Whey
357,2021-05-14,1651.0,Whey
358,2021-05-15,1651.0,Whey
359,2021-05-16,1631.0,Whey
360,2021-05-17,1680.0,Whey
361,2021-05-18,1434.0,Whey
362,2021-05-19,1360.0,Whey
363,2021-05-20,1655.0,Whey
364,2021-05-21,1504.0,Whey
365,2021-05-22,1528.0,Whey
366,2021-05-23,1528.0,Whey
367,2021-05-24,1750.0,Whey
368,2021-05-25,1428.0,Whey
369,2021-05-26,1522.0,Whey
370,2021-05-27,1487.0,Whey
371,2021-05-28,1612.0,Whey
372,2021-05-29,1612.0,Whey
373,2021-05-30,1599.0,Whey
374,2021-05-31,1648.0,Whey
375,2021-06-01,1648.0,Whey
376,2021-06-02,1312.0,Whey
377,2021-06-03,1510.0,Whey
378,2021-06-04,1632.0,Whey
379,2021-06-05,1895.0,Whey
380,2021-06-06,1895.0,Whey
381,2021-06-07,1775.0,Whey
382,2021-06-08,1775.0,Whey
383,2021-06-09,1426.0,Whey
384,2021-06-10,1585.0,Whey
385,2021-06-11,1585.0,Whey
386,2021-06-12,1744.0,Whey
387,2021-06-13,1744.0,Whey
388,2021-06-14,2074.0,Whey
389,2021-06-15,2074.0,Whey
390,2021-06-16,1654.0,Whey
391,2021-06-17,1608.0,Whey
392,2021-06-18,1662.0,Whey
393,2021-06-19,1634.0,Whey
394,2021-06-20,1690.0,Whey
395,2021-06-21,1748.0,Whey
396,2021-06-22,1018.0,Whey
397,2021-06-23,945.0,Whey
398,2021-06-24,1244.0,Whey
399,2021-06-25,1561.0,Whey
400,2021-06-26,1641.0,Whey
401,2021-06-27,1616.0,Whey
402,2021-06-28,1616.0,Whey
403,2021-06-29,1746.0,Whey
404,2021-06-30,1604.0,Whey
405,2021-07-01,1691.0,Whey
406,2021-07-02,1790.0,Whey
407,2021-07-03,2187.0,Whey
408,2021-07-04,2186.0,Whey
409,2021-07-05,2193.0,Whey
410,2021-07-06,2199.0,Whey
411,2021-07-07,2199.0,Whey
412,2021-07-08,1692.0,Whey
413,2021-07-09,1871.0,Whey
414,2021-07-10,1922.0,Whey
415,2021-07-11,2275.0,Whey
