,date,value,name_B08HT3DGT5
93,2021-01-31,3183.0,Trash Bags
94,2021-02-01,1881.0,Trash Bags
95,2021-02-02,1964.0,Trash Bags
96,2021-02-03,1964.0,Trash Bags
97,2021-02-04,2262.0,Trash Bags
98,2021-02-05,2206.0,Trash Bags
99,2021-02-06,2206.0,Trash Bags
100,2021-02-07,2206.0,Trash Bags
101,2021-02-08,2244.0,Trash Bags
102,2021-02-09,2244.0,Trash Bags
103,2021-02-10,2244.0,Trash Bags
104,2021-02-11,1962.0,Trash Bags
105,2021-02-12,1962.0,Trash Bags
106,2021-02-13,1962.0,Trash Bags
107,2021-02-14,2898.0,Trash Bags
108,2021-02-15,2898.0,Trash Bags
109,2021-02-16,1961.0,Trash Bags
110,2021-02-17,1961.0,Trash Bags
111,2021-02-18,1853.0,Trash Bags
112,2021-02-19,1853.0,Trash Bags
113,2021-02-20,2151.0,Trash Bags
114,2021-02-21,2151.0,Trash Bags
115,2021-02-22,2151.0,Trash Bags
116,2021-02-23,1792.0,Trash Bags
117,2021-02-24,1792.0,Trash Bags
118,2021-02-25,1792.0,Trash Bags
119,2021-02-26,1792.0,Trash Bags
120,2021-02-27,1534.0,Trash Bags
121,2021-02-28,1534.0,Trash Bags
122,2021-03-01,1758.0,Trash Bags
123,2021-03-02,1633.0,Trash Bags
124,2021-03-03,1570.0,Trash Bags
125,2021-03-04,1570.0,Trash Bags
126,2021-03-05,1570.0,Trash Bags
127,2021-03-06,1995.0,Trash Bags
128,2021-03-07,1935.0,Trash Bags
129,2021-03-08,1563.0,Trash Bags
130,2021-03-09,1321.0,Trash Bags
131,2021-03-10,1469.0,Trash Bags
132,2021-03-11,1469.0,Trash Bags
133,2021-03-12,1469.0,Trash Bags
134,2021-03-13,1427.0,Trash Bags
135,2021-03-14,1427.0,Trash Bags
136,2021-03-15,1427.0,Trash Bags
137,2021-03-16,1629.0,Trash Bags
138,2021-03-17,1537.0,Trash Bags
139,2021-03-18,1537.0,Trash Bags
140,2021-03-19,2074.0,Trash Bags
141,2021-03-20,2074.0,Trash Bags
142,2021-03-21,2148.0,Trash Bags
143,2021-03-22,2148.0,Trash Bags
144,2021-03-23,2148.0,Trash Bags
145,2021-03-24,25349.0,Trash Bags
146,2021-03-25,24572.0,Trash Bags
147,2021-03-26,24907.0,Trash Bags
148,2021-03-27,25730.0,Trash Bags
149,2021-03-28,24964.0,Trash Bags
150,2021-03-29,33478.0,Trash Bags
151,2021-03-30,33478.0,Trash Bags
152,2021-03-31,23174.0,Trash Bags
153,2021-04-01,19574.0,Trash Bags
154,2021-04-02,19574.0,Trash Bags
155,2021-04-03,19574.0,Trash Bags
156,2021-04-04,16314.0,Trash Bags
157,2021-04-05,16314.0,Trash Bags
158,2021-04-06,10941.0,Trash Bags
159,2021-04-07,10941.0,Trash Bags
160,2021-04-08,11209.0,Trash Bags
161,2021-04-09,11209.0,Trash Bags
162,2021-04-10,11209.0,Trash Bags
163,2021-04-11,13533.0,Trash Bags
164,2021-04-12,13533.0,Trash Bags
165,2021-04-13,18449.0,Trash Bags
166,2021-04-14,18449.0,Trash Bags
167,2021-04-15,11969.0,Trash Bags
168,2021-04-16,11969.0,Trash Bags
169,2021-04-17,11860.0,Trash Bags
170,2021-04-18,11860.0,Trash Bags
171,2021-04-19,11860.0,Trash Bags
172,2021-04-20,12837.0,Trash Bags
173,2021-04-21,12837.0,Trash Bags
174,2021-04-22,9027.0,Trash Bags
175,2021-04-23,9027.0,Trash Bags
176,2021-04-24,9680.0,Trash Bags
177,2021-04-25,9680.0,Trash Bags
178,2021-04-26,10691.0,Trash Bags
179,2021-04-27,10691.0,Trash Bags
180,2021-04-28,10691.0,Trash Bags
181,2021-04-29,9923.0,Trash Bags
182,2021-04-30,9923.0,Trash Bags
183,2021-05-01,9513.0,Trash Bags
184,2021-05-02,9513.0,Trash Bags
185,2021-05-03,9975.0,Trash Bags
186,2021-05-04,9975.0,Trash Bags
187,2021-05-05,9172.0,Trash Bags
188,2021-05-06,9172.0,Trash Bags
189,2021-05-07,8602.0,Trash Bags
190,2021-05-08,11301.0,Trash Bags
191,2021-05-09,11301.0,Trash Bags
192,2021-05-10,11301.0,Trash Bags
193,2021-05-11,11387.0,Trash Bags
194,2021-05-12,11387.0,Trash Bags
195,2021-05-13,11387.0,Trash Bags
196,2021-05-14,11837.0,Trash Bags
197,2021-05-15,11837.0,Trash Bags
198,2021-05-16,11731.0,Trash Bags
199,2021-05-17,11731.0,Trash Bags
200,2021-05-18,11006.0,Trash Bags
201,2021-05-19,11006.0,Trash Bags
202,2021-05-20,9747.0,Trash Bags
203,2021-05-21,9747.0,Trash Bags
204,2021-05-22,9747.0,Trash Bags
205,2021-05-23,10901.0,Trash Bags
206,2021-05-24,10901.0,Trash Bags
207,2021-05-25,10676.0,Trash Bags
208,2021-05-26,10851.0,Trash Bags
209,2021-05-27,10851.0,Trash Bags
210,2021-05-28,10851.0,Trash Bags
211,2021-05-29,9047.0,Trash Bags
212,2021-05-30,9047.0,Trash Bags
213,2021-05-31,9047.0,Trash Bags
214,2021-06-01,10854.0,Trash Bags
215,2021-06-02,9052.0,Trash Bags
216,2021-06-03,9052.0,Trash Bags
217,2021-06-04,9052.0,Trash Bags
218,2021-06-05,8361.0,Trash Bags
219,2021-06-06,8361.0,Trash Bags
220,2021-06-07,8361.0,Trash Bags
221,2021-06-08,11780.0,Trash Bags
222,2021-06-09,11592.0,Trash Bags
223,2021-06-10,11592.0,Trash Bags
224,2021-06-11,11592.0,Trash Bags
225,2021-06-12,11592.0,Trash Bags
226,2021-06-13,12131.0,Trash Bags
227,2021-06-14,12131.0,Trash Bags
228,2021-06-15,10037.0,Trash Bags
229,2021-06-16,10037.0,Trash Bags
230,2021-06-17,10423.0,Trash Bags
231,2021-06-18,10423.0,Trash Bags
232,2021-06-19,10414.0,Trash Bags
233,2021-06-20,10414.0,Trash Bags
234,2021-06-21,10414.0,Trash Bags
235,2021-06-22,12571.0,Trash Bags
236,2021-06-23,12571.0,Trash Bags
237,2021-06-24,12571.0,Trash Bags
238,2021-06-25,12571.0,Trash Bags
239,2021-06-26,10700.0,Trash Bags
240,2021-06-27,9423.0,Trash Bags
241,2021-06-28,9423.0,Trash Bags
242,2021-06-29,7795.0,Trash Bags
243,2021-06-30,8383.0,Trash Bags
244,2021-07-01,8383.0,Trash Bags
245,2021-07-02,8383.0,Trash Bags
246,2021-07-03,8551.0,Trash Bags
247,2021-07-04,9024.0,Trash Bags
248,2021-07-05,9024.0,Trash Bags
249,2021-07-06,9024.0,Trash Bags
250,2021-07-07,7052.0,Trash Bags
251,2021-07-08,7052.0,Trash Bags
252,2021-07-09,6966.0,Trash Bags
253,2021-07-10,8629.0,Trash Bags
254,2021-07-11,7117.0,Trash Bags
