,date,value,name_B07R76S6SJ
81,2019-08-28,2192.0,Container Sets
82,2019-08-29,2180.0,Container Sets
83,2019-08-30,1784.0,Container Sets
84,2019-08-31,1652.0,Container Sets
85,2019-09-01,1652.0,Container Sets
86,2019-09-02,1652.0,Container Sets
87,2019-09-03,1358.0,Container Sets
88,2019-09-04,1393.0,Container Sets
89,2019-09-05,1726.0,Container Sets
90,2019-09-06,2391.0,Container Sets
91,2019-09-07,2021.0,Container Sets
92,2019-09-08,1917.0,Container Sets
93,2019-09-09,1507.0,Container Sets
94,2019-09-10,1685.0,Container Sets
95,2019-09-11,1911.0,Container Sets
96,2019-09-12,2065.0,Container Sets
97,2019-09-13,1451.0,Container Sets
98,2019-09-14,1522.0,Container Sets
99,2019-09-15,1154.0,Container Sets
100,2019-09-16,1006.0,Container Sets
101,2019-09-17,1430.0,Container Sets
102,2019-09-18,1788.0,Container Sets
103,2019-09-19,1788.0,Container Sets
104,2019-09-20,1523.0,Container Sets
105,2019-09-21,1186.0,Container Sets
106,2019-09-22,1712.0,Container Sets
107,2019-09-23,1579.0,Container Sets
108,2019-09-24,1526.0,Container Sets
109,2019-09-25,1389.0,Container Sets
110,2019-09-26,1311.0,Container Sets
111,2019-09-27,1086.0,Container Sets
112,2019-09-28,937.0,Container Sets
113,2019-09-29,937.0,Container Sets
114,2019-09-30,831.0,Container Sets
115,2019-10-01,932.0,Container Sets
116,2019-10-02,932.0,Container Sets
117,2019-10-03,975.0,Container Sets
118,2019-10-04,975.0,Container Sets
119,2019-10-05,1132.0,Container Sets
120,2019-10-06,1132.0,Container Sets
121,2019-10-07,1132.0,Container Sets
122,2019-10-08,1136.0,Container Sets
123,2019-10-09,1136.0,Container Sets
124,2019-10-10,1073.0,Container Sets
125,2019-10-11,925.0,Container Sets
126,2019-10-12,919.0,Container Sets
127,2019-10-13,973.0,Container Sets
128,2019-10-14,1052.0,Container Sets
129,2019-10-15,1176.0,Container Sets
130,2019-10-16,1283.0,Container Sets
131,2019-10-17,1283.0,Container Sets
132,2019-10-18,1199.0,Container Sets
133,2019-10-19,1189.0,Container Sets
134,2019-10-20,1189.0,Container Sets
135,2019-10-21,1189.0,Container Sets
136,2019-10-22,1226.0,Container Sets
137,2019-10-23,1473.0,Container Sets
138,2019-10-24,1304.0,Container Sets
139,2019-10-25,1270.0,Container Sets
140,2019-10-26,1270.0,Container Sets
141,2019-10-27,1270.0,Container Sets
142,2019-10-28,1228.0,Container Sets
143,2019-10-29,1526.0,Container Sets
144,2019-10-30,1331.0,Container Sets
145,2019-10-31,1248.0,Container Sets
146,2019-11-01,1248.0,Container Sets
147,2019-11-02,1291.0,Container Sets
148,2019-11-03,1546.0,Container Sets
149,2019-11-04,1199.0,Container Sets
150,2019-11-05,1199.0,Container Sets
151,2019-11-06,1196.0,Container Sets
152,2019-11-07,1196.0,Container Sets
153,2019-11-08,1196.0,Container Sets
154,2019-11-09,1702.0,Container Sets
155,2019-11-10,1702.0,Container Sets
156,2019-11-11,1673.0,Container Sets
157,2019-11-12,777.0,Container Sets
158,2019-11-13,916.0,Container Sets
159,2019-11-14,916.0,Container Sets
160,2019-11-15,1569.0,Container Sets
161,2019-11-16,1893.0,Container Sets
162,2019-11-17,1893.0,Container Sets
163,2019-11-18,1766.0,Container Sets
164,2019-11-19,1839.0,Container Sets
165,2019-11-20,1727.0,Container Sets
166,2019-11-21,1727.0,Container Sets
167,2019-11-22,1793.0,Container Sets
168,2019-11-23,1800.0,Container Sets
169,2019-11-24,1800.0,Container Sets
170,2019-11-25,1800.0,Container Sets
171,2019-11-26,1973.0,Container Sets
172,2019-11-27,1973.0,Container Sets
173,2019-11-28,1973.0,Container Sets
174,2019-11-29,2801.0,Container Sets
175,2019-11-30,2379.0,Container Sets
176,2019-12-01,2379.0,Container Sets
177,2019-12-02,1909.0,Container Sets
178,2019-12-03,1909.0,Container Sets
179,2019-12-04,2289.0,Container Sets
180,2019-12-05,2021.0,Container Sets
181,2019-12-06,2021.0,Container Sets
182,2019-12-07,2021.0,Container Sets
183,2019-12-08,2206.0,Container Sets
184,2019-12-09,2636.0,Container Sets
185,2019-12-10,2636.0,Container Sets
186,2019-12-11,2878.0,Container Sets
187,2019-12-12,2878.0,Container Sets
188,2019-12-13,2878.0,Container Sets
189,2019-12-14,2878.0,Container Sets
190,2019-12-15,2906.0,Container Sets
191,2019-12-16,2906.0,Container Sets
192,2019-12-17,2906.0,Container Sets
193,2019-12-18,2906.0,Container Sets
194,2019-12-19,2906.0,Container Sets
195,2019-12-20,2691.0,Container Sets
196,2019-12-21,2691.0,Container Sets
197,2019-12-22,2821.0,Container Sets
198,2019-12-23,2862.0,Container Sets
199,2019-12-24,2862.0,Container Sets
200,2019-12-25,2862.0,Container Sets
201,2019-12-26,1592.0,Container Sets
202,2019-12-27,1434.0,Container Sets
203,2019-12-28,857.0,Container Sets
204,2019-12-29,857.0,Container Sets
205,2019-12-30,650.0,Container Sets
206,2019-12-31,650.0,Container Sets
207,2020-01-01,650.0,Container Sets
208,2020-01-02,358.0,Container Sets
209,2020-01-03,298.0,Container Sets
210,2020-01-04,296.0,Container Sets
211,2020-01-05,311.0,Container Sets
212,2020-01-06,311.0,Container Sets
213,2020-01-07,311.0,Container Sets
214,2020-01-08,486.0,Container Sets
215,2020-01-09,411.0,Container Sets
216,2020-01-10,411.0,Container Sets
217,2020-01-11,411.0,Container Sets
218,2020-01-12,671.0,Container Sets
219,2020-01-13,671.0,Container Sets
220,2020-01-14,1106.0,Container Sets
221,2020-01-15,1211.0,Container Sets
222,2020-01-16,1211.0,Container Sets
223,2020-01-17,1211.0,Container Sets
224,2020-01-18,1611.0,Container Sets
225,2020-01-19,1611.0,Container Sets
226,2020-01-20,1611.0,Container Sets
227,2020-01-21,3825.0,Container Sets
228,2020-01-22,4658.0,Container Sets
229,2020-01-23,4658.0,Container Sets
230,2020-01-24,4658.0,Container Sets
231,2020-01-25,9258.0,Container Sets
232,2020-01-26,9258.0,Container Sets
233,2020-01-27,15007.0,Container Sets
234,2020-01-28,15007.0,Container Sets
235,2020-01-29,15007.0,Container Sets
236,2020-01-30,15007.0,Container Sets
237,2020-01-31,15007.0,Container Sets
238,2020-02-01,2687.0,Container Sets
239,2020-02-02,2687.0,Container Sets
240,2020-02-03,2687.0,Container Sets
241,2020-02-04,2687.0,Container Sets
242,2020-02-05,2687.0,Container Sets
243,2020-02-06,2584.0,Container Sets
244,2020-02-07,2584.0,Container Sets
245,2020-02-08,1513.0,Container Sets
246,2020-02-09,1513.0,Container Sets
247,2020-02-10,1513.0,Container Sets
248,2020-02-11,1078.0,Container Sets
249,2020-02-12,1078.0,Container Sets
250,2020-02-13,1078.0,Container Sets
251,2020-02-14,1076.0,Container Sets
252,2020-02-15,1076.0,Container Sets
253,2020-02-16,1076.0,Container Sets
254,2020-02-17,801.0,Container Sets
255,2020-02-18,801.0,Container Sets
256,2020-02-19,801.0,Container Sets
257,2020-02-20,916.0,Container Sets
258,2020-02-21,806.0,Container Sets
259,2020-02-22,806.0,Container Sets
260,2020-02-23,773.0,Container Sets
261,2020-02-24,728.0,Container Sets
262,2020-02-25,1380.0,Container Sets
263,2020-02-26,1380.0,Container Sets
264,2020-02-27,1380.0,Container Sets
265,2020-02-28,3161.0,Container Sets
266,2020-02-29,3161.0,Container Sets
267,2020-03-01,2581.0,Container Sets
268,2020-03-02,2581.0,Container Sets
269,2020-03-03,2581.0,Container Sets
270,2020-03-04,2581.0,Container Sets
271,2020-03-05,4729.0,Container Sets
272,2020-03-06,4729.0,Container Sets
273,2020-03-07,4729.0,Container Sets
274,2020-03-08,4729.0,Container Sets
275,2020-03-09,4729.0,Container Sets
276,2020-03-10,-1.0,Container Sets
