,date,value,name_B084YQSBFG
81,2020-05-16,12186.0,Artificial Flowers
82,2020-05-17,12186.0,Artificial Flowers
83,2020-05-18,8011.0,Artificial Flowers
84,2020-05-19,8683.0,Artificial Flowers
85,2020-05-20,10690.0,Artificial Flowers
86,2020-05-21,9129.0,Artificial Flowers
87,2020-05-22,8316.0,Artificial Flowers
88,2020-05-23,8316.0,Artificial Flowers
89,2020-05-24,6880.0,Artificial Flowers
90,2020-05-25,7216.0,Artificial Flowers
91,2020-05-26,7216.0,Artificial Flowers
92,2020-05-27,7209.0,Artificial Flowers
93,2020-05-28,8202.0,Artificial Flowers
94,2020-05-29,7360.0,Artificial Flowers
95,2020-05-30,7360.0,Artificial Flowers
96,2020-05-31,7360.0,Artificial Flowers
97,2020-06-01,7335.0,Artificial Flowers
98,2020-06-02,8358.0,Artificial Flowers
99,2020-06-03,7333.0,Artificial Flowers
100,2020-06-04,8683.0,Artificial Flowers
101,2020-06-05,10030.0,Artificial Flowers
102,2020-06-06,9363.0,Artificial Flowers
103,2020-06-07,9363.0,Artificial Flowers
104,2020-06-08,8185.0,Artificial Flowers
105,2020-06-09,11457.0,Artificial Flowers
106,2020-06-10,15365.0,Artificial Flowers
107,2020-06-11,15365.0,Artificial Flowers
108,2020-06-12,15365.0,Artificial Flowers
109,2020-06-13,15365.0,Artificial Flowers
110,2020-06-14,20581.0,Artificial Flowers
111,2020-06-15,20430.0,Artificial Flowers
112,2020-06-16,20430.0,Artificial Flowers
113,2020-06-17,60539.0,Artificial Flowers
114,2020-06-18,35687.0,Artificial Flowers
115,2020-06-19,45218.0,Artificial Flowers
116,2020-06-20,45218.0,Artificial Flowers
117,2020-06-21,45218.0,Artificial Flowers
118,2020-06-22,45218.0,Artificial Flowers
119,2020-06-23,22055.0,Artificial Flowers
120,2020-06-24,22055.0,Artificial Flowers
121,2020-06-25,22055.0,Artificial Flowers
122,2020-06-26,18459.0,Artificial Flowers
123,2020-06-27,18459.0,Artificial Flowers
124,2020-06-28,18459.0,Artificial Flowers
125,2020-06-29,17577.0,Artificial Flowers
126,2020-06-30,17329.0,Artificial Flowers
127,2020-07-01,22204.0,Artificial Flowers
128,2020-07-02,19290.0,Artificial Flowers
129,2020-07-03,19290.0,Artificial Flowers
130,2020-07-04,19290.0,Artificial Flowers
131,2020-07-05,16850.0,Artificial Flowers
132,2020-07-06,12524.0,Artificial Flowers
133,2020-07-07,12524.0,Artificial Flowers
134,2020-07-08,26926.0,Artificial Flowers
135,2020-07-09,18708.0,Artificial Flowers
136,2020-07-10,18117.0,Artificial Flowers
137,2020-07-11,18117.0,Artificial Flowers
138,2020-07-12,18117.0,Artificial Flowers
139,2020-07-13,18117.0,Artificial Flowers
140,2020-07-14,18117.0,Artificial Flowers
141,2020-07-15,19357.0,Artificial Flowers
142,2020-07-16,26070.0,Artificial Flowers
143,2020-07-17,26070.0,Artificial Flowers
144,2020-07-18,26070.0,Artificial Flowers
145,2020-07-19,13640.0,Artificial Flowers
146,2020-07-20,13640.0,Artificial Flowers
147,2020-07-21,12332.0,Artificial Flowers
148,2020-07-22,10455.0,Artificial Flowers
149,2020-07-23,10455.0,Artificial Flowers
150,2020-07-24,13384.0,Artificial Flowers
151,2020-07-25,13384.0,Artificial Flowers
152,2020-07-26,13384.0,Artificial Flowers
153,2020-07-27,11445.0,Artificial Flowers
154,2020-07-28,11445.0,Artificial Flowers
155,2020-07-29,11445.0,Artificial Flowers
156,2020-07-30,11445.0,Artificial Flowers
157,2020-07-31,11445.0,Artificial Flowers
158,2020-08-01,9125.0,Artificial Flowers
159,2020-08-02,9125.0,Artificial Flowers
160,2020-08-03,9125.0,Artificial Flowers
161,2020-08-04,11964.0,Artificial Flowers
162,2020-08-05,12877.0,Artificial Flowers
163,2020-08-06,12658.0,Artificial Flowers
164,2020-08-07,10464.0,Artificial Flowers
165,2020-08-08,10464.0,Artificial Flowers
166,2020-08-09,10464.0,Artificial Flowers
167,2020-08-10,12310.0,Artificial Flowers
168,2020-08-11,12256.0,Artificial Flowers
169,2020-08-12,12256.0,Artificial Flowers
170,2020-08-13,7974.0,Artificial Flowers
171,2020-08-14,7974.0,Artificial Flowers
172,2020-08-15,16642.0,Artificial Flowers
173,2020-08-16,16642.0,Artificial Flowers
174,2020-08-17,15616.0,Artificial Flowers
175,2020-08-18,15616.0,Artificial Flowers
176,2020-08-19,15101.0,Artificial Flowers
177,2020-08-20,15101.0,Artificial Flowers
178,2020-08-21,15101.0,Artificial Flowers
179,2020-08-22,15101.0,Artificial Flowers
180,2020-08-23,15101.0,Artificial Flowers
181,2020-08-24,22548.0,Artificial Flowers
182,2020-08-25,22548.0,Artificial Flowers
183,2020-08-26,22548.0,Artificial Flowers
184,2020-08-27,34617.0,Artificial Flowers
185,2020-08-28,34617.0,Artificial Flowers
186,2020-08-29,26983.0,Artificial Flowers
187,2020-08-30,26983.0,Artificial Flowers
188,2020-08-31,32586.0,Artificial Flowers
189,2020-09-01,32586.0,Artificial Flowers
190,2020-09-02,30438.0,Artificial Flowers
191,2020-09-03,35651.0,Artificial Flowers
192,2020-09-04,35651.0,Artificial Flowers
193,2020-09-05,26114.0,Artificial Flowers
194,2020-09-06,26114.0,Artificial Flowers
195,2020-09-07,26114.0,Artificial Flowers
196,2020-09-08,36850.0,Artificial Flowers
197,2020-09-09,36850.0,Artificial Flowers
198,2020-09-10,36850.0,Artificial Flowers
199,2020-09-11,41078.0,Artificial Flowers
200,2020-09-12,41078.0,Artificial Flowers
201,2020-09-13,41078.0,Artificial Flowers
202,2020-09-14,41078.0,Artificial Flowers
203,2020-09-15,41078.0,Artificial Flowers
204,2020-09-16,31573.0,Artificial Flowers
205,2020-09-17,39829.0,Artificial Flowers
206,2020-09-18,40631.0,Artificial Flowers
207,2020-09-19,33007.0,Artificial Flowers
