,date,value,name_B08BNCWR2H
190,2021-01-12,24855.0,Artificial Flowers
191,2021-01-13,39276.0,Artificial Flowers
192,2021-01-14,39276.0,Artificial Flowers
193,2021-01-15,39276.0,Artificial Flowers
194,2021-01-16,39276.0,Artificial Flowers
195,2021-01-17,39276.0,Artificial Flowers
196,2021-01-18,39276.0,Artificial Flowers
197,2021-01-19,57994.0,Artificial Flowers
198,2021-01-20,57994.0,Artificial Flowers
199,2021-01-21,39296.0,Artificial Flowers
200,2021-01-22,39296.0,Artificial Flowers
201,2021-01-23,38768.0,Artificial Flowers
202,2021-01-24,38768.0,Artificial Flowers
203,2021-01-25,38768.0,Artificial Flowers
204,2021-01-26,42070.0,Artificial Flowers
205,2021-01-27,42070.0,Artificial Flowers
206,2021-01-28,42070.0,Artificial Flowers
207,2021-01-29,42070.0,Artificial Flowers
208,2021-01-30,42070.0,Artificial Flowers
209,2021-01-31,42070.0,Artificial Flowers
210,2021-02-01,41450.0,Artificial Flowers
211,2021-02-02,41450.0,Artificial Flowers
212,2021-02-03,26762.0,Artificial Flowers
213,2021-02-04,26762.0,Artificial Flowers
214,2021-02-05,26762.0,Artificial Flowers
215,2021-02-06,26762.0,Artificial Flowers
216,2021-02-07,26762.0,Artificial Flowers
217,2021-02-08,26762.0,Artificial Flowers
218,2021-02-09,43762.0,Artificial Flowers
219,2021-02-10,43762.0,Artificial Flowers
220,2021-02-11,43762.0,Artificial Flowers
221,2021-02-12,43762.0,Artificial Flowers
222,2021-02-13,43762.0,Artificial Flowers
223,2021-02-14,39551.0,Artificial Flowers
224,2021-02-15,49118.0,Artificial Flowers
225,2021-02-16,34780.0,Artificial Flowers
226,2021-02-17,34780.0,Artificial Flowers
227,2021-02-18,34780.0,Artificial Flowers
228,2021-02-19,34780.0,Artificial Flowers
229,2021-02-20,34780.0,Artificial Flowers
230,2021-02-21,34780.0,Artificial Flowers
231,2021-02-22,34780.0,Artificial Flowers
232,2021-02-23,21916.0,Artificial Flowers
233,2021-02-24,20223.0,Artificial Flowers
234,2021-02-25,20223.0,Artificial Flowers
235,2021-02-26,21224.0,Artificial Flowers
236,2021-02-27,21224.0,Artificial Flowers
237,2021-02-28,21224.0,Artificial Flowers
238,2021-03-01,31707.0,Artificial Flowers
239,2021-03-02,31707.0,Artificial Flowers
240,2021-03-03,31707.0,Artificial Flowers
241,2021-03-04,26478.0,Artificial Flowers
242,2021-03-05,22113.0,Artificial Flowers
243,2021-03-06,22113.0,Artificial Flowers
244,2021-03-07,22113.0,Artificial Flowers
245,2021-03-08,22113.0,Artificial Flowers
246,2021-03-09,22113.0,Artificial Flowers
247,2021-03-10,46827.0,Artificial Flowers
248,2021-03-11,46827.0,Artificial Flowers
249,2021-03-12,46827.0,Artificial Flowers
250,2021-03-13,46827.0,Artificial Flowers
251,2021-03-14,46827.0,Artificial Flowers
252,2021-03-15,19188.0,Artificial Flowers
253,2021-03-16,22755.0,Artificial Flowers
254,2021-03-17,18105.0,Artificial Flowers
255,2021-03-18,18105.0,Artificial Flowers
256,2021-03-19,18105.0,Artificial Flowers
257,2021-03-20,17717.0,Artificial Flowers
258,2021-03-21,17717.0,Artificial Flowers
259,2021-03-22,17717.0,Artificial Flowers
260,2021-03-23,7453.0,Artificial Flowers
261,2021-03-24,7250.0,Artificial Flowers
262,2021-03-25,6096.0,Artificial Flowers
263,2021-03-26,6096.0,Artificial Flowers
264,2021-03-27,6516.0,Artificial Flowers
265,2021-03-28,6516.0,Artificial Flowers
266,2021-03-29,6516.0,Artificial Flowers
267,2021-03-30,6360.0,Artificial Flowers
268,2021-03-31,6360.0,Artificial Flowers
269,2021-04-01,6510.0,Artificial Flowers
270,2021-04-02,6510.0,Artificial Flowers
271,2021-04-03,6510.0,Artificial Flowers
272,2021-04-04,5844.0,Artificial Flowers
273,2021-04-05,5844.0,Artificial Flowers
274,2021-04-06,5844.0,Artificial Flowers
275,2021-04-07,6580.0,Artificial Flowers
276,2021-04-08,5987.0,Artificial Flowers
277,2021-04-09,5550.0,Artificial Flowers
278,2021-04-10,5550.0,Artificial Flowers
279,2021-04-11,5550.0,Artificial Flowers
280,2021-04-12,7135.0,Artificial Flowers
281,2021-04-13,7135.0,Artificial Flowers
282,2021-04-14,10986.0,Artificial Flowers
283,2021-04-15,10986.0,Artificial Flowers
284,2021-04-16,7041.0,Artificial Flowers
285,2021-04-17,7041.0,Artificial Flowers
286,2021-04-18,6903.0,Artificial Flowers
287,2021-04-19,6741.0,Artificial Flowers
288,2021-04-20,6741.0,Artificial Flowers
289,2021-04-21,9391.0,Artificial Flowers
290,2021-04-22,9391.0,Artificial Flowers
291,2021-04-23,12374.0,Artificial Flowers
292,2021-04-24,12374.0,Artificial Flowers
293,2021-04-25,8889.0,Artificial Flowers
294,2021-04-26,8889.0,Artificial Flowers
295,2021-04-27,11643.0,Artificial Flowers
296,2021-04-28,11643.0,Artificial Flowers
297,2021-04-29,13982.0,Artificial Flowers
298,2021-04-30,13982.0,Artificial Flowers
299,2021-05-01,9408.0,Artificial Flowers
300,2021-05-02,9408.0,Artificial Flowers
301,2021-05-03,6657.0,Artificial Flowers
302,2021-05-04,6657.0,Artificial Flowers
303,2021-05-05,6657.0,Artificial Flowers
304,2021-05-06,5337.0,Artificial Flowers
305,2021-05-07,5337.0,Artificial Flowers
306,2021-05-08,5072.0,Artificial Flowers
307,2021-05-09,5072.0,Artificial Flowers
308,2021-05-10,5415.0,Artificial Flowers
309,2021-05-11,5415.0,Artificial Flowers
310,2021-05-12,5415.0,Artificial Flowers
311,2021-05-13,4650.0,Artificial Flowers
312,2021-05-14,5043.0,Artificial Flowers
313,2021-05-15,5043.0,Artificial Flowers
314,2021-05-16,6061.0,Artificial Flowers
315,2021-05-17,6061.0,Artificial Flowers
316,2021-05-18,6363.0,Artificial Flowers
317,2021-05-19,6363.0,Artificial Flowers
318,2021-05-20,7374.0,Artificial Flowers
319,2021-05-21,7374.0,Artificial Flowers
320,2021-05-22,7374.0,Artificial Flowers
321,2021-05-23,5760.0,Artificial Flowers
322,2021-05-24,8925.0,Artificial Flowers
323,2021-05-25,8051.0,Artificial Flowers
324,2021-05-26,8865.0,Artificial Flowers
325,2021-05-27,8865.0,Artificial Flowers
326,2021-05-28,10203.0,Artificial Flowers
327,2021-05-29,8399.0,Artificial Flowers
328,2021-05-30,8399.0,Artificial Flowers
329,2021-05-31,8486.0,Artificial Flowers
330,2021-06-01,10812.0,Artificial Flowers
331,2021-06-02,10356.0,Artificial Flowers
332,2021-06-03,10356.0,Artificial Flowers
333,2021-06-04,10356.0,Artificial Flowers
334,2021-06-05,9156.0,Artificial Flowers
335,2021-06-06,9156.0,Artificial Flowers
336,2021-06-07,10677.0,Artificial Flowers
337,2021-06-08,11462.0,Artificial Flowers
338,2021-06-09,10101.0,Artificial Flowers
339,2021-06-10,9942.0,Artificial Flowers
340,2021-06-11,9942.0,Artificial Flowers
341,2021-06-12,11559.0,Artificial Flowers
342,2021-06-13,11324.0,Artificial Flowers
343,2021-06-14,12317.0,Artificial Flowers
344,2021-06-15,12317.0,Artificial Flowers
345,2021-06-16,12358.0,Artificial Flowers
346,2021-06-17,12358.0,Artificial Flowers
347,2021-06-18,11215.0,Artificial Flowers
348,2021-06-19,11209.0,Artificial Flowers
349,2021-06-20,11209.0,Artificial Flowers
350,2021-06-21,9990.0,Artificial Flowers
351,2021-06-22,9990.0,Artificial Flowers
352,2021-06-23,9990.0,Artificial Flowers
353,2021-06-24,14045.0,Artificial Flowers
354,2021-06-25,14045.0,Artificial Flowers
355,2021-06-26,10606.0,Artificial Flowers
356,2021-06-27,10606.0,Artificial Flowers
357,2021-06-28,9035.0,Artificial Flowers
358,2021-06-29,12120.0,Artificial Flowers
359,2021-06-30,11445.0,Artificial Flowers
360,2021-07-01,15814.0,Artificial Flowers
361,2021-07-02,15814.0,Artificial Flowers
362,2021-07-03,18735.0,Artificial Flowers
363,2021-07-04,18735.0,Artificial Flowers
364,2021-07-05,11446.0,Artificial Flowers
365,2021-07-06,11446.0,Artificial Flowers
366,2021-07-07,13739.0,Artificial Flowers
367,2021-07-08,13739.0,Artificial Flowers
368,2021-07-09,16031.0,Artificial Flowers
369,2021-07-10,16031.0,Artificial Flowers
370,2021-07-11,11950.0,Artificial Flowers
