,date,value,name_B088FCQQV4
281,2021-03-14,11498.0,Table Runners
282,2021-03-15,11509.0,Table Runners
283,2021-03-16,11497.0,Table Runners
284,2021-03-17,10809.0,Table Runners
285,2021-03-18,10870.0,Table Runners
286,2021-03-19,11801.0,Table Runners
287,2021-03-20,15871.0,Table Runners
288,2021-03-21,15871.0,Table Runners
289,2021-03-22,17345.0,Table Runners
290,2021-03-23,16094.0,Table Runners
291,2021-03-24,16094.0,Table Runners
292,2021-03-25,17114.0,Table Runners
293,2021-03-26,14934.0,Table Runners
294,2021-03-27,14934.0,Table Runners
295,2021-03-28,14934.0,Table Runners
296,2021-03-29,15356.0,Table Runners
297,2021-03-30,15356.0,Table Runners
298,2021-03-31,15356.0,Table Runners
299,2021-04-01,13785.0,Table Runners
300,2021-04-02,11586.0,Table Runners
301,2021-04-03,11586.0,Table Runners
302,2021-04-04,21349.0,Table Runners
303,2021-04-05,25198.0,Table Runners
304,2021-04-06,25198.0,Table Runners
305,2021-04-07,11738.0,Table Runners
306,2021-04-08,11041.0,Table Runners
307,2021-04-09,11041.0,Table Runners
308,2021-04-10,11355.0,Table Runners
309,2021-04-11,11355.0,Table Runners
310,2021-04-12,13014.0,Table Runners
311,2021-04-13,9770.0,Table Runners
312,2021-04-14,8679.0,Table Runners
313,2021-04-15,8454.0,Table Runners
314,2021-04-16,6791.0,Table Runners
315,2021-04-17,10021.0,Table Runners
316,2021-04-18,10021.0,Table Runners
317,2021-04-19,9270.0,Table Runners
318,2021-04-20,7902.0,Table Runners
319,2021-04-21,7902.0,Table Runners
320,2021-04-22,7902.0,Table Runners
321,2021-04-23,8894.0,Table Runners
322,2021-04-24,8860.0,Table Runners
323,2021-04-25,8860.0,Table Runners
324,2021-04-26,10121.0,Table Runners
325,2021-04-27,8495.0,Table Runners
326,2021-04-28,6822.0,Table Runners
327,2021-04-29,7398.0,Table Runners
328,2021-04-30,7398.0,Table Runners
329,2021-05-01,7398.0,Table Runners
330,2021-05-02,8367.0,Table Runners
331,2021-05-03,8367.0,Table Runners
332,2021-05-04,8367.0,Table Runners
333,2021-05-05,7975.0,Table Runners
334,2021-05-06,7975.0,Table Runners
335,2021-05-07,7742.0,Table Runners
336,2021-05-08,9554.0,Table Runners
337,2021-05-09,9554.0,Table Runners
338,2021-05-10,9554.0,Table Runners
339,2021-05-11,20624.0,Table Runners
340,2021-05-12,20624.0,Table Runners
341,2021-05-13,16247.0,Table Runners
342,2021-05-14,16661.0,Table Runners
343,2021-05-15,28755.0,Table Runners
344,2021-05-16,28755.0,Table Runners
345,2021-05-17,30454.0,Table Runners
346,2021-05-18,25340.0,Table Runners
347,2021-05-19,29143.0,Table Runners
348,2021-05-20,28893.0,Table Runners
349,2021-05-21,28893.0,Table Runners
350,2021-05-22,23192.0,Table Runners
351,2021-05-23,23192.0,Table Runners
352,2021-05-24,34623.0,Table Runners
353,2021-05-25,32358.0,Table Runners
354,2021-05-26,25380.0,Table Runners
355,2021-05-27,25085.0,Table Runners
356,2021-05-28,31331.0,Table Runners
357,2021-05-29,29475.0,Table Runners
358,2021-05-30,25803.0,Table Runners
359,2021-05-31,26973.0,Table Runners
360,2021-06-01,8285.0,Table Runners
361,2021-06-02,8285.0,Table Runners
362,2021-06-03,7201.0,Table Runners
363,2021-06-04,7201.0,Table Runners
364,2021-06-05,4965.0,Table Runners
365,2021-06-06,4965.0,Table Runners
366,2021-06-07,7403.0,Table Runners
367,2021-06-08,8375.0,Table Runners
368,2021-06-09,8375.0,Table Runners
369,2021-06-10,10795.0,Table Runners
370,2021-06-11,10795.0,Table Runners
371,2021-06-12,10795.0,Table Runners
372,2021-06-13,10795.0,Table Runners
373,2021-06-14,10795.0,Table Runners
374,2021-06-15,7398.0,Table Runners
375,2021-06-16,7398.0,Table Runners
376,2021-06-17,7383.0,Table Runners
377,2021-06-18,7383.0,Table Runners
378,2021-06-19,7383.0,Table Runners
379,2021-06-20,7383.0,Table Runners
380,2021-06-21,8595.0,Table Runners
381,2021-06-22,7246.0,Table Runners
382,2021-06-23,7246.0,Table Runners
383,2021-06-24,6816.0,Table Runners
384,2021-06-25,6816.0,Table Runners
385,2021-06-26,6816.0,Table Runners
386,2021-06-27,12115.0,Table Runners
387,2021-06-28,9865.0,Table Runners
388,2021-06-29,9865.0,Table Runners
389,2021-06-30,9328.0,Table Runners
390,2021-07-01,7939.0,Table Runners
391,2021-07-02,7939.0,Table Runners
392,2021-07-03,8877.0,Table Runners
393,2021-07-04,8877.0,Table Runners
394,2021-07-05,10987.0,Table Runners
395,2021-07-06,10987.0,Table Runners
396,2021-07-07,5715.0,Table Runners
397,2021-07-08,7909.0,Table Runners
398,2021-07-09,10196.0,Table Runners
399,2021-07-10,10196.0,Table Runners
400,2021-07-11,8823.0,Table Runners
