,date,value,name_B07SZQR7B2
249,2020-02-26,7406.0,Home & Kitchen Features
250,2020-02-27,7406.0,Home & Kitchen Features
251,2020-02-28,7406.0,Home & Kitchen Features
252,2020-02-29,7406.0,Home & Kitchen Features
253,2020-03-01,7401.0,Home & Kitchen Features
254,2020-03-02,7401.0,Home & Kitchen Features
255,2020-03-03,7401.0,Home & Kitchen Features
256,2020-03-04,4869.0,Home & Kitchen Features
257,2020-03-05,4869.0,Home & Kitchen Features
258,2020-03-06,4869.0,Home & Kitchen Features
259,2020-03-07,4869.0,Home & Kitchen Features
260,2020-03-08,4869.0,Home & Kitchen Features
261,2020-03-09,4869.0,Home & Kitchen Features
262,2020-03-10,-1.0,Home & Kitchen Features
