,date,value,name_B08L93D1GF
54,2021-02-16,73548.0,Tattoo Needles
55,2021-02-17,73548.0,Tattoo Needles
56,2021-02-18,73548.0,Tattoo Needles
57,2021-02-19,240062.0,Tattoo Needles
58,2021-02-20,240062.0,Tattoo Needles
59,2021-02-21,240062.0,Tattoo Needles
60,2021-02-22,240062.0,Tattoo Needles
61,2021-02-23,240062.0,Tattoo Needles
62,2021-02-24,240062.0,Tattoo Needles
63,2021-02-25,240062.0,Tattoo Needles
64,2021-02-26,240062.0,Tattoo Needles
65,2021-02-27,240062.0,Tattoo Needles
66,2021-02-28,58463.0,Tattoo Needles
67,2021-03-01,58463.0,Tattoo Needles
68,2021-03-02,58463.0,Tattoo Needles
69,2021-03-03,58463.0,Tattoo Needles
70,2021-03-04,58463.0,Tattoo Needles
71,2021-03-05,58463.0,Tattoo Needles
72,2021-03-06,57200.0,Tattoo Needles
73,2021-03-07,57200.0,Tattoo Needles
74,2021-03-08,57200.0,Tattoo Needles
75,2021-03-09,57200.0,Tattoo Needles
76,2021-03-10,46233.0,Tattoo Needles
77,2021-03-11,46233.0,Tattoo Needles
78,2021-03-12,46233.0,Tattoo Needles
79,2021-03-13,45347.0,Tattoo Needles
80,2021-03-14,45347.0,Tattoo Needles
81,2021-03-15,45347.0,Tattoo Needles
82,2021-03-16,39250.0,Tattoo Needles
83,2021-03-17,39250.0,Tattoo Needles
84,2021-03-18,39250.0,Tattoo Needles
85,2021-03-19,39250.0,Tattoo Needles
86,2021-03-20,39250.0,Tattoo Needles
87,2021-03-21,39250.0,Tattoo Needles
88,2021-03-22,39250.0,Tattoo Needles
89,2021-03-23,39250.0,Tattoo Needles
90,2021-03-24,39250.0,Tattoo Needles
91,2021-03-25,39250.0,Tattoo Needles
92,2021-03-26,39250.0,Tattoo Needles
93,2021-03-27,39250.0,Tattoo Needles
94,2021-03-28,39250.0,Tattoo Needles
95,2021-03-29,39250.0,Tattoo Needles
96,2021-03-30,39250.0,Tattoo Needles
97,2021-03-31,39250.0,Tattoo Needles
98,2021-04-01,39250.0,Tattoo Needles
99,2021-04-02,39250.0,Tattoo Needles
100,2021-04-03,39250.0,Tattoo Needles
101,2021-04-04,39250.0,Tattoo Needles
102,2021-04-05,39250.0,Tattoo Needles
103,2021-04-06,39250.0,Tattoo Needles
104,2021-04-07,180839.0,Tattoo Needles
105,2021-04-08,180839.0,Tattoo Needles
106,2021-04-09,180839.0,Tattoo Needles
107,2021-04-10,180839.0,Tattoo Needles
108,2021-04-11,180839.0,Tattoo Needles
109,2021-04-12,180839.0,Tattoo Needles
110,2021-04-13,103090.0,Tattoo Needles
111,2021-04-14,103090.0,Tattoo Needles
112,2021-04-15,103090.0,Tattoo Needles
113,2021-04-16,103090.0,Tattoo Needles
114,2021-04-17,103090.0,Tattoo Needles
115,2021-04-18,103090.0,Tattoo Needles
116,2021-04-19,103090.0,Tattoo Needles
117,2021-04-20,103090.0,Tattoo Needles
118,2021-04-21,65804.0,Tattoo Needles
119,2021-04-22,65804.0,Tattoo Needles
120,2021-04-23,65804.0,Tattoo Needles
121,2021-04-24,65804.0,Tattoo Needles
122,2021-04-25,65267.0,Tattoo Needles
123,2021-04-26,65267.0,Tattoo Needles
124,2021-04-27,65267.0,Tattoo Needles
125,2021-04-28,65267.0,Tattoo Needles
126,2021-04-29,80702.0,Tattoo Needles
127,2021-04-30,80702.0,Tattoo Needles
128,2021-05-01,80702.0,Tattoo Needles
129,2021-05-02,86678.0,Tattoo Needles
130,2021-05-03,86678.0,Tattoo Needles
131,2021-05-04,86678.0,Tattoo Needles
132,2021-05-05,134661.0,Tattoo Needles
133,2021-05-06,134661.0,Tattoo Needles
134,2021-05-07,115152.0,Tattoo Needles
135,2021-05-08,115152.0,Tattoo Needles
136,2021-05-09,115152.0,Tattoo Needles
137,2021-05-10,130196.0,Tattoo Needles
138,2021-05-11,130196.0,Tattoo Needles
139,2021-05-12,130196.0,Tattoo Needles
140,2021-05-13,130196.0,Tattoo Needles
141,2021-05-14,130196.0,Tattoo Needles
142,2021-05-15,130196.0,Tattoo Needles
143,2021-05-16,130196.0,Tattoo Needles
144,2021-05-17,130196.0,Tattoo Needles
145,2021-05-18,130196.0,Tattoo Needles
146,2021-05-19,130196.0,Tattoo Needles
147,2021-05-20,130196.0,Tattoo Needles
148,2021-05-21,130196.0,Tattoo Needles
149,2021-05-22,130196.0,Tattoo Needles
150,2021-05-23,130196.0,Tattoo Needles
151,2021-05-24,130196.0,Tattoo Needles
152,2021-05-25,130196.0,Tattoo Needles
153,2021-05-26,130196.0,Tattoo Needles
154,2021-05-27,51786.0,Tattoo Needles
155,2021-05-28,51786.0,Tattoo Needles
156,2021-05-29,51786.0,Tattoo Needles
157,2021-05-30,51786.0,Tattoo Needles
158,2021-05-31,41291.0,Tattoo Needles
159,2021-06-01,41291.0,Tattoo Needles
160,2021-06-02,41291.0,Tattoo Needles
161,2021-06-03,41291.0,Tattoo Needles
162,2021-06-04,41826.0,Tattoo Needles
163,2021-06-05,41826.0,Tattoo Needles
164,2021-06-06,41826.0,Tattoo Needles
165,2021-06-07,55813.0,Tattoo Needles
166,2021-06-08,55813.0,Tattoo Needles
167,2021-06-09,55813.0,Tattoo Needles
168,2021-06-10,55813.0,Tattoo Needles
169,2021-06-11,55813.0,Tattoo Needles
170,2021-06-12,55813.0,Tattoo Needles
171,2021-06-13,55813.0,Tattoo Needles
172,2021-06-14,55813.0,Tattoo Needles
173,2021-06-15,55813.0,Tattoo Needles
174,2021-06-16,55813.0,Tattoo Needles
175,2021-06-17,55813.0,Tattoo Needles
176,2021-06-18,55813.0,Tattoo Needles
177,2021-06-19,51989.0,Tattoo Needles
178,2021-06-20,51989.0,Tattoo Needles
179,2021-06-21,51989.0,Tattoo Needles
180,2021-06-22,51989.0,Tattoo Needles
181,2021-06-23,51989.0,Tattoo Needles
182,2021-06-24,41362.0,Tattoo Needles
183,2021-06-25,41362.0,Tattoo Needles
184,2021-06-26,41362.0,Tattoo Needles
185,2021-06-27,41362.0,Tattoo Needles
186,2021-06-28,41362.0,Tattoo Needles
187,2021-06-29,47726.0,Tattoo Needles
188,2021-06-30,47726.0,Tattoo Needles
189,2021-07-01,47726.0,Tattoo Needles
190,2021-07-02,47726.0,Tattoo Needles
191,2021-07-03,47726.0,Tattoo Needles
192,2021-07-04,47726.0,Tattoo Needles
193,2021-07-05,47726.0,Tattoo Needles
194,2021-07-06,47263.0,Tattoo Needles
195,2021-07-07,40646.0,Tattoo Needles
196,2021-07-08,40646.0,Tattoo Needles
197,2021-07-09,39267.0,Tattoo Needles
