,date,value,name_B08KJJKHD8
168,2021-04-04,6657.0,Feeders
169,2021-04-05,6657.0,Feeders
170,2021-04-06,17837.0,Feeders
171,2021-04-07,17837.0,Feeders
172,2021-04-08,17837.0,Feeders
173,2021-04-09,16053.0,Feeders
174,2021-04-10,16053.0,Feeders
175,2021-04-11,16053.0,Feeders
176,2021-04-12,16053.0,Feeders
177,2021-04-13,16053.0,Feeders
178,2021-04-14,13851.0,Feeders
179,2021-04-15,12242.0,Feeders
180,2021-04-16,12242.0,Feeders
181,2021-04-17,14167.0,Feeders
182,2021-04-18,14167.0,Feeders
183,2021-04-19,14167.0,Feeders
184,2021-04-20,14167.0,Feeders
185,2021-04-21,9769.0,Feeders
186,2021-04-22,9769.0,Feeders
187,2021-04-23,9769.0,Feeders
188,2021-04-24,10654.0,Feeders
189,2021-04-25,10654.0,Feeders
190,2021-04-26,10654.0,Feeders
191,2021-04-27,15941.0,Feeders
192,2021-04-28,15941.0,Feeders
193,2021-04-29,15941.0,Feeders
194,2021-04-30,15941.0,Feeders
195,2021-05-01,15941.0,Feeders
196,2021-05-02,15941.0,Feeders
197,2021-05-03,15941.0,Feeders
198,2021-05-04,67187.0,Feeders
199,2021-05-05,67187.0,Feeders
200,2021-05-06,67187.0,Feeders
201,2021-05-07,69848.0,Feeders
202,2021-05-08,69848.0,Feeders
203,2021-05-09,69848.0,Feeders
204,2021-05-10,122734.0,Feeders
205,2021-05-11,122734.0,Feeders
206,2021-05-12,122734.0,Feeders
207,2021-05-13,122734.0,Feeders
208,2021-05-14,126534.0,Feeders
209,2021-05-15,126534.0,Feeders
210,2021-05-16,126534.0,Feeders
211,2021-05-17,170571.0,Feeders
212,2021-05-18,170571.0,Feeders
213,2021-05-19,170571.0,Feeders
214,2021-05-20,166554.0,Feeders
215,2021-05-21,166554.0,Feeders
216,2021-05-22,17478.0,Feeders
217,2021-05-23,17478.0,Feeders
218,2021-05-24,17478.0,Feeders
219,2021-05-25,17478.0,Feeders
220,2021-05-26,17478.0,Feeders
221,2021-05-27,14318.0,Feeders
222,2021-05-28,14318.0,Feeders
223,2021-05-29,14318.0,Feeders
224,2021-05-30,14318.0,Feeders
225,2021-05-31,14318.0,Feeders
226,2021-06-01,14318.0,Feeders
227,2021-06-02,14318.0,Feeders
228,2021-06-03,14318.0,Feeders
229,2021-06-04,14318.0,Feeders
230,2021-06-05,12467.0,Feeders
231,2021-06-06,12467.0,Feeders
232,2021-06-07,12467.0,Feeders
233,2021-06-08,15898.0,Feeders
234,2021-06-09,15785.0,Feeders
235,2021-06-10,15785.0,Feeders
236,2021-06-11,15785.0,Feeders
237,2021-06-12,15785.0,Feeders
238,2021-06-13,15785.0,Feeders
239,2021-06-14,14671.0,Feeders
240,2021-06-15,12503.0,Feeders
241,2021-06-16,12503.0,Feeders
242,2021-06-17,12503.0,Feeders
243,2021-06-18,12503.0,Feeders
244,2021-06-19,13017.0,Feeders
245,2021-06-20,13040.0,Feeders
246,2021-06-21,13040.0,Feeders
247,2021-06-22,13040.0,Feeders
248,2021-06-23,13040.0,Feeders
249,2021-06-24,13040.0,Feeders
250,2021-06-25,8314.0,Feeders
251,2021-06-26,8314.0,Feeders
252,2021-06-27,8314.0,Feeders
253,2021-06-28,8314.0,Feeders
254,2021-06-29,11481.0,Feeders
255,2021-06-30,14368.0,Feeders
256,2021-07-01,14368.0,Feeders
257,2021-07-02,14368.0,Feeders
258,2021-07-03,14368.0,Feeders
259,2021-07-04,14368.0,Feeders
260,2021-07-05,16522.0,Feeders
261,2021-07-06,16522.0,Feeders
262,2021-07-07,16522.0,Feeders
263,2021-07-08,16522.0,Feeders
264,2021-07-09,16522.0,Feeders
265,2021-07-10,10198.0,Feeders
266,2021-07-11,13861.0,Feeders
