,date,value,name_B088LSJ8D2
197,2021-03-21,3076.0,Laminating Supplies
198,2021-03-22,3076.0,Laminating Supplies
199,2021-03-23,3656.0,Laminating Supplies
200,2021-03-24,3656.0,Laminating Supplies
201,2021-03-25,2967.0,Laminating Supplies
202,2021-03-26,2967.0,Laminating Supplies
203,2021-03-27,2967.0,Laminating Supplies
204,2021-03-28,2967.0,Laminating Supplies
205,2021-03-29,1595.0,Laminating Supplies
206,2021-03-30,1595.0,Laminating Supplies
207,2021-03-31,1595.0,Laminating Supplies
208,2021-04-01,1476.0,Laminating Supplies
209,2021-04-02,1476.0,Laminating Supplies
210,2021-04-03,1058.0,Laminating Supplies
211,2021-04-04,1058.0,Laminating Supplies
212,2021-04-05,1602.0,Laminating Supplies
213,2021-04-06,1602.0,Laminating Supplies
214,2021-04-07,1602.0,Laminating Supplies
215,2021-04-08,3150.0,Laminating Supplies
216,2021-04-09,3150.0,Laminating Supplies
217,2021-04-10,3734.0,Laminating Supplies
218,2021-04-11,3734.0,Laminating Supplies
219,2021-04-12,3260.0,Laminating Supplies
220,2021-04-13,3260.0,Laminating Supplies
221,2021-04-14,3260.0,Laminating Supplies
222,2021-04-15,2791.0,Laminating Supplies
223,2021-04-16,2791.0,Laminating Supplies
224,2021-04-17,2791.0,Laminating Supplies
225,2021-04-18,2791.0,Laminating Supplies
226,2021-04-19,2791.0,Laminating Supplies
227,2021-04-20,2659.0,Laminating Supplies
228,2021-04-21,2659.0,Laminating Supplies
229,2021-04-22,1988.0,Laminating Supplies
230,2021-04-23,1988.0,Laminating Supplies
231,2021-04-24,2455.0,Laminating Supplies
232,2021-04-25,2455.0,Laminating Supplies
233,2021-04-26,2455.0,Laminating Supplies
234,2021-04-27,2455.0,Laminating Supplies
235,2021-04-28,2719.0,Laminating Supplies
236,2021-04-29,2719.0,Laminating Supplies
237,2021-04-30,1805.0,Laminating Supplies
238,2021-05-01,1805.0,Laminating Supplies
239,2021-05-02,1916.0,Laminating Supplies
240,2021-05-03,1916.0,Laminating Supplies
241,2021-05-04,1916.0,Laminating Supplies
242,2021-05-05,1827.0,Laminating Supplies
243,2021-05-06,1611.0,Laminating Supplies
244,2021-05-07,1611.0,Laminating Supplies
245,2021-05-08,1800.0,Laminating Supplies
246,2021-05-09,1800.0,Laminating Supplies
247,2021-05-10,1651.0,Laminating Supplies
248,2021-05-11,1801.0,Laminating Supplies
249,2021-05-12,1801.0,Laminating Supplies
250,2021-05-13,1801.0,Laminating Supplies
251,2021-05-14,1710.0,Laminating Supplies
252,2021-05-15,1710.0,Laminating Supplies
253,2021-05-16,1641.0,Laminating Supplies
254,2021-05-17,1641.0,Laminating Supplies
255,2021-05-18,1264.0,Laminating Supplies
256,2021-05-19,1264.0,Laminating Supplies
257,2021-05-20,1671.0,Laminating Supplies
258,2021-05-21,1530.0,Laminating Supplies
259,2021-05-22,1413.0,Laminating Supplies
260,2021-05-23,1168.0,Laminating Supplies
261,2021-05-24,1629.0,Laminating Supplies
262,2021-05-25,1629.0,Laminating Supplies
263,2021-05-26,2073.0,Laminating Supplies
264,2021-05-27,2073.0,Laminating Supplies
265,2021-05-28,1644.0,Laminating Supplies
266,2021-05-29,1446.0,Laminating Supplies
267,2021-05-30,1446.0,Laminating Supplies
268,2021-05-31,1713.0,Laminating Supplies
269,2021-06-01,1713.0,Laminating Supplies
270,2021-06-02,1925.0,Laminating Supplies
271,2021-06-03,1474.0,Laminating Supplies
272,2021-06-04,1488.0,Laminating Supplies
273,2021-06-05,1488.0,Laminating Supplies
274,2021-06-06,1989.0,Laminating Supplies
275,2021-06-07,1989.0,Laminating Supplies
276,2021-06-08,1989.0,Laminating Supplies
277,2021-06-09,1432.0,Laminating Supplies
278,2021-06-10,1432.0,Laminating Supplies
279,2021-06-11,1432.0,Laminating Supplies
280,2021-06-12,1692.0,Laminating Supplies
281,2021-06-13,1692.0,Laminating Supplies
282,2021-06-14,1936.0,Laminating Supplies
283,2021-06-15,1797.0,Laminating Supplies
284,2021-06-16,1731.0,Laminating Supplies
285,2021-06-17,1149.0,Laminating Supplies
286,2021-06-18,1149.0,Laminating Supplies
287,2021-06-19,1149.0,Laminating Supplies
288,2021-06-20,1369.0,Laminating Supplies
289,2021-06-21,1369.0,Laminating Supplies
290,2021-06-22,1733.0,Laminating Supplies
291,2021-06-23,1733.0,Laminating Supplies
292,2021-06-24,1733.0,Laminating Supplies
293,2021-06-25,1733.0,Laminating Supplies
294,2021-06-26,1733.0,Laminating Supplies
295,2021-06-27,1121.0,Laminating Supplies
296,2021-06-28,1349.0,Laminating Supplies
297,2021-06-29,1349.0,Laminating Supplies
298,2021-06-30,1644.0,Laminating Supplies
299,2021-07-01,1651.0,Laminating Supplies
300,2021-07-02,1651.0,Laminating Supplies
301,2021-07-03,1651.0,Laminating Supplies
302,2021-07-04,1804.0,Laminating Supplies
303,2021-07-05,1804.0,Laminating Supplies
304,2021-07-06,1804.0,Laminating Supplies
305,2021-07-07,1891.0,Laminating Supplies
306,2021-07-08,1328.0,Laminating Supplies
307,2021-07-09,1328.0,Laminating Supplies
308,2021-07-10,1457.0,Laminating Supplies
309,2021-07-11,1449.0,Laminating Supplies
