,date,value,name_B00BXLQCP2
136,2020-10-08,3059.0,"Cookies, Biscuits & Snacks"
137,2020-10-09,3059.0,"Cookies, Biscuits & Snacks"
138,2020-10-10,2500.0,"Cookies, Biscuits & Snacks"
139,2020-10-11,2500.0,"Cookies, Biscuits & Snacks"
140,2020-10-12,3169.0,"Cookies, Biscuits & Snacks"
141,2020-10-13,3169.0,"Cookies, Biscuits & Snacks"
142,2020-10-14,3259.0,"Cookies, Biscuits & Snacks"
143,2020-10-15,3259.0,"Cookies, Biscuits & Snacks"
144,2020-10-16,3259.0,"Cookies, Biscuits & Snacks"
145,2020-10-17,3453.0,"Cookies, Biscuits & Snacks"
146,2020-10-18,2886.0,"Cookies, Biscuits & Snacks"
147,2020-10-19,2886.0,"Cookies, Biscuits & Snacks"
148,2020-10-20,2886.0,"Cookies, Biscuits & Snacks"
149,2020-10-21,3496.0,"Cookies, Biscuits & Snacks"
150,2020-10-22,3496.0,"Cookies, Biscuits & Snacks"
151,2020-10-23,3496.0,"Cookies, Biscuits & Snacks"
152,2020-10-24,3851.0,"Cookies, Biscuits & Snacks"
153,2020-10-25,3851.0,"Cookies, Biscuits & Snacks"
154,2020-10-26,3016.0,"Cookies, Biscuits & Snacks"
155,2020-10-27,3064.0,"Cookies, Biscuits & Snacks"
156,2020-10-28,3064.0,"Cookies, Biscuits & Snacks"
157,2020-10-29,3064.0,"Cookies, Biscuits & Snacks"
158,2020-10-30,2841.0,"Cookies, Biscuits & Snacks"
159,2020-10-31,2841.0,"Cookies, Biscuits & Snacks"
160,2020-11-01,3268.0,"Cookies, Biscuits & Snacks"
161,2020-11-02,3268.0,"Cookies, Biscuits & Snacks"
162,2020-11-03,2508.0,"Cookies, Biscuits & Snacks"
163,2020-11-04,2508.0,"Cookies, Biscuits & Snacks"
164,2020-11-05,2844.0,"Cookies, Biscuits & Snacks"
165,2020-11-06,2844.0,"Cookies, Biscuits & Snacks"
166,2020-11-07,2844.0,"Cookies, Biscuits & Snacks"
167,2020-11-08,2935.0,"Cookies, Biscuits & Snacks"
168,2020-11-09,2935.0,"Cookies, Biscuits & Snacks"
169,2020-11-10,3091.0,"Cookies, Biscuits & Snacks"
170,2020-11-11,3424.0,"Cookies, Biscuits & Snacks"
171,2020-11-12,3424.0,"Cookies, Biscuits & Snacks"
172,2020-11-13,3424.0,"Cookies, Biscuits & Snacks"
173,2020-11-14,3424.0,"Cookies, Biscuits & Snacks"
174,2020-11-15,3279.0,"Cookies, Biscuits & Snacks"
175,2020-11-16,3279.0,"Cookies, Biscuits & Snacks"
176,2020-11-17,3279.0,"Cookies, Biscuits & Snacks"
177,2020-11-18,3014.0,"Cookies, Biscuits & Snacks"
178,2020-11-19,3014.0,"Cookies, Biscuits & Snacks"
179,2020-11-20,3413.0,"Cookies, Biscuits & Snacks"
180,2020-11-21,3413.0,"Cookies, Biscuits & Snacks"
181,2020-11-22,3413.0,"Cookies, Biscuits & Snacks"
182,2020-11-23,2963.0,"Cookies, Biscuits & Snacks"
183,2020-11-24,2963.0,"Cookies, Biscuits & Snacks"
184,2020-11-25,2963.0,"Cookies, Biscuits & Snacks"
185,2020-11-26,3540.0,"Cookies, Biscuits & Snacks"
186,2020-11-27,3095.0,"Cookies, Biscuits & Snacks"
187,2020-11-28,3095.0,"Cookies, Biscuits & Snacks"
188,2020-11-29,3095.0,"Cookies, Biscuits & Snacks"
189,2020-11-30,3033.0,"Cookies, Biscuits & Snacks"
190,2020-12-01,3033.0,"Cookies, Biscuits & Snacks"
191,2020-12-02,3033.0,"Cookies, Biscuits & Snacks"
192,2020-12-03,3268.0,"Cookies, Biscuits & Snacks"
193,2020-12-04,3268.0,"Cookies, Biscuits & Snacks"
194,2020-12-05,3268.0,"Cookies, Biscuits & Snacks"
195,2020-12-06,2873.0,"Cookies, Biscuits & Snacks"
196,2020-12-07,3270.0,"Cookies, Biscuits & Snacks"
197,2020-12-08,3270.0,"Cookies, Biscuits & Snacks"
198,2020-12-09,2599.0,"Cookies, Biscuits & Snacks"
199,2020-12-10,2813.0,"Cookies, Biscuits & Snacks"
200,2020-12-11,2813.0,"Cookies, Biscuits & Snacks"
201,2020-12-12,2813.0,"Cookies, Biscuits & Snacks"
202,2020-12-13,3142.0,"Cookies, Biscuits & Snacks"
203,2020-12-14,3142.0,"Cookies, Biscuits & Snacks"
204,2020-12-15,3387.0,"Cookies, Biscuits & Snacks"
205,2020-12-16,3387.0,"Cookies, Biscuits & Snacks"
206,2020-12-17,3387.0,"Cookies, Biscuits & Snacks"
207,2020-12-18,3346.0,"Cookies, Biscuits & Snacks"
208,2020-12-19,3346.0,"Cookies, Biscuits & Snacks"
209,2020-12-20,3346.0,"Cookies, Biscuits & Snacks"
210,2020-12-21,3281.0,"Cookies, Biscuits & Snacks"
211,2020-12-22,3281.0,"Cookies, Biscuits & Snacks"
212,2020-12-23,3281.0,"Cookies, Biscuits & Snacks"
213,2020-12-24,3441.0,"Cookies, Biscuits & Snacks"
214,2020-12-25,3294.0,"Cookies, Biscuits & Snacks"
215,2020-12-26,3294.0,"Cookies, Biscuits & Snacks"
216,2020-12-27,3294.0,"Cookies, Biscuits & Snacks"
217,2020-12-28,3492.0,"Cookies, Biscuits & Snacks"
218,2020-12-29,3492.0,"Cookies, Biscuits & Snacks"
219,2020-12-30,3492.0,"Cookies, Biscuits & Snacks"
220,2020-12-31,3492.0,"Cookies, Biscuits & Snacks"
221,2021-01-01,2961.0,"Cookies, Biscuits & Snacks"
222,2021-01-02,2961.0,"Cookies, Biscuits & Snacks"
223,2021-01-03,3362.0,"Cookies, Biscuits & Snacks"
224,2021-01-04,3362.0,"Cookies, Biscuits & Snacks"
225,2021-01-05,3362.0,"Cookies, Biscuits & Snacks"
226,2021-01-06,3287.0,"Cookies, Biscuits & Snacks"
227,2021-01-07,3287.0,"Cookies, Biscuits & Snacks"
228,2021-01-08,2805.0,"Cookies, Biscuits & Snacks"
229,2021-01-09,2805.0,"Cookies, Biscuits & Snacks"
230,2021-01-10,2902.0,"Cookies, Biscuits & Snacks"
231,2021-01-11,2902.0,"Cookies, Biscuits & Snacks"
232,2021-01-12,2726.0,"Cookies, Biscuits & Snacks"
233,2021-01-13,2726.0,"Cookies, Biscuits & Snacks"
234,2021-01-14,2726.0,"Cookies, Biscuits & Snacks"
235,2021-01-15,2892.0,"Cookies, Biscuits & Snacks"
236,2021-01-16,2892.0,"Cookies, Biscuits & Snacks"
237,2021-01-17,2892.0,"Cookies, Biscuits & Snacks"
238,2021-01-18,3314.0,"Cookies, Biscuits & Snacks"
239,2021-01-19,3314.0,"Cookies, Biscuits & Snacks"
240,2021-01-20,3314.0,"Cookies, Biscuits & Snacks"
241,2021-01-21,2838.0,"Cookies, Biscuits & Snacks"
242,2021-01-22,2838.0,"Cookies, Biscuits & Snacks"
243,2021-01-23,2931.0,"Cookies, Biscuits & Snacks"
244,2021-01-24,2931.0,"Cookies, Biscuits & Snacks"
245,2021-01-25,2931.0,"Cookies, Biscuits & Snacks"
246,2021-01-26,3601.0,"Cookies, Biscuits & Snacks"
247,2021-01-27,3120.0,"Cookies, Biscuits & Snacks"
248,2021-01-28,3176.0,"Cookies, Biscuits & Snacks"
249,2021-01-29,3176.0,"Cookies, Biscuits & Snacks"
250,2021-01-30,3176.0,"Cookies, Biscuits & Snacks"
251,2021-01-31,2708.0,"Cookies, Biscuits & Snacks"
252,2021-02-01,2708.0,"Cookies, Biscuits & Snacks"
253,2021-02-02,2754.0,"Cookies, Biscuits & Snacks"
254,2021-02-03,2982.0,"Cookies, Biscuits & Snacks"
255,2021-02-04,2982.0,"Cookies, Biscuits & Snacks"
256,2021-02-05,2596.0,"Cookies, Biscuits & Snacks"
257,2021-02-06,2666.0,"Cookies, Biscuits & Snacks"
258,2021-02-07,2666.0,"Cookies, Biscuits & Snacks"
259,2021-02-08,2666.0,"Cookies, Biscuits & Snacks"
260,2021-02-09,2666.0,"Cookies, Biscuits & Snacks"
261,2021-02-10,3134.0,"Cookies, Biscuits & Snacks"
262,2021-02-11,3134.0,"Cookies, Biscuits & Snacks"
263,2021-02-12,2592.0,"Cookies, Biscuits & Snacks"
264,2021-02-13,2592.0,"Cookies, Biscuits & Snacks"
265,2021-02-14,2843.0,"Cookies, Biscuits & Snacks"
266,2021-02-15,2843.0,"Cookies, Biscuits & Snacks"
267,2021-02-16,2843.0,"Cookies, Biscuits & Snacks"
268,2021-02-17,3295.0,"Cookies, Biscuits & Snacks"
269,2021-02-18,3295.0,"Cookies, Biscuits & Snacks"
270,2021-02-19,3295.0,"Cookies, Biscuits & Snacks"
271,2021-02-20,2749.0,"Cookies, Biscuits & Snacks"
272,2021-02-21,2749.0,"Cookies, Biscuits & Snacks"
273,2021-02-22,2804.0,"Cookies, Biscuits & Snacks"
274,2021-02-23,2804.0,"Cookies, Biscuits & Snacks"
275,2021-02-24,2531.0,"Cookies, Biscuits & Snacks"
276,2021-02-25,2531.0,"Cookies, Biscuits & Snacks"
277,2021-02-26,2531.0,"Cookies, Biscuits & Snacks"
