,date,value,name_B08HWQCQ5B
245,2021-05-18,4234.0,Panty Liners
246,2021-05-19,3645.0,Panty Liners
247,2021-05-20,3408.0,Panty Liners
248,2021-05-21,3117.0,Panty Liners
249,2021-05-22,3117.0,Panty Liners
250,2021-05-23,2609.0,Panty Liners
251,2021-05-24,2609.0,Panty Liners
252,2021-05-25,2787.0,Panty Liners
253,2021-05-26,2787.0,Panty Liners
254,2021-05-27,2251.0,Panty Liners
255,2021-05-28,2251.0,Panty Liners
256,2021-05-29,2338.0,Panty Liners
257,2021-05-30,3209.0,Panty Liners
258,2021-05-31,3209.0,Panty Liners
259,2021-06-01,3296.0,Panty Liners
260,2021-06-02,3296.0,Panty Liners
261,2021-06-03,3125.0,Panty Liners
262,2021-06-04,3125.0,Panty Liners
263,2021-06-05,2582.0,Panty Liners
264,2021-06-06,2582.0,Panty Liners
265,2021-06-07,2346.0,Panty Liners
266,2021-06-08,2346.0,Panty Liners
267,2021-06-09,2838.0,Panty Liners
268,2021-06-10,3128.0,Panty Liners
269,2021-06-11,3128.0,Panty Liners
270,2021-06-12,2954.0,Panty Liners
271,2021-06-13,2954.0,Panty Liners
272,2021-06-14,2818.0,Panty Liners
273,2021-06-15,2523.0,Panty Liners
274,2021-06-16,2523.0,Panty Liners
275,2021-06-17,3044.0,Panty Liners
276,2021-06-18,3044.0,Panty Liners
277,2021-06-19,3044.0,Panty Liners
278,2021-06-20,3344.0,Panty Liners
279,2021-06-21,3059.0,Panty Liners
280,2021-06-22,3362.0,Panty Liners
281,2021-06-23,3040.0,Panty Liners
282,2021-06-24,3040.0,Panty Liners
283,2021-06-25,3040.0,Panty Liners
284,2021-06-26,2962.0,Panty Liners
285,2021-06-27,2717.0,Panty Liners
286,2021-06-28,2717.0,Panty Liners
287,2021-06-29,2494.0,Panty Liners
288,2021-06-30,2494.0,Panty Liners
289,2021-07-01,2642.0,Panty Liners
290,2021-07-02,2666.0,Panty Liners
291,2021-07-03,2666.0,Panty Liners
292,2021-07-04,2028.0,Panty Liners
293,2021-07-05,2028.0,Panty Liners
294,2021-07-06,2538.0,Panty Liners
295,2021-07-07,2538.0,Panty Liners
296,2021-07-08,2634.0,Panty Liners
297,2021-07-09,2911.0,Panty Liners
298,2021-07-10,2911.0,Panty Liners
299,2021-07-11,3091.0,Panty Liners
