,date,value,name_B01CD4YCXQ
63,2020-10-31,47346.0,Bed Mats
64,2020-11-01,47346.0,Bed Mats
65,2020-11-02,47346.0,Bed Mats
66,2020-11-03,47346.0,Bed Mats
67,2020-11-04,47346.0,Bed Mats
68,2020-11-05,47346.0,Bed Mats
69,2020-11-06,30564.0,Bed Mats
70,2020-11-07,30564.0,Bed Mats
71,2020-11-08,30564.0,Bed Mats
72,2020-11-09,47163.0,Bed Mats
73,2020-11-10,47163.0,Bed Mats
74,2020-11-11,47163.0,Bed Mats
75,2020-11-12,36115.0,Bed Mats
76,2020-11-13,36115.0,Bed Mats
77,2020-11-14,36115.0,Bed Mats
78,2020-11-15,36115.0,Bed Mats
79,2020-11-16,36115.0,Bed Mats
80,2020-11-17,22606.0,Bed Mats
81,2020-11-18,22606.0,Bed Mats
82,2020-11-19,22606.0,Bed Mats
83,2020-11-20,30718.0,Bed Mats
84,2020-11-21,30718.0,Bed Mats
85,2020-11-22,30718.0,Bed Mats
86,2020-11-23,30718.0,Bed Mats
87,2020-11-24,30718.0,Bed Mats
88,2020-11-25,30718.0,Bed Mats
89,2020-11-26,30718.0,Bed Mats
90,2020-11-27,30718.0,Bed Mats
91,2020-11-28,21715.0,Bed Mats
92,2020-11-29,21715.0,Bed Mats
93,2020-11-30,28013.0,Bed Mats
94,2020-12-01,38704.0,Bed Mats
95,2020-12-02,32777.0,Bed Mats
96,2020-12-03,32777.0,Bed Mats
97,2020-12-04,32777.0,Bed Mats
98,2020-12-05,32777.0,Bed Mats
99,2020-12-06,46244.0,Bed Mats
100,2020-12-07,46244.0,Bed Mats
101,2020-12-08,27862.0,Bed Mats
102,2020-12-09,27862.0,Bed Mats
103,2020-12-10,30710.0,Bed Mats
104,2020-12-11,25866.0,Bed Mats
105,2020-12-12,25157.0,Bed Mats
106,2020-12-13,25157.0,Bed Mats
107,2020-12-14,25157.0,Bed Mats
108,2020-12-15,26139.0,Bed Mats
109,2020-12-16,22136.0,Bed Mats
110,2020-12-17,22136.0,Bed Mats
111,2020-12-18,22136.0,Bed Mats
112,2020-12-19,22136.0,Bed Mats
113,2020-12-20,22136.0,Bed Mats
114,2020-12-21,22136.0,Bed Mats
115,2020-12-22,31662.0,Bed Mats
116,2020-12-23,31662.0,Bed Mats
117,2020-12-24,31662.0,Bed Mats
118,2020-12-25,37086.0,Bed Mats
119,2020-12-26,31554.0,Bed Mats
120,2020-12-27,31554.0,Bed Mats
121,2020-12-28,30630.0,Bed Mats
122,2020-12-29,30630.0,Bed Mats
123,2020-12-30,30630.0,Bed Mats
124,2020-12-31,30630.0,Bed Mats
125,2021-01-01,30630.0,Bed Mats
126,2021-01-02,23584.0,Bed Mats
127,2021-01-03,23584.0,Bed Mats
128,2021-01-04,23584.0,Bed Mats
129,2021-01-05,21830.0,Bed Mats
130,2021-01-06,21830.0,Bed Mats
131,2021-01-07,21830.0,Bed Mats
132,2021-01-08,21830.0,Bed Mats
133,2021-01-09,21830.0,Bed Mats
134,2021-01-10,22508.0,Bed Mats
135,2021-01-11,24548.0,Bed Mats
136,2021-01-12,22866.0,Bed Mats
137,2021-01-13,13504.0,Bed Mats
138,2021-01-14,13504.0,Bed Mats
139,2021-01-15,13309.0,Bed Mats
140,2021-01-16,13224.0,Bed Mats
141,2021-01-17,13224.0,Bed Mats
142,2021-01-18,11836.0,Bed Mats
143,2021-01-19,11836.0,Bed Mats
144,2021-01-20,11836.0,Bed Mats
145,2021-01-21,22086.0,Bed Mats
146,2021-01-22,22086.0,Bed Mats
147,2021-01-23,28344.0,Bed Mats
148,2021-01-24,28344.0,Bed Mats
149,2021-01-25,28344.0,Bed Mats
150,2021-01-26,22161.0,Bed Mats
151,2021-01-27,22161.0,Bed Mats
152,2021-01-28,22161.0,Bed Mats
153,2021-01-29,34716.0,Bed Mats
154,2021-01-30,34716.0,Bed Mats
155,2021-01-31,34716.0,Bed Mats
156,2021-02-01,34716.0,Bed Mats
157,2021-02-02,36331.0,Bed Mats
158,2021-02-03,36331.0,Bed Mats
159,2021-02-04,36331.0,Bed Mats
160,2021-02-05,36331.0,Bed Mats
161,2021-02-06,36331.0,Bed Mats
162,2021-02-07,36331.0,Bed Mats
163,2021-02-08,36331.0,Bed Mats
164,2021-02-09,36331.0,Bed Mats
165,2021-02-10,36331.0,Bed Mats
166,2021-02-11,25258.0,Bed Mats
167,2021-02-12,25258.0,Bed Mats
168,2021-02-13,25258.0,Bed Mats
169,2021-02-14,22627.0,Bed Mats
170,2021-02-15,22627.0,Bed Mats
171,2021-02-16,22627.0,Bed Mats
172,2021-02-17,33759.0,Bed Mats
173,2021-02-18,33759.0,Bed Mats
174,2021-02-19,33759.0,Bed Mats
175,2021-02-20,37129.0,Bed Mats
176,2021-02-21,37129.0,Bed Mats
177,2021-02-22,21914.0,Bed Mats
178,2021-02-23,21914.0,Bed Mats
179,2021-02-24,21914.0,Bed Mats
180,2021-02-25,21914.0,Bed Mats
181,2021-02-26,20864.0,Bed Mats
182,2021-02-27,20864.0,Bed Mats
183,2021-02-28,20864.0,Bed Mats
184,2021-03-01,20864.0,Bed Mats
185,2021-03-02,20864.0,Bed Mats
186,2021-03-03,16070.0,Bed Mats
187,2021-03-04,16070.0,Bed Mats
188,2021-03-05,16070.0,Bed Mats
189,2021-03-06,16070.0,Bed Mats
190,2021-03-07,16070.0,Bed Mats
191,2021-03-08,17354.0,Bed Mats
192,2021-03-09,16014.0,Bed Mats
193,2021-03-10,16569.0,Bed Mats
194,2021-03-11,21624.0,Bed Mats
195,2021-03-12,21624.0,Bed Mats
196,2021-03-13,21624.0,Bed Mats
197,2021-03-14,21925.0,Bed Mats
198,2021-03-15,21925.0,Bed Mats
199,2021-03-16,21925.0,Bed Mats
200,2021-03-17,44704.0,Bed Mats
201,2021-03-18,44704.0,Bed Mats
202,2021-03-19,44704.0,Bed Mats
203,2021-03-20,44704.0,Bed Mats
204,2021-03-21,58532.0,Bed Mats
205,2021-03-22,58532.0,Bed Mats
206,2021-03-23,58532.0,Bed Mats
207,2021-03-24,58532.0,Bed Mats
208,2021-03-25,58532.0,Bed Mats
209,2021-03-26,58532.0,Bed Mats
210,2021-03-27,58532.0,Bed Mats
211,2021-03-28,58532.0,Bed Mats
212,2021-03-29,58532.0,Bed Mats
213,2021-03-30,58532.0,Bed Mats
214,2021-03-31,58532.0,Bed Mats
215,2021-04-01,70542.0,Bed Mats
216,2021-04-02,70542.0,Bed Mats
217,2021-04-03,70542.0,Bed Mats
218,2021-04-04,70542.0,Bed Mats
219,2021-04-05,70542.0,Bed Mats
220,2021-04-06,58832.0,Bed Mats
221,2021-04-07,58832.0,Bed Mats
222,2021-04-08,58832.0,Bed Mats
223,2021-04-09,70159.0,Bed Mats
224,2021-04-10,70159.0,Bed Mats
225,2021-04-11,74453.0,Bed Mats
226,2021-04-12,74453.0,Bed Mats
227,2021-04-13,73405.0,Bed Mats
228,2021-04-14,73405.0,Bed Mats
229,2021-04-15,73405.0,Bed Mats
230,2021-04-16,73405.0,Bed Mats
231,2021-04-17,73405.0,Bed Mats
232,2021-04-18,73405.0,Bed Mats
233,2021-04-19,54324.0,Bed Mats
234,2021-04-20,54324.0,Bed Mats
235,2021-04-21,54324.0,Bed Mats
236,2021-04-22,43263.0,Bed Mats
237,2021-04-23,43263.0,Bed Mats
238,2021-04-24,43263.0,Bed Mats
239,2021-04-25,46474.0,Bed Mats
240,2021-04-26,38722.0,Bed Mats
241,2021-04-27,38722.0,Bed Mats
242,2021-04-28,38722.0,Bed Mats
243,2021-04-29,38722.0,Bed Mats
244,2021-04-30,38722.0,Bed Mats
245,2021-05-01,38722.0,Bed Mats
246,2021-05-02,38722.0,Bed Mats
247,2021-05-03,38722.0,Bed Mats
248,2021-05-04,38722.0,Bed Mats
249,2021-05-05,38722.0,Bed Mats
250,2021-05-06,38722.0,Bed Mats
251,2021-05-07,69485.0,Bed Mats
252,2021-05-08,71740.0,Bed Mats
253,2021-05-09,71740.0,Bed Mats
254,2021-05-10,71740.0,Bed Mats
255,2021-05-11,74994.0,Bed Mats
256,2021-05-12,74994.0,Bed Mats
257,2021-05-13,67125.0,Bed Mats
258,2021-05-14,67125.0,Bed Mats
259,2021-05-15,67125.0,Bed Mats
260,2021-05-16,67125.0,Bed Mats
261,2021-05-17,67125.0,Bed Mats
262,2021-05-18,67125.0,Bed Mats
263,2021-05-19,67125.0,Bed Mats
264,2021-05-20,74364.0,Bed Mats
265,2021-05-21,74364.0,Bed Mats
266,2021-05-22,74364.0,Bed Mats
267,2021-05-23,74364.0,Bed Mats
268,2021-05-24,75892.0,Bed Mats
269,2021-05-25,75892.0,Bed Mats
270,2021-05-26,67793.0,Bed Mats
271,2021-05-27,67793.0,Bed Mats
272,2021-05-28,67793.0,Bed Mats
273,2021-05-29,67793.0,Bed Mats
274,2021-05-30,67793.0,Bed Mats
275,2021-05-31,67793.0,Bed Mats
276,2021-06-01,61215.0,Bed Mats
277,2021-06-02,61215.0,Bed Mats
278,2021-06-03,61215.0,Bed Mats
279,2021-06-04,61215.0,Bed Mats
280,2021-06-05,61215.0,Bed Mats
281,2021-06-06,61215.0,Bed Mats
282,2021-06-07,10196.0,Bed Mats
283,2021-06-08,10196.0,Bed Mats
284,2021-06-09,10196.0,Bed Mats
285,2021-06-10,5985.0,Bed Mats
286,2021-06-11,7339.0,Bed Mats
287,2021-06-12,7339.0,Bed Mats
288,2021-06-13,5181.0,Bed Mats
289,2021-06-14,4370.0,Bed Mats
290,2021-06-15,4370.0,Bed Mats
291,2021-06-16,4370.0,Bed Mats
292,2021-06-17,5931.0,Bed Mats
293,2021-06-18,5931.0,Bed Mats
294,2021-06-19,5931.0,Bed Mats
295,2021-06-20,5118.0,Bed Mats
296,2021-06-21,5118.0,Bed Mats
297,2021-06-22,3718.0,Bed Mats
298,2021-06-23,3718.0,Bed Mats
299,2021-06-24,3992.0,Bed Mats
300,2021-06-25,3158.0,Bed Mats
301,2021-06-26,3407.0,Bed Mats
302,2021-06-27,3407.0,Bed Mats
303,2021-06-28,4010.0,Bed Mats
304,2021-06-29,2999.0,Bed Mats
305,2021-06-30,2999.0,Bed Mats
306,2021-07-01,2999.0,Bed Mats
307,2021-07-02,5654.0,Bed Mats
308,2021-07-03,5377.0,Bed Mats
309,2021-07-04,5377.0,Bed Mats
310,2021-07-05,4867.0,Bed Mats
311,2021-07-06,4867.0,Bed Mats
312,2021-07-07,4867.0,Bed Mats
313,2021-07-08,5410.0,Bed Mats
314,2021-07-09,9197.0,Bed Mats
315,2021-07-10,9197.0,Bed Mats
316,2021-07-11,3839.0,Bed Mats
