,date,value,name_B07TYN8K7K
133,2020-10-07,9236.0,Sleeping Masks
134,2020-10-08,9236.0,Sleeping Masks
135,2020-10-09,9236.0,Sleeping Masks
136,2020-10-10,9090.0,Sleeping Masks
137,2020-10-11,9090.0,Sleeping Masks
138,2020-10-12,9090.0,Sleeping Masks
139,2020-10-13,8566.0,Sleeping Masks
140,2020-10-14,3356.0,Sleeping Masks
141,2020-10-15,3356.0,Sleeping Masks
142,2020-10-16,3356.0,Sleeping Masks
143,2020-10-17,6498.0,Sleeping Masks
144,2020-10-18,6498.0,Sleeping Masks
145,2020-10-19,9015.0,Sleeping Masks
146,2020-10-20,9015.0,Sleeping Masks
147,2020-10-21,9015.0,Sleeping Masks
148,2020-10-22,6537.0,Sleeping Masks
149,2020-10-23,6537.0,Sleeping Masks
150,2020-10-24,6537.0,Sleeping Masks
151,2020-10-25,6537.0,Sleeping Masks
152,2020-10-26,7855.0,Sleeping Masks
153,2020-10-27,7855.0,Sleeping Masks
154,2020-10-28,7855.0,Sleeping Masks
155,2020-10-29,7855.0,Sleeping Masks
156,2020-10-30,8068.0,Sleeping Masks
157,2020-10-31,7418.0,Sleeping Masks
158,2020-11-01,7418.0,Sleeping Masks
159,2020-11-02,6956.0,Sleeping Masks
160,2020-11-03,6956.0,Sleeping Masks
161,2020-11-04,5681.0,Sleeping Masks
162,2020-11-05,5681.0,Sleeping Masks
163,2020-11-06,5681.0,Sleeping Masks
164,2020-11-07,5460.0,Sleeping Masks
165,2020-11-08,5460.0,Sleeping Masks
166,2020-11-09,5460.0,Sleeping Masks
167,2020-11-10,4994.0,Sleeping Masks
168,2020-11-11,5346.0,Sleeping Masks
169,2020-11-12,3970.0,Sleeping Masks
170,2020-11-13,3970.0,Sleeping Masks
171,2020-11-14,3970.0,Sleeping Masks
172,2020-11-15,5583.0,Sleeping Masks
173,2020-11-16,5411.0,Sleeping Masks
174,2020-11-17,6239.0,Sleeping Masks
175,2020-11-18,6239.0,Sleeping Masks
176,2020-11-19,5618.0,Sleeping Masks
177,2020-11-20,5618.0,Sleeping Masks
178,2020-11-21,5618.0,Sleeping Masks
179,2020-11-22,5797.0,Sleeping Masks
180,2020-11-23,5845.0,Sleeping Masks
181,2020-11-24,5845.0,Sleeping Masks
182,2020-11-25,5613.0,Sleeping Masks
183,2020-11-26,5613.0,Sleeping Masks
184,2020-11-27,5613.0,Sleeping Masks
185,2020-11-28,2037.0,Sleeping Masks
186,2020-11-29,2037.0,Sleeping Masks
187,2020-11-30,2037.0,Sleeping Masks
188,2020-12-01,3252.0,Sleeping Masks
189,2020-12-02,3252.0,Sleeping Masks
190,2020-12-03,3252.0,Sleeping Masks
191,2020-12-04,3252.0,Sleeping Masks
192,2020-12-05,4240.0,Sleeping Masks
193,2020-12-06,4240.0,Sleeping Masks
194,2020-12-07,3965.0,Sleeping Masks
195,2020-12-08,3965.0,Sleeping Masks
196,2020-12-09,3244.0,Sleeping Masks
197,2020-12-10,2399.0,Sleeping Masks
198,2020-12-11,2389.0,Sleeping Masks
199,2020-12-12,2595.0,Sleeping Masks
200,2020-12-13,2523.0,Sleeping Masks
201,2020-12-14,4337.0,Sleeping Masks
202,2020-12-15,5205.0,Sleeping Masks
203,2020-12-16,4649.0,Sleeping Masks
204,2020-12-17,3167.0,Sleeping Masks
205,2020-12-18,4430.0,Sleeping Masks
206,2020-12-19,4430.0,Sleeping Masks
207,2020-12-20,7861.0,Sleeping Masks
208,2020-12-21,9070.0,Sleeping Masks
209,2020-12-22,9750.0,Sleeping Masks
210,2020-12-23,9607.0,Sleeping Masks
211,2020-12-24,8584.0,Sleeping Masks
212,2020-12-25,9193.0,Sleeping Masks
213,2020-12-26,7276.0,Sleeping Masks
214,2020-12-27,7987.0,Sleeping Masks
215,2020-12-28,9174.0,Sleeping Masks
216,2020-12-29,9957.0,Sleeping Masks
217,2020-12-30,9957.0,Sleeping Masks
218,2020-12-31,7370.0,Sleeping Masks
219,2021-01-01,7370.0,Sleeping Masks
220,2021-01-02,7370.0,Sleeping Masks
221,2021-01-03,6366.0,Sleeping Masks
222,2021-01-04,6366.0,Sleeping Masks
223,2021-01-05,6366.0,Sleeping Masks
224,2021-01-06,7204.0,Sleeping Masks
225,2021-01-07,7204.0,Sleeping Masks
226,2021-01-08,7204.0,Sleeping Masks
227,2021-01-09,7466.0,Sleeping Masks
228,2021-01-10,7466.0,Sleeping Masks
229,2021-01-11,5682.0,Sleeping Masks
230,2021-01-12,5682.0,Sleeping Masks
231,2021-01-13,5682.0,Sleeping Masks
232,2021-01-14,4581.0,Sleeping Masks
233,2021-01-15,4581.0,Sleeping Masks
234,2021-01-16,4848.0,Sleeping Masks
235,2021-01-17,4848.0,Sleeping Masks
236,2021-01-18,4451.0,Sleeping Masks
237,2021-01-19,4451.0,Sleeping Masks
238,2021-01-20,5322.0,Sleeping Masks
239,2021-01-21,5322.0,Sleeping Masks
240,2021-01-22,5717.0,Sleeping Masks
241,2021-01-23,5717.0,Sleeping Masks
242,2021-01-24,6270.0,Sleeping Masks
243,2021-01-25,6270.0,Sleeping Masks
244,2021-01-26,6482.0,Sleeping Masks
245,2021-01-27,6482.0,Sleeping Masks
246,2021-01-28,6482.0,Sleeping Masks
247,2021-01-29,7302.0,Sleeping Masks
248,2021-01-30,7302.0,Sleeping Masks
249,2021-01-31,8124.0,Sleeping Masks
250,2021-02-01,8124.0,Sleeping Masks
251,2021-02-02,8124.0,Sleeping Masks
252,2021-02-03,9654.0,Sleeping Masks
253,2021-02-04,17421.0,Sleeping Masks
254,2021-02-05,21304.0,Sleeping Masks
255,2021-02-06,21304.0,Sleeping Masks
256,2021-02-07,21304.0,Sleeping Masks
257,2021-02-08,19272.0,Sleeping Masks
258,2021-02-09,19272.0,Sleeping Masks
259,2021-02-10,9838.0,Sleeping Masks
260,2021-02-11,9744.0,Sleeping Masks
261,2021-02-12,9744.0,Sleeping Masks
262,2021-02-13,9744.0,Sleeping Masks
263,2021-02-14,6932.0,Sleeping Masks
264,2021-02-15,6932.0,Sleeping Masks
265,2021-02-16,6564.0,Sleeping Masks
266,2021-02-17,6231.0,Sleeping Masks
267,2021-02-18,6231.0,Sleeping Masks
268,2021-02-19,6231.0,Sleeping Masks
269,2021-02-20,6297.0,Sleeping Masks
270,2021-02-21,6297.0,Sleeping Masks
271,2021-02-22,6297.0,Sleeping Masks
272,2021-02-23,6083.0,Sleeping Masks
273,2021-02-24,6083.0,Sleeping Masks
274,2021-02-25,6083.0,Sleeping Masks
275,2021-02-26,6978.0,Sleeping Masks
276,2021-02-27,6978.0,Sleeping Masks
277,2021-02-28,6642.0,Sleeping Masks
278,2021-03-01,6642.0,Sleeping Masks
279,2021-03-02,6642.0,Sleeping Masks
280,2021-03-03,7906.0,Sleeping Masks
281,2021-03-04,7906.0,Sleeping Masks
282,2021-03-05,9452.0,Sleeping Masks
283,2021-03-06,7565.0,Sleeping Masks
284,2021-03-07,7565.0,Sleeping Masks
285,2021-03-08,7565.0,Sleeping Masks
286,2021-03-09,6752.0,Sleeping Masks
287,2021-03-10,6991.0,Sleeping Masks
288,2021-03-11,7565.0,Sleeping Masks
289,2021-03-12,8475.0,Sleeping Masks
290,2021-03-13,8475.0,Sleeping Masks
291,2021-03-14,6289.0,Sleeping Masks
292,2021-03-15,6887.0,Sleeping Masks
293,2021-03-16,6810.0,Sleeping Masks
294,2021-03-17,6758.0,Sleeping Masks
295,2021-03-18,6821.0,Sleeping Masks
296,2021-03-19,8258.0,Sleeping Masks
297,2021-03-20,8258.0,Sleeping Masks
298,2021-03-21,8258.0,Sleeping Masks
299,2021-03-22,8258.0,Sleeping Masks
300,2021-03-23,5243.0,Sleeping Masks
301,2021-03-24,5243.0,Sleeping Masks
302,2021-03-25,5243.0,Sleeping Masks
303,2021-03-26,6100.0,Sleeping Masks
304,2021-03-27,6100.0,Sleeping Masks
305,2021-03-28,5095.0,Sleeping Masks
306,2021-03-29,5095.0,Sleeping Masks
307,2021-03-30,5410.0,Sleeping Masks
308,2021-03-31,5410.0,Sleeping Masks
309,2021-04-01,5410.0,Sleeping Masks
310,2021-04-02,5410.0,Sleeping Masks
311,2021-04-03,6667.0,Sleeping Masks
312,2021-04-04,6667.0,Sleeping Masks
313,2021-04-05,5205.0,Sleeping Masks
314,2021-04-06,5205.0,Sleeping Masks
315,2021-04-07,5205.0,Sleeping Masks
316,2021-04-08,6172.0,Sleeping Masks
317,2021-04-09,6172.0,Sleeping Masks
318,2021-04-10,6172.0,Sleeping Masks
319,2021-04-11,6885.0,Sleeping Masks
320,2021-04-12,7273.0,Sleeping Masks
321,2021-04-13,7273.0,Sleeping Masks
322,2021-04-14,7273.0,Sleeping Masks
323,2021-04-15,8317.0,Sleeping Masks
324,2021-04-16,8317.0,Sleeping Masks
325,2021-04-17,8317.0,Sleeping Masks
326,2021-04-18,6661.0,Sleeping Masks
327,2021-04-19,6661.0,Sleeping Masks
328,2021-04-20,7604.0,Sleeping Masks
329,2021-04-21,7604.0,Sleeping Masks
330,2021-04-22,6522.0,Sleeping Masks
331,2021-04-23,5982.0,Sleeping Masks
332,2021-04-24,5982.0,Sleeping Masks
333,2021-04-25,5982.0,Sleeping Masks
334,2021-04-26,5982.0,Sleeping Masks
335,2021-04-27,6127.0,Sleeping Masks
336,2021-04-28,5057.0,Sleeping Masks
337,2021-04-29,5057.0,Sleeping Masks
338,2021-04-30,5066.0,Sleeping Masks
339,2021-05-01,6543.0,Sleeping Masks
340,2021-05-02,6543.0,Sleeping Masks
341,2021-05-03,4563.0,Sleeping Masks
342,2021-05-04,4563.0,Sleeping Masks
343,2021-05-05,5153.0,Sleeping Masks
344,2021-05-06,5724.0,Sleeping Masks
345,2021-05-07,5724.0,Sleeping Masks
346,2021-05-08,5839.0,Sleeping Masks
347,2021-05-09,5839.0,Sleeping Masks
348,2021-05-10,5868.0,Sleeping Masks
349,2021-05-11,5040.0,Sleeping Masks
350,2021-05-12,5040.0,Sleeping Masks
351,2021-05-13,4963.0,Sleeping Masks
352,2021-05-14,4963.0,Sleeping Masks
353,2021-05-15,5328.0,Sleeping Masks
354,2021-05-16,5328.0,Sleeping Masks
355,2021-05-17,5260.0,Sleeping Masks
356,2021-05-18,5994.0,Sleeping Masks
357,2021-05-19,5994.0,Sleeping Masks
358,2021-05-20,4738.0,Sleeping Masks
359,2021-05-21,4907.0,Sleeping Masks
360,2021-05-22,4751.0,Sleeping Masks
361,2021-05-23,4780.0,Sleeping Masks
362,2021-05-24,4780.0,Sleeping Masks
363,2021-05-25,5416.0,Sleeping Masks
364,2021-05-26,6306.0,Sleeping Masks
365,2021-05-27,5773.0,Sleeping Masks
366,2021-05-28,5470.0,Sleeping Masks
367,2021-05-29,5219.0,Sleeping Masks
368,2021-05-30,5421.0,Sleeping Masks
369,2021-05-31,5518.0,Sleeping Masks
370,2021-06-01,4059.0,Sleeping Masks
371,2021-06-02,4059.0,Sleeping Masks
372,2021-06-03,4846.0,Sleeping Masks
373,2021-06-04,4846.0,Sleeping Masks
374,2021-06-05,3552.0,Sleeping Masks
375,2021-06-06,3552.0,Sleeping Masks
376,2021-06-07,3375.0,Sleeping Masks
377,2021-06-08,4297.0,Sleeping Masks
378,2021-06-09,3975.0,Sleeping Masks
379,2021-06-10,4924.0,Sleeping Masks
380,2021-06-11,4373.0,Sleeping Masks
381,2021-06-12,4373.0,Sleeping Masks
382,2021-06-13,4373.0,Sleeping Masks
383,2021-06-14,4844.0,Sleeping Masks
384,2021-06-15,4689.0,Sleeping Masks
385,2021-06-16,4689.0,Sleeping Masks
386,2021-06-17,4871.0,Sleeping Masks
387,2021-06-18,4871.0,Sleeping Masks
388,2021-06-19,4871.0,Sleeping Masks
389,2021-06-20,4702.0,Sleeping Masks
390,2021-06-21,4593.0,Sleeping Masks
391,2021-06-22,3499.0,Sleeping Masks
392,2021-06-23,3499.0,Sleeping Masks
393,2021-06-24,3520.0,Sleeping Masks
394,2021-06-25,4380.0,Sleeping Masks
395,2021-06-26,4863.0,Sleeping Masks
396,2021-06-27,4863.0,Sleeping Masks
397,2021-06-28,5031.0,Sleeping Masks
398,2021-06-29,5031.0,Sleeping Masks
399,2021-06-30,5031.0,Sleeping Masks
400,2021-07-01,4927.0,Sleeping Masks
401,2021-07-02,5921.0,Sleeping Masks
402,2021-07-03,5037.0,Sleeping Masks
403,2021-07-04,5037.0,Sleeping Masks
404,2021-07-05,5172.0,Sleeping Masks
405,2021-07-06,5172.0,Sleeping Masks
406,2021-07-07,4532.0,Sleeping Masks
407,2021-07-08,5487.0,Sleeping Masks
408,2021-07-09,5084.0,Sleeping Masks
409,2021-07-10,5130.0,Sleeping Masks
