,date,value,name_B085434C7C
198,2020-12-09,4870.0,Powders
199,2020-12-10,5411.0,Powders
200,2020-12-11,5944.0,Powders
201,2020-12-12,5282.0,Powders
202,2020-12-13,5820.0,Powders
203,2020-12-14,6356.0,Powders
204,2020-12-15,6258.0,Powders
205,2020-12-16,7002.0,Powders
206,2020-12-17,6862.0,Powders
207,2020-12-18,9024.0,Powders
208,2020-12-19,10682.0,Powders
209,2020-12-20,11801.0,Powders
210,2020-12-21,13145.0,Powders
211,2020-12-22,14480.0,Powders
212,2020-12-23,14480.0,Powders
213,2020-12-24,15232.0,Powders
214,2020-12-25,13516.0,Powders
215,2020-12-26,16668.0,Powders
216,2020-12-27,16181.0,Powders
217,2020-12-28,11389.0,Powders
218,2020-12-29,7961.0,Powders
219,2020-12-30,6708.0,Powders
220,2020-12-31,6761.0,Powders
221,2021-01-01,6017.0,Powders
222,2021-01-02,4694.0,Powders
223,2021-01-03,4931.0,Powders
224,2021-01-04,3820.0,Powders
225,2021-01-05,3046.0,Powders
226,2021-01-06,3178.0,Powders
227,2021-01-07,2710.0,Powders
228,2021-01-08,2233.0,Powders
229,2021-01-09,1898.0,Powders
230,2021-01-10,1773.0,Powders
231,2021-01-11,1773.0,Powders
232,2021-01-12,1773.0,Powders
233,2021-01-13,1211.0,Powders
234,2021-01-14,1211.0,Powders
235,2021-01-15,1191.0,Powders
236,2021-01-16,1191.0,Powders
237,2021-01-17,1191.0,Powders
238,2021-01-18,1261.0,Powders
239,2021-01-19,1261.0,Powders
240,2021-01-20,1155.0,Powders
241,2021-01-21,1155.0,Powders
242,2021-01-22,1175.0,Powders
243,2021-01-23,1175.0,Powders
244,2021-01-24,1877.0,Powders
245,2021-01-25,1805.0,Powders
246,2021-01-26,1164.0,Powders
247,2021-01-27,1164.0,Powders
248,2021-01-28,1164.0,Powders
249,2021-01-29,1182.0,Powders
250,2021-01-30,1182.0,Powders
251,2021-01-31,1374.0,Powders
252,2021-02-01,1123.0,Powders
253,2021-02-02,1123.0,Powders
254,2021-02-03,913.0,Powders
255,2021-02-04,913.0,Powders
256,2021-02-05,913.0,Powders
257,2021-02-06,1082.0,Powders
258,2021-02-07,1235.0,Powders
259,2021-02-08,1235.0,Powders
260,2021-02-09,1235.0,Powders
261,2021-02-10,1763.0,Powders
262,2021-02-11,1229.0,Powders
263,2021-02-12,1229.0,Powders
264,2021-02-13,1229.0,Powders
265,2021-02-14,1505.0,Powders
266,2021-02-15,1505.0,Powders
267,2021-02-16,1171.0,Powders
268,2021-02-17,1171.0,Powders
269,2021-02-18,1132.0,Powders
270,2021-02-19,1260.0,Powders
271,2021-02-20,1257.0,Powders
272,2021-02-21,1257.0,Powders
273,2021-02-22,1257.0,Powders
274,2021-02-23,958.0,Powders
275,2021-02-24,820.0,Powders
276,2021-02-25,820.0,Powders
277,2021-02-26,789.0,Powders
278,2021-02-27,789.0,Powders
279,2021-02-28,1033.0,Powders
280,2021-03-01,889.0,Powders
281,2021-03-02,781.0,Powders
282,2021-03-03,781.0,Powders
283,2021-03-04,781.0,Powders
284,2021-03-05,807.0,Powders
285,2021-03-06,807.0,Powders
286,2021-03-07,1088.0,Powders
287,2021-03-08,1088.0,Powders
288,2021-03-09,1088.0,Powders
289,2021-03-10,770.0,Powders
290,2021-03-11,770.0,Powders
291,2021-03-12,770.0,Powders
292,2021-03-13,804.0,Powders
293,2021-03-14,804.0,Powders
294,2021-03-15,804.0,Powders
295,2021-03-16,758.0,Powders
296,2021-03-17,639.0,Powders
297,2021-03-18,639.0,Powders
298,2021-03-19,691.0,Powders
299,2021-03-20,721.0,Powders
300,2021-03-21,721.0,Powders
301,2021-03-22,721.0,Powders
302,2021-03-23,688.0,Powders
303,2021-03-24,688.0,Powders
304,2021-03-25,688.0,Powders
305,2021-03-26,544.0,Powders
306,2021-03-27,544.0,Powders
307,2021-03-28,544.0,Powders
308,2021-03-29,716.0,Powders
309,2021-03-30,716.0,Powders
310,2021-03-31,620.0,Powders
311,2021-04-01,620.0,Powders
312,2021-04-02,620.0,Powders
313,2021-04-03,726.0,Powders
314,2021-04-04,824.0,Powders
315,2021-04-05,737.0,Powders
316,2021-04-06,737.0,Powders
317,2021-04-07,587.0,Powders
318,2021-04-08,587.0,Powders
319,2021-04-09,594.0,Powders
320,2021-04-10,691.0,Powders
321,2021-04-11,691.0,Powders
322,2021-04-12,709.0,Powders
323,2021-04-13,709.0,Powders
324,2021-04-14,475.0,Powders
325,2021-04-15,486.0,Powders
326,2021-04-16,552.0,Powders
327,2021-04-17,622.0,Powders
328,2021-04-18,622.0,Powders
329,2021-04-19,561.0,Powders
330,2021-04-20,500.0,Powders
331,2021-04-21,500.0,Powders
332,2021-04-22,507.0,Powders
333,2021-04-23,586.0,Powders
334,2021-04-24,586.0,Powders
335,2021-04-25,586.0,Powders
336,2021-04-26,719.0,Powders
337,2021-04-27,719.0,Powders
338,2021-04-28,567.0,Powders
339,2021-04-29,567.0,Powders
340,2021-04-30,544.0,Powders
341,2021-05-01,694.0,Powders
342,2021-05-02,694.0,Powders
343,2021-05-03,751.0,Powders
344,2021-05-04,544.0,Powders
345,2021-05-05,544.0,Powders
346,2021-05-06,664.0,Powders
347,2021-05-07,774.0,Powders
348,2021-05-08,886.0,Powders
349,2021-05-09,945.0,Powders
350,2021-05-10,945.0,Powders
351,2021-05-11,695.0,Powders
352,2021-05-12,664.0,Powders
353,2021-05-13,664.0,Powders
354,2021-05-14,485.0,Powders
355,2021-05-15,485.0,Powders
356,2021-05-16,763.0,Powders
357,2021-05-17,763.0,Powders
358,2021-05-18,569.0,Powders
359,2021-05-19,569.0,Powders
360,2021-05-20,584.0,Powders
361,2021-05-21,559.0,Powders
362,2021-05-22,559.0,Powders
363,2021-05-23,751.0,Powders
364,2021-05-24,739.0,Powders
365,2021-05-25,739.0,Powders
366,2021-05-26,617.0,Powders
367,2021-05-27,550.0,Powders
368,2021-05-28,604.0,Powders
369,2021-05-29,607.0,Powders
370,2021-05-30,752.0,Powders
371,2021-05-31,752.0,Powders
372,2021-06-01,639.0,Powders
373,2021-06-02,538.0,Powders
374,2021-06-03,538.0,Powders
375,2021-06-04,515.0,Powders
376,2021-06-05,515.0,Powders
377,2021-06-06,684.0,Powders
378,2021-06-07,684.0,Powders
379,2021-06-08,460.0,Powders
380,2021-06-09,460.0,Powders
381,2021-06-10,564.0,Powders
382,2021-06-11,564.0,Powders
383,2021-06-12,721.0,Powders
384,2021-06-13,847.0,Powders
385,2021-06-14,704.0,Powders
386,2021-06-15,704.0,Powders
387,2021-06-16,688.0,Powders
388,2021-06-17,703.0,Powders
389,2021-06-18,703.0,Powders
390,2021-06-19,703.0,Powders
391,2021-06-20,829.0,Powders
392,2021-06-21,845.0,Powders
393,2021-06-22,941.0,Powders
394,2021-06-23,941.0,Powders
395,2021-06-24,776.0,Powders
396,2021-06-25,776.0,Powders
397,2021-06-26,788.0,Powders
398,2021-06-27,843.0,Powders
399,2021-06-28,843.0,Powders
400,2021-06-29,843.0,Powders
401,2021-06-30,573.0,Powders
402,2021-07-01,649.0,Powders
403,2021-07-02,594.0,Powders
404,2021-07-03,663.0,Powders
405,2021-07-04,702.0,Powders
406,2021-07-05,848.0,Powders
407,2021-07-06,678.0,Powders
408,2021-07-07,585.0,Powders
409,2021-07-08,548.0,Powders
410,2021-07-09,606.0,Powders
411,2021-07-10,623.0,Powders
412,2021-07-11,729.0,Powders
